"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express Wonosari",3.4,636,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Wonosari/data=!4m7!3m6!1s0x2e7bb36388994f21:0xf055ab5e321ba68a!8m2!3d-7.9764221!4d110.6114368!16s%2Fg%2F11cmmwsnp6!19sChIJIU-ZiGOzey4RiqYbMl6rVfA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Wonosari/@-7.9764221,110.6114368,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bb36388994f21:0xf055ab5e321ba68a!8m2!3d-7.9764221!4d110.6114368!16s%2Fg%2F11cmmwsnp6?authuser=0&hl=id&entry=ttu","110.6114368","-7.9764221","Alamat","Jalan MGR Sugiyopranoto No.3-4, Baleharjo, Wonosari, Purwosari, Baleharjo, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881"
"J&T Express Wonosari",3.4,636,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Wonosari/data=!4m7!3m6!1s0x2e7bb36388994f21:0xf055ab5e321ba68a!8m2!3d-7.9764221!4d110.6114368!16s%2Fg%2F11cmmwsnp6!19sChIJIU-ZiGOzey4RiqYbMl6rVfA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Wonosari/@-7.9764221,110.6114368,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bb36388994f21:0xf055ab5e321ba68a!8m2!3d-7.9764221!4d110.6114368!16s%2Fg%2F11cmmwsnp6?authuser=0&hl=id&entry=ttu","110.6114368","-7.9764221","Telepon","(0274) 4355555"
"J&T Express Wonosari",3.4,636,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Wonosari/data=!4m7!3m6!1s0x2e7bb36388994f21:0xf055ab5e321ba68a!8m2!3d-7.9764221!4d110.6114368!16s%2Fg%2F11cmmwsnp6!19sChIJIU-ZiGOzey4RiqYbMl6rVfA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Wonosari/@-7.9764221,110.6114368,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bb36388994f21:0xf055ab5e321ba68a!8m2!3d-7.9764221!4d110.6114368!16s%2Fg%2F11cmmwsnp6?authuser=0&hl=id&entry=ttu","110.6114368","-7.9764221","Plus Codes","2JF6+CH Baleharjo, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta"
"J&T CARGO PLAYEN WNO002A",4.6,23,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+CARGO+PLAYEN+WNO002A/data=!4m7!3m6!1s0x2e7a4db1eafe9eaf:0x1d778a87778117f0!8m2!3d-7.9497074!4d110.5832345!16s%2Fg%2F11spmwtmms!19sChIJr57-6rFNei4R8BeBd4eKdx0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+PLAYEN+WNO002A/@-7.9497074,110.5832345,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a4db1eafe9eaf:0x1d778a87778117f0!8m2!3d-7.9497074!4d110.5832345!16s%2Fg%2F11spmwtmms?authuser=0&hl=id&entry=ttu","110.5832345","-7.9497074","Alamat","Jl. Manthous No.60/10, Playen I, Logandeng, Kec. Playen, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55861"
"J&T CARGO PLAYEN WNO002A",4.6,23,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+CARGO+PLAYEN+WNO002A/data=!4m7!3m6!1s0x2e7a4db1eafe9eaf:0x1d778a87778117f0!8m2!3d-7.9497074!4d110.5832345!16s%2Fg%2F11spmwtmms!19sChIJr57-6rFNei4R8BeBd4eKdx0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+PLAYEN+WNO002A/@-7.9497074,110.5832345,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a4db1eafe9eaf:0x1d778a87778117f0!8m2!3d-7.9497074!4d110.5832345!16s%2Fg%2F11spmwtmms?authuser=0&hl=id&entry=ttu","110.5832345","-7.9497074","Situs Web","jtcargo.id"
"J&T CARGO PLAYEN WNO002A",4.6,23,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+CARGO+PLAYEN+WNO002A/data=!4m7!3m6!1s0x2e7a4db1eafe9eaf:0x1d778a87778117f0!8m2!3d-7.9497074!4d110.5832345!16s%2Fg%2F11spmwtmms!19sChIJr57-6rFNei4R8BeBd4eKdx0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+PLAYEN+WNO002A/@-7.9497074,110.5832345,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a4db1eafe9eaf:0x1d778a87778117f0!8m2!3d-7.9497074!4d110.5832345!16s%2Fg%2F11spmwtmms?authuser=0&hl=id&entry=ttu","110.5832345","-7.9497074","Telepon","0813-2885-1479"
"J&T CARGO PLAYEN WNO002A",4.6,23,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+CARGO+PLAYEN+WNO002A/data=!4m7!3m6!1s0x2e7a4db1eafe9eaf:0x1d778a87778117f0!8m2!3d-7.9497074!4d110.5832345!16s%2Fg%2F11spmwtmms!19sChIJr57-6rFNei4R8BeBd4eKdx0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+PLAYEN+WNO002A/@-7.9497074,110.5832345,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a4db1eafe9eaf:0x1d778a87778117f0!8m2!3d-7.9497074!4d110.5832345!16s%2Fg%2F11spmwtmms?authuser=0&hl=id&entry=ttu","110.5832345","-7.9497074","Plus Codes","3H2M+47 Logandeng, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta"
"J&T Express Playen",4.5,121,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Playen/data=!4m7!3m6!1s0x2e7a4dfc0d49de03:0x4b3c2b97fa15d867!8m2!3d-7.9451691!4d110.5812939!16s%2Fg%2F11fnr85vsn!19sChIJA95JDfxNei4RZ9gV-pcrPEs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Playen/@-7.9451691,110.5812939,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a4dfc0d49de03:0x4b3c2b97fa15d867!8m2!3d-7.9451691!4d110.5812939!16s%2Fg%2F11fnr85vsn?authuser=0&hl=id&entry=ttu","110.5812939","-7.9451691","Alamat","Jl. Jogja - Wonosari No.186, Siyono Tengah, Logandeng, Kec. Playen, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55861"
"J&T Express Playen",4.5,121,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Playen/data=!4m7!3m6!1s0x2e7a4dfc0d49de03:0x4b3c2b97fa15d867!8m2!3d-7.9451691!4d110.5812939!16s%2Fg%2F11fnr85vsn!19sChIJA95JDfxNei4RZ9gV-pcrPEs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Playen/@-7.9451691,110.5812939,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a4dfc0d49de03:0x4b3c2b97fa15d867!8m2!3d-7.9451691!4d110.5812939!16s%2Fg%2F11fnr85vsn?authuser=0&hl=id&entry=ttu","110.5812939","-7.9451691","Situs Web","play.google.com"
"J&T Express Playen",4.5,121,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Playen/data=!4m7!3m6!1s0x2e7a4dfc0d49de03:0x4b3c2b97fa15d867!8m2!3d-7.9451691!4d110.5812939!16s%2Fg%2F11fnr85vsn!19sChIJA95JDfxNei4RZ9gV-pcrPEs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Playen/@-7.9451691,110.5812939,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a4dfc0d49de03:0x4b3c2b97fa15d867!8m2!3d-7.9451691!4d110.5812939!16s%2Fg%2F11fnr85vsn?authuser=0&hl=id&entry=ttu","110.5812939","-7.9451691","Plus Codes","3H3J+WG Logandeng, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta"
