"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express TOBELO",2.3,79,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+TOBELO/data=!4m7!3m6!1s0x329a604babe86ea9:0xc99f3dcbc17a8284!8m2!3d1.7328649!4d128.0091729!16s%2Fg%2F11c6t99rp4!19sChIJqW7oq0tgmjIRhIJ6wcs9n8k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+TOBELO/@1.7328649,128.0091729,17z/data=!3m1!4b1!4m6!3m5!1s0x329a604babe86ea9:0xc99f3dcbc17a8284!8m2!3d1.7328649!4d128.0091729!16s%2Fg%2F11c6t99rp4?authuser=0&hl=id&entry=ttu","128.0091729","1.7328649","Alamat","Jl. PDAM, Gosoma, Kec. Tobelo, Kabupaten Halmahera Utara, Maluku Utara"
"J&T Express TOBELO",2.3,79,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+TOBELO/data=!4m7!3m6!1s0x329a604babe86ea9:0xc99f3dcbc17a8284!8m2!3d1.7328649!4d128.0091729!16s%2Fg%2F11c6t99rp4!19sChIJqW7oq0tgmjIRhIJ6wcs9n8k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+TOBELO/@1.7328649,128.0091729,17z/data=!3m1!4b1!4m6!3m5!1s0x329a604babe86ea9:0xc99f3dcbc17a8284!8m2!3d1.7328649!4d128.0091729!16s%2Fg%2F11c6t99rp4?authuser=0&hl=id&entry=ttu","128.0091729","1.7328649","Situs Web","jet.co.id"
"J&T Express TOBELO",2.3,79,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+TOBELO/data=!4m7!3m6!1s0x329a604babe86ea9:0xc99f3dcbc17a8284!8m2!3d1.7328649!4d128.0091729!16s%2Fg%2F11c6t99rp4!19sChIJqW7oq0tgmjIRhIJ6wcs9n8k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+TOBELO/@1.7328649,128.0091729,17z/data=!3m1!4b1!4m6!3m5!1s0x329a604babe86ea9:0xc99f3dcbc17a8284!8m2!3d1.7328649!4d128.0091729!16s%2Fg%2F11c6t99rp4?authuser=0&hl=id&entry=ttu","128.0091729","1.7328649","Telepon","0813-4397-7595"
"J&T Express TOBELO",2.3,79,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+TOBELO/data=!4m7!3m6!1s0x329a604babe86ea9:0xc99f3dcbc17a8284!8m2!3d1.7328649!4d128.0091729!16s%2Fg%2F11c6t99rp4!19sChIJqW7oq0tgmjIRhIJ6wcs9n8k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+TOBELO/@1.7328649,128.0091729,17z/data=!3m1!4b1!4m6!3m5!1s0x329a604babe86ea9:0xc99f3dcbc17a8284!8m2!3d1.7328649!4d128.0091729!16s%2Fg%2F11c6t99rp4?authuser=0&hl=id&entry=ttu","128.0091729","1.7328649","Plus Codes","P2M5+4M Gosoma, Kabupaten Halmahera Utara, Maluku Utara"
"J&T Express MALIFUT",1.8,26,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/J%26T+Express+MALIFUT/data=!4m7!3m6!1s0x329b736c3e58e043:0x6ffd0afef58fde15!8m2!3d1.1585505!4d127.8323921!16s%2Fg%2F11rxhhnbgb!19sChIJQ-BYPmxzmzIRFd6P9f4K_W8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+MALIFUT/@1.1585505,127.8323921,17z/data=!3m1!4b1!4m6!3m5!1s0x329b736c3e58e043:0x6ffd0afef58fde15!8m2!3d1.1585505!4d127.8323921!16s%2Fg%2F11rxhhnbgb?authuser=0&hl=id&entry=ttu","127.8323921","1.1585505","Alamat","5R5J+CXC, JL, Tagono, Kec. Malifut, Kabupaten Halmahera Utara, Maluku Utara 97766"
"J&T Express MALIFUT",1.8,26,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/J%26T+Express+MALIFUT/data=!4m7!3m6!1s0x329b736c3e58e043:0x6ffd0afef58fde15!8m2!3d1.1585505!4d127.8323921!16s%2Fg%2F11rxhhnbgb!19sChIJQ-BYPmxzmzIRFd6P9f4K_W8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+MALIFUT/@1.1585505,127.8323921,17z/data=!3m1!4b1!4m6!3m5!1s0x329b736c3e58e043:0x6ffd0afef58fde15!8m2!3d1.1585505!4d127.8323921!16s%2Fg%2F11rxhhnbgb?authuser=0&hl=id&entry=ttu","127.8323921","1.1585505","Situs Web","jet.co.id"
"J&T Express MALIFUT",1.8,26,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/J%26T+Express+MALIFUT/data=!4m7!3m6!1s0x329b736c3e58e043:0x6ffd0afef58fde15!8m2!3d1.1585505!4d127.8323921!16s%2Fg%2F11rxhhnbgb!19sChIJQ-BYPmxzmzIRFd6P9f4K_W8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+MALIFUT/@1.1585505,127.8323921,17z/data=!3m1!4b1!4m6!3m5!1s0x329b736c3e58e043:0x6ffd0afef58fde15!8m2!3d1.1585505!4d127.8323921!16s%2Fg%2F11rxhhnbgb?authuser=0&hl=id&entry=ttu","127.8323921","1.1585505","Telepon","0812-9500-3646"
"JNT Tobelo",1.4,31,"unknown","https://www.google.com/maps/place/JNT+Tobelo/data=!4m7!3m6!1s0x329a617b94a3a8af:0x426cf4ee00b740e6!8m2!3d1.7317115!4d128.0096999!16s%2Fg%2F11qmp5nyq4!19sChIJr6ijlHthmjIR5kC3AO70bEI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+Tobelo/@1.7317115,128.0096999,17z/data=!3m1!4b1!4m6!3m5!1s0x329a617b94a3a8af:0x426cf4ee00b740e6!8m2!3d1.7317115!4d128.0096999!16s%2Fg%2F11qmp5nyq4?authuser=0&hl=id&entry=ttu","128.0096999","1.7317115","Alamat","P2J5+MVP, Jl. Kemakmuran, Gura, Kec. Tobelo, Kabupaten Halmahera Utara, Maluku Utara"
"J&T Express TBO03",4,1,"unknown","https://www.google.com/maps/place/J%26T+Express+TBO03/data=!4m7!3m6!1s0x329a610841eed0f1:0xfa168b39867fcc23!8m2!3d1.6985326!4d128.0063271!16s%2Fg%2F11sr5_48nr!19sChIJ8dDuQQhhmjIRI8x_hjmLFvo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+TBO03/@1.6985326,128.0063271,17z/data=!3m1!4b1!4m6!3m5!1s0x329a610841eed0f1:0xfa168b39867fcc23!8m2!3d1.6985326!4d128.0063271!16s%2Fg%2F11sr5_48nr?authuser=0&hl=id&entry=ttu","128.0063271","1.6985326","Alamat","M2X4+CG8, Wosia, Terminal baru, Kabupaten Halmahera Utara, Maluku Utara"
"JNT Tobelo II",1.5,10,"unknown","https://www.google.com/maps/place/JNT+Tobelo+II/data=!4m7!3m6!1s0x329a617181df9c1f:0xfbf213e2543d722d!8m2!3d1.699946!4d128.0066113!16s%2Fg%2F11sm8pmxqt!19sChIJH5zfgXFhmjIRLXI9VOIT8vs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+Tobelo+II/@1.699946,128.0066113,17z/data=!3m1!4b1!4m6!3m5!1s0x329a617181df9c1f:0xfbf213e2543d722d!8m2!3d1.699946!4d128.0066113!16s%2Fg%2F11sm8pmxqt?authuser=0&hl=id&entry=ttu","128.0066113","1.699946","Alamat","M2X4+FVC, Tj. Niara, Kec. Tobelo Tengah, Kabupaten Halmahera Utara, Maluku Utara"
