"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express Jayapura",2.5,435,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Jayapura/data=!4m7!3m6!1s0x686c58a5b3579fad:0x942db6488b6af7b7!8m2!3d-2.5721732!4d140.6927386!16s%2Fg%2F11c6f1c3jm!19sChIJrZ9Xs6VYbGgRt_dqi0i2LZQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Jayapura/@-2.5721732,140.6927386,17z/data=!3m1!4b1!4m6!3m5!1s0x686c58a5b3579fad:0x942db6488b6af7b7!8m2!3d-2.5721732!4d140.6927386!16s%2Fg%2F11c6f1c3jm?authuser=0&hl=id&entry=ttu","140.6927386","-2.5721732","Alamat","Jalan Raya Abepura, Entrop, Jayapura, Entrop, Distrik Jayapura Selatan, Kota Jayapura, Papua 99350"
"J&T Express Jayapura",2.5,435,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Jayapura/data=!4m7!3m6!1s0x686c58a5b3579fad:0x942db6488b6af7b7!8m2!3d-2.5721732!4d140.6927386!16s%2Fg%2F11c6f1c3jm!19sChIJrZ9Xs6VYbGgRt_dqi0i2LZQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Jayapura/@-2.5721732,140.6927386,17z/data=!3m1!4b1!4m6!3m5!1s0x686c58a5b3579fad:0x942db6488b6af7b7!8m2!3d-2.5721732!4d140.6927386!16s%2Fg%2F11c6f1c3jm?authuser=0&hl=id&entry=ttu","140.6927386","-2.5721732","Situs Web","jet.co.id"
"J&T Express Jayapura",2.5,435,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Jayapura/data=!4m7!3m6!1s0x686c58a5b3579fad:0x942db6488b6af7b7!8m2!3d-2.5721732!4d140.6927386!16s%2Fg%2F11c6f1c3jm!19sChIJrZ9Xs6VYbGgRt_dqi0i2LZQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Jayapura/@-2.5721732,140.6927386,17z/data=!3m1!4b1!4m6!3m5!1s0x686c58a5b3579fad:0x942db6488b6af7b7!8m2!3d-2.5721732!4d140.6927386!16s%2Fg%2F11c6f1c3jm?authuser=0&hl=id&entry=ttu","140.6927386","-2.5721732","Plus Codes","CMHV+43 Entrop, Kota Jayapura, Papua"
"J&T Express DP Jayapura_Utara",2.8,231,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Express+DP+Jayapura_Utara/data=!4m7!3m6!1s0x686c5837f3f93ee1:0xe123a10f2bd53862!8m2!3d-2.5377761!4d140.7108546!16s%2Fg%2F11hc_2dbvn!19sChIJ4T758zdYbGgRYjjVKw-hI-E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DP+Jayapura_Utara/@-2.5377761,140.7108546,17z/data=!3m1!4b1!4m6!3m5!1s0x686c5837f3f93ee1:0xe123a10f2bd53862!8m2!3d-2.5377761!4d140.7108546!16s%2Fg%2F11hc_2dbvn?authuser=0&hl=id&entry=ttu","140.7108546","-2.5377761","Alamat","Jl. Frans Kaisepo Ruko Dok 2 Blok C/22, Bayangkara, Kec. Jayapura Utara, Kota Jayapura, Papua 99112"
"J&T Express DP Jayapura_Utara",2.8,231,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Express+DP+Jayapura_Utara/data=!4m7!3m6!1s0x686c5837f3f93ee1:0xe123a10f2bd53862!8m2!3d-2.5377761!4d140.7108546!16s%2Fg%2F11hc_2dbvn!19sChIJ4T758zdYbGgRYjjVKw-hI-E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DP+Jayapura_Utara/@-2.5377761,140.7108546,17z/data=!3m1!4b1!4m6!3m5!1s0x686c5837f3f93ee1:0xe123a10f2bd53862!8m2!3d-2.5377761!4d140.7108546!16s%2Fg%2F11hc_2dbvn?authuser=0&hl=id&entry=ttu","140.7108546","-2.5377761","Situs Web","jet.co.id"
"J&T Express DP Jayapura_Utara",2.8,231,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Express+DP+Jayapura_Utara/data=!4m7!3m6!1s0x686c5837f3f93ee1:0xe123a10f2bd53862!8m2!3d-2.5377761!4d140.7108546!16s%2Fg%2F11hc_2dbvn!19sChIJ4T758zdYbGgRYjjVKw-hI-E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DP+Jayapura_Utara/@-2.5377761,140.7108546,17z/data=!3m1!4b1!4m6!3m5!1s0x686c5837f3f93ee1:0xe123a10f2bd53862!8m2!3d-2.5377761!4d140.7108546!16s%2Fg%2F11hc_2dbvn?authuser=0&hl=id&entry=ttu","140.7108546","-2.5377761","Telepon","(021) 80661888"
"J&T Express DP Jayapura_Utara",2.8,231,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Express+DP+Jayapura_Utara/data=!4m7!3m6!1s0x686c5837f3f93ee1:0xe123a10f2bd53862!8m2!3d-2.5377761!4d140.7108546!16s%2Fg%2F11hc_2dbvn!19sChIJ4T758zdYbGgRYjjVKw-hI-E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DP+Jayapura_Utara/@-2.5377761,140.7108546,17z/data=!3m1!4b1!4m6!3m5!1s0x686c5837f3f93ee1:0xe123a10f2bd53862!8m2!3d-2.5377761!4d140.7108546!16s%2Fg%2F11hc_2dbvn?authuser=0&hl=id&entry=ttu","140.7108546","-2.5377761","Plus Codes","FP66+V8 Bayangkara, Kota Jayapura, Papua"
"Jnt",1,7,"unknown","https://www.google.com/maps/place/Jnt/data=!4m7!3m6!1s0x686cf56e37ff5d87:0x1ccf90b11a258302!8m2!3d-2.5915361!4d140.6690326!16s%2Fg%2F11h915slr9!19sChIJh13_N271bGgRAoMlGrGQzxw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Jnt/@-2.5915361,140.6690326,17z/data=!3m1!4b1!4m6!3m5!1s0x686cf56e37ff5d87:0x1ccf90b11a258302!8m2!3d-2.5915361!4d140.6690326!16s%2Fg%2F11h915slr9?authuser=0&hl=id&entry=ttu","140.6690326","-2.5915361","Alamat","CM59+9JM, Vim, Kec. Abepura, Kota Jayapura, Papua 99224"
"J&T Express Abepura",2,51,"unknown","https://www.google.com/maps/place/J%26T+Express+Abepura/data=!4m7!3m6!1s0x686cf5abc8706d65:0xac78338fa405eefe!8m2!3d-2.606262!4d140.6748258!16s%2Fg%2F11rcfftt12!19sChIJZW1wyKv1bGgR_u4FpI8zeKw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Abepura/@-2.606262,140.6748258,17z/data=!3m1!4b1!4m6!3m5!1s0x686cf5abc8706d65:0xac78338fa405eefe!8m2!3d-2.606262!4d140.6748258!16s%2Fg%2F11rcfftt12?authuser=0&hl=id&entry=ttu","140.6748258","-2.606262","Alamat","Jl. Garuda Gg. Melati, Wai Mhorock, Kec. Abepura, Kota Jayapura, Papua 99225"
"J&T Express Abepura",2,51,"unknown","https://www.google.com/maps/place/J%26T+Express+Abepura/data=!4m7!3m6!1s0x686cf5abc8706d65:0xac78338fa405eefe!8m2!3d-2.606262!4d140.6748258!16s%2Fg%2F11rcfftt12!19sChIJZW1wyKv1bGgR_u4FpI8zeKw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Abepura/@-2.606262,140.6748258,17z/data=!3m1!4b1!4m6!3m5!1s0x686cf5abc8706d65:0xac78338fa405eefe!8m2!3d-2.606262!4d140.6748258!16s%2Fg%2F11rcfftt12?authuser=0&hl=id&entry=ttu","140.6748258","-2.606262","Plus Codes","9MVF+FW Wai Mhorock, Kota Jayapura, Papua"
