"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T KULONPROGO",3.7,167,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+KULONPROGO/data=!4m7!3m6!1s0x2e7afd4a40dd4525:0x35a05f44f3a661a0!8m2!3d-7.892167!4d110.1306438!16s%2Fg%2F11frncrjwr!19sChIJJUXdQEr9ei4RoGGm80RfoDU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+KULONPROGO/@-7.892167,110.1306438,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afd4a40dd4525:0x35a05f44f3a661a0!8m2!3d-7.892167!4d110.1306438!16s%2Fg%2F11frncrjwr?authuser=0&hl=id&entry=ttu","110.1306438","-7.892167","Alamat","Jl. KH. Wahid Hasyim No.19, Sanggrahan Kidul, Bendungan, Kec. Wates, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55651"
"J&T KULONPROGO",3.7,167,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+KULONPROGO/data=!4m7!3m6!1s0x2e7afd4a40dd4525:0x35a05f44f3a661a0!8m2!3d-7.892167!4d110.1306438!16s%2Fg%2F11frncrjwr!19sChIJJUXdQEr9ei4RoGGm80RfoDU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+KULONPROGO/@-7.892167,110.1306438,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afd4a40dd4525:0x35a05f44f3a661a0!8m2!3d-7.892167!4d110.1306438!16s%2Fg%2F11frncrjwr?authuser=0&hl=id&entry=ttu","110.1306438","-7.892167","Situs Web","jet.co.id"
"J&T KULONPROGO",3.7,167,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+KULONPROGO/data=!4m7!3m6!1s0x2e7afd4a40dd4525:0x35a05f44f3a661a0!8m2!3d-7.892167!4d110.1306438!16s%2Fg%2F11frncrjwr!19sChIJJUXdQEr9ei4RoGGm80RfoDU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+KULONPROGO/@-7.892167,110.1306438,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afd4a40dd4525:0x35a05f44f3a661a0!8m2!3d-7.892167!4d110.1306438!16s%2Fg%2F11frncrjwr?authuser=0&hl=id&entry=ttu","110.1306438","-7.892167","Telepon","0811-2937-821"
"J&T KULONPROGO",3.7,167,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+KULONPROGO/data=!4m7!3m6!1s0x2e7afd4a40dd4525:0x35a05f44f3a661a0!8m2!3d-7.892167!4d110.1306438!16s%2Fg%2F11frncrjwr!19sChIJJUXdQEr9ei4RoGGm80RfoDU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+KULONPROGO/@-7.892167,110.1306438,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afd4a40dd4525:0x35a05f44f3a661a0!8m2!3d-7.892167!4d110.1306438!16s%2Fg%2F11frncrjwr?authuser=0&hl=id&entry=ttu","110.1306438","-7.892167","Plus Codes","445J+47 Bendungan, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta"
"J&T EXPRESS WATES",3.9,352,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+EXPRESS+WATES/data=!4m7!3m6!1s0x2e7afb22703bbdc5:0x77ea2c14bfdf87c8!8m2!3d-7.8656424!4d110.1578593!16s%2Fg%2F11c748y7ss!19sChIJxb07cCL7ei4RyIffvxQs6nc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+WATES/@-7.8656424,110.1578593,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afb22703bbdc5:0x77ea2c14bfdf87c8!8m2!3d-7.8656424!4d110.1578593!16s%2Fg%2F11c748y7ss?authuser=0&hl=id&entry=ttu","110.1578593","-7.8656424","Alamat","Jl. Kolonel Sugiono No.12, Gadingan, Wates, Kec. Wates, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55652"
"J&T EXPRESS WATES",3.9,352,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+EXPRESS+WATES/data=!4m7!3m6!1s0x2e7afb22703bbdc5:0x77ea2c14bfdf87c8!8m2!3d-7.8656424!4d110.1578593!16s%2Fg%2F11c748y7ss!19sChIJxb07cCL7ei4RyIffvxQs6nc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+WATES/@-7.8656424,110.1578593,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afb22703bbdc5:0x77ea2c14bfdf87c8!8m2!3d-7.8656424!4d110.1578593!16s%2Fg%2F11c748y7ss?authuser=0&hl=id&entry=ttu","110.1578593","-7.8656424","Situs Web","jet.co.id"
"J&T EXPRESS WATES",3.9,352,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+EXPRESS+WATES/data=!4m7!3m6!1s0x2e7afb22703bbdc5:0x77ea2c14bfdf87c8!8m2!3d-7.8656424!4d110.1578593!16s%2Fg%2F11c748y7ss!19sChIJxb07cCL7ei4RyIffvxQs6nc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+WATES/@-7.8656424,110.1578593,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afb22703bbdc5:0x77ea2c14bfdf87c8!8m2!3d-7.8656424!4d110.1578593!16s%2Fg%2F11c748y7ss?authuser=0&hl=id&entry=ttu","110.1578593","-7.8656424","Telepon","(0274) 2890867"
"J&T EXPRESS WATES",3.9,352,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+EXPRESS+WATES/data=!4m7!3m6!1s0x2e7afb22703bbdc5:0x77ea2c14bfdf87c8!8m2!3d-7.8656424!4d110.1578593!16s%2Fg%2F11c748y7ss!19sChIJxb07cCL7ei4RyIffvxQs6nc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+WATES/@-7.8656424,110.1578593,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afb22703bbdc5:0x77ea2c14bfdf87c8!8m2!3d-7.8656424!4d110.1578593!16s%2Fg%2F11c748y7ss?authuser=0&hl=id&entry=ttu","110.1578593","-7.8656424","Plus Codes","45M5+P4 Wates, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta"
"J&T Cargo Kulon Progo",4.7,17,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/J%26T+Cargo+Kulon+Progo/data=!4m7!3m6!1s0x2e7afd9355d1abf9:0x9cb2c04585594c99!8m2!3d-7.8948586!4d110.1481416!16s%2Fg%2F11rhss8yyd!19sChIJ-avRVZP9ei4RmUxZhUXAspw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Kulon+Progo/@-7.8948586,110.1481416,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afd9355d1abf9:0x9cb2c04585594c99!8m2!3d-7.8948586!4d110.1481416!16s%2Fg%2F11rhss8yyd?authuser=0&hl=id&entry=ttu","110.1481416","-7.8948586","Alamat","Jl. KH. Wahid Hasyim No.19, Klopo Sepuluh, Bendungan, Kec. Wates, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55651"
"J&T Cargo Kulon Progo",4.7,17,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/J%26T+Cargo+Kulon+Progo/data=!4m7!3m6!1s0x2e7afd9355d1abf9:0x9cb2c04585594c99!8m2!3d-7.8948586!4d110.1481416!16s%2Fg%2F11rhss8yyd!19sChIJ-avRVZP9ei4RmUxZhUXAspw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Kulon+Progo/@-7.8948586,110.1481416,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afd9355d1abf9:0x9cb2c04585594c99!8m2!3d-7.8948586!4d110.1481416!16s%2Fg%2F11rhss8yyd?authuser=0&hl=id&entry=ttu","110.1481416","-7.8948586","Telepon","0812-2847-9949"
"J&T Cargo Kulon Progo",4.7,17,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/J%26T+Cargo+Kulon+Progo/data=!4m7!3m6!1s0x2e7afd9355d1abf9:0x9cb2c04585594c99!8m2!3d-7.8948586!4d110.1481416!16s%2Fg%2F11rhss8yyd!19sChIJ-avRVZP9ei4RmUxZhUXAspw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Kulon+Progo/@-7.8948586,110.1481416,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afd9355d1abf9:0x9cb2c04585594c99!8m2!3d-7.8948586!4d110.1481416!16s%2Fg%2F11rhss8yyd?authuser=0&hl=id&entry=ttu","110.1481416","-7.8948586","Plus Codes","444X+37 Bendungan, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta"
"J&T Express Sentolo",4.4,160,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Sentolo/data=!4m7!3m6!1s0x2e7afa3ccf0f51cb:0x3102492fdc44ab6b!8m2!3d-7.8405025!4d110.2192919!16s%2Fg%2F11dxr1vwc_!19sChIJy1EPzzz6ei4Ra6tE3C9JAjE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Sentolo/@-7.8405025,110.2192919,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afa3ccf0f51cb:0x3102492fdc44ab6b!8m2!3d-7.8405025!4d110.2192919!16s%2Fg%2F11dxr1vwc_?authuser=0&hl=id&entry=ttu","110.2192919","-7.8405025","Alamat","Jl. Nasional III, Kali Bondol, Kec. Sentolo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55664"
"J&T Express Sentolo",4.4,160,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Sentolo/data=!4m7!3m6!1s0x2e7afa3ccf0f51cb:0x3102492fdc44ab6b!8m2!3d-7.8405025!4d110.2192919!16s%2Fg%2F11dxr1vwc_!19sChIJy1EPzzz6ei4Ra6tE3C9JAjE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Sentolo/@-7.8405025,110.2192919,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afa3ccf0f51cb:0x3102492fdc44ab6b!8m2!3d-7.8405025!4d110.2192919!16s%2Fg%2F11dxr1vwc_?authuser=0&hl=id&entry=ttu","110.2192919","-7.8405025","Situs Web","business.site"
"J&T Express Sentolo",4.4,160,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Sentolo/data=!4m7!3m6!1s0x2e7afa3ccf0f51cb:0x3102492fdc44ab6b!8m2!3d-7.8405025!4d110.2192919!16s%2Fg%2F11dxr1vwc_!19sChIJy1EPzzz6ei4Ra6tE3C9JAjE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Sentolo/@-7.8405025,110.2192919,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afa3ccf0f51cb:0x3102492fdc44ab6b!8m2!3d-7.8405025!4d110.2192919!16s%2Fg%2F11dxr1vwc_?authuser=0&hl=id&entry=ttu","110.2192919","-7.8405025","Plus Codes","5659+QP Kali Bondol, Sentolo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta"
"J&T Express CP Bumirejo",4.4,22,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/J%26T+Express+CP+Bumirejo/data=!4m7!3m6!1s0x2e7afd0d91829461:0x344fbf99d8a3a5d3!8m2!3d-7.9042287!4d110.2022414!16s%2Fg%2F11f9frgvg5!19sChIJYZSCkQ39ei4R06Wj2Jm_TzQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+CP+Bumirejo/@-7.9042287,110.2022414,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afd0d91829461:0x344fbf99d8a3a5d3!8m2!3d-7.9042287!4d110.2022414!16s%2Fg%2F11f9frgvg5?authuser=0&hl=id&entry=ttu","110.2022414","-7.9042287","Alamat","Jl. Sentolo - Brosot, Carikan, Bumirejo, Kec. Lendah, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55663"
"J&T Express CP Bumirejo",4.4,22,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/J%26T+Express+CP+Bumirejo/data=!4m7!3m6!1s0x2e7afd0d91829461:0x344fbf99d8a3a5d3!8m2!3d-7.9042287!4d110.2022414!16s%2Fg%2F11f9frgvg5!19sChIJYZSCkQ39ei4R06Wj2Jm_TzQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+CP+Bumirejo/@-7.9042287,110.2022414,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afd0d91829461:0x344fbf99d8a3a5d3!8m2!3d-7.9042287!4d110.2022414!16s%2Fg%2F11f9frgvg5?authuser=0&hl=id&entry=ttu","110.2022414","-7.9042287","Telepon","0888-0273-3819"
"J&T Express CP Bumirejo",4.4,22,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/J%26T+Express+CP+Bumirejo/data=!4m7!3m6!1s0x2e7afd0d91829461:0x344fbf99d8a3a5d3!8m2!3d-7.9042287!4d110.2022414!16s%2Fg%2F11f9frgvg5!19sChIJYZSCkQ39ei4R06Wj2Jm_TzQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+CP+Bumirejo/@-7.9042287,110.2022414,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afd0d91829461:0x344fbf99d8a3a5d3!8m2!3d-7.9042287!4d110.2022414!16s%2Fg%2F11f9frgvg5?authuser=0&hl=id&entry=ttu","110.2022414","-7.9042287","Plus Codes","36W2+8V Bumirejo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta"
"JNT CARGO KULONPROGO",4.9,123,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/JNT+CARGO+KULONPROGO/data=!4m7!3m6!1s0x2e7afbca153a98eb:0xbbd432fb6d0af89a!8m2!3d-7.8361665!4d110.1681101!16s%2Fg%2F11sgkz5595!19sChIJ65g6Fcr7ei4RmvgKbfsy1Ls?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+CARGO+KULONPROGO/@-7.8361665,110.1681101,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afbca153a98eb:0xbbd432fb6d0af89a!8m2!3d-7.8361665!4d110.1681101!16s%2Fg%2F11sgkz5595?authuser=0&hl=id&entry=ttu","110.1681101","-7.8361665","Alamat","Jl. Pengasih - Sentolo, Serang, Sendangsari, Kec. Pengasih, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta"
"JNT CARGO KULONPROGO",4.9,123,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/JNT+CARGO+KULONPROGO/data=!4m7!3m6!1s0x2e7afbca153a98eb:0xbbd432fb6d0af89a!8m2!3d-7.8361665!4d110.1681101!16s%2Fg%2F11sgkz5595!19sChIJ65g6Fcr7ei4RmvgKbfsy1Ls?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+CARGO+KULONPROGO/@-7.8361665,110.1681101,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afbca153a98eb:0xbbd432fb6d0af89a!8m2!3d-7.8361665!4d110.1681101!16s%2Fg%2F11sgkz5595?authuser=0&hl=id&entry=ttu","110.1681101","-7.8361665","Telepon","0812-2277-8833"
"JNT CARGO KULONPROGO",4.9,123,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/JNT+CARGO+KULONPROGO/data=!4m7!3m6!1s0x2e7afbca153a98eb:0xbbd432fb6d0af89a!8m2!3d-7.8361665!4d110.1681101!16s%2Fg%2F11sgkz5595!19sChIJ65g6Fcr7ei4RmvgKbfsy1Ls?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+CARGO+KULONPROGO/@-7.8361665,110.1681101,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afbca153a98eb:0xbbd432fb6d0af89a!8m2!3d-7.8361665!4d110.1681101!16s%2Fg%2F11sgkz5595?authuser=0&hl=id&entry=ttu","110.1681101","-7.8361665","Plus Codes","5579+G6 Sendangsari, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta"
"J&T EXPRESS NANGGULAN ( DROP POINT )",3.7,31,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+EXPRESS+NANGGULAN+%28+DROP+POINT+%29/data=!4m7!3m6!1s0x2e7af102f81a1aad:0x981e34099081fb8d!8m2!3d-7.7715933!4d110.2100602!16s%2Fg%2F11n1mp3f_w!19sChIJrRoa-ALxei4RjfuBkAk0Hpg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+NANGGULAN+(+DROP+POINT+)/@-7.7715933,110.2100602,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7af102f81a1aad:0x981e34099081fb8d!8m2!3d-7.7715933!4d110.2100602!16s%2Fg%2F11n1mp3f_w?authuser=0&hl=id&entry=ttu","110.2100602","-7.7715933","Alamat","Jl. Sentolo Nanggulan, Janti 11, Jati Sarono, Kec. Nanggulan, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55671"
"J&T EXPRESS NANGGULAN ( DROP POINT )",3.7,31,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+EXPRESS+NANGGULAN+%28+DROP+POINT+%29/data=!4m7!3m6!1s0x2e7af102f81a1aad:0x981e34099081fb8d!8m2!3d-7.7715933!4d110.2100602!16s%2Fg%2F11n1mp3f_w!19sChIJrRoa-ALxei4RjfuBkAk0Hpg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+NANGGULAN+(+DROP+POINT+)/@-7.7715933,110.2100602,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7af102f81a1aad:0x981e34099081fb8d!8m2!3d-7.7715933!4d110.2100602!16s%2Fg%2F11n1mp3f_w?authuser=0&hl=id&entry=ttu","110.2100602","-7.7715933","Situs Web","jet.co.id"
"J&T EXPRESS NANGGULAN ( DROP POINT )",3.7,31,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+EXPRESS+NANGGULAN+%28+DROP+POINT+%29/data=!4m7!3m6!1s0x2e7af102f81a1aad:0x981e34099081fb8d!8m2!3d-7.7715933!4d110.2100602!16s%2Fg%2F11n1mp3f_w!19sChIJrRoa-ALxei4RjfuBkAk0Hpg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+NANGGULAN+(+DROP+POINT+)/@-7.7715933,110.2100602,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7af102f81a1aad:0x981e34099081fb8d!8m2!3d-7.7715933!4d110.2100602!16s%2Fg%2F11n1mp3f_w?authuser=0&hl=id&entry=ttu","110.2100602","-7.7715933","Telepon","(0274) 2821932"
"J&T EXPRESS NANGGULAN ( DROP POINT )",3.7,31,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+EXPRESS+NANGGULAN+%28+DROP+POINT+%29/data=!4m7!3m6!1s0x2e7af102f81a1aad:0x981e34099081fb8d!8m2!3d-7.7715933!4d110.2100602!16s%2Fg%2F11n1mp3f_w!19sChIJrRoa-ALxei4RjfuBkAk0Hpg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+NANGGULAN+(+DROP+POINT+)/@-7.7715933,110.2100602,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7af102f81a1aad:0x981e34099081fb8d!8m2!3d-7.7715933!4d110.2100602!16s%2Fg%2F11n1mp3f_w?authuser=0&hl=id&entry=ttu","110.2100602","-7.7715933","Plus Codes","66H6+92 Jati Sarono, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta"
"Jnt Express Sentolo Kulon Progo",3,9,"unknown","https://www.google.com/maps/place/Jnt+Express+Sentolo+Kulon+Progo/data=!4m7!3m6!1s0x2e7afa3ccee8ca6d:0x3ea039a1fa2f81a8!8m2!3d-7.8257977!4d110.2264889!16s%2Fg%2F11f158qc58!19sChIJbcrozjz6ei4RqIEv-qE5oD4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Jnt+Express+Sentolo+Kulon+Progo/@-7.8257977,110.2264889,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afa3ccee8ca6d:0x3ea039a1fa2f81a8!8m2!3d-7.8257977!4d110.2264889!16s%2Fg%2F11f158qc58?authuser=0&hl=id&entry=ttu","110.2264889","-7.8257977","Alamat","Jl. Wates No.km 16, pongangan, ngeplang, Kec. Sentolo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55664"
"Jnt Express Sentolo Kulon Progo",3,9,"unknown","https://www.google.com/maps/place/Jnt+Express+Sentolo+Kulon+Progo/data=!4m7!3m6!1s0x2e7afa3ccee8ca6d:0x3ea039a1fa2f81a8!8m2!3d-7.8257977!4d110.2264889!16s%2Fg%2F11f158qc58!19sChIJbcrozjz6ei4RqIEv-qE5oD4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Jnt+Express+Sentolo+Kulon+Progo/@-7.8257977,110.2264889,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afa3ccee8ca6d:0x3ea039a1fa2f81a8!8m2!3d-7.8257977!4d110.2264889!16s%2Fg%2F11f158qc58?authuser=0&hl=id&entry=ttu","110.2264889","-7.8257977","Plus Codes","56FG+MH Sentolo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta"
"J&T Cargo Wates KLP003B",4.8,8,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Cargo+Wates+KLP003B/data=!4m7!3m6!1s0x2e7afb488e1e4d77:0xd6e91fb20c9ad73!8m2!3d-7.8599227!4d110.153795!16s%2Fg%2F11s49xd32d!19sChIJd00ejkj7ei4Rc63JIPuRbg0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Wates+KLP003B/@-7.8599227,110.153795,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afb488e1e4d77:0xd6e91fb20c9ad73!8m2!3d-7.8599227!4d110.153795!16s%2Fg%2F11s49xd32d?authuser=0&hl=id&entry=ttu","110.153795","-7.8599227","Alamat","Jl. Tentara Pelajar, Area Sawah, Beji, Kec. Wates, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55651"
"J&T Cargo Wates KLP003B",4.8,8,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Cargo+Wates+KLP003B/data=!4m7!3m6!1s0x2e7afb488e1e4d77:0xd6e91fb20c9ad73!8m2!3d-7.8599227!4d110.153795!16s%2Fg%2F11s49xd32d!19sChIJd00ejkj7ei4Rc63JIPuRbg0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Wates+KLP003B/@-7.8599227,110.153795,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afb488e1e4d77:0xd6e91fb20c9ad73!8m2!3d-7.8599227!4d110.153795!16s%2Fg%2F11s49xd32d?authuser=0&hl=id&entry=ttu","110.153795","-7.8599227","Telepon","0895-2530-5855"
"J&T Cargo Wates KLP003B",4.8,8,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Cargo+Wates+KLP003B/data=!4m7!3m6!1s0x2e7afb488e1e4d77:0xd6e91fb20c9ad73!8m2!3d-7.8599227!4d110.153795!16s%2Fg%2F11s49xd32d!19sChIJd00ejkj7ei4Rc63JIPuRbg0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Wates+KLP003B/@-7.8599227,110.153795,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afb488e1e4d77:0xd6e91fb20c9ad73!8m2!3d-7.8599227!4d110.153795!16s%2Fg%2F11s49xd32d?authuser=0&hl=id&entry=ttu","110.153795","-7.8599227","Plus Codes","45R3+2G Area Sawah, Wates, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta"
"JNT EXPRESS PENGASIH",5,2,"Tutup ⋅ Buka pukul 12.00","https://www.google.com/maps/place/JNT+EXPRESS+PENGASIH/data=!4m7!3m6!1s0x2e7afb0ef6de8067:0xd062a19969578684!8m2!3d-7.8524861!4d110.1722852!16s%2Fg%2F11kpg225tx!19sChIJZ4De9g77ei4RhIZXaZmhYtA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+EXPRESS+PENGASIH/@-7.8524861,110.1722852,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afb0ef6de8067:0xd062a19969578684!8m2!3d-7.8524861!4d110.1722852!16s%2Fg%2F11kpg225tx?authuser=0&hl=id&entry=ttu","110.1722852","-7.8524861","Alamat","45XC+2W3, Karang Tengah Kidul, Margosari, Kec. Pengasih, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55652"
"JNT EXPRESS PENGASIH",5,2,"Tutup ⋅ Buka pukul 12.00","https://www.google.com/maps/place/JNT+EXPRESS+PENGASIH/data=!4m7!3m6!1s0x2e7afb0ef6de8067:0xd062a19969578684!8m2!3d-7.8524861!4d110.1722852!16s%2Fg%2F11kpg225tx!19sChIJZ4De9g77ei4RhIZXaZmhYtA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+EXPRESS+PENGASIH/@-7.8524861,110.1722852,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afb0ef6de8067:0xd062a19969578684!8m2!3d-7.8524861!4d110.1722852!16s%2Fg%2F11kpg225tx?authuser=0&hl=id&entry=ttu","110.1722852","-7.8524861","Telepon","0813-9330-3217"
