"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express KUPANG",2.3,201,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Express+KUPANG/data=!4m7!3m6!1s0x2c569d41803099f3:0xe668d56cbceaf371!8m2!3d-10.1569195!4d123.6085874!16s%2Fg%2F11rwwsrl2x!19sChIJ85kwgEGdViwRcfPqvGzVaOY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+KUPANG/@-10.1569195,123.6085874,17z/data=!3m1!4b1!4m6!3m5!1s0x2c569d41803099f3:0xe668d56cbceaf371!8m2!3d-10.1569195!4d123.6085874!16s%2Fg%2F11rwwsrl2x?authuser=0&hl=id&entry=ttu","123.6085874","-10.1569195","Alamat","RJV5+6CP, Fatululi, Kec. Oebobo, Kota Kupang, Nusa Tenggara Tim."
"JNT Express",2.6,72,"unknown","https://www.google.com/maps/place/JNT+Express/data=!4m7!3m6!1s0x2c568307fa717d27:0xf4b8cfdbe7682f70!8m2!3d-10.1409432!4d123.6618707!16s%2Fg%2F11hcw74b43!19sChIJJ31x-geDViwRcC9o59vPuPQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+Express/@-10.1409432,123.6618707,17z/data=!3m1!4b1!4m6!3m5!1s0x2c568307fa717d27:0xf4b8cfdbe7682f70!8m2!3d-10.1409432!4d123.6618707!16s%2Fg%2F11hcw74b43?authuser=0&hl=id&entry=ttu","123.6618707","-10.1409432","Alamat","VM56+JPH, Oesapa, Kec. Klp. Lima, Kota Kupang, Nusa Tenggara Tim."
"J&T EXPRESS KELAPA LIMA",2.3,67,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+EXPRESS+KELAPA+LIMA/data=!4m7!3m6!1s0x2c56835d00e69c31:0xdc64b428155f8c8b!8m2!3d-10.1533824!4d123.632764!16s%2Fg%2F11fk4p1ytc!19sChIJMZzmAF2DViwRi4xfFSi0ZNw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+KELAPA+LIMA/@-10.1533824,123.632764,17z/data=!3m1!4b1!4m6!3m5!1s0x2c56835d00e69c31:0xdc64b428155f8c8b!8m2!3d-10.1533824!4d123.632764!16s%2Fg%2F11fk4p1ytc?authuser=0&hl=id&entry=ttu","123.632764","-10.1533824","Alamat","Jl. Sam Ratulangi 5 No.9b, Oesapa Bar., Kec. Klp. Lima, Kota Kupang, Nusa Tenggara Tim. 85228"
"J&T EXPRESS KELAPA LIMA",2.3,67,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+EXPRESS+KELAPA+LIMA/data=!4m7!3m6!1s0x2c56835d00e69c31:0xdc64b428155f8c8b!8m2!3d-10.1533824!4d123.632764!16s%2Fg%2F11fk4p1ytc!19sChIJMZzmAF2DViwRi4xfFSi0ZNw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+KELAPA+LIMA/@-10.1533824,123.632764,17z/data=!3m1!4b1!4m6!3m5!1s0x2c56835d00e69c31:0xdc64b428155f8c8b!8m2!3d-10.1533824!4d123.632764!16s%2Fg%2F11fk4p1ytc?authuser=0&hl=id&entry=ttu","123.632764","-10.1533824","Plus Codes","RJWM+J4 Oesapa Bar., Kota Kupang, Nusa Tenggara Tim."
"J&T CARGO KUPANG - OEBUFU",3.6,22,"Buka ⋅ Tutup pukul 19.00","https://www.google.com/maps/place/J%26T+CARGO+KUPANG+-+OEBUFU/data=!4m7!3m6!1s0x2c5685cdaefe641f:0x1ccb61b69a8a6d4b!8m2!3d-10.1750065!4d123.6202133!16s%2Fg%2F11rh_47j70!19sChIJH2T-rs2FViwRS22KmrZhyxw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+KUPANG+-+OEBUFU/@-10.1750065,123.6202133,17z/data=!3m1!4b1!4m6!3m5!1s0x2c5685cdaefe641f:0x1ccb61b69a8a6d4b!8m2!3d-10.1750065!4d123.6202133!16s%2Fg%2F11rh_47j70?authuser=0&hl=id&entry=ttu","123.6202133","-10.1750065","Alamat","Jl. W.J. Lalamentik No.117, Oebufu, Kec. Oebobo, Kota Kupang, Nusa Tenggara Tim. 85228"
"J&T CARGO KUPANG - OEBUFU",3.6,22,"Buka ⋅ Tutup pukul 19.00","https://www.google.com/maps/place/J%26T+CARGO+KUPANG+-+OEBUFU/data=!4m7!3m6!1s0x2c5685cdaefe641f:0x1ccb61b69a8a6d4b!8m2!3d-10.1750065!4d123.6202133!16s%2Fg%2F11rh_47j70!19sChIJH2T-rs2FViwRS22KmrZhyxw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+KUPANG+-+OEBUFU/@-10.1750065,123.6202133,17z/data=!3m1!4b1!4m6!3m5!1s0x2c5685cdaefe641f:0x1ccb61b69a8a6d4b!8m2!3d-10.1750065!4d123.6202133!16s%2Fg%2F11rh_47j70?authuser=0&hl=id&entry=ttu","123.6202133","-10.1750065","Telepon","0812-2828-9586"
"J&T CARGO KUPANG - OEBUFU",3.6,22,"Buka ⋅ Tutup pukul 19.00","https://www.google.com/maps/place/J%26T+CARGO+KUPANG+-+OEBUFU/data=!4m7!3m6!1s0x2c5685cdaefe641f:0x1ccb61b69a8a6d4b!8m2!3d-10.1750065!4d123.6202133!16s%2Fg%2F11rh_47j70!19sChIJH2T-rs2FViwRS22KmrZhyxw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+KUPANG+-+OEBUFU/@-10.1750065,123.6202133,17z/data=!3m1!4b1!4m6!3m5!1s0x2c5685cdaefe641f:0x1ccb61b69a8a6d4b!8m2!3d-10.1750065!4d123.6202133!16s%2Fg%2F11rh_47j70?authuser=0&hl=id&entry=ttu","123.6202133","-10.1750065","Plus Codes","RJFC+X3 Oebufu, Kota Kupang, Nusa Tenggara Tim."
"J&T Express Mayjend Sungkono",4.6,43,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Mayjend+Sungkono/data=!4m7!3m6!1s0x2dd7fd7e11f8f4dd:0x5412aacae3d558a7!8m2!3d-7.2843832!4d112.7150525!16s%2Fg%2F11qnqs8v9z!19sChIJ3fT4EX791y0Rp1jV48qqElQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Mayjend+Sungkono/@-7.2843832,112.7150525,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7fd7e11f8f4dd:0x5412aacae3d558a7!8m2!3d-7.2843832!4d112.7150525!16s%2Fg%2F11qnqs8v9z?authuser=0&hl=id&entry=ttu","112.7150525","-7.2843832","Alamat","JL. Dukuh kupang barat 121 RT/RW 004/08, Kelurahan, Dukuh Kupang, Dukuhpakis, Surabaya, East Java 60189"
"J&T Express Mayjend Sungkono",4.6,43,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Mayjend+Sungkono/data=!4m7!3m6!1s0x2dd7fd7e11f8f4dd:0x5412aacae3d558a7!8m2!3d-7.2843832!4d112.7150525!16s%2Fg%2F11qnqs8v9z!19sChIJ3fT4EX791y0Rp1jV48qqElQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Mayjend+Sungkono/@-7.2843832,112.7150525,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7fd7e11f8f4dd:0x5412aacae3d558a7!8m2!3d-7.2843832!4d112.7150525!16s%2Fg%2F11qnqs8v9z?authuser=0&hl=id&entry=ttu","112.7150525","-7.2843832","Situs Web","jet.co.id"
"J&T Express Mayjend Sungkono",4.6,43,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Mayjend+Sungkono/data=!4m7!3m6!1s0x2dd7fd7e11f8f4dd:0x5412aacae3d558a7!8m2!3d-7.2843832!4d112.7150525!16s%2Fg%2F11qnqs8v9z!19sChIJ3fT4EX791y0Rp1jV48qqElQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Mayjend+Sungkono/@-7.2843832,112.7150525,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7fd7e11f8f4dd:0x5412aacae3d558a7!8m2!3d-7.2843832!4d112.7150525!16s%2Fg%2F11qnqs8v9z?authuser=0&hl=id&entry=ttu","112.7150525","-7.2843832","Telepon","(031) 99014666"
