"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Ledong Barat",1.6,129,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Ledong+Barat/data=!4m7!3m6!1s0x3032718245db3d23:0xf97e480d54ae16a2!8m2!3d2.5858548!4d99.652301!16s%2Fg%2F11f62fw42r!19sChIJIz3bRYJxMjARohauVA1Ifvk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Ledong+Barat/@2.5858548,99.652301,17z/data=!3m1!4b1!4m6!3m5!1s0x3032718245db3d23:0xf97e480d54ae16a2!8m2!3d2.5858548!4d99.652301!16s%2Fg%2F11f62fw42r?authuser=0&hl=id&entry=ttu","99.652301","2.5858548","Alamat","JLN. MAYOR SIDIK NO. 11 KUALA HULU, Aek Kanopan, KAB, Kabupaten Labuhanbatu Utara, Sumatera Utara 21273"
"J&T Ledong Barat",1.6,129,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Ledong+Barat/data=!4m7!3m6!1s0x3032718245db3d23:0xf97e480d54ae16a2!8m2!3d2.5858548!4d99.652301!16s%2Fg%2F11f62fw42r!19sChIJIz3bRYJxMjARohauVA1Ifvk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Ledong+Barat/@2.5858548,99.652301,17z/data=!3m1!4b1!4m6!3m5!1s0x3032718245db3d23:0xf97e480d54ae16a2!8m2!3d2.5858548!4d99.652301!16s%2Fg%2F11f62fw42r?authuser=0&hl=id&entry=ttu","99.652301","2.5858548","Situs Web","jet.co.id"
"J&T Ledong Barat",1.6,129,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Ledong+Barat/data=!4m7!3m6!1s0x3032718245db3d23:0xf97e480d54ae16a2!8m2!3d2.5858548!4d99.652301!16s%2Fg%2F11f62fw42r!19sChIJIz3bRYJxMjARohauVA1Ifvk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Ledong+Barat/@2.5858548,99.652301,17z/data=!3m1!4b1!4m6!3m5!1s0x3032718245db3d23:0xf97e480d54ae16a2!8m2!3d2.5858548!4d99.652301!16s%2Fg%2F11f62fw42r?authuser=0&hl=id&entry=ttu","99.652301","2.5858548","Telepon","0812-4766-3594"
"J&T Ledong Barat",1.6,129,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Ledong+Barat/data=!4m7!3m6!1s0x3032718245db3d23:0xf97e480d54ae16a2!8m2!3d2.5858548!4d99.652301!16s%2Fg%2F11f62fw42r!19sChIJIz3bRYJxMjARohauVA1Ifvk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Ledong+Barat/@2.5858548,99.652301,17z/data=!3m1!4b1!4m6!3m5!1s0x3032718245db3d23:0xf97e480d54ae16a2!8m2!3d2.5858548!4d99.652301!16s%2Fg%2F11f62fw42r?authuser=0&hl=id&entry=ttu","99.652301","2.5858548","Plus Codes","HMP2+8W Aek Kanopan, Kabupaten Labuhanbatu Utara, Sumatera Utara"
"J&T COLLECTION POINT",2,4,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+COLLECTION+POINT/data=!4m7!3m6!1s0x302da1ba7eb53d97:0xd922014c997a6202!8m2!3d2.113023!4d99.8150874!16s%2Fg%2F11lfp_4ft8!19sChIJlz21frqhLTARAmJ6mUwBItk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+COLLECTION+POINT/@2.113023,99.8150874,17z/data=!3m1!4b1!4m6!3m5!1s0x302da1ba7eb53d97:0xd922014c997a6202!8m2!3d2.113023!4d99.8150874!16s%2Fg%2F11lfp_4ft8?authuser=0&hl=id&entry=ttu","99.8150874","2.113023","Alamat","Jl. Lintas Sumatra No.3a, Padang Matingi, Kec. Rantau Utara, Kab. Labuhanbatu, Sumatera Utara 21411"
"J&T COLLECTION POINT",2,4,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+COLLECTION+POINT/data=!4m7!3m6!1s0x302da1ba7eb53d97:0xd922014c997a6202!8m2!3d2.113023!4d99.8150874!16s%2Fg%2F11lfp_4ft8!19sChIJlz21frqhLTARAmJ6mUwBItk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+COLLECTION+POINT/@2.113023,99.8150874,17z/data=!3m1!4b1!4m6!3m5!1s0x302da1ba7eb53d97:0xd922014c997a6202!8m2!3d2.113023!4d99.8150874!16s%2Fg%2F11lfp_4ft8?authuser=0&hl=id&entry=ttu","99.8150874","2.113023","Telepon","0812-7352-9664"
"J&T COLLECTION POINT",2,4,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+COLLECTION+POINT/data=!4m7!3m6!1s0x302da1ba7eb53d97:0xd922014c997a6202!8m2!3d2.113023!4d99.8150874!16s%2Fg%2F11lfp_4ft8!19sChIJlz21frqhLTARAmJ6mUwBItk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+COLLECTION+POINT/@2.113023,99.8150874,17z/data=!3m1!4b1!4m6!3m5!1s0x302da1ba7eb53d97:0xd922014c997a6202!8m2!3d2.113023!4d99.8150874!16s%2Fg%2F11lfp_4ft8?authuser=0&hl=id&entry=ttu","99.8150874","2.113023","Plus Codes","4R78+62 Padang Matingi, Kab. Labuhanbatu, Sumatera Utara"
"J&T Express Sungai Kanan",3.9,9,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Sungai+Kanan/data=!4m7!3m6!1s0x302cf935c3bfe917:0x2db6315b628a5e82!8m2!3d1.7203313!4d99.9285913!16s%2Fg%2F11lsz29jnw!19sChIJF-m_wzX5LDARgl6KYlsxti0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Sungai+Kanan/@1.7203313,99.9285913,17z/data=!3m1!4b1!4m6!3m5!1s0x302cf935c3bfe917:0x2db6315b628a5e82!8m2!3d1.7203313!4d99.9285913!16s%2Fg%2F11lsz29jnw?authuser=0&hl=id&entry=ttu","99.9285913","1.7203313","Alamat","PWCH+4CP, Jl. Kota Pinang - Gunung Tua, Langga Payung, Kec. Sungai Kanan, Kab. Labuhanbatu Selatan, Sumatera Utara 21465"
"J&T ajamu",2.1,24,"unknown","https://www.google.com/maps/place/J%26T+ajamu/data=!4m7!3m6!1s0x30329ddb52300811:0xc55b03868aec241b!8m2!3d2.4582981!4d100.1573777!16s%2Fg%2F11jky7xxtj!19sChIJEQgwUtudMjARGyTsioYDW8U?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+ajamu/@2.4582981,100.1573777,17z/data=!3m1!4b1!4m6!3m5!1s0x30329ddb52300811:0xc55b03868aec241b!8m2!3d2.4582981!4d100.1573777!16s%2Fg%2F11jky7xxtj?authuser=0&hl=id&entry=ttu","100.1573777","2.4582981","Alamat","F554+8X6, Jl. Ps. Batu, Tlk. Sentosa, Kec. Panai Hulu, Kab. Labuhanbatu, Sumatera Utara 21471"
"J&T ajamu",2.1,24,"unknown","https://www.google.com/maps/place/J%26T+ajamu/data=!4m7!3m6!1s0x30329ddb52300811:0xc55b03868aec241b!8m2!3d2.4582981!4d100.1573777!16s%2Fg%2F11jky7xxtj!19sChIJEQgwUtudMjARGyTsioYDW8U?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+ajamu/@2.4582981,100.1573777,17z/data=!3m1!4b1!4m6!3m5!1s0x30329ddb52300811:0xc55b03868aec241b!8m2!3d2.4582981!4d100.1573777!16s%2Fg%2F11jky7xxtj?authuser=0&hl=id&entry=ttu","100.1573777","2.4582981","Telepon","0822-7259-9158"
