"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express Pasar Laris",4.8,15,"Buka ⋅ Tutup pukul 23.00","https://www.google.com/maps/place/J%26T+Express+Pasar+Laris/data=!4m7!3m6!1s0x2e6a0345e36af121:0xfc41d1fa162b953b!8m2!3d-6.1363409!4d106.7126668!16s%2Fg%2F11fk1rxc9b!19sChIJIfFq40UDai4RO5UrFvrRQfw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Pasar+Laris/@-6.1363409,106.7126668,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a0345e36af121:0xfc41d1fa162b953b!8m2!3d-6.1363409!4d106.7126668!16s%2Fg%2F11fk1rxc9b?authuser=0&hl=id&entry=ttu","106.7126668","-6.1363409","Alamat","Ruko palm boulevard, RT.1/RW.19, Pegadungan, Kalideres, West Jakarta City, Jakarta 11830"
"J&T Express Pasar Laris",4.8,15,"Buka ⋅ Tutup pukul 23.00","https://www.google.com/maps/place/J%26T+Express+Pasar+Laris/data=!4m7!3m6!1s0x2e6a0345e36af121:0xfc41d1fa162b953b!8m2!3d-6.1363409!4d106.7126668!16s%2Fg%2F11fk1rxc9b!19sChIJIfFq40UDai4RO5UrFvrRQfw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Pasar+Laris/@-6.1363409,106.7126668,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a0345e36af121:0xfc41d1fa162b953b!8m2!3d-6.1363409!4d106.7126668!16s%2Fg%2F11fk1rxc9b?authuser=0&hl=id&entry=ttu","106.7126668","-6.1363409","Situs Web","jet.co.id"
"J&T Express Pasar Laris",4.8,15,"Buka ⋅ Tutup pukul 23.00","https://www.google.com/maps/place/J%26T+Express+Pasar+Laris/data=!4m7!3m6!1s0x2e6a0345e36af121:0xfc41d1fa162b953b!8m2!3d-6.1363409!4d106.7126668!16s%2Fg%2F11fk1rxc9b!19sChIJIfFq40UDai4RO5UrFvrRQfw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Pasar+Laris/@-6.1363409,106.7126668,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a0345e36af121:0xfc41d1fa162b953b!8m2!3d-6.1363409!4d106.7126668!16s%2Fg%2F11fk1rxc9b?authuser=0&hl=id&entry=ttu","106.7126668","-6.1363409","Telepon","0812-9757-1254"
"J&T Express Pasar Laris",4.8,15,"Buka ⋅ Tutup pukul 23.00","https://www.google.com/maps/place/J%26T+Express+Pasar+Laris/data=!4m7!3m6!1s0x2e6a0345e36af121:0xfc41d1fa162b953b!8m2!3d-6.1363409!4d106.7126668!16s%2Fg%2F11fk1rxc9b!19sChIJIfFq40UDai4RO5UrFvrRQfw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Pasar+Laris/@-6.1363409,106.7126668,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a0345e36af121:0xfc41d1fa162b953b!8m2!3d-6.1363409!4d106.7126668!16s%2Fg%2F11fk1rxc9b?authuser=0&hl=id&entry=ttu","106.7126668","-6.1363409","Plus Codes","VP77+F3 Pegadungan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta"
"JNT KRENDANG",4.5,10,"unknown","https://www.google.com/maps/place/JNT+KRENDANG/data=!4m7!3m6!1s0x2e69f7d6abbc7a4d:0x36719cfe35e9f46!8m2!3d-6.1521545!4d106.8016166!16s%2Fg%2F11g191b946!19sChIJTXq8q9b3aS4RRp9e488ZZwM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+KRENDANG/@-6.1521545,106.8016166,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7d6abbc7a4d:0x36719cfe35e9f46!8m2!3d-6.1521545!4d106.8016166!16s%2Fg%2F11g191b946?authuser=0&hl=id&entry=ttu","106.8016166","-6.1521545","Alamat","Jl. Krendang Sel. No.27, RT.10/RW.7, Krendang, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11260"
"JNT KRENDANG",4.5,10,"unknown","https://www.google.com/maps/place/JNT+KRENDANG/data=!4m7!3m6!1s0x2e69f7d6abbc7a4d:0x36719cfe35e9f46!8m2!3d-6.1521545!4d106.8016166!16s%2Fg%2F11g191b946!19sChIJTXq8q9b3aS4RRp9e488ZZwM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+KRENDANG/@-6.1521545,106.8016166,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7d6abbc7a4d:0x36719cfe35e9f46!8m2!3d-6.1521545!4d106.8016166!16s%2Fg%2F11g191b946?authuser=0&hl=id&entry=ttu","106.8016166","-6.1521545","Situs Web","jet.co.id"
"JNT KRENDANG",4.5,10,"unknown","https://www.google.com/maps/place/JNT+KRENDANG/data=!4m7!3m6!1s0x2e69f7d6abbc7a4d:0x36719cfe35e9f46!8m2!3d-6.1521545!4d106.8016166!16s%2Fg%2F11g191b946!19sChIJTXq8q9b3aS4RRp9e488ZZwM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+KRENDANG/@-6.1521545,106.8016166,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7d6abbc7a4d:0x36719cfe35e9f46!8m2!3d-6.1521545!4d106.8016166!16s%2Fg%2F11g191b946?authuser=0&hl=id&entry=ttu","106.8016166","-6.1521545","Telepon","0812-8187-6581"
"JNT KRENDANG",4.5,10,"unknown","https://www.google.com/maps/place/JNT+KRENDANG/data=!4m7!3m6!1s0x2e69f7d6abbc7a4d:0x36719cfe35e9f46!8m2!3d-6.1521545!4d106.8016166!16s%2Fg%2F11g191b946!19sChIJTXq8q9b3aS4RRp9e488ZZwM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+KRENDANG/@-6.1521545,106.8016166,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7d6abbc7a4d:0x36719cfe35e9f46!8m2!3d-6.1521545!4d106.8016166!16s%2Fg%2F11g191b946?authuser=0&hl=id&entry=ttu","106.8016166","-6.1521545","Plus Codes","RRX2+4J Krendang, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta"
"JNT EXPRESS KARYA RAYA, JELAMBAR",4.4,13,"","https://www.google.com/maps/place/JNT+EXPRESS+KARYA+RAYA,+JELAMBAR/data=!4m7!3m6!1s0x2e69f64bd95f3027:0x5ff6640a25ba7d40!8m2!3d-6.160652!4d106.7761789!16s%2Fg%2F11gfp7kbsr!19sChIJJzBf2Uv2aS4RQH26JQpk9l8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+EXPRESS+KARYA+RAYA,+JELAMBAR/@-6.160652,106.7761789,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f64bd95f3027:0x5ff6640a25ba7d40!8m2!3d-6.160652!4d106.7761789!16s%2Fg%2F11gfp7kbsr?authuser=0&hl=id&entry=ttu","106.7761789","-6.160652","Alamat","Sebelah Dapur Roti, Jl. Karya Raya No.10C, RT.15/RW.3, Wijaya Kusuma, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460"
"JNT EXPRESS KARYA RAYA, JELAMBAR",4.4,13,"","https://www.google.com/maps/place/JNT+EXPRESS+KARYA+RAYA,+JELAMBAR/data=!4m7!3m6!1s0x2e69f64bd95f3027:0x5ff6640a25ba7d40!8m2!3d-6.160652!4d106.7761789!16s%2Fg%2F11gfp7kbsr!19sChIJJzBf2Uv2aS4RQH26JQpk9l8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+EXPRESS+KARYA+RAYA,+JELAMBAR/@-6.160652,106.7761789,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f64bd95f3027:0x5ff6640a25ba7d40!8m2!3d-6.160652!4d106.7761789!16s%2Fg%2F11gfp7kbsr?authuser=0&hl=id&entry=ttu","106.7761789","-6.160652","Situs Web","jet.co.id"
