"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express Majalengka (MJA01)",2.6,397,"Tutup ⋅ Buka Min pukul 07.00","https://www.google.com/maps/place/J%26T+Express+Majalengka+%28MJA01%29/data=!4m7!3m6!1s0x2e6f2f44b97c7a9b:0xc48f4ea52268c26e!8m2!3d-6.8344739!4d108.2224476!16s%2Fg%2F11cmmwn4ym!19sChIJm3p8uUQvby4RbsJoIqVOj8Q?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Majalengka+(MJA01)/@-6.8344739,108.2224476,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f2f44b97c7a9b:0xc48f4ea52268c26e!8m2!3d-6.8344739!4d108.2224476!16s%2Fg%2F11cmmwn4ym?authuser=0&hl=id&entry=ttu","108.2224476","-6.8344739","Alamat","Jl. Raya K H Abdul Halim No.180, Majalengka Kulon, Kab, Kabupaten Majalengka, Jawa Barat 45418"
"J&T Express Majalengka (MJA01)",2.6,397,"Tutup ⋅ Buka Min pukul 07.00","https://www.google.com/maps/place/J%26T+Express+Majalengka+%28MJA01%29/data=!4m7!3m6!1s0x2e6f2f44b97c7a9b:0xc48f4ea52268c26e!8m2!3d-6.8344739!4d108.2224476!16s%2Fg%2F11cmmwn4ym!19sChIJm3p8uUQvby4RbsJoIqVOj8Q?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Majalengka+(MJA01)/@-6.8344739,108.2224476,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f2f44b97c7a9b:0xc48f4ea52268c26e!8m2!3d-6.8344739!4d108.2224476!16s%2Fg%2F11cmmwn4ym?authuser=0&hl=id&entry=ttu","108.2224476","-6.8344739","Situs Web","jet.co.id"
"J&T Express Majalengka (MJA01)",2.6,397,"Tutup ⋅ Buka Min pukul 07.00","https://www.google.com/maps/place/J%26T+Express+Majalengka+%28MJA01%29/data=!4m7!3m6!1s0x2e6f2f44b97c7a9b:0xc48f4ea52268c26e!8m2!3d-6.8344739!4d108.2224476!16s%2Fg%2F11cmmwn4ym!19sChIJm3p8uUQvby4RbsJoIqVOj8Q?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Majalengka+(MJA01)/@-6.8344739,108.2224476,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f2f44b97c7a9b:0xc48f4ea52268c26e!8m2!3d-6.8344739!4d108.2224476!16s%2Fg%2F11cmmwn4ym?authuser=0&hl=id&entry=ttu","108.2224476","-6.8344739","Telepon","(0233) 8291569"
"J&T Express Majalengka (MJA01)",2.6,397,"Tutup ⋅ Buka Min pukul 07.00","https://www.google.com/maps/place/J%26T+Express+Majalengka+%28MJA01%29/data=!4m7!3m6!1s0x2e6f2f44b97c7a9b:0xc48f4ea52268c26e!8m2!3d-6.8344739!4d108.2224476!16s%2Fg%2F11cmmwn4ym!19sChIJm3p8uUQvby4RbsJoIqVOj8Q?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Majalengka+(MJA01)/@-6.8344739,108.2224476,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f2f44b97c7a9b:0xc48f4ea52268c26e!8m2!3d-6.8344739!4d108.2224476!16s%2Fg%2F11cmmwn4ym?authuser=0&hl=id&entry=ttu","108.2224476","-6.8344739","Plus Codes","568C+6X Majalengka Kulon, Kabupaten Majalengka, Jawa Barat"
"J&t ekpres majalengka( kantor pindahan)",3.9,26,"Tutup ⋅ Buka Min pukul 09.00","https://www.google.com/maps/place/J%26t+ekpres+majalengka%28+kantor+pindahan%29/data=!4m7!3m6!1s0x2e6f2fa4b48d2797:0xa882051418cfad09!8m2!3d-6.844247!4d108.2318422!16s%2Fg%2F11pd3nb5g1!19sChIJlyeNtKQvby4RCa3PGBQFgqg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26t+ekpres+majalengka(+kantor+pindahan)/@-6.844247,108.2318422,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f2fa4b48d2797:0xa882051418cfad09!8m2!3d-6.844247!4d108.2318422!16s%2Fg%2F11pd3nb5g1?authuser=0&hl=id&entry=ttu","108.2318422","-6.844247","Alamat","Jl. Kuwu Amin No.50, Babakan Jawa, Kec. Majalengka, Kabupaten Majalengka, Jawa Barat 45419"
"J&t ekpres majalengka( kantor pindahan)",3.9,26,"Tutup ⋅ Buka Min pukul 09.00","https://www.google.com/maps/place/J%26t+ekpres+majalengka%28+kantor+pindahan%29/data=!4m7!3m6!1s0x2e6f2fa4b48d2797:0xa882051418cfad09!8m2!3d-6.844247!4d108.2318422!16s%2Fg%2F11pd3nb5g1!19sChIJlyeNtKQvby4RCa3PGBQFgqg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26t+ekpres+majalengka(+kantor+pindahan)/@-6.844247,108.2318422,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f2fa4b48d2797:0xa882051418cfad09!8m2!3d-6.844247!4d108.2318422!16s%2Fg%2F11pd3nb5g1?authuser=0&hl=id&entry=ttu","108.2318422","-6.844247","Plus Codes","564J+8P Babakan Jawa, Kabupaten Majalengka, Jawa Barat"
"J&T Cargo Majalengka (MJA003B)",4.9,14,"Tutup ⋅ Buka Min pukul 09.00","https://www.google.com/maps/place/J%26T+Cargo+Majalengka+%28MJA003B%29/data=!4m7!3m6!1s0x2e6f2f5d8faa9d95:0xef82483028c7799e!8m2!3d-6.8337025!4d108.2152806!16s%2Fg%2F11rv06y_n5!19sChIJlZ2qj10vby4RnnnHKDBIgu8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Majalengka+(MJA003B)/@-6.8337025,108.2152806,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f2f5d8faa9d95:0xef82483028c7799e!8m2!3d-6.8337025!4d108.2152806!16s%2Fg%2F11rv06y_n5?authuser=0&hl=id&entry=ttu","108.2152806","-6.8337025","Alamat","Jl. Raya K H Abdul Halim No.104, DesaMajalengka Kulon, Kec. Majalengka, Kabupaten Majalengka, Jawa Barat 45418"
"J&T Cargo Majalengka (MJA003B)",4.9,14,"Tutup ⋅ Buka Min pukul 09.00","https://www.google.com/maps/place/J%26T+Cargo+Majalengka+%28MJA003B%29/data=!4m7!3m6!1s0x2e6f2f5d8faa9d95:0xef82483028c7799e!8m2!3d-6.8337025!4d108.2152806!16s%2Fg%2F11rv06y_n5!19sChIJlZ2qj10vby4RnnnHKDBIgu8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Majalengka+(MJA003B)/@-6.8337025,108.2152806,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f2f5d8faa9d95:0xef82483028c7799e!8m2!3d-6.8337025!4d108.2152806!16s%2Fg%2F11rv06y_n5?authuser=0&hl=id&entry=ttu","108.2152806","-6.8337025","Situs Web","business.site"
"J&T Cargo Majalengka (MJA003B)",4.9,14,"Tutup ⋅ Buka Min pukul 09.00","https://www.google.com/maps/place/J%26T+Cargo+Majalengka+%28MJA003B%29/data=!4m7!3m6!1s0x2e6f2f5d8faa9d95:0xef82483028c7799e!8m2!3d-6.8337025!4d108.2152806!16s%2Fg%2F11rv06y_n5!19sChIJlZ2qj10vby4RnnnHKDBIgu8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Majalengka+(MJA003B)/@-6.8337025,108.2152806,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f2f5d8faa9d95:0xef82483028c7799e!8m2!3d-6.8337025!4d108.2152806!16s%2Fg%2F11rv06y_n5?authuser=0&hl=id&entry=ttu","108.2152806","-6.8337025","Telepon","0858-6136-1891"
"J&T Cargo Majalengka (MJA003B)",4.9,14,"Tutup ⋅ Buka Min pukul 09.00","https://www.google.com/maps/place/J%26T+Cargo+Majalengka+%28MJA003B%29/data=!4m7!3m6!1s0x2e6f2f5d8faa9d95:0xef82483028c7799e!8m2!3d-6.8337025!4d108.2152806!16s%2Fg%2F11rv06y_n5!19sChIJlZ2qj10vby4RnnnHKDBIgu8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Majalengka+(MJA003B)/@-6.8337025,108.2152806,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f2f5d8faa9d95:0xef82483028c7799e!8m2!3d-6.8337025!4d108.2152806!16s%2Fg%2F11rv06y_n5?authuser=0&hl=id&entry=ttu","108.2152806","-6.8337025","Plus Codes","5688+G4 Majalengka Kulon, Kabupaten Majalengka, Jawa Barat"
"JNT Majalenka",2.8,18,"unknown","https://www.google.com/maps/place/JNT+Majalenka/data=!4m7!3m6!1s0x2e6f2fdc6b58555f:0x6158464e94f15cc3!8m2!3d-6.8323806!4d108.2227028!16s%2Fg%2F11flbrmjb4!19sChIJX1VYa9wvby4Rw1zxlE5GWGE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+Majalenka/@-6.8323806,108.2227028,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f2fdc6b58555f:0x6158464e94f15cc3!8m2!3d-6.8323806!4d108.2227028!16s%2Fg%2F11flbrmjb4?authuser=0&hl=id&entry=ttu","108.2227028","-6.8323806","Alamat","569F+23W, Gg. Rahayu I, Majalengka Kulon, Kec. Majalengka, Kabupaten Majalengka, Jawa Barat 45418"
"J&T EKSPRESS MJA08 KADIPATEN",3.8,40,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+EKSPRESS+MJA08+KADIPATEN/data=!4m7!3m6!1s0x2e6f299b1a0db86d:0x74110296899e7a04!8m2!3d-6.7646796!4d108.1711017!16s%2Fg%2F11jn4l9x0x!19sChIJbbgNGpspby4RBHqeiZYCEXQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EKSPRESS+MJA08+KADIPATEN/@-6.7646796,108.1711017,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f299b1a0db86d:0x74110296899e7a04!8m2!3d-6.7646796!4d108.1711017!16s%2Fg%2F11jn4l9x0x?authuser=0&hl=id&entry=ttu","108.1711017","-6.7646796","Alamat","Dawuan, Kec. Dawuan, Kabupaten Majalengka, Jawa Barat 45453"
"J&T EKSPRESS MJA08 KADIPATEN",3.8,40,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+EKSPRESS+MJA08+KADIPATEN/data=!4m7!3m6!1s0x2e6f299b1a0db86d:0x74110296899e7a04!8m2!3d-6.7646796!4d108.1711017!16s%2Fg%2F11jn4l9x0x!19sChIJbbgNGpspby4RBHqeiZYCEXQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EKSPRESS+MJA08+KADIPATEN/@-6.7646796,108.1711017,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f299b1a0db86d:0x74110296899e7a04!8m2!3d-6.7646796!4d108.1711017!16s%2Fg%2F11jn4l9x0x?authuser=0&hl=id&entry=ttu","108.1711017","-6.7646796","Plus Codes","65PC+4C Dawuan, Kabupaten Majalengka, Jawa Barat"
