"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNT Barombong",2.8,46,"Buka ⋅ Tutup Min pukul 06.00","https://www.google.com/maps/place/JNT+Barombong/data=!4m7!3m6!1s0x2dbf1ddb5700c1fb:0x39a4a249ef941bde!8m2!3d-5.2089978!4d119.3884866!16s%2Fg%2F11f3xnt03d!19sChIJ-8EAV9sdvy0R3huU70mipDk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+Barombong/@-5.2089978,119.3884866,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf1ddb5700c1fb:0x39a4a249ef941bde!8m2!3d-5.2089978!4d119.3884866!16s%2Fg%2F11f3xnt03d?authuser=0&hl=id&entry=ttu","119.3884866","-5.2089978","Alamat","Q9RQ+C95, Barombong, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90225"
"Jnt Express Daeng Tata",3.6,67,"unknown","https://www.google.com/maps/place/Jnt+Express+Daeng+Tata/data=!4m7!3m6!1s0x2dbee2795e6af39f:0x2c44a57fd24007b8!8m2!3d-5.1868125!4d119.4309224!16s%2Fg%2F11f2w6klxl!19sChIJn_NqXnnivi0RuAdA0n-lRCw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Jnt+Express+Daeng+Tata/@-5.1868125,119.4309224,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee2795e6af39f:0x2c44a57fd24007b8!8m2!3d-5.1868125!4d119.4309224!16s%2Fg%2F11f2w6klxl?authuser=0&hl=id&entry=ttu","119.4309224","-5.1868125","Alamat","Jl. Mallengkeri Raya No.25, Parang Tambung, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90221"
"Jnt Express Daeng Tata",3.6,67,"unknown","https://www.google.com/maps/place/Jnt+Express+Daeng+Tata/data=!4m7!3m6!1s0x2dbee2795e6af39f:0x2c44a57fd24007b8!8m2!3d-5.1868125!4d119.4309224!16s%2Fg%2F11f2w6klxl!19sChIJn_NqXnnivi0RuAdA0n-lRCw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Jnt+Express+Daeng+Tata/@-5.1868125,119.4309224,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee2795e6af39f:0x2c44a57fd24007b8!8m2!3d-5.1868125!4d119.4309224!16s%2Fg%2F11f2w6klxl?authuser=0&hl=id&entry=ttu","119.4309224","-5.1868125","Plus Codes","RC7J+79 Parang Tambung, Kota Makassar, Sulawesi Selatan"
"JNT BTP (Bumi Tamalanrea Permai)",3.7,56,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/JNT+BTP+%28Bumi+Tamalanrea+Permai%29/data=!4m7!3m6!1s0x2dbee5ab7bb40a0f:0x897a0cb97a0e7d4d!8m2!3d-5.1411103!4d119.5210631!16s%2Fg%2F11fj4byf3j!19sChIJDwq0e6vlvi0RTX0OerkMeok?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+BTP+(Bumi+Tamalanrea+Permai)/@-5.1411103,119.5210631,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee5ab7bb40a0f:0x897a0cb97a0e7d4d!8m2!3d-5.1411103!4d119.5210631!16s%2Fg%2F11fj4byf3j?authuser=0&hl=id&entry=ttu","119.5210631","-5.1411103","Alamat","VG5C+HC4, Jl. Tamalanrea Raya, Paccerakkang, Kec. Biringkanaya, Kota Makassar, Sulawesi Selatan 90562"
"JNT BTP (Bumi Tamalanrea Permai)",3.7,56,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/JNT+BTP+%28Bumi+Tamalanrea+Permai%29/data=!4m7!3m6!1s0x2dbee5ab7bb40a0f:0x897a0cb97a0e7d4d!8m2!3d-5.1411103!4d119.5210631!16s%2Fg%2F11fj4byf3j!19sChIJDwq0e6vlvi0RTX0OerkMeok?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+BTP+(Bumi+Tamalanrea+Permai)/@-5.1411103,119.5210631,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee5ab7bb40a0f:0x897a0cb97a0e7d4d!8m2!3d-5.1411103!4d119.5210631!16s%2Fg%2F11fj4byf3j?authuser=0&hl=id&entry=ttu","119.5210631","-5.1411103","Situs Web","jet.co.id"
"JNT BTP (Bumi Tamalanrea Permai)",3.7,56,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/JNT+BTP+%28Bumi+Tamalanrea+Permai%29/data=!4m7!3m6!1s0x2dbee5ab7bb40a0f:0x897a0cb97a0e7d4d!8m2!3d-5.1411103!4d119.5210631!16s%2Fg%2F11fj4byf3j!19sChIJDwq0e6vlvi0RTX0OerkMeok?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+BTP+(Bumi+Tamalanrea+Permai)/@-5.1411103,119.5210631,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee5ab7bb40a0f:0x897a0cb97a0e7d4d!8m2!3d-5.1411103!4d119.5210631!16s%2Fg%2F11fj4byf3j?authuser=0&hl=id&entry=ttu","119.5210631","-5.1411103","Telepon","0852-4063-1166"
"J&T Express Pulau Nias",4.6,20,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Pulau+Nias/data=!4m7!3m6!1s0x2dd241f0fe07b187:0x2e73ac93808bed6d!8m2!3d-8.6758677!4d115.2150513!16s%2Fg%2F11h2gns2hh!19sChIJh7EH_vBB0i0Rbe2LgJOscy4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Pulau+Nias/@-8.6758677,115.2150513,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd241f0fe07b187:0x2e73ac93808bed6d!8m2!3d-8.6758677!4d115.2150513!16s%2Fg%2F11h2gns2hh?authuser=0&hl=id&entry=ttu","115.2150513","-8.6758677","Alamat","Jl. Pulau Nias No.2, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80114"
"J&T Express Pulau Nias",4.6,20,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Pulau+Nias/data=!4m7!3m6!1s0x2dd241f0fe07b187:0x2e73ac93808bed6d!8m2!3d-8.6758677!4d115.2150513!16s%2Fg%2F11h2gns2hh!19sChIJh7EH_vBB0i0Rbe2LgJOscy4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Pulau+Nias/@-8.6758677,115.2150513,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd241f0fe07b187:0x2e73ac93808bed6d!8m2!3d-8.6758677!4d115.2150513!16s%2Fg%2F11h2gns2hh?authuser=0&hl=id&entry=ttu","115.2150513","-8.6758677","Situs Web","jet.co.id"
"J&T Express Pulau Nias",4.6,20,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Pulau+Nias/data=!4m7!3m6!1s0x2dd241f0fe07b187:0x2e73ac93808bed6d!8m2!3d-8.6758677!4d115.2150513!16s%2Fg%2F11h2gns2hh!19sChIJh7EH_vBB0i0Rbe2LgJOscy4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Pulau+Nias/@-8.6758677,115.2150513,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd241f0fe07b187:0x2e73ac93808bed6d!8m2!3d-8.6758677!4d115.2150513!16s%2Fg%2F11h2gns2hh?authuser=0&hl=id&entry=ttu","115.2150513","-8.6758677","Telepon","0897-5044-324"
"J&T Express Pulau Nias",4.6,20,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Pulau+Nias/data=!4m7!3m6!1s0x2dd241f0fe07b187:0x2e73ac93808bed6d!8m2!3d-8.6758677!4d115.2150513!16s%2Fg%2F11h2gns2hh!19sChIJh7EH_vBB0i0Rbe2LgJOscy4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Pulau+Nias/@-8.6758677,115.2150513,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd241f0fe07b187:0x2e73ac93808bed6d!8m2!3d-8.6758677!4d115.2150513!16s%2Fg%2F11h2gns2hh?authuser=0&hl=id&entry=ttu","115.2150513","-8.6758677","Plus Codes","86F8+M2 Dauh Puri Klod, Kota Denpasar, Bali"
"J&T",1.5,31,"unknown","https://www.google.com/maps/place/J%26T/data=!4m7!3m6!1s0x30287fba73b63e93:0x69b6c260176545ee!8m2!3d0.5650358!4d97.8185762!16s%2Fg%2F11hh8wkj0z!19sChIJkz62c7p_KDAR7kVlF2DCtmk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T/@0.5650358,97.8185762,17z/data=!3m1!4b1!4m6!3m5!1s0x30287fba73b63e93:0x69b6c260176545ee!8m2!3d0.5650358!4d97.8185762!16s%2Fg%2F11hh8wkj0z?authuser=0&hl=id&entry=ttu","97.8185762","0.5650358","Alamat","HR89+2C8, Jl. Jenderal Sudirman, Ps. Tlk. Dalam, Kec. Tlk. Dalam, Kabupaten Nias Selatan, Sumatera Utara 22865"
"J&T CARGO NIAS SELATAN",NA,NA,"Buka 24 jam","https://www.google.com/maps/place/J%26T+CARGO+NIAS+SELATAN/data=!4m7!3m6!1s0x30287f75c7cd371b:0xa69b3e02830d3d9b!8m2!3d0.5841521!4d97.8204791!16s%2Fg%2F11s0kswlp2!19sChIJGzfNx3V_KDARmz0NgwI-m6Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+NIAS+SELATAN/@0.5841521,97.8204791,17z/data=!3m1!4b1!4m6!3m5!1s0x30287f75c7cd371b:0xa69b3e02830d3d9b!8m2!3d0.5841521!4d97.8204791!16s%2Fg%2F11s0kswlp2?authuser=0&hl=id&entry=ttu","97.8204791","0.5841521","Alamat","Bawolowalani, Kec. Tlk. Dalam, Kabupaten Nias Selatan, Sumatera Utara 22865"
"J&T CARGO NIAS SELATAN",NA,NA,"Buka 24 jam","https://www.google.com/maps/place/J%26T+CARGO+NIAS+SELATAN/data=!4m7!3m6!1s0x30287f75c7cd371b:0xa69b3e02830d3d9b!8m2!3d0.5841521!4d97.8204791!16s%2Fg%2F11s0kswlp2!19sChIJGzfNx3V_KDARmz0NgwI-m6Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+NIAS+SELATAN/@0.5841521,97.8204791,17z/data=!3m1!4b1!4m6!3m5!1s0x30287f75c7cd371b:0xa69b3e02830d3d9b!8m2!3d0.5841521!4d97.8204791!16s%2Fg%2F11s0kswlp2?authuser=0&hl=id&entry=ttu","97.8204791","0.5841521","Telepon","0821-7135-4212"
"J&T CARGO NIAS SELATAN",NA,NA,"Buka 24 jam","https://www.google.com/maps/place/J%26T+CARGO+NIAS+SELATAN/data=!4m7!3m6!1s0x30287f75c7cd371b:0xa69b3e02830d3d9b!8m2!3d0.5841521!4d97.8204791!16s%2Fg%2F11s0kswlp2!19sChIJGzfNx3V_KDARmz0NgwI-m6Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+NIAS+SELATAN/@0.5841521,97.8204791,17z/data=!3m1!4b1!4m6!3m5!1s0x30287f75c7cd371b:0xa69b3e02830d3d9b!8m2!3d0.5841521!4d97.8204791!16s%2Fg%2F11s0kswlp2?authuser=0&hl=id&entry=ttu","97.8204791","0.5841521","Plus Codes","HRMC+M5 Bawolowalani, Kabupaten Nias Selatan, Sumatera Utara"
