"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T CARGO SIBUHUAN SBH001J",1.2,56,"Buka ⋅ Tutup pukul 19.59","https://www.google.com/maps/place/J%26T+CARGO+SIBUHUAN+SBH001J/data=!4m7!3m6!1s0x302b85522cb0d5dd:0xee9742e6e728e518!8m2!3d1.0516478!4d99.7302036!16s%2Fg%2F11p5cppkng!19sChIJ3dWwLFKFKzARGOUo5-ZCl-4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+SIBUHUAN+SBH001J/@1.0516478,99.7302036,17z/data=!3m1!4b1!4m6!3m5!1s0x302b85522cb0d5dd:0xee9742e6e728e518!8m2!3d1.0516478!4d99.7302036!16s%2Fg%2F11p5cppkng?authuser=0&hl=id&entry=ttu","99.7302036","1.0516478","Alamat","Psr Sibuhuan, Kec. Barumun, Kabupaten Padang Lawas, Sumatera Utara 22763"
"J&T CARGO SIBUHUAN SBH001J",1.2,56,"Buka ⋅ Tutup pukul 19.59","https://www.google.com/maps/place/J%26T+CARGO+SIBUHUAN+SBH001J/data=!4m7!3m6!1s0x302b85522cb0d5dd:0xee9742e6e728e518!8m2!3d1.0516478!4d99.7302036!16s%2Fg%2F11p5cppkng!19sChIJ3dWwLFKFKzARGOUo5-ZCl-4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+SIBUHUAN+SBH001J/@1.0516478,99.7302036,17z/data=!3m1!4b1!4m6!3m5!1s0x302b85522cb0d5dd:0xee9742e6e728e518!8m2!3d1.0516478!4d99.7302036!16s%2Fg%2F11p5cppkng?authuser=0&hl=id&entry=ttu","99.7302036","1.0516478","Situs Web","jtcargo.id"
"J&T CARGO SIBUHUAN SBH001J",1.2,56,"Buka ⋅ Tutup pukul 19.59","https://www.google.com/maps/place/J%26T+CARGO+SIBUHUAN+SBH001J/data=!4m7!3m6!1s0x302b85522cb0d5dd:0xee9742e6e728e518!8m2!3d1.0516478!4d99.7302036!16s%2Fg%2F11p5cppkng!19sChIJ3dWwLFKFKzARGOUo5-ZCl-4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+SIBUHUAN+SBH001J/@1.0516478,99.7302036,17z/data=!3m1!4b1!4m6!3m5!1s0x302b85522cb0d5dd:0xee9742e6e728e518!8m2!3d1.0516478!4d99.7302036!16s%2Fg%2F11p5cppkng?authuser=0&hl=id&entry=ttu","99.7302036","1.0516478","Telepon","0822-7450-8627"
"J&T CARGO SIBUHUAN SBH001J",1.2,56,"Buka ⋅ Tutup pukul 19.59","https://www.google.com/maps/place/J%26T+CARGO+SIBUHUAN+SBH001J/data=!4m7!3m6!1s0x302b85522cb0d5dd:0xee9742e6e728e518!8m2!3d1.0516478!4d99.7302036!16s%2Fg%2F11p5cppkng!19sChIJ3dWwLFKFKzARGOUo5-ZCl-4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+SIBUHUAN+SBH001J/@1.0516478,99.7302036,17z/data=!3m1!4b1!4m6!3m5!1s0x302b85522cb0d5dd:0xee9742e6e728e518!8m2!3d1.0516478!4d99.7302036!16s%2Fg%2F11p5cppkng?authuser=0&hl=id&entry=ttu","99.7302036","1.0516478","Plus Codes","3P2J+M3 Psr Sibuhuan, Kabupaten Padang Lawas, Sumatera Utara"
"J&T CARGO PADANG LAWAS UTARA",1,1,"Buka 24 jam","https://www.google.com/maps/place/J%26T+CARGO+PADANG+LAWAS+UTARA/data=!4m7!3m6!1s0x3031311fce745d43:0x1775f8c905259ee1!8m2!3d3.5503868!4d98.6984156!16s%2Fg%2F11sy70svp4!19sChIJQ110zh8xMTAR4Z4lBcn4dRc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+PADANG+LAWAS+UTARA/@3.5503868,98.6984156,17z/data=!3m1!4b1!4m6!3m5!1s0x3031311fce745d43:0x1775f8c905259ee1!8m2!3d3.5503868!4d98.6984156!16s%2Fg%2F11sy70svp4?authuser=0&hl=id&entry=ttu","98.6984156","3.5503868","Alamat","Jl. Sisingamangaraja No.Kel, Pasar Gunung Tua, GUNUNG TUA, Kota Medan, Sumatera Utara 20217"
"J&T CARGO PADANG LAWAS UTARA",1,1,"Buka 24 jam","https://www.google.com/maps/place/J%26T+CARGO+PADANG+LAWAS+UTARA/data=!4m7!3m6!1s0x3031311fce745d43:0x1775f8c905259ee1!8m2!3d3.5503868!4d98.6984156!16s%2Fg%2F11sy70svp4!19sChIJQ110zh8xMTAR4Z4lBcn4dRc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+PADANG+LAWAS+UTARA/@3.5503868,98.6984156,17z/data=!3m1!4b1!4m6!3m5!1s0x3031311fce745d43:0x1775f8c905259ee1!8m2!3d3.5503868!4d98.6984156!16s%2Fg%2F11sy70svp4?authuser=0&hl=id&entry=ttu","98.6984156","3.5503868","Telepon","0812-7355-7471"
"J&T CARGO PADANG LAWAS UTARA",1,1,"Buka 24 jam","https://www.google.com/maps/place/J%26T+CARGO+PADANG+LAWAS+UTARA/data=!4m7!3m6!1s0x3031311fce745d43:0x1775f8c905259ee1!8m2!3d3.5503868!4d98.6984156!16s%2Fg%2F11sy70svp4!19sChIJQ110zh8xMTAR4Z4lBcn4dRc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+PADANG+LAWAS+UTARA/@3.5503868,98.6984156,17z/data=!3m1!4b1!4m6!3m5!1s0x3031311fce745d43:0x1775f8c905259ee1!8m2!3d3.5503868!4d98.6984156!16s%2Fg%2F11sy70svp4?authuser=0&hl=id&entry=ttu","98.6984156","3.5503868","Plus Codes","HM2X+59 Sitirejo II, Kota Medan, Sumatera Utara"
"J&T EXPRESS GUNUNG TUA",1.1,27,"unknown","https://www.google.com/maps/place/J%26T+EXPRESS+GUNUNG+TUA/data=!4m7!3m6!1s0x302c410ad3e1edbb:0x8c439fa0971e0c64!8m2!3d1.5086977!4d99.6254102!16s%2Fg%2F11s5zc5d32!19sChIJu-3h0wpBLDARZAwel6CfQ4w?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+GUNUNG+TUA/@1.5086977,99.6254102,17z/data=!3m1!4b1!4m6!3m5!1s0x302c410ad3e1edbb:0x8c439fa0971e0c64!8m2!3d1.5086977!4d99.6254102!16s%2Fg%2F11s5zc5d32?authuser=0&hl=id&entry=ttu","99.6254102","1.5086977","Alamat","di samping ms glow, Jalan lintas Sumatera Utara, Ps. Gn. Tua, Kec. Padang Bolak, Kabupaten Padang Lawas Utara, Sumatera Utara"
"J&T Express Padang (PDG01)",3.7,490,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Padang+%28PDG01%29/data=!4m7!3m6!1s0x2fd4b8d33ef975b7:0x99839bb02753a59a!8m2!3d-0.9224727!4d100.3511034!16s%2Fg%2F11f3xzd0gl!19sChIJt3X5PtO41C8RmqVTJ7Cbg5k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Padang+(PDG01)/@-0.9224727,100.3511034,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b8d33ef975b7:0x99839bb02753a59a!8m2!3d-0.9224727!4d100.3511034!16s%2Fg%2F11f3xzd0gl?authuser=0&hl=id&entry=ttu","100.3511034","-0.9224727","Alamat","Jl. S. Parman No.86, Lolong Belanti, Kec. Padang Utara, Kota Padang, Sumatera Barat"
"J&T Express Padang (PDG01)",3.7,490,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Padang+%28PDG01%29/data=!4m7!3m6!1s0x2fd4b8d33ef975b7:0x99839bb02753a59a!8m2!3d-0.9224727!4d100.3511034!16s%2Fg%2F11f3xzd0gl!19sChIJt3X5PtO41C8RmqVTJ7Cbg5k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Padang+(PDG01)/@-0.9224727,100.3511034,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b8d33ef975b7:0x99839bb02753a59a!8m2!3d-0.9224727!4d100.3511034!16s%2Fg%2F11f3xzd0gl?authuser=0&hl=id&entry=ttu","100.3511034","-0.9224727","Situs Web","business.site"
