"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T EXPRESS PPE01",3.5,250,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+EXPRESS+PPE01/data=!4m7!3m6!1s0x2d95bb3ef96fa9f1:0x6132d117fdf927f7!8m2!3d-4.0194233!4d119.6233738!16s%2Fg%2F11c5_4mdqz!19sChIJ8alv-T67lS0R9yf5_RfRMmE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+PPE01/@-4.0194233,119.6233738,17z/data=!3m1!4b1!4m6!3m5!1s0x2d95bb3ef96fa9f1:0x6132d117fdf927f7!8m2!3d-4.0194233!4d119.6233738!16s%2Fg%2F11c5_4mdqz?authuser=0&hl=id&entry=ttu","119.6233738","-4.0194233","Alamat","Jl. Bau Massepe, Labukkang, Kec. Ujung, Kota Parepare, Sulawesi Selatan 91111"
"J&T EXPRESS PPE01",3.5,250,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+EXPRESS+PPE01/data=!4m7!3m6!1s0x2d95bb3ef96fa9f1:0x6132d117fdf927f7!8m2!3d-4.0194233!4d119.6233738!16s%2Fg%2F11c5_4mdqz!19sChIJ8alv-T67lS0R9yf5_RfRMmE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+PPE01/@-4.0194233,119.6233738,17z/data=!3m1!4b1!4m6!3m5!1s0x2d95bb3ef96fa9f1:0x6132d117fdf927f7!8m2!3d-4.0194233!4d119.6233738!16s%2Fg%2F11c5_4mdqz?authuser=0&hl=id&entry=ttu","119.6233738","-4.0194233","Telepon","(021) 80661888"
"J&T EXPRESS PPE01",3.5,250,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+EXPRESS+PPE01/data=!4m7!3m6!1s0x2d95bb3ef96fa9f1:0x6132d117fdf927f7!8m2!3d-4.0194233!4d119.6233738!16s%2Fg%2F11c5_4mdqz!19sChIJ8alv-T67lS0R9yf5_RfRMmE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+PPE01/@-4.0194233,119.6233738,17z/data=!3m1!4b1!4m6!3m5!1s0x2d95bb3ef96fa9f1:0x6132d117fdf927f7!8m2!3d-4.0194233!4d119.6233738!16s%2Fg%2F11c5_4mdqz?authuser=0&hl=id&entry=ttu","119.6233738","-4.0194233","Plus Codes","XJJF+68 Labukkang, Kota Parepare, Sulawesi Selatan"
"J&T Express Soreang ( Bukit Indah )",2.7,128,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Express+Soreang+%28+Bukit+Indah+%29/data=!4m7!3m6!1s0x2d95bb3e950d8633:0x779fc12d1ed2e917!8m2!3d-4.002238!4d119.6321388!16s%2Fg%2F11ghnxn8lb!19sChIJM4YNlT67lS0RF-nSHi3Bn3c?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Soreang+(+Bukit+Indah+)/@-4.002238,119.6321388,17z/data=!3m1!4b1!4m6!3m5!1s0x2d95bb3e950d8633:0x779fc12d1ed2e917!8m2!3d-4.002238!4d119.6321388!16s%2Fg%2F11ghnxn8lb?authuser=0&hl=id&entry=ttu","119.6321388","-4.002238","Alamat","Watang Soreang, Kec. Soreang, Kota Parepare, Sulawesi Selatan 91131"
"J&T Express Soreang ( Bukit Indah )",2.7,128,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Express+Soreang+%28+Bukit+Indah+%29/data=!4m7!3m6!1s0x2d95bb3e950d8633:0x779fc12d1ed2e917!8m2!3d-4.002238!4d119.6321388!16s%2Fg%2F11ghnxn8lb!19sChIJM4YNlT67lS0RF-nSHi3Bn3c?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Soreang+(+Bukit+Indah+)/@-4.002238,119.6321388,17z/data=!3m1!4b1!4m6!3m5!1s0x2d95bb3e950d8633:0x779fc12d1ed2e917!8m2!3d-4.002238!4d119.6321388!16s%2Fg%2F11ghnxn8lb?authuser=0&hl=id&entry=ttu","119.6321388","-4.002238","Situs Web","jet.co.id"
"J&T Express Soreang ( Bukit Indah )",2.7,128,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Express+Soreang+%28+Bukit+Indah+%29/data=!4m7!3m6!1s0x2d95bb3e950d8633:0x779fc12d1ed2e917!8m2!3d-4.002238!4d119.6321388!16s%2Fg%2F11ghnxn8lb!19sChIJM4YNlT67lS0RF-nSHi3Bn3c?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Soreang+(+Bukit+Indah+)/@-4.002238,119.6321388,17z/data=!3m1!4b1!4m6!3m5!1s0x2d95bb3e950d8633:0x779fc12d1ed2e917!8m2!3d-4.002238!4d119.6321388!16s%2Fg%2F11ghnxn8lb?authuser=0&hl=id&entry=ttu","119.6321388","-4.002238","Telepon","(021) 80661888"
"J&T Express Soreang ( Bukit Indah )",2.7,128,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Express+Soreang+%28+Bukit+Indah+%29/data=!4m7!3m6!1s0x2d95bb3e950d8633:0x779fc12d1ed2e917!8m2!3d-4.002238!4d119.6321388!16s%2Fg%2F11ghnxn8lb!19sChIJM4YNlT67lS0RF-nSHi3Bn3c?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Soreang+(+Bukit+Indah+)/@-4.002238,119.6321388,17z/data=!3m1!4b1!4m6!3m5!1s0x2d95bb3e950d8633:0x779fc12d1ed2e917!8m2!3d-4.002238!4d119.6321388!16s%2Fg%2F11ghnxn8lb?authuser=0&hl=id&entry=ttu","119.6321388","-4.002238","Plus Codes","XJXJ+4V Watang Soreang, Kota Parepare, Sulawesi Selatan"
"J&T CARGO PAREPARE",5,3,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/J%26T+CARGO+PAREPARE/data=!4m7!3m6!1s0x2d95bd933bf5ff23:0x74726d8cd0c44e94!8m2!3d-4.0431318!4d119.6255492!16s%2Fg%2F11p15lrfp1!19sChIJI__1O5O9lS0RlE7E0IxtcnQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+PAREPARE/@-4.0431318,119.6255492,17z/data=!3m1!4b1!4m6!3m5!1s0x2d95bd933bf5ff23:0x74726d8cd0c44e94!8m2!3d-4.0431318!4d119.6255492!16s%2Fg%2F11p15lrfp1?authuser=0&hl=id&entry=ttu","119.6255492","-4.0431318","Alamat","Jl. Mattiro Tasi No.31-39, Sumpang Minangae, Kec. Bacukiki Bar., Kota Parepare, Sulawesi Selatan 91121"
"J&T CARGO PAREPARE",5,3,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/J%26T+CARGO+PAREPARE/data=!4m7!3m6!1s0x2d95bd933bf5ff23:0x74726d8cd0c44e94!8m2!3d-4.0431318!4d119.6255492!16s%2Fg%2F11p15lrfp1!19sChIJI__1O5O9lS0RlE7E0IxtcnQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+PAREPARE/@-4.0431318,119.6255492,17z/data=!3m1!4b1!4m6!3m5!1s0x2d95bd933bf5ff23:0x74726d8cd0c44e94!8m2!3d-4.0431318!4d119.6255492!16s%2Fg%2F11p15lrfp1?authuser=0&hl=id&entry=ttu","119.6255492","-4.0431318","Telepon","0853-4111-1624"
"J&T CARGO PAREPARE",5,3,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/J%26T+CARGO+PAREPARE/data=!4m7!3m6!1s0x2d95bd933bf5ff23:0x74726d8cd0c44e94!8m2!3d-4.0431318!4d119.6255492!16s%2Fg%2F11p15lrfp1!19sChIJI__1O5O9lS0RlE7E0IxtcnQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+PAREPARE/@-4.0431318,119.6255492,17z/data=!3m1!4b1!4m6!3m5!1s0x2d95bd933bf5ff23:0x74726d8cd0c44e94!8m2!3d-4.0431318!4d119.6255492!16s%2Fg%2F11p15lrfp1?authuser=0&hl=id&entry=ttu","119.6255492","-4.0431318","Plus Codes","XJ4G+P6 Sumpang Minangae, Kota Parepare, Sulawesi Selatan"
