"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor j&t sampang",1.5,62,"Buka 24 jam","https://www.google.com/maps/place/Kantor+j%26t+sampang/data=!4m7!3m6!1s0x2dd7870c2d98f643:0x4425ea59fc8f5018!8m2!3d-7.2021041!4d113.241707!16s%2Fg%2F11j8tpb0v_!19sChIJQ_aYLQyH1y0RGFCP_FnqJUQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+j%26t+sampang/@-7.2021041,113.241707,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7870c2d98f643:0x4425ea59fc8f5018!8m2!3d-7.2021041!4d113.241707!16s%2Fg%2F11j8tpb0v_?authuser=0&hl=id&entry=ttu","113.241707","-7.2021041","Alamat","Jl. Syamsul Arifin No.87, Rw. IV, Polagan, Kec. Sampang, Kabupaten Sampang, Jawa Timur 69216"
"Kantor j&t sampang",1.5,62,"Buka 24 jam","https://www.google.com/maps/place/Kantor+j%26t+sampang/data=!4m7!3m6!1s0x2dd7870c2d98f643:0x4425ea59fc8f5018!8m2!3d-7.2021041!4d113.241707!16s%2Fg%2F11j8tpb0v_!19sChIJQ_aYLQyH1y0RGFCP_FnqJUQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+j%26t+sampang/@-7.2021041,113.241707,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7870c2d98f643:0x4425ea59fc8f5018!8m2!3d-7.2021041!4d113.241707!16s%2Fg%2F11j8tpb0v_?authuser=0&hl=id&entry=ttu","113.241707","-7.2021041","Plus Codes","Q6XR+5M Polagan, Kabupaten Sampang, Jawa Timur"
"J&T Cargo Sampang",2.7,7,"unknown","https://www.google.com/maps/place/J%26T+Cargo+Sampang/data=!4m7!3m6!1s0x2dd787e257a73d51:0x176e4f123fb46e3a!8m2!3d-7.2052391!4d113.2375499!16s%2Fg%2F11t2sqnvhn!19sChIJUT2nV-KH1y0ROm60PxJPbhc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Sampang/@-7.2052391,113.2375499,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd787e257a73d51:0x176e4f123fb46e3a!8m2!3d-7.2052391!4d113.2375499!16s%2Fg%2F11t2sqnvhn?authuser=0&hl=id&entry=ttu","113.2375499","-7.2052391","Alamat","Q6VQ+V2H, Jl. Mangkubumi, Rw. IV, Polagan, Kec. Sampang, Kabupaten Sampang, Jawa Timur 69216"
"J&T Express Torjun",3.6,33,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Torjun/data=!4m7!3m6!1s0x2dd829f95734211d:0x11f27d355fbb14a7!8m2!3d-7.1510263!4d113.1942774!16s%2Fg%2F11nfks7csx!19sChIJHSE0V_kp2C0RpxS7XzV98hE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Torjun/@-7.1510263,113.1942774,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd829f95734211d:0x11f27d355fbb14a7!8m2!3d-7.1510263!4d113.1942774!16s%2Fg%2F11nfks7csx?authuser=0&hl=id&entry=ttu","113.1942774","-7.1510263","Alamat","R5XV+HPJ, Jl. Nasional 21, Kokowan, Torjun, Kec. Torjun, Kabupaten Sampang, Jawa Timur 69271"
"J&T Express Torjun",3.6,33,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Torjun/data=!4m7!3m6!1s0x2dd829f95734211d:0x11f27d355fbb14a7!8m2!3d-7.1510263!4d113.1942774!16s%2Fg%2F11nfks7csx!19sChIJHSE0V_kp2C0RpxS7XzV98hE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Torjun/@-7.1510263,113.1942774,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd829f95734211d:0x11f27d355fbb14a7!8m2!3d-7.1510263!4d113.1942774!16s%2Fg%2F11nfks7csx?authuser=0&hl=id&entry=ttu","113.1942774","-7.1510263","Situs Web","jet.co.id"
"J&T Express Torjun",3.6,33,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Torjun/data=!4m7!3m6!1s0x2dd829f95734211d:0x11f27d355fbb14a7!8m2!3d-7.1510263!4d113.1942774!16s%2Fg%2F11nfks7csx!19sChIJHSE0V_kp2C0RpxS7XzV98hE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Torjun/@-7.1510263,113.1942774,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd829f95734211d:0x11f27d355fbb14a7!8m2!3d-7.1510263!4d113.1942774!16s%2Fg%2F11nfks7csx?authuser=0&hl=id&entry=ttu","113.1942774","-7.1510263","Telepon","0878-5550-6391"
"J&T CARGO SAMPANG SPG001A",NA,NA,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+CARGO+SAMPANG+SPG001A/data=!4m7!3m6!1s0x2dd7870473bb8737:0x40b6d06f01a16121!8m2!3d-7.1941022!4d113.2412318!16s%2Fg%2F11sjzhky7t!19sChIJN4e7cwSH1y0RIWGhAW_QtkA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+SAMPANG+SPG001A/@-7.1941022,113.2412318,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7870473bb8737:0x40b6d06f01a16121!8m2!3d-7.1941022!4d113.2412318!16s%2Fg%2F11sjzhky7t?authuser=0&hl=id&entry=ttu","113.2412318","-7.1941022","Alamat","Jl. Imam Ghazali No.56, Rw. IX, Gn. Sekar, Kec. Sampang, Kabupaten Sampang, Jawa Timur 69216"
"J&T CARGO SAMPANG SPG001A",NA,NA,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+CARGO+SAMPANG+SPG001A/data=!4m7!3m6!1s0x2dd7870473bb8737:0x40b6d06f01a16121!8m2!3d-7.1941022!4d113.2412318!16s%2Fg%2F11sjzhky7t!19sChIJN4e7cwSH1y0RIWGhAW_QtkA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+SAMPANG+SPG001A/@-7.1941022,113.2412318,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7870473bb8737:0x40b6d06f01a16121!8m2!3d-7.1941022!4d113.2412318!16s%2Fg%2F11sjzhky7t?authuser=0&hl=id&entry=ttu","113.2412318","-7.1941022","Telepon","0882-3581-0476"
"J&T CARGO SAMPANG SPG001A",NA,NA,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+CARGO+SAMPANG+SPG001A/data=!4m7!3m6!1s0x2dd7870473bb8737:0x40b6d06f01a16121!8m2!3d-7.1941022!4d113.2412318!16s%2Fg%2F11sjzhky7t!19sChIJN4e7cwSH1y0RIWGhAW_QtkA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+SAMPANG+SPG001A/@-7.1941022,113.2412318,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7870473bb8737:0x40b6d06f01a16121!8m2!3d-7.1941022!4d113.2412318!16s%2Fg%2F11sjzhky7t?authuser=0&hl=id&entry=ttu","113.2412318","-7.1941022","Plus Codes","R64R+9F Gn. Sekar, Kabupaten Sampang, Jawa Timur"
"J&T Express SAMPANG_UTARA",3,44,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+SAMPANG_UTARA/data=!4m7!3m6!1s0x2dd835b2ce98704b:0x52e300521c80251d!8m2!3d-6.8943658!4d113.2937865!16s%2Fg%2F11fqy2lr_f!19sChIJS3CYzrI12C0RHSWAHFIA41I?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+SAMPANG_UTARA/@-6.8943658,113.2937865,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd835b2ce98704b:0x52e300521c80251d!8m2!3d-6.8943658!4d113.2937865!16s%2Fg%2F11fqy2lr_f?authuser=0&hl=id&entry=ttu","113.2937865","-6.8943658","Alamat","Jl. Raya, Ketapang Tengah, Ketapang Daya, Ketapang, Sampang Regency, East Java 69261"
