"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express Sanggau",2.8,52,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Sanggau/data=!4m7!3m6!1s0x31fd8e35fd8de96d:0x97a9f0f4052e277c!8m2!3d0.1227939!4d110.5751354!16s%2Fg%2F11cmmwtn24!19sChIJbemN_TWO_TERfCcuBfTwqZc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Sanggau/@0.1227939,110.5751354,17z/data=!3m1!4b1!4m6!3m5!1s0x31fd8e35fd8de96d:0x97a9f0f4052e277c!8m2!3d0.1227939!4d110.5751354!16s%2Fg%2F11cmmwtn24?authuser=0&hl=id&entry=ttu","110.5751354","0.1227939","Alamat","16, Jl. Jend. Sudirman No.6, Beringin, Kec. Kapuas, Kabupaten Sanggau, Kalimantan Barat 78516"
"J&T Express Sanggau",2.8,52,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Sanggau/data=!4m7!3m6!1s0x31fd8e35fd8de96d:0x97a9f0f4052e277c!8m2!3d0.1227939!4d110.5751354!16s%2Fg%2F11cmmwtn24!19sChIJbemN_TWO_TERfCcuBfTwqZc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Sanggau/@0.1227939,110.5751354,17z/data=!3m1!4b1!4m6!3m5!1s0x31fd8e35fd8de96d:0x97a9f0f4052e277c!8m2!3d0.1227939!4d110.5751354!16s%2Fg%2F11cmmwtn24?authuser=0&hl=id&entry=ttu","110.5751354","0.1227939","Situs Web","jet.co.id"
"J&T Express Sanggau",2.8,52,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Sanggau/data=!4m7!3m6!1s0x31fd8e35fd8de96d:0x97a9f0f4052e277c!8m2!3d0.1227939!4d110.5751354!16s%2Fg%2F11cmmwtn24!19sChIJbemN_TWO_TERfCcuBfTwqZc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Sanggau/@0.1227939,110.5751354,17z/data=!3m1!4b1!4m6!3m5!1s0x31fd8e35fd8de96d:0x97a9f0f4052e277c!8m2!3d0.1227939!4d110.5751354!16s%2Fg%2F11cmmwtn24?authuser=0&hl=id&entry=ttu","110.5751354","0.1227939","Telepon","0852-4603-0669"
"J&T Express Sanggau",2.8,52,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Sanggau/data=!4m7!3m6!1s0x31fd8e35fd8de96d:0x97a9f0f4052e277c!8m2!3d0.1227939!4d110.5751354!16s%2Fg%2F11cmmwtn24!19sChIJbemN_TWO_TERfCcuBfTwqZc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Sanggau/@0.1227939,110.5751354,17z/data=!3m1!4b1!4m6!3m5!1s0x31fd8e35fd8de96d:0x97a9f0f4052e277c!8m2!3d0.1227939!4d110.5751354!16s%2Fg%2F11cmmwtn24?authuser=0&hl=id&entry=ttu","110.5751354","0.1227939","Plus Codes","4HFG+43 Beringin, Kabupaten Sanggau, Kalimantan Barat"
"J&T Express Drop Point Sanggau",3.5,34,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/J%26T+Express+Drop+Point+Sanggau/data=!4m7!3m6!1s0x31fd8e6c9adaa9f1:0xa2e8aedb15d5a221!8m2!3d0.1206833!4d110.5996816!16s%2Fg%2F11g6q5n39_!19sChIJ8anammyO_TERIaLVFduu6KI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Drop+Point+Sanggau/@0.1206833,110.5996816,17z/data=!3m1!4b1!4m6!3m5!1s0x31fd8e6c9adaa9f1:0xa2e8aedb15d5a221!8m2!3d0.1206833!4d110.5996816!16s%2Fg%2F11g6q5n39_?authuser=0&hl=id&entry=ttu","110.5996816","0.1206833","Alamat","4HCX+7VF, Jl. Kartini, Ilir Kota, Kec. Kapuas, Kabupaten Sanggau, Kalimantan Barat 78516"
"J&T Express Drop Point Sanggau",3.5,34,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/J%26T+Express+Drop+Point+Sanggau/data=!4m7!3m6!1s0x31fd8e6c9adaa9f1:0xa2e8aedb15d5a221!8m2!3d0.1206833!4d110.5996816!16s%2Fg%2F11g6q5n39_!19sChIJ8anammyO_TERIaLVFduu6KI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Drop+Point+Sanggau/@0.1206833,110.5996816,17z/data=!3m1!4b1!4m6!3m5!1s0x31fd8e6c9adaa9f1:0xa2e8aedb15d5a221!8m2!3d0.1206833!4d110.5996816!16s%2Fg%2F11g6q5n39_?authuser=0&hl=id&entry=ttu","110.5996816","0.1206833","Situs Web","jet.co.id"
"J&T Express Drop Point Sanggau",3.5,34,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/J%26T+Express+Drop+Point+Sanggau/data=!4m7!3m6!1s0x31fd8e6c9adaa9f1:0xa2e8aedb15d5a221!8m2!3d0.1206833!4d110.5996816!16s%2Fg%2F11g6q5n39_!19sChIJ8anammyO_TERIaLVFduu6KI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Drop+Point+Sanggau/@0.1206833,110.5996816,17z/data=!3m1!4b1!4m6!3m5!1s0x31fd8e6c9adaa9f1:0xa2e8aedb15d5a221!8m2!3d0.1206833!4d110.5996816!16s%2Fg%2F11g6q5n39_?authuser=0&hl=id&entry=ttu","110.5996816","0.1206833","Telepon","0852-4603-0669"
"JNT EXPRESS SANGGAU KOTA",3.5,31,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/JNT+EXPRESS+SANGGAU+KOTA/data=!4m7!3m6!1s0x31fd8fa1f7d20ff1:0xe61f63df3d697781!8m2!3d0.1198162!4d110.5864269!16s%2Fg%2F11qmn46kv3!19sChIJ8Q_S96GP_TERgXdpPd9jH-Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+EXPRESS+SANGGAU+KOTA/@0.1198162,110.5864269,17z/data=!3m1!4b1!4m6!3m5!1s0x31fd8fa1f7d20ff1:0xe61f63df3d697781!8m2!3d0.1198162!4d110.5864269!16s%2Fg%2F11qmn46kv3?authuser=0&hl=id&entry=ttu","110.5864269","0.1198162","Alamat","4H9P+WHF, Jl. Jend. Sudirman, Beringin, Kec. Kapuas, Kabupaten Sanggau, Kalimantan Barat 78516"
"JNT EXPRESS SANGGAU KOTA",3.5,31,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/JNT+EXPRESS+SANGGAU+KOTA/data=!4m7!3m6!1s0x31fd8fa1f7d20ff1:0xe61f63df3d697781!8m2!3d0.1198162!4d110.5864269!16s%2Fg%2F11qmn46kv3!19sChIJ8Q_S96GP_TERgXdpPd9jH-Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+EXPRESS+SANGGAU+KOTA/@0.1198162,110.5864269,17z/data=!3m1!4b1!4m6!3m5!1s0x31fd8fa1f7d20ff1:0xe61f63df3d697781!8m2!3d0.1198162!4d110.5864269!16s%2Fg%2F11qmn46kv3?authuser=0&hl=id&entry=ttu","110.5864269","0.1198162","Situs Web","jet.co.id"
"JNT EXPRESS SANGGAU KOTA",3.5,31,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/JNT+EXPRESS+SANGGAU+KOTA/data=!4m7!3m6!1s0x31fd8fa1f7d20ff1:0xe61f63df3d697781!8m2!3d0.1198162!4d110.5864269!16s%2Fg%2F11qmn46kv3!19sChIJ8Q_S96GP_TERgXdpPd9jH-Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+EXPRESS+SANGGAU+KOTA/@0.1198162,110.5864269,17z/data=!3m1!4b1!4m6!3m5!1s0x31fd8fa1f7d20ff1:0xe61f63df3d697781!8m2!3d0.1198162!4d110.5864269!16s%2Fg%2F11qmn46kv3?authuser=0&hl=id&entry=ttu","110.5864269","0.1198162","Telepon","0852-4603-0669"
