"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T EXPRESS",4,140,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+EXPRESS/data=!4m7!3m6!1s0x2d95f67bbd4d7777:0x2753c5f5ad3c89c5!8m2!3d-4.3511322!4d119.8943101!16s%2Fg%2F11c1qyj247!19sChIJd3dNvXv2lS0RxYk8rfXFUyc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS/@-4.3511322,119.8943101,17z/data=!3m1!4b1!4m6!3m5!1s0x2d95f67bbd4d7777:0x2753c5f5ad3c89c5!8m2!3d-4.3511322!4d119.8943101!16s%2Fg%2F11c1qyj247?authuser=0&hl=id&entry=ttu","119.8943101","-4.3511322","Alamat","Jl. Paddanreng Watu, Lemba, Kec. Lalabata, Kabupaten Soppeng, Sulawesi Selatan 90814"
"J&T EXPRESS",4,140,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+EXPRESS/data=!4m7!3m6!1s0x2d95f67bbd4d7777:0x2753c5f5ad3c89c5!8m2!3d-4.3511322!4d119.8943101!16s%2Fg%2F11c1qyj247!19sChIJd3dNvXv2lS0RxYk8rfXFUyc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS/@-4.3511322,119.8943101,17z/data=!3m1!4b1!4m6!3m5!1s0x2d95f67bbd4d7777:0x2753c5f5ad3c89c5!8m2!3d-4.3511322!4d119.8943101!16s%2Fg%2F11c1qyj247?authuser=0&hl=id&entry=ttu","119.8943101","-4.3511322","Situs Web","jet.co.id"
"J&T EXPRESS",4,140,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+EXPRESS/data=!4m7!3m6!1s0x2d95f67bbd4d7777:0x2753c5f5ad3c89c5!8m2!3d-4.3511322!4d119.8943101!16s%2Fg%2F11c1qyj247!19sChIJd3dNvXv2lS0RxYk8rfXFUyc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS/@-4.3511322,119.8943101,17z/data=!3m1!4b1!4m6!3m5!1s0x2d95f67bbd4d7777:0x2753c5f5ad3c89c5!8m2!3d-4.3511322!4d119.8943101!16s%2Fg%2F11c1qyj247?authuser=0&hl=id&entry=ttu","119.8943101","-4.3511322","Telepon","(021) 80661888"
"J&T EXPRESS",4,140,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+EXPRESS/data=!4m7!3m6!1s0x2d95f67bbd4d7777:0x2753c5f5ad3c89c5!8m2!3d-4.3511322!4d119.8943101!16s%2Fg%2F11c1qyj247!19sChIJd3dNvXv2lS0RxYk8rfXFUyc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS/@-4.3511322,119.8943101,17z/data=!3m1!4b1!4m6!3m5!1s0x2d95f67bbd4d7777:0x2753c5f5ad3c89c5!8m2!3d-4.3511322!4d119.8943101!16s%2Fg%2F11c1qyj247?authuser=0&hl=id&entry=ttu","119.8943101","-4.3511322","Plus Codes","JVXV+GP Lemba, Kabupaten Soppeng, Sulawesi Selatan"
"J&T EXPRESS TAKKALALA",3,159,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+EXPRESS+TAKKALALA/data=!4m7!3m6!1s0x2dbe1c9fb080829b:0xb8bce5da8613c037!8m2!3d-4.457663!4d119.9487021!16s%2Fg%2F11gfkh2cd5!19sChIJm4KAsJ8cvi0RN8AThtrlvLg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+TAKKALALA/@-4.457663,119.9487021,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbe1c9fb080829b:0xb8bce5da8613c037!8m2!3d-4.457663!4d119.9487021!16s%2Fg%2F11gfkh2cd5?authuser=0&hl=id&entry=ttu","119.9487021","-4.457663","Alamat","Jalan madrasa takalala ( via bulu dua Tettikenrarae, Tettikengrarae, Kec. Mario Riwawo, Kabupaten Soppeng, Sulawesi Selatan 90862"
"J&T EXPRESS TAKKALALA",3,159,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+EXPRESS+TAKKALALA/data=!4m7!3m6!1s0x2dbe1c9fb080829b:0xb8bce5da8613c037!8m2!3d-4.457663!4d119.9487021!16s%2Fg%2F11gfkh2cd5!19sChIJm4KAsJ8cvi0RN8AThtrlvLg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+TAKKALALA/@-4.457663,119.9487021,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbe1c9fb080829b:0xb8bce5da8613c037!8m2!3d-4.457663!4d119.9487021!16s%2Fg%2F11gfkh2cd5?authuser=0&hl=id&entry=ttu","119.9487021","-4.457663","Situs Web","jet.co.id"
"J&T EXPRESS TAKKALALA",3,159,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+EXPRESS+TAKKALALA/data=!4m7!3m6!1s0x2dbe1c9fb080829b:0xb8bce5da8613c037!8m2!3d-4.457663!4d119.9487021!16s%2Fg%2F11gfkh2cd5!19sChIJm4KAsJ8cvi0RN8AThtrlvLg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+TAKKALALA/@-4.457663,119.9487021,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbe1c9fb080829b:0xb8bce5da8613c037!8m2!3d-4.457663!4d119.9487021!16s%2Fg%2F11gfkh2cd5?authuser=0&hl=id&entry=ttu","119.9487021","-4.457663","Telepon","(021) 80661888"
"J&T EXPRESS TAKKALALA",3,159,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+EXPRESS+TAKKALALA/data=!4m7!3m6!1s0x2dbe1c9fb080829b:0xb8bce5da8613c037!8m2!3d-4.457663!4d119.9487021!16s%2Fg%2F11gfkh2cd5!19sChIJm4KAsJ8cvi0RN8AThtrlvLg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+TAKKALALA/@-4.457663,119.9487021,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbe1c9fb080829b:0xb8bce5da8613c037!8m2!3d-4.457663!4d119.9487021!16s%2Fg%2F11gfkh2cd5?authuser=0&hl=id&entry=ttu","119.9487021","-4.457663","Plus Codes","GWRX+WF Tettikengrarae, Kabupaten Soppeng, Sulawesi Selatan"
"JNT Cargo Soppeng WSE001A",4.3,3,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/JNT+Cargo+Soppeng+WSE001A/data=!4m7!3m6!1s0x2d95f7095b990447:0xaad95d671c31afc5!8m2!3d-4.3538946!4d119.8876071!16s%2Fg%2F11q4b9h00j!19sChIJRwSZWwn3lS0Rxa8xHGdd2ao?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+Cargo+Soppeng+WSE001A/@-4.3538946,119.8876071,17z/data=!3m1!4b1!4m6!3m5!1s0x2d95f7095b990447:0xaad95d671c31afc5!8m2!3d-4.3538946!4d119.8876071!16s%2Fg%2F11q4b9h00j?authuser=0&hl=id&entry=ttu","119.8876071","-4.3538946","Alamat","Jl. Kemakmuran No.173, Lemba, Kec. Lalabata, Kabupaten Soppeng, Sulawesi Selatan 90811"
"JNT Cargo Soppeng WSE001A",4.3,3,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/JNT+Cargo+Soppeng+WSE001A/data=!4m7!3m6!1s0x2d95f7095b990447:0xaad95d671c31afc5!8m2!3d-4.3538946!4d119.8876071!16s%2Fg%2F11q4b9h00j!19sChIJRwSZWwn3lS0Rxa8xHGdd2ao?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+Cargo+Soppeng+WSE001A/@-4.3538946,119.8876071,17z/data=!3m1!4b1!4m6!3m5!1s0x2d95f7095b990447:0xaad95d671c31afc5!8m2!3d-4.3538946!4d119.8876071!16s%2Fg%2F11q4b9h00j?authuser=0&hl=id&entry=ttu","119.8876071","-4.3538946","Plus Codes","JVWQ+C2 Lemba, Kabupaten Soppeng, Sulawesi Selatan"
