"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express GUBENG",4.2,674,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+GUBENG/data=!4m7!3m6!1s0x2dd7fbc52ebb9e37:0x2cd3388e2114dd07!8m2!3d-7.2772279!4d112.7483083!16s%2Fg%2F11c4bjtw1t!19sChIJN567LsX71y0RB90UIY440yw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+GUBENG/@-7.2772279,112.7483083,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7fbc52ebb9e37:0x2cd3388e2114dd07!8m2!3d-7.2772279!4d112.7483083!16s%2Fg%2F11c4bjtw1t?authuser=0&hl=id&entry=ttu","112.7483083","-7.2772279","Alamat","Jl. Sulawesi No.42, Ngagel, Kec. Wonokromo, Surabaya, Jawa Timur 60246"
"J&T Express GUBENG",4.2,674,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+GUBENG/data=!4m7!3m6!1s0x2dd7fbc52ebb9e37:0x2cd3388e2114dd07!8m2!3d-7.2772279!4d112.7483083!16s%2Fg%2F11c4bjtw1t!19sChIJN567LsX71y0RB90UIY440yw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+GUBENG/@-7.2772279,112.7483083,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7fbc52ebb9e37:0x2cd3388e2114dd07!8m2!3d-7.2772279!4d112.7483083!16s%2Fg%2F11c4bjtw1t?authuser=0&hl=id&entry=ttu","112.7483083","-7.2772279","Situs Web","jet.co.id"
"J&T Express GUBENG",4.2,674,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+GUBENG/data=!4m7!3m6!1s0x2dd7fbc52ebb9e37:0x2cd3388e2114dd07!8m2!3d-7.2772279!4d112.7483083!16s%2Fg%2F11c4bjtw1t!19sChIJN567LsX71y0RB90UIY440yw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+GUBENG/@-7.2772279,112.7483083,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7fbc52ebb9e37:0x2cd3388e2114dd07!8m2!3d-7.2772279!4d112.7483083!16s%2Fg%2F11c4bjtw1t?authuser=0&hl=id&entry=ttu","112.7483083","-7.2772279","Telepon","(031) 99449755"
"J&T Express GUBENG",4.2,674,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+GUBENG/data=!4m7!3m6!1s0x2dd7fbc52ebb9e37:0x2cd3388e2114dd07!8m2!3d-7.2772279!4d112.7483083!16s%2Fg%2F11c4bjtw1t!19sChIJN567LsX71y0RB90UIY440yw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+GUBENG/@-7.2772279,112.7483083,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7fbc52ebb9e37:0x2cd3388e2114dd07!8m2!3d-7.2772279!4d112.7483083!16s%2Fg%2F11c4bjtw1t?authuser=0&hl=id&entry=ttu","112.7483083","-7.2772279","Plus Codes","PPFX+48 Ngagel, Surabaya, Jawa Timur"
"J&T Express Karang Empat Besar",4.4,145,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Karang+Empat+Besar/data=!4m7!3m6!1s0x2dd7f99bfbf637fb:0x6c3568f1783249b4!8m2!3d-7.2508663!4d112.7696163!16s%2Fg%2F11g8w9sf50!19sChIJ-zf2-5v51y0RtEkyePFoNWw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Karang+Empat+Besar/@-7.2508663,112.7696163,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7f99bfbf637fb:0x6c3568f1783249b4!8m2!3d-7.2508663!4d112.7696163!16s%2Fg%2F11g8w9sf50?authuser=0&hl=id&entry=ttu","112.7696163","-7.2508663","Alamat","Jl. Karang Empat Besar No.28A, Ploso, Kec. Tambaksari, Surabaya, Jawa Timur 60133"
"J&T Express Karang Empat Besar",4.4,145,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Karang+Empat+Besar/data=!4m7!3m6!1s0x2dd7f99bfbf637fb:0x6c3568f1783249b4!8m2!3d-7.2508663!4d112.7696163!16s%2Fg%2F11g8w9sf50!19sChIJ-zf2-5v51y0RtEkyePFoNWw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Karang+Empat+Besar/@-7.2508663,112.7696163,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7f99bfbf637fb:0x6c3568f1783249b4!8m2!3d-7.2508663!4d112.7696163!16s%2Fg%2F11g8w9sf50?authuser=0&hl=id&entry=ttu","112.7696163","-7.2508663","Situs Web","jet.co.id"
"J&T Express Karang Empat Besar",4.4,145,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Karang+Empat+Besar/data=!4m7!3m6!1s0x2dd7f99bfbf637fb:0x6c3568f1783249b4!8m2!3d-7.2508663!4d112.7696163!16s%2Fg%2F11g8w9sf50!19sChIJ-zf2-5v51y0RtEkyePFoNWw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Karang+Empat+Besar/@-7.2508663,112.7696163,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7f99bfbf637fb:0x6c3568f1783249b4!8m2!3d-7.2508663!4d112.7696163!16s%2Fg%2F11g8w9sf50?authuser=0&hl=id&entry=ttu","112.7696163","-7.2508663","Telepon","(031) 99929318"
"J&T Express Karang Empat Besar",4.4,145,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Karang+Empat+Besar/data=!4m7!3m6!1s0x2dd7f99bfbf637fb:0x6c3568f1783249b4!8m2!3d-7.2508663!4d112.7696163!16s%2Fg%2F11g8w9sf50!19sChIJ-zf2-5v51y0RtEkyePFoNWw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Karang+Empat+Besar/@-7.2508663,112.7696163,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7f99bfbf637fb:0x6c3568f1783249b4!8m2!3d-7.2508663!4d112.7696163!16s%2Fg%2F11g8w9sf50?authuser=0&hl=id&entry=ttu","112.7696163","-7.2508663","Plus Codes","PQX9+MR Ploso, Surabaya, Jawa Timur"
"J&T Express Cabang Raya Banyu Urip",4.2,140,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Cabang+Raya+Banyu+Urip/data=!4m7!3m6!1s0x2dd7fbfe5a6aadfb:0x6bfef56ba478b2f5!8m2!3d-7.2703005!4d112.7189717!16s%2Fg%2F11gfdvsc50!19sChIJ-61qWv771y0R9bJ4pGv1_ms?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Cabang+Raya+Banyu+Urip/@-7.2703005,112.7189717,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7fbfe5a6aadfb:0x6bfef56ba478b2f5!8m2!3d-7.2703005!4d112.7189717!16s%2Fg%2F11gfdvsc50?authuser=0&hl=id&entry=ttu","112.7189717","-7.2703005","Alamat","Jl. Banyu Urip No.157, Banyu Urip, Kec. Sawahan, Surabaya, Jawa Timur 60254"
"J&T Express Cabang Raya Banyu Urip",4.2,140,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Cabang+Raya+Banyu+Urip/data=!4m7!3m6!1s0x2dd7fbfe5a6aadfb:0x6bfef56ba478b2f5!8m2!3d-7.2703005!4d112.7189717!16s%2Fg%2F11gfdvsc50!19sChIJ-61qWv771y0R9bJ4pGv1_ms?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Cabang+Raya+Banyu+Urip/@-7.2703005,112.7189717,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7fbfe5a6aadfb:0x6bfef56ba478b2f5!8m2!3d-7.2703005!4d112.7189717!16s%2Fg%2F11gfdvsc50?authuser=0&hl=id&entry=ttu","112.7189717","-7.2703005","Situs Web","jet.co.id"
