"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express Margadana Tegal",3.7,194,"Buka ⋅ Tutup pukul 15.00","https://www.google.com/maps/place/J%26T+Express+Margadana+Tegal/data=!4m7!3m6!1s0x2e6fba1100670461:0xf5d77f9899c10609!8m2!3d-6.8583967!4d109.1312186!16s%2Fg%2F11c5s2zv0z!19sChIJYQRnABG6by4RCQbBmZh_1_U?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Margadana+Tegal/@-6.8583967,109.1312186,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6fba1100670461:0xf5d77f9899c10609!8m2!3d-6.8583967!4d109.1312186!16s%2Fg%2F11c5s2zv0z?authuser=0&hl=id&entry=ttu","109.1312186","-6.8583967","Alamat","Jl. Hang Tuah No.5, RT.03/RW.05, Tegalsari, Kec. Tegal Bar., Kota Tegal, Jawa Tengah 52111"
"J&T Express Margadana Tegal",3.7,194,"Buka ⋅ Tutup pukul 15.00","https://www.google.com/maps/place/J%26T+Express+Margadana+Tegal/data=!4m7!3m6!1s0x2e6fba1100670461:0xf5d77f9899c10609!8m2!3d-6.8583967!4d109.1312186!16s%2Fg%2F11c5s2zv0z!19sChIJYQRnABG6by4RCQbBmZh_1_U?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Margadana+Tegal/@-6.8583967,109.1312186,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6fba1100670461:0xf5d77f9899c10609!8m2!3d-6.8583967!4d109.1312186!16s%2Fg%2F11c5s2zv0z?authuser=0&hl=id&entry=ttu","109.1312186","-6.8583967","Situs Web","jet.co.id"
"J&T Express Margadana Tegal",3.7,194,"Buka ⋅ Tutup pukul 15.00","https://www.google.com/maps/place/J%26T+Express+Margadana+Tegal/data=!4m7!3m6!1s0x2e6fba1100670461:0xf5d77f9899c10609!8m2!3d-6.8583967!4d109.1312186!16s%2Fg%2F11c5s2zv0z!19sChIJYQRnABG6by4RCQbBmZh_1_U?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Margadana+Tegal/@-6.8583967,109.1312186,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6fba1100670461:0xf5d77f9899c10609!8m2!3d-6.8583967!4d109.1312186!16s%2Fg%2F11c5s2zv0z?authuser=0&hl=id&entry=ttu","109.1312186","-6.8583967","Plus Codes","44RJ+JF Tegalsari, Kota Tegal, Jawa Tengah"
"J&T EXPRESS",3.3,429,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+EXPRESS/data=!4m7!3m6!1s0x2e6fb82a2db47315:0x15e815662817a2c!8m2!3d-6.8692002!4d109.1472285!16s%2Fg%2F11cmmwrpjw!19sChIJFXO0LSq4by4RLHqBYlaBXgE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS/@-6.8692002,109.1472285,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6fb82a2db47315:0x15e815662817a2c!8m2!3d-6.8692002!4d109.1472285!16s%2Fg%2F11cmmwrpjw?authuser=0&hl=id&entry=ttu","109.1472285","-6.8692002","Alamat","Jl. Hanoman Ruko No.1, Slerok, Kec. Tegal Tim., Kota Tegal, Jawa Tengah 52125"
"J&T EXPRESS",3.3,429,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+EXPRESS/data=!4m7!3m6!1s0x2e6fb82a2db47315:0x15e815662817a2c!8m2!3d-6.8692002!4d109.1472285!16s%2Fg%2F11cmmwrpjw!19sChIJFXO0LSq4by4RLHqBYlaBXgE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS/@-6.8692002,109.1472285,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6fb82a2db47315:0x15e815662817a2c!8m2!3d-6.8692002!4d109.1472285!16s%2Fg%2F11cmmwrpjw?authuser=0&hl=id&entry=ttu","109.1472285","-6.8692002","Situs Web","jet.co.id"
"J&T EXPRESS",3.3,429,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+EXPRESS/data=!4m7!3m6!1s0x2e6fb82a2db47315:0x15e815662817a2c!8m2!3d-6.8692002!4d109.1472285!16s%2Fg%2F11cmmwrpjw!19sChIJFXO0LSq4by4RLHqBYlaBXgE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS/@-6.8692002,109.1472285,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6fb82a2db47315:0x15e815662817a2c!8m2!3d-6.8692002!4d109.1472285!16s%2Fg%2F11cmmwrpjw?authuser=0&hl=id&entry=ttu","109.1472285","-6.8692002","Telepon","(0283) 4531791"
"J&T EXPRESS",3.3,429,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+EXPRESS/data=!4m7!3m6!1s0x2e6fb82a2db47315:0x15e815662817a2c!8m2!3d-6.8692002!4d109.1472285!16s%2Fg%2F11cmmwrpjw!19sChIJFXO0LSq4by4RLHqBYlaBXgE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS/@-6.8692002,109.1472285,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6fb82a2db47315:0x15e815662817a2c!8m2!3d-6.8692002!4d109.1472285!16s%2Fg%2F11cmmwrpjw?authuser=0&hl=id&entry=ttu","109.1472285","-6.8692002","Plus Codes","44JW+8V Slerok, Kota Tegal, Jawa Tengah"
"J&T Express",3.6,154,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express/data=!4m7!3m6!1s0x2e6fb9b9b0e27247:0x3caff8c27e1b353e!8m2!3d-6.8916172!4d109.1265903!16s%2Fg%2F11dyp02916!19sChIJR3LisLm5by4RPjUbfsL4rzw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express/@-6.8916172,109.1265903,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6fb9b9b0e27247:0x3caff8c27e1b353e!8m2!3d-6.8916172!4d109.1265903!16s%2Fg%2F11dyp02916?authuser=0&hl=id&entry=ttu","109.1265903","-6.8916172","Alamat","Jl. Teuku Umar No.113, Debong Tengah, Kec. Tegal Sel., Kota Tegal, Jawa Tengah 52132"
"J&T Express",3.6,154,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express/data=!4m7!3m6!1s0x2e6fb9b9b0e27247:0x3caff8c27e1b353e!8m2!3d-6.8916172!4d109.1265903!16s%2Fg%2F11dyp02916!19sChIJR3LisLm5by4RPjUbfsL4rzw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express/@-6.8916172,109.1265903,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6fb9b9b0e27247:0x3caff8c27e1b353e!8m2!3d-6.8916172!4d109.1265903!16s%2Fg%2F11dyp02916?authuser=0&hl=id&entry=ttu","109.1265903","-6.8916172","Situs Web","jet.co.id"
"J&T Express",3.6,154,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express/data=!4m7!3m6!1s0x2e6fb9b9b0e27247:0x3caff8c27e1b353e!8m2!3d-6.8916172!4d109.1265903!16s%2Fg%2F11dyp02916!19sChIJR3LisLm5by4RPjUbfsL4rzw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express/@-6.8916172,109.1265903,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6fb9b9b0e27247:0x3caff8c27e1b353e!8m2!3d-6.8916172!4d109.1265903!16s%2Fg%2F11dyp02916?authuser=0&hl=id&entry=ttu","109.1265903","-6.8916172","Plus Codes","445G+9J Debong Tengah, Kota Tegal, Jawa Tengah"
