"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"NINJA XPRESS KEROBOKAN KAJA","Jasa Pengiriman",2,12,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/NINJA+XPRESS+KEROBOKAN+KAJA/data=!4m7!3m6!1s0x2dd239c706ccb52f:0xe4560f5b121c7ef6!8m2!3d-8.6310442!4d115.1680641!16s%2Fg%2F11t0r3n4ps!19sChIJL7XMBsc50i0R9n4cElsPVuQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+KEROBOKAN+KAJA/@-8.6310442,115.1680641,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd239c706ccb52f:0xe4560f5b121c7ef6!8m2!3d-8.6310442!4d115.1680641!16s%2Fg%2F11t0r3n4ps?authuser=0&hl=id&entry=ttu","115.1680641","-8.6310442","Alamat","Jl. Perum Dalung Permai Blok YY no. 888 C, Kerobokan Kaja, Kec. Kuta Utara, Kabupaten Badung, Bali 80362"
"NINJA XPRESS KEROBOKAN KAJA","Jasa Pengiriman",2,12,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/NINJA+XPRESS+KEROBOKAN+KAJA/data=!4m7!3m6!1s0x2dd239c706ccb52f:0xe4560f5b121c7ef6!8m2!3d-8.6310442!4d115.1680641!16s%2Fg%2F11t0r3n4ps!19sChIJL7XMBsc50i0R9n4cElsPVuQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+KEROBOKAN+KAJA/@-8.6310442,115.1680641,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd239c706ccb52f:0xe4560f5b121c7ef6!8m2!3d-8.6310442!4d115.1680641!16s%2Fg%2F11t0r3n4ps?authuser=0&hl=id&entry=ttu","115.1680641","-8.6310442","Plus Codes","9599+H6 Kerobokan Kaja, Kabupaten Badung, Bali"
"Ninja Express Station AS1","Gudang",1,1,"unknown","https://www.google.com/maps/place/Ninja+Express+Station+AS1/data=!4m7!3m6!1s0x2dd23f606ca81089:0xf950ff1dba33a0d1!8m2!3d-8.5814872!4d115.212026!16s%2Fg%2F11s3y2ktb9!19sChIJiRCobGA_0i0R0aAzuh3_UPk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Express+Station+AS1/@-8.5814872,115.212026,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23f606ca81089:0xf950ff1dba33a0d1!8m2!3d-8.5814872!4d115.212026!16s%2Fg%2F11s3y2ktb9?authuser=0&hl=id&entry=ttu","115.212026","-8.5814872","Alamat","C696+CR2, Sibang Gede, Kec. Abiansemal, Kabupaten Badung, Bali"
"Ninja Fast Fresh Food","Restoran Masakan Ayam",NA,NA,"Tutup ⋅ Buka Rab pukul 06.00","https://www.google.com/maps/place/Ninja+Fast+Fresh+Food/data=!4m7!3m6!1s0x2dd25dc30a0f170b:0xb367e319c3691ac4!8m2!3d-8.8257006!4d115.2143118!16s%2Fg%2F11jttmrdnm!19sChIJCxcPCsNd0i0RxBppwxnjZ7M?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Fast+Fresh+Food/@-8.8257006,115.2143118,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd25dc30a0f170b:0xb367e319c3691ac4!8m2!3d-8.8257006!4d115.2143118!16s%2Fg%2F11jttmrdnm?authuser=0&hl=id&entry=ttu","115.2143118","-8.8257006","Alamat","Jl. Kemuning No.23, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361"
"Ninja Fast Fresh Food","Restoran Masakan Ayam",NA,NA,"Tutup ⋅ Buka Rab pukul 06.00","https://www.google.com/maps/place/Ninja+Fast+Fresh+Food/data=!4m7!3m6!1s0x2dd25dc30a0f170b:0xb367e319c3691ac4!8m2!3d-8.8257006!4d115.2143118!16s%2Fg%2F11jttmrdnm!19sChIJCxcPCsNd0i0RxBppwxnjZ7M?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Fast+Fresh+Food/@-8.8257006,115.2143118,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd25dc30a0f170b:0xb367e319c3691ac4!8m2!3d-8.8257006!4d115.2143118!16s%2Fg%2F11jttmrdnm?authuser=0&hl=id&entry=ttu","115.2143118","-8.8257006","Telepon","0878-6015-1912"
"Ninja Fast Fresh Food","Restoran Masakan Ayam",NA,NA,"Tutup ⋅ Buka Rab pukul 06.00","https://www.google.com/maps/place/Ninja+Fast+Fresh+Food/data=!4m7!3m6!1s0x2dd25dc30a0f170b:0xb367e319c3691ac4!8m2!3d-8.8257006!4d115.2143118!16s%2Fg%2F11jttmrdnm!19sChIJCxcPCsNd0i0RxBppwxnjZ7M?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Fast+Fresh+Food/@-8.8257006,115.2143118,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd25dc30a0f170b:0xb367e319c3691ac4!8m2!3d-8.8257006!4d115.2143118!16s%2Fg%2F11jttmrdnm?authuser=0&hl=id&entry=ttu","115.2143118","-8.8257006","Plus Codes","56F7+PP Benoa, Kabupaten Badung, Bali"
"ninja rental bali","Penyewaan Sepeda Motor",NA,NA,"Buka 24 jam","https://www.google.com/maps/place/ninja+rental+bali/data=!4m7!3m6!1s0x2dd24794041a9bb9:0xa8cb2daf6a361a99!8m2!3d-8.7117496!4d115.1672004!16s%2Fg%2F11fnp_c3x4!19sChIJuZsaBJRH0i0RmRo2aq8ty6g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/ninja+rental+bali/@-8.7117496,115.1672004,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd24794041a9bb9:0xa8cb2daf6a361a99!8m2!3d-8.7117496!4d115.1672004!16s%2Fg%2F11fnp_c3x4?authuser=0&hl=id&entry=ttu","115.1672004","-8.7117496","Alamat","Jl. Pantai Kuta, Legian, Kec. Kuta, Kabupaten Badung, Bali"
"ninja rental bali","Penyewaan Sepeda Motor",NA,NA,"Buka 24 jam","https://www.google.com/maps/place/ninja+rental+bali/data=!4m7!3m6!1s0x2dd24794041a9bb9:0xa8cb2daf6a361a99!8m2!3d-8.7117496!4d115.1672004!16s%2Fg%2F11fnp_c3x4!19sChIJuZsaBJRH0i0RmRo2aq8ty6g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/ninja+rental+bali/@-8.7117496,115.1672004,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd24794041a9bb9:0xa8cb2daf6a361a99!8m2!3d-8.7117496!4d115.1672004!16s%2Fg%2F11fnp_c3x4?authuser=0&hl=id&entry=ttu","115.1672004","-8.7117496","Situs Web","ninjarentalbali.com"
"ninja rental bali","Penyewaan Sepeda Motor",NA,NA,"Buka 24 jam","https://www.google.com/maps/place/ninja+rental+bali/data=!4m7!3m6!1s0x2dd24794041a9bb9:0xa8cb2daf6a361a99!8m2!3d-8.7117496!4d115.1672004!16s%2Fg%2F11fnp_c3x4!19sChIJuZsaBJRH0i0RmRo2aq8ty6g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/ninja+rental+bali/@-8.7117496,115.1672004,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd24794041a9bb9:0xa8cb2daf6a361a99!8m2!3d-8.7117496!4d115.1672004!16s%2Fg%2F11fnp_c3x4?authuser=0&hl=id&entry=ttu","115.1672004","-8.7117496","Telepon","0819-1666-3383"
"ninja rental bali","Penyewaan Sepeda Motor",NA,NA,"Buka 24 jam","https://www.google.com/maps/place/ninja+rental+bali/data=!4m7!3m6!1s0x2dd24794041a9bb9:0xa8cb2daf6a361a99!8m2!3d-8.7117496!4d115.1672004!16s%2Fg%2F11fnp_c3x4!19sChIJuZsaBJRH0i0RmRo2aq8ty6g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/ninja+rental+bali/@-8.7117496,115.1672004,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd24794041a9bb9:0xa8cb2daf6a361a99!8m2!3d-8.7117496!4d115.1672004!16s%2Fg%2F11fnp_c3x4?authuser=0&hl=id&entry=ttu","115.1672004","-8.7117496","Plus Codes","75Q8+8V Legian, Kabupaten Badung, Bali"
