"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Ninja Xpress Laksanamekar","Jasa Kurir",5,6,"Tutup ⋅ Buka Rab pukul 10.00","https://www.google.com/maps/place/Ninja+Xpress+Laksanamekar/data=!4m7!3m6!1s0x2e68e5bf0d960dc1:0x807bd732df465932!8m2!3d-6.8864966!4d107.5035375!16s%2Fg%2F11ly7cz_ps!19sChIJwQ2WDb_laC4RMllG3zLXe4A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Laksanamekar/@-6.8864966,107.5035375,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68e5bf0d960dc1:0x807bd732df465932!8m2!3d-6.8864966!4d107.5035375!16s%2Fg%2F11ly7cz_ps?authuser=0&hl=id&entry=ttu","107.5035375","-6.8864966","Alamat","Jl. Raya Batujajar, Cimareme, Kec. Ngamprah, Kabupaten Bandung Barat, Jawa Barat 40553"
"Ninja Xpress Laksanamekar","Jasa Kurir",5,6,"Tutup ⋅ Buka Rab pukul 10.00","https://www.google.com/maps/place/Ninja+Xpress+Laksanamekar/data=!4m7!3m6!1s0x2e68e5bf0d960dc1:0x807bd732df465932!8m2!3d-6.8864966!4d107.5035375!16s%2Fg%2F11ly7cz_ps!19sChIJwQ2WDb_laC4RMllG3zLXe4A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Laksanamekar/@-6.8864966,107.5035375,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68e5bf0d960dc1:0x807bd732df465932!8m2!3d-6.8864966!4d107.5035375!16s%2Fg%2F11ly7cz_ps?authuser=0&hl=id&entry=ttu","107.5035375","-6.8864966","Plus Codes","4G73+CC Cimareme, Kabupaten Bandung Barat, Jawa Barat"
"Ninja Xpress Padalarang PDL","Perusahaan Ekspedisi",2.7,15,"unknown","https://www.google.com/maps/place/Ninja+Xpress+Padalarang+PDL/data=!4m7!3m6!1s0x2e68fbf99aa3dbc5:0x215c557f79c0f5cc!8m2!3d-6.8562592!4d107.4767357!16s%2Fg%2F11jn46_1wd!19sChIJxdujmvn7aC4RzPXAeX9VXCE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Padalarang+PDL/@-6.8562592,107.4767357,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68fbf99aa3dbc5:0x215c557f79c0f5cc!8m2!3d-6.8562592!4d107.4767357!16s%2Fg%2F11jn46_1wd?authuser=0&hl=id&entry=ttu","107.4767357","-6.8562592","Alamat","Jl. Kec., Kertajaya, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553"
"Ninja Xpress Padalarang PDL","Perusahaan Ekspedisi",2.7,15,"unknown","https://www.google.com/maps/place/Ninja+Xpress+Padalarang+PDL/data=!4m7!3m6!1s0x2e68fbf99aa3dbc5:0x215c557f79c0f5cc!8m2!3d-6.8562592!4d107.4767357!16s%2Fg%2F11jn46_1wd!19sChIJxdujmvn7aC4RzPXAeX9VXCE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Padalarang+PDL/@-6.8562592,107.4767357,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68fbf99aa3dbc5:0x215c557f79c0f5cc!8m2!3d-6.8562592!4d107.4767357!16s%2Fg%2F11jn46_1wd?authuser=0&hl=id&entry=ttu","107.4767357","-6.8562592","Plus Codes","4FVG+FM Kertajaya, Kabupaten Bandung Barat, Jawa Barat"
"Ninja Express Selacau","Layanan Transportasi",NA,NA,"Tutup ⋅ Buka Rab pukul 09.30","https://www.google.com/maps/place/Ninja+Express+Selacau/data=!4m7!3m6!1s0x2e68e5d47c0ed35d:0xcd74aee75b1981e4!8m2!3d-6.9298332!4d107.5037867!16s%2Fg%2F11q_bycwd9!19sChIJXdMOfNTlaC4R5IEZW-eudM0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Express+Selacau/@-6.9298332,107.5037867,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68e5d47c0ed35d:0xcd74aee75b1981e4!8m2!3d-6.9298332!4d107.5037867!16s%2Fg%2F11q_bycwd9?authuser=0&hl=id&entry=ttu","107.5037867","-6.9298332","Alamat","Jl. Raya Sinar Mukti No.294, Selacau, Kec. Batujajar, Kabupaten Bandung Barat, Jawa Barat 40561"
"Ninja Express Selacau","Layanan Transportasi",NA,NA,"Tutup ⋅ Buka Rab pukul 09.30","https://www.google.com/maps/place/Ninja+Express+Selacau/data=!4m7!3m6!1s0x2e68e5d47c0ed35d:0xcd74aee75b1981e4!8m2!3d-6.9298332!4d107.5037867!16s%2Fg%2F11q_bycwd9!19sChIJXdMOfNTlaC4R5IEZW-eudM0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Express+Selacau/@-6.9298332,107.5037867,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68e5d47c0ed35d:0xcd74aee75b1981e4!8m2!3d-6.9298332!4d107.5037867!16s%2Fg%2F11q_bycwd9?authuser=0&hl=id&entry=ttu","107.5037867","-6.9298332","Telepon","0813-9457-1975"
"Ninja Express Selacau","Layanan Transportasi",NA,NA,"Tutup ⋅ Buka Rab pukul 09.30","https://www.google.com/maps/place/Ninja+Express+Selacau/data=!4m7!3m6!1s0x2e68e5d47c0ed35d:0xcd74aee75b1981e4!8m2!3d-6.9298332!4d107.5037867!16s%2Fg%2F11q_bycwd9!19sChIJXdMOfNTlaC4R5IEZW-eudM0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Express+Selacau/@-6.9298332,107.5037867,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68e5d47c0ed35d:0xcd74aee75b1981e4!8m2!3d-6.9298332!4d107.5037867!16s%2Fg%2F11q_bycwd9?authuser=0&hl=id&entry=ttu","107.5037867","-6.9298332","Plus Codes","3GC3+3G Selacau, Kabupaten Bandung Barat, Jawa Barat"
"Ninja expres cipatat","Jasa Pengiriman",1,1,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+expres+cipatat/data=!4m7!3m6!1s0x2e68ff066c1555d9:0xc864a27aada29090!8m2!3d-6.8318483!4d107.3645018!16s%2Fg%2F11l94hldjq!19sChIJ2VUVbAb_aC4RkJCirXqiZMg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+expres+cipatat/@-6.8318483,107.3645018,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68ff066c1555d9:0xc864a27aada29090!8m2!3d-6.8318483!4d107.3645018!16s%2Fg%2F11l94hldjq?authuser=0&hl=id&entry=ttu","107.3645018","-6.8318483","Alamat","Jl. Raya Cipatat no 682 warung tiwu no 682 rt/rw 02/16, desa, Cipatat, Kec. Cipatat, Kabupaten Bandung Barat, Jawa Barat 40554"
"Ninja expres cipatat","Jasa Pengiriman",1,1,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+expres+cipatat/data=!4m7!3m6!1s0x2e68ff066c1555d9:0xc864a27aada29090!8m2!3d-6.8318483!4d107.3645018!16s%2Fg%2F11l94hldjq!19sChIJ2VUVbAb_aC4RkJCirXqiZMg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+expres+cipatat/@-6.8318483,107.3645018,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68ff066c1555d9:0xc864a27aada29090!8m2!3d-6.8318483!4d107.3645018!16s%2Fg%2F11l94hldjq?authuser=0&hl=id&entry=ttu","107.3645018","-6.8318483","Plus Codes","5997+7R Cipatat, Kabupaten Bandung Barat, Jawa Barat"
"Ninja Express BDO Sarinagen","Jasa Pengiriman",NA,NA,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Express+BDO+Sarinagen/data=!4m7!3m6!1s0x2e68f732a7d81197:0xbefbe417cb46241b!8m2!3d-6.9485514!4d107.3533224!16s%2Fg%2F11shjndntq!19sChIJlxHYpzL3aC4RGyRGyxfk-74?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Express+BDO+Sarinagen/@-6.9485514,107.3533224,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68f732a7d81197:0xbefbe417cb46241b!8m2!3d-6.9485514!4d107.3533224!16s%2Fg%2F11shjndntq?authuser=0&hl=id&entry=ttu","107.3533224","-6.9485514","Alamat","Kp. Bojongloa No.RT.004/002, Sarinagen, Kec. Cipongkor, Kabupaten Bandung Barat, Jawa Barat 40564"
