"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Ninja Xpress Banyuasin","Gudang",3,2,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress+Banyuasin/data=!4m7!3m6!1s0x2e3b0519e191165d:0x20ae5128908c667!8m2!3d-2.8814185!4d104.3861387!16s%2Fg%2F11pvcftv7m!19sChIJXRaR4RkFOy4RZ8YIiRLlCgI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Banyuasin/@-2.8814185,104.3861387,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3b0519e191165d:0x20ae5128908c667!8m2!3d-2.8814185!4d104.3861387!16s%2Fg%2F11pvcftv7m?authuser=0&hl=id&entry=ttu","104.3861387","-2.8814185","Alamat","499P+67M, Kedondong Raye, Kec. Banyuasin III, Kab. Banyuasin, Sumatera Selatan 30912"
"Ninja Xpress Banyuasin","Gudang",3,2,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress+Banyuasin/data=!4m7!3m6!1s0x2e3b0519e191165d:0x20ae5128908c667!8m2!3d-2.8814185!4d104.3861387!16s%2Fg%2F11pvcftv7m!19sChIJXRaR4RkFOy4RZ8YIiRLlCgI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Banyuasin/@-2.8814185,104.3861387,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3b0519e191165d:0x20ae5128908c667!8m2!3d-2.8814185!4d104.3861387!16s%2Fg%2F11pvcftv7m?authuser=0&hl=id&entry=ttu","104.3861387","-2.8814185","Situs Web","ninjaxpress.co"
"Ninja Xpress Banyuasin","Gudang",3,2,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress+Banyuasin/data=!4m7!3m6!1s0x2e3b0519e191165d:0x20ae5128908c667!8m2!3d-2.8814185!4d104.3861387!16s%2Fg%2F11pvcftv7m!19sChIJXRaR4RkFOy4RZ8YIiRLlCgI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Banyuasin/@-2.8814185,104.3861387,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3b0519e191165d:0x20ae5128908c667!8m2!3d-2.8814185!4d104.3861387!16s%2Fg%2F11pvcftv7m?authuser=0&hl=id&entry=ttu","104.3861387","-2.8814185","Telepon","0896-2537-3105"
"Ninja Xpress - Musi Banyuasin","Layanan Logistik",1.9,22,"unknown","https://www.google.com/maps/place/Ninja+Xpress+-+Musi+Banyuasin/data=!4m7!3m6!1s0x2e3a8def9085c55f:0xbd351ce27e87c4e7!8m2!3d-2.8639952!4d103.8341923!16s%2Fg%2F11f1kf3bg5!19sChIJX8WFkO-NOi4R58SHfuIcNb0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+-+Musi+Banyuasin/@-2.8639952,103.8341923,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3a8def9085c55f:0xbd351ce27e87c4e7!8m2!3d-2.8639952!4d103.8341923!16s%2Fg%2F11f1kf3bg5?authuser=0&hl=id&entry=ttu","103.8341923","-2.8639952","Alamat","4RPM+CM4, Jl. Perumnas, Serasan Jaya, Kec. Sekayu, Kabupaten Musi Banyuasin, Sumatera Selatan 30711"
"Ninja Expres","Kantor Perusahaan",5,2,"unknown","https://www.google.com/maps/place/Ninja+Expres/data=!4m7!3m6!1s0x2e3a8d4198cd07ed:0x26615879b6f2bc03!8m2!3d-2.8680708!4d103.8398998!16s%2Fg%2F11pr2l6mkv!19sChIJ7QfNmEGNOi4RA7zytnlYYSY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Expres/@-2.8680708,103.8398998,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3a8d4198cd07ed:0x26615879b6f2bc03!8m2!3d-2.8680708!4d103.8398998!16s%2Fg%2F11pr2l6mkv?authuser=0&hl=id&entry=ttu","103.8398998","-2.8680708","Alamat","4RJQ+QXC, Jl. Lkr. Randik, Balai Agung, Kec. Sekayu, Kabupaten Musi Banyuasin, Sumatera Selatan 30711"
"Ninja express","Gudang",4,1,"unknown","https://www.google.com/maps/place/Ninja+express/data=!4m7!3m6!1s0x2e3b05b9928897bd:0xe79bd6562ecc9c90!8m2!3d-2.8847828!4d104.3980097!16s%2Fg%2F11nnqph_zj!19sChIJvZeIkrkFOy4RkJzMLlbWm-c?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+express/@-2.8847828,104.3980097,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3b05b9928897bd:0xe79bd6562ecc9c90!8m2!3d-2.8847828!4d104.3980097!16s%2Fg%2F11nnqph_zj?authuser=0&hl=id&entry=ttu","104.3980097","-2.8847828","Alamat","498X+36J, Jl. Thalib Wali, Pangkalan Balai, Kec. Banyuasin III, Kab. Banyuasin, Sumatera Selatan 30911"
"Ninja ekspress","Jasa Kurir",5,2,"unknown","https://www.google.com/maps/place/Ninja+ekspress/data=!4m7!3m6!1s0x2e3a8daa247968f7:0x7f1a51a99f0484f2!8m2!3d-2.8825634!4d103.8338152!16s%2Fg%2F11fqq4pvrs!19sChIJ92h5JKqNOi4R8oQEn6lRGn8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+ekspress/@-2.8825634,103.8338152,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3a8daa247968f7:0x7f1a51a99f0484f2!8m2!3d-2.8825634!4d103.8338152!16s%2Fg%2F11fqq4pvrs?authuser=0&hl=id&entry=ttu","103.8338152","-2.8825634","Alamat","4R8M+XGG, Jl. Letnan Moh. Noor, Serasan Jaya, Kec. Sekayu, Kabupaten Musi Banyuasin, Sumatera Selatan 30711"
"Kantor ninja","Kantor Perusahaan",NA,NA,"unknown","https://www.google.com/maps/place/Kantor+ninja/data=!4m7!3m6!1s0x2e3adbaed30ea8f9:0x33bc34bab9b59416!8m2!3d-2.576536!4d104.1076038!16s%2Fg%2F11rz1r219s!19sChIJ-agO067bOi4RFpS1ubo0vDM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+ninja/@-2.576536,104.1076038,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3adbaed30ea8f9:0x33bc34bab9b59416!8m2!3d-2.576536!4d104.1076038!16s%2Fg%2F11rz1r219s?authuser=0&hl=id&entry=ttu","104.1076038","-2.576536","Alamat","Jalan Lintas Timur Palembang - Jambi No.114, Sukamoro, Kec. Sungai Lilin, Kab. Banyuasin, Sumatera Selatan 30755"
"Kantor ninja","Kantor Perusahaan",NA,NA,"unknown","https://www.google.com/maps/place/Kantor+ninja/data=!4m7!3m6!1s0x2e3adbaed30ea8f9:0x33bc34bab9b59416!8m2!3d-2.576536!4d104.1076038!16s%2Fg%2F11rz1r219s!19sChIJ-agO067bOi4RFpS1ubo0vDM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+ninja/@-2.576536,104.1076038,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3adbaed30ea8f9:0x33bc34bab9b59416!8m2!3d-2.576536!4d104.1076038!16s%2Fg%2F11rz1r219s?authuser=0&hl=id&entry=ttu","104.1076038","-2.576536","Plus Codes","C4F5+92 Sungai Lilin, Kabupaten Musi Banyuasin, Sumatera Selatan"
"Ninja Xpress Tanjung Lago","Perusahaan Ekspedisi",5,2,"Buka 24 jam","https://www.google.com/maps/place/Ninja+Xpress+Tanjung+Lago/data=!4m7!3m6!1s0x2e3b41c69848cfbd:0xe2275229cc9c2ccf!8m2!3d-2.6441405!4d104.7326191!16s%2Fg%2F11q7bxzhdv!19sChIJvc9ImMZBOy4RzyyczClSJ-I?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Tanjung+Lago/@-2.6441405,104.7326191,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3b41c69848cfbd:0xe2275229cc9c2ccf!8m2!3d-2.6441405!4d104.7326191!16s%2Fg%2F11q7bxzhdv?authuser=0&hl=id&entry=ttu","104.7326191","-2.6441405","Alamat","9P4M+82X, Muara Sugih, Kec. Tj. Lago, Kab. Banyuasin, Sumatera Selatan 30961"
