"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Ninja Express ST. Cilacap","Kantor Perusahaan",2.2,22,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Express+ST.+Cilacap/data=!4m7!3m6!1s0x2e656d210ec805b1:0x6e34622529870653!8m2!3d-7.6833371!4d109.0464031!16s%2Fg%2F11lfpvk3x7!19sChIJsQXIDiFtZS4RUwaHKSViNG4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Express+ST.+Cilacap/@-7.6833371,109.0464031,17z/data=!3m1!4b1!4m6!3m5!1s0x2e656d210ec805b1:0x6e34622529870653!8m2!3d-7.6833371!4d109.0464031!16s%2Fg%2F11lfpvk3x7?authuser=0&hl=id&entry=ttu","109.0464031","-7.6833371","Alamat","828W+MH6, Rejamulya, Gumilir, Kec. Cilacap Utara, Kabupaten Cilacap, Jawa Tengah 53232"
"Ninja Xpress Cilacap - Gunung Simping","Layanan Logistik",4,5,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress+Cilacap+-+Gunung+Simping/data=!4m7!3m6!1s0x2e651384789fb13f:0x31c4b99413666335!8m2!3d-7.7012978!4d109.0229586!16s%2Fg%2F11hwb5534h!19sChIJP7GfeIQTZS4RNWNmE5S5xDE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Cilacap+-+Gunung+Simping/@-7.7012978,109.0229586,17z/data=!3m1!4b1!4m6!3m5!1s0x2e651384789fb13f:0x31c4b99413666335!8m2!3d-7.7012978!4d109.0229586!16s%2Fg%2F11hwb5534h?authuser=0&hl=id&entry=ttu","109.0229586","-7.7012978","Alamat","Jl. Flores No.3, Rejamulya, Gunungsimping, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah 53224"
"Ninja Xpress Cilacap - Gunung Simping","Layanan Logistik",4,5,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress+Cilacap+-+Gunung+Simping/data=!4m7!3m6!1s0x2e651384789fb13f:0x31c4b99413666335!8m2!3d-7.7012978!4d109.0229586!16s%2Fg%2F11hwb5534h!19sChIJP7GfeIQTZS4RNWNmE5S5xDE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Cilacap+-+Gunung+Simping/@-7.7012978,109.0229586,17z/data=!3m1!4b1!4m6!3m5!1s0x2e651384789fb13f:0x31c4b99413666335!8m2!3d-7.7012978!4d109.0229586!16s%2Fg%2F11hwb5534h?authuser=0&hl=id&entry=ttu","109.0229586","-7.7012978","Situs Web","ninjaxpress.co"
"Ninja Xpress Cilacap - Gunung Simping","Layanan Logistik",4,5,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress+Cilacap+-+Gunung+Simping/data=!4m7!3m6!1s0x2e651384789fb13f:0x31c4b99413666335!8m2!3d-7.7012978!4d109.0229586!16s%2Fg%2F11hwb5534h!19sChIJP7GfeIQTZS4RNWNmE5S5xDE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Cilacap+-+Gunung+Simping/@-7.7012978,109.0229586,17z/data=!3m1!4b1!4m6!3m5!1s0x2e651384789fb13f:0x31c4b99413666335!8m2!3d-7.7012978!4d109.0229586!16s%2Fg%2F11hwb5534h?authuser=0&hl=id&entry=ttu","109.0229586","-7.7012978","Telepon","0895-4101-99991"
"Ninja Xpress Cilacap - Gunung Simping","Layanan Logistik",4,5,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress+Cilacap+-+Gunung+Simping/data=!4m7!3m6!1s0x2e651384789fb13f:0x31c4b99413666335!8m2!3d-7.7012978!4d109.0229586!16s%2Fg%2F11hwb5534h!19sChIJP7GfeIQTZS4RNWNmE5S5xDE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Cilacap+-+Gunung+Simping/@-7.7012978,109.0229586,17z/data=!3m1!4b1!4m6!3m5!1s0x2e651384789fb13f:0x31c4b99413666335!8m2!3d-7.7012978!4d109.0229586!16s%2Fg%2F11hwb5534h?authuser=0&hl=id&entry=ttu","109.0229586","-7.7012978","Plus Codes","72XF+F5 Gunungsimping, Kabupaten Cilacap, Jawa Tengah"
"Mitra Ninja Xpress","Perusahaan Ekspedisi",4.2,11,"Buka 24 jam","https://www.google.com/maps/place/Mitra+Ninja+Xpress/data=!4m7!3m6!1s0x2e656dab49f262ab:0xf993b61c46ac63e5!8m2!3d-7.6533685!4d109.0731769!16s%2Fg%2F11r6htjjzd!19sChIJq2LySattZS4R5WOsRhy2k_k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Mitra+Ninja+Xpress/@-7.6533685,109.0731769,17z/data=!3m1!4b1!4m6!3m5!1s0x2e656dab49f262ab:0xf993b61c46ac63e5!8m2!3d-7.6533685!4d109.0731769!16s%2Fg%2F11r6htjjzd?authuser=0&hl=id&entry=ttu","109.0731769","-7.6533685","Alamat","Jl. Gerilya No.68, Tegalsari, Kuripan Kidul, Kec. Kesugihan, Kabupaten Cilacap, Jawa Tengah 53274"
"Mitra Ninja Xpress","Perusahaan Ekspedisi",4.2,11,"Buka 24 jam","https://www.google.com/maps/place/Mitra+Ninja+Xpress/data=!4m7!3m6!1s0x2e656dab49f262ab:0xf993b61c46ac63e5!8m2!3d-7.6533685!4d109.0731769!16s%2Fg%2F11r6htjjzd!19sChIJq2LySattZS4R5WOsRhy2k_k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Mitra+Ninja+Xpress/@-7.6533685,109.0731769,17z/data=!3m1!4b1!4m6!3m5!1s0x2e656dab49f262ab:0xf993b61c46ac63e5!8m2!3d-7.6533685!4d109.0731769!16s%2Fg%2F11r6htjjzd?authuser=0&hl=id&entry=ttu","109.0731769","-7.6533685","Telepon","0852-2535-9966"
"Mitra Ninja Xpress","Perusahaan Ekspedisi",4.2,11,"Buka 24 jam","https://www.google.com/maps/place/Mitra+Ninja+Xpress/data=!4m7!3m6!1s0x2e656dab49f262ab:0xf993b61c46ac63e5!8m2!3d-7.6533685!4d109.0731769!16s%2Fg%2F11r6htjjzd!19sChIJq2LySattZS4R5WOsRhy2k_k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Mitra+Ninja+Xpress/@-7.6533685,109.0731769,17z/data=!3m1!4b1!4m6!3m5!1s0x2e656dab49f262ab:0xf993b61c46ac63e5!8m2!3d-7.6533685!4d109.0731769!16s%2Fg%2F11r6htjjzd?authuser=0&hl=id&entry=ttu","109.0731769","-7.6533685","Plus Codes","83WF+M7 Kuripan Kidul, Kabupaten Cilacap, Jawa Tengah"
"NINJA EXPRESS CILACAP SAMPANG","Jasa Kurir",4,8,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/NINJA+EXPRESS+CILACAP+SAMPANG/data=!4m7!3m6!1s0x2e6543e36ed23e75:0xec2041ff7090bd1e!8m2!3d-7.5624602!4d109.2000427!16s%2Fg%2F11ht5d_khy!19sChIJdT7SbuNDZS4RHr2QcP9BIOw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+EXPRESS+CILACAP+SAMPANG/@-7.5624602,109.2000427,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6543e36ed23e75:0xec2041ff7090bd1e!8m2!3d-7.5624602!4d109.2000427!16s%2Fg%2F11ht5d_khy?authuser=0&hl=id&entry=ttu","109.2000427","-7.5624602","Alamat","Jl. Tugu Barat No.mor 16, Tinggar Jambu, Sampang, Kec. Sampang, Kabupaten Cilacap, Jawa Tengah 53273"
"NINJA EXPRESS CILACAP SAMPANG","Jasa Kurir",4,8,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/NINJA+EXPRESS+CILACAP+SAMPANG/data=!4m7!3m6!1s0x2e6543e36ed23e75:0xec2041ff7090bd1e!8m2!3d-7.5624602!4d109.2000427!16s%2Fg%2F11ht5d_khy!19sChIJdT7SbuNDZS4RHr2QcP9BIOw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+EXPRESS+CILACAP+SAMPANG/@-7.5624602,109.2000427,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6543e36ed23e75:0xec2041ff7090bd1e!8m2!3d-7.5624602!4d109.2000427!16s%2Fg%2F11ht5d_khy?authuser=0&hl=id&entry=ttu","109.2000427","-7.5624602","Telepon","0813-2770-2338"
"NINJA EXPRESS CILACAP SAMPANG","Jasa Kurir",4,8,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/NINJA+EXPRESS+CILACAP+SAMPANG/data=!4m7!3m6!1s0x2e6543e36ed23e75:0xec2041ff7090bd1e!8m2!3d-7.5624602!4d109.2000427!16s%2Fg%2F11ht5d_khy!19sChIJdT7SbuNDZS4RHr2QcP9BIOw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+EXPRESS+CILACAP+SAMPANG/@-7.5624602,109.2000427,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6543e36ed23e75:0xec2041ff7090bd1e!8m2!3d-7.5624602!4d109.2000427!16s%2Fg%2F11ht5d_khy?authuser=0&hl=id&entry=ttu","109.2000427","-7.5624602","Plus Codes","C6Q2+22 Sampang, Kabupaten Cilacap, Jawa Tengah"
