"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Warehouse Ninja Express","Perusahaan Ekspedisi",2.7,58,"unknown","https://www.google.com/maps/place/Warehouse+Ninja+Express/data=!4m7!3m6!1s0x3031316d99e7d5ff:0x45ee033d77a86b0f!8m2!3d3.6031898!4d98.7161917!16s%2Fg%2F11csqg5l4l!19sChIJ_9XnmW0xMTARD2uodz0D7kU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Warehouse+Ninja+Express/@3.6031898,98.7161917,17z/data=!3m1!4b1!4m6!3m5!1s0x3031316d99e7d5ff:0x45ee033d77a86b0f!8m2!3d3.6031898!4d98.7161917!16s%2Fg%2F11csqg5l4l?authuser=0&hl=id&entry=ttu","98.7161917","3.6031898","Alamat","JP38+7FG, Kenangan Baru, Kec. Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara 20223"
"Ninja Xpress SH","Kantor Perusahaan",3.3,7,"unknown","https://www.google.com/maps/place/Ninja+Xpress+SH/data=!4m7!3m6!1s0x303133b40f9ee5a9:0x5ce25fcaa50202da!8m2!3d3.6384599!4d98.7151942!16s%2Fg%2F11jclq17rv!19sChIJqeWeD7QzMTAR2gICpcpf4lw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+SH/@3.6384599,98.7151942,17z/data=!3m1!4b1!4m6!3m5!1s0x303133b40f9ee5a9:0x5ce25fcaa50202da!8m2!3d3.6384599!4d98.7151942!16s%2Fg%2F11jclq17rv?authuser=0&hl=id&entry=ttu","98.7151942","3.6384599","Alamat","Jl. Medan - Sampali Road No.412, Medan Estate, Kec. Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara 20371"
"Ninja Xpress SH","Kantor Perusahaan",3.3,7,"unknown","https://www.google.com/maps/place/Ninja+Xpress+SH/data=!4m7!3m6!1s0x303133b40f9ee5a9:0x5ce25fcaa50202da!8m2!3d3.6384599!4d98.7151942!16s%2Fg%2F11jclq17rv!19sChIJqeWeD7QzMTAR2gICpcpf4lw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+SH/@3.6384599,98.7151942,17z/data=!3m1!4b1!4m6!3m5!1s0x303133b40f9ee5a9:0x5ce25fcaa50202da!8m2!3d3.6384599!4d98.7151942!16s%2Fg%2F11jclq17rv?authuser=0&hl=id&entry=ttu","98.7151942","3.6384599","Telepon","0821-3171-6568"
"Ninja Xpress SH","Kantor Perusahaan",3.3,7,"unknown","https://www.google.com/maps/place/Ninja+Xpress+SH/data=!4m7!3m6!1s0x303133b40f9ee5a9:0x5ce25fcaa50202da!8m2!3d3.6384599!4d98.7151942!16s%2Fg%2F11jclq17rv!19sChIJqeWeD7QzMTAR2gICpcpf4lw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+SH/@3.6384599,98.7151942,17z/data=!3m1!4b1!4m6!3m5!1s0x303133b40f9ee5a9:0x5ce25fcaa50202da!8m2!3d3.6384599!4d98.7151942!16s%2Fg%2F11jclq17rv?authuser=0&hl=id&entry=ttu","98.7151942","3.6384599","Plus Codes","JPQ8+93 Medan Estate, Kabupaten Deli Serdang, Sumatera Utara"
"Gudang Ninja Expres Lubuk Pakam","Gudang",4.4,8,"unknown","https://www.google.com/maps/place/Gudang+Ninja+Expres+Lubuk+Pakam/data=!4m7!3m6!1s0x3031490b66cfbc9d:0x8a16d89783af0d7d!8m2!3d3.5788782!4d98.8643109!16s%2Fg%2F11jbh87xq3!19sChIJnbzPZgtJMTARfQ2vg5fYFoo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gudang+Ninja+Expres+Lubuk+Pakam/@3.5788782,98.8643109,17z/data=!3m1!4b1!4m6!3m5!1s0x3031490b66cfbc9d:0x8a16d89783af0d7d!8m2!3d3.5788782!4d98.8643109!16s%2Fg%2F11jbh87xq3?authuser=0&hl=id&entry=ttu","98.8643109","3.5788782","Alamat","Jl. Dusun Lestari 2 No.148, Penara Kebun, Kec. Tj. Morawa, Kabupaten Deli Serdang, Sumatera Utara 20517"
"Gudang Ninja Expres Lubuk Pakam","Gudang",4.4,8,"unknown","https://www.google.com/maps/place/Gudang+Ninja+Expres+Lubuk+Pakam/data=!4m7!3m6!1s0x3031490b66cfbc9d:0x8a16d89783af0d7d!8m2!3d3.5788782!4d98.8643109!16s%2Fg%2F11jbh87xq3!19sChIJnbzPZgtJMTARfQ2vg5fYFoo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gudang+Ninja+Expres+Lubuk+Pakam/@3.5788782,98.8643109,17z/data=!3m1!4b1!4m6!3m5!1s0x3031490b66cfbc9d:0x8a16d89783af0d7d!8m2!3d3.5788782!4d98.8643109!16s%2Fg%2F11jbh87xq3?authuser=0&hl=id&entry=ttu","98.8643109","3.5788782","Plus Codes","HVH7+HP Penara Kebun, Kabupaten Deli Serdang, Sumatera Utara"
"NINJA EXPRESS PATUMBAK","Perusahaan Ekspedisi",2.5,6,"unknown","https://www.google.com/maps/place/NINJA+EXPRESS+PATUMBAK/data=!4m7!3m6!1s0x30313b136ab9f0ab:0x4b7d560b5384df1d!8m2!3d3.4817714!4d98.7125356!16s%2Fg%2F11mw8h0zbw!19sChIJq_C5ahM7MTARHd-EUwtWfUs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+EXPRESS+PATUMBAK/@3.4817714,98.7125356,17z/data=!3m1!4b1!4m6!3m5!1s0x30313b136ab9f0ab:0x4b7d560b5384df1d!8m2!3d3.4817714!4d98.7125356!16s%2Fg%2F11mw8h0zbw?authuser=0&hl=id&entry=ttu","98.7125356","3.4817714","Alamat","FPJ7+P23, Jl. Pertahanan, Lantasan Baru, Kec. Patumbak, Kabupaten Deli Serdang, Sumatera Utara 20361"
"Sorting Hub Ninja Xpress Medan","Toko grosir",2.2,34,"","https://www.google.com/maps/place/Sorting+Hub+Ninja+Xpress+Medan/data=!4m7!3m6!1s0x3031336fc3db2aed:0xd8f200c00b7f0857!8m2!3d3.6379826!4d98.7152468!16s%2Fg%2F11j7vk92s6!19sChIJ7Srbw28zMTARVwh_C8AA8tg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sorting+Hub+Ninja+Xpress+Medan/@3.6379826,98.7152468,17z/data=!3m1!4b1!4m6!3m5!1s0x3031336fc3db2aed:0xd8f200c00b7f0857!8m2!3d3.6379826!4d98.7152468!16s%2Fg%2F11j7vk92s6?authuser=0&hl=id&entry=ttu","98.7152468","3.6379826","Alamat","Jl. Medan Sampali Road, Komplek Pergudangan Cemara gudang no.19,20 dan 21, Sampali, Percut Sei Tuan, Deli Serdang Regency, North Sumatra 20371"
"Sorting Hub Ninja Xpress Medan","Toko grosir",2.2,34,"","https://www.google.com/maps/place/Sorting+Hub+Ninja+Xpress+Medan/data=!4m7!3m6!1s0x3031336fc3db2aed:0xd8f200c00b7f0857!8m2!3d3.6379826!4d98.7152468!16s%2Fg%2F11j7vk92s6!19sChIJ7Srbw28zMTARVwh_C8AA8tg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sorting+Hub+Ninja+Xpress+Medan/@3.6379826,98.7152468,17z/data=!3m1!4b1!4m6!3m5!1s0x3031336fc3db2aed:0xd8f200c00b7f0857!8m2!3d3.6379826!4d98.7152468!16s%2Fg%2F11j7vk92s6?authuser=0&hl=id&entry=ttu","98.7152468","3.6379826","Situs Web","ninjaxpress.co"
"Sorting Hub Ninja Xpress Medan","Toko grosir",2.2,34,"","https://www.google.com/maps/place/Sorting+Hub+Ninja+Xpress+Medan/data=!4m7!3m6!1s0x3031336fc3db2aed:0xd8f200c00b7f0857!8m2!3d3.6379826!4d98.7152468!16s%2Fg%2F11j7vk92s6!19sChIJ7Srbw28zMTARVwh_C8AA8tg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sorting+Hub+Ninja+Xpress+Medan/@3.6379826,98.7152468,17z/data=!3m1!4b1!4m6!3m5!1s0x3031336fc3db2aed:0xd8f200c00b7f0857!8m2!3d3.6379826!4d98.7152468!16s%2Fg%2F11j7vk92s6?authuser=0&hl=id&entry=ttu","98.7152468","3.6379826","Telepon","(021) 29264120"
"Sorting Hub Ninja Xpress Medan","Toko grosir",2.2,34,"","https://www.google.com/maps/place/Sorting+Hub+Ninja+Xpress+Medan/data=!4m7!3m6!1s0x3031336fc3db2aed:0xd8f200c00b7f0857!8m2!3d3.6379826!4d98.7152468!16s%2Fg%2F11j7vk92s6!19sChIJ7Srbw28zMTARVwh_C8AA8tg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sorting+Hub+Ninja+Xpress+Medan/@3.6379826,98.7152468,17z/data=!3m1!4b1!4m6!3m5!1s0x3031336fc3db2aed:0xd8f200c00b7f0857!8m2!3d3.6379826!4d98.7152468!16s%2Fg%2F11j7vk92s6?authuser=0&hl=id&entry=ttu","98.7152468","3.6379826","Plus Codes","JPQ8+53 Sampali, Kabupaten Deli Serdang, Sumatera Utara"
"Ninja van","Gudang",NA,NA,"unknown","https://www.google.com/maps/place/Ninja+van/data=!4m7!3m6!1s0x30313d9c3253134b:0x6ef9a7231dbeb8d8!8m2!3d3.4201802!4d98.704075!16s%2Fg%2F11tdc0qx_d!19sChIJSxNTMpw9MTAR2Li-HSOn-W4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+van/@3.4201802,98.704075,17z/data=!3m1!4b1!4m6!3m5!1s0x30313d9c3253134b:0x6ef9a7231dbeb8d8!8m2!3d3.4201802!4d98.704075!16s%2Fg%2F11tdc0qx_d?authuser=0&hl=id&entry=ttu","98.704075","3.4201802","Alamat","CPC3+3JG, Sumbul, Kec. Sinembah Tj. Muda Hilir, Kabupaten Deli Serdang, Sumatera Utara"
"Station Ninja Expres Galang","Gudang",4.2,6,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Station+Ninja+Expres+Galang/data=!4m7!3m6!1s0x303141ef4b28228b:0xfe2478d9c8ca30e1!8m2!3d3.4517695!4d98.8786402!16s%2Fg%2F11m_r0pqxq!19sChIJiyIoS-9BMTAR4TDKyNl4JP4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Station+Ninja+Expres+Galang/@3.4517695,98.8786402,17z/data=!3m1!4b1!4m6!3m5!1s0x303141ef4b28228b:0xfe2478d9c8ca30e1!8m2!3d3.4517695!4d98.8786402!16s%2Fg%2F11m_r0pqxq?authuser=0&hl=id&entry=ttu","98.8786402","3.4517695","Alamat","Jl. Besar Petumbukan Gg Ikhlas No.28, Jaharun A, Kec. Galang, Kabupaten Deli Serdang, Sumatera Utara 20585"
"Station Ninja Expres Galang","Gudang",4.2,6,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Station+Ninja+Expres+Galang/data=!4m7!3m6!1s0x303141ef4b28228b:0xfe2478d9c8ca30e1!8m2!3d3.4517695!4d98.8786402!16s%2Fg%2F11m_r0pqxq!19sChIJiyIoS-9BMTAR4TDKyNl4JP4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Station+Ninja+Expres+Galang/@3.4517695,98.8786402,17z/data=!3m1!4b1!4m6!3m5!1s0x303141ef4b28228b:0xfe2478d9c8ca30e1!8m2!3d3.4517695!4d98.8786402!16s%2Fg%2F11m_r0pqxq?authuser=0&hl=id&entry=ttu","98.8786402","3.4517695","Telepon","0813-6213-6693"
"Station Ninja Expres Galang","Gudang",4.2,6,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Station+Ninja+Expres+Galang/data=!4m7!3m6!1s0x303141ef4b28228b:0xfe2478d9c8ca30e1!8m2!3d3.4517695!4d98.8786402!16s%2Fg%2F11m_r0pqxq!19sChIJiyIoS-9BMTAR4TDKyNl4JP4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Station+Ninja+Expres+Galang/@3.4517695,98.8786402,17z/data=!3m1!4b1!4m6!3m5!1s0x303141ef4b28228b:0xfe2478d9c8ca30e1!8m2!3d3.4517695!4d98.8786402!16s%2Fg%2F11m_r0pqxq?authuser=0&hl=id&entry=ttu","98.8786402","3.4517695","Plus Codes","FV2H+PF Tj. Siporkis, Kabupaten Deli Serdang, Sumatera Utara"
