"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Agen Ninja Xpress Denpasar","Layanan Logistik",2.9,56,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Agen+Ninja+Xpress+Denpasar/data=!4m7!3m6!1s0x2dd24111ff20436f:0x62c007a34a6799f4!8m2!3d-8.653879!4d115.2172142!16s%2Fg%2F11hpyj4l69!19sChIJb0Mg_xFB0i0R9JlnSqMHwGI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Agen+Ninja+Xpress+Denpasar/@-8.653879,115.2172142,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd24111ff20436f:0x62c007a34a6799f4!8m2!3d-8.653879!4d115.2172142!16s%2Fg%2F11hpyj4l69?authuser=0&hl=id&entry=ttu","115.2172142","-8.653879","Alamat","Jl. Veteran, Dangin Puri Kauh, Kec. Denpasar Utara, Kota Denpasar, Bali 80232"
"Agen Ninja Xpress Denpasar","Layanan Logistik",2.9,56,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Agen+Ninja+Xpress+Denpasar/data=!4m7!3m6!1s0x2dd24111ff20436f:0x62c007a34a6799f4!8m2!3d-8.653879!4d115.2172142!16s%2Fg%2F11hpyj4l69!19sChIJb0Mg_xFB0i0R9JlnSqMHwGI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Agen+Ninja+Xpress+Denpasar/@-8.653879,115.2172142,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd24111ff20436f:0x62c007a34a6799f4!8m2!3d-8.653879!4d115.2172142!16s%2Fg%2F11hpyj4l69?authuser=0&hl=id&entry=ttu","115.2172142","-8.653879","Plus Codes","86W8+CV Dangin Puri Kauh, Kota Denpasar, Bali"
"NINJA XPRESS TONJA","Kantor Pos",2.1,9,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/NINJA+XPRESS+TONJA/data=!4m7!3m6!1s0x2dd23f2e12daa107:0xce8417e4c7942661!8m2!3d-8.6353084!4d115.2191673!16s%2Fg%2F11n2tdzx97!19sChIJB6HaEi4_0i0RYSaUx-QXhM4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+TONJA/@-8.6353084,115.2191673,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23f2e12daa107:0xce8417e4c7942661!8m2!3d-8.6353084!4d115.2191673!16s%2Fg%2F11n2tdzx97?authuser=0&hl=id&entry=ttu","115.2191673","-8.6353084","Alamat","Jl. Gatot Subroto I/I No.17, Tonja, Kec. Denpasar Utara, Kota Denpasar, Bali 80234"
"NINJA XPRESS TONJA","Kantor Pos",2.1,9,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/NINJA+XPRESS+TONJA/data=!4m7!3m6!1s0x2dd23f2e12daa107:0xce8417e4c7942661!8m2!3d-8.6353084!4d115.2191673!16s%2Fg%2F11n2tdzx97!19sChIJB6HaEi4_0i0RYSaUx-QXhM4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+TONJA/@-8.6353084,115.2191673,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23f2e12daa107:0xce8417e4c7942661!8m2!3d-8.6353084!4d115.2191673!16s%2Fg%2F11n2tdzx97?authuser=0&hl=id&entry=ttu","115.2191673","-8.6353084","Telepon","0877-6454-5054"
"NINJA XPRESS TONJA","Kantor Pos",2.1,9,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/NINJA+XPRESS+TONJA/data=!4m7!3m6!1s0x2dd23f2e12daa107:0xce8417e4c7942661!8m2!3d-8.6353084!4d115.2191673!16s%2Fg%2F11n2tdzx97!19sChIJB6HaEi4_0i0RYSaUx-QXhM4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+TONJA/@-8.6353084,115.2191673,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23f2e12daa107:0xce8417e4c7942661!8m2!3d-8.6353084!4d115.2191673!16s%2Fg%2F11n2tdzx97?authuser=0&hl=id&entry=ttu","115.2191673","-8.6353084","Plus Codes","9679+VM Tonja, Kota Denpasar, Bali"
"Ninja expers","Kantor Perusahaan",1.8,5,"unknown","https://www.google.com/maps/place/Ninja+expers/data=!4m7!3m6!1s0x2dd23f666785c401:0xc559ddcf72e48753!8m2!3d-8.6235233!4d115.2006427!16s%2Fg%2F11jgr9vmql!19sChIJAcSFZ2Y_0i0RU4fkcs_dWcU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+expers/@-8.6235233,115.2006427,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23f666785c401:0xc559ddcf72e48753!8m2!3d-8.6235233!4d115.2006427!16s%2Fg%2F11jgr9vmql?authuser=0&hl=id&entry=ttu","115.2006427","-8.6235233","Alamat","Jl. Cokroaminoto No.344, Ubung Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80115"
"Ninja expers","Kantor Perusahaan",1.8,5,"unknown","https://www.google.com/maps/place/Ninja+expers/data=!4m7!3m6!1s0x2dd23f666785c401:0xc559ddcf72e48753!8m2!3d-8.6235233!4d115.2006427!16s%2Fg%2F11jgr9vmql!19sChIJAcSFZ2Y_0i0RU4fkcs_dWcU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+expers/@-8.6235233,115.2006427,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23f666785c401:0xc559ddcf72e48753!8m2!3d-8.6235233!4d115.2006427!16s%2Fg%2F11jgr9vmql?authuser=0&hl=id&entry=ttu","115.2006427","-8.6235233","Plus Codes","96G2+H7 Ubung Kaja, Kota Denpasar, Bali"
"Ninja Suite Villa","Tambahkan situs web",4.2,52,"unknown","https://www.google.com/maps/place/Ninja+Suite+Villa/data=!4m7!3m6!1s0x2dd23f8fdbd2ddb3:0x22e6b985f2bf87c2!8m2!3d-8.6378285!4d115.2502284!16s%2Fg%2F11cjhyk5j1!19sChIJs93S248_0i0Rwoe_8oW55iI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Suite+Villa/@-8.6378285,115.2502284,17z/data=!3m1!4b1!4m9!3m8!1s0x2dd23f8fdbd2ddb3:0x22e6b985f2bf87c2!5m2!4m1!1i2!8m2!3d-8.6378285!4d115.2502284!16s%2Fg%2F11cjhyk5j1?authuser=0&hl=id&entry=ttu","115.2502284","-8.6378285","Alamat","Jl. Sekar Tunjung V, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237"
"Ninja Suite Villa","Tambahkan situs web",4.2,52,"unknown","https://www.google.com/maps/place/Ninja+Suite+Villa/data=!4m7!3m6!1s0x2dd23f8fdbd2ddb3:0x22e6b985f2bf87c2!8m2!3d-8.6378285!4d115.2502284!16s%2Fg%2F11cjhyk5j1!19sChIJs93S248_0i0Rwoe_8oW55iI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Suite+Villa/@-8.6378285,115.2502284,17z/data=!3m1!4b1!4m9!3m8!1s0x2dd23f8fdbd2ddb3:0x22e6b985f2bf87c2!5m2!4m1!1i2!8m2!3d-8.6378285!4d115.2502284!16s%2Fg%2F11cjhyk5j1?authuser=0&hl=id&entry=ttu","115.2502284","-8.6378285","Telepon","0821-4652-1136"
"Ninja Suite Villa","Tambahkan situs web",4.2,52,"unknown","https://www.google.com/maps/place/Ninja+Suite+Villa/data=!4m7!3m6!1s0x2dd23f8fdbd2ddb3:0x22e6b985f2bf87c2!8m2!3d-8.6378285!4d115.2502284!16s%2Fg%2F11cjhyk5j1!19sChIJs93S248_0i0Rwoe_8oW55iI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Suite+Villa/@-8.6378285,115.2502284,17z/data=!3m1!4b1!4m9!3m8!1s0x2dd23f8fdbd2ddb3:0x22e6b985f2bf87c2!5m2!4m1!1i2!8m2!3d-8.6378285!4d115.2502284!16s%2Fg%2F11cjhyk5j1?authuser=0&hl=id&entry=ttu","115.2502284","-8.6378285","Plus Codes","9762+V3 Kesiman Kertalangu, Kota Denpasar, Bali"
