"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Ninja Xpress Purwodadi","Layanan Logistik",2.6,5,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Xpress+Purwodadi/data=!4m7!3m6!1s0x2e70b1d4ad8a8535:0xda939227cb9376d8!8m2!3d-7.0802763!4d110.8882532!16s%2Fg%2F11s9gd61rb!19sChIJNYWKrdSxcC4R2HaTyyeSk9o?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Purwodadi/@-7.0802763,110.8882532,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70b1d4ad8a8535:0xda939227cb9376d8!8m2!3d-7.0802763!4d110.8882532!16s%2Fg%2F11s9gd61rb?authuser=0&hl=id&entry=ttu","110.8882532","-7.0802763","Alamat","Jl. Gajah Mada, Majenang, Kuripan, Kec. Purwodadi, Kabupaten Grobogan, Jawa Tengah 58111"
"Ninja Xpress Purwodadi","Layanan Logistik",2.6,5,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Xpress+Purwodadi/data=!4m7!3m6!1s0x2e70b1d4ad8a8535:0xda939227cb9376d8!8m2!3d-7.0802763!4d110.8882532!16s%2Fg%2F11s9gd61rb!19sChIJNYWKrdSxcC4R2HaTyyeSk9o?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Purwodadi/@-7.0802763,110.8882532,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70b1d4ad8a8535:0xda939227cb9376d8!8m2!3d-7.0802763!4d110.8882532!16s%2Fg%2F11s9gd61rb?authuser=0&hl=id&entry=ttu","110.8882532","-7.0802763","Situs Web","ninjaxpress.co"
"Ninja Xpress Purwodadi","Layanan Logistik",2.6,5,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Xpress+Purwodadi/data=!4m7!3m6!1s0x2e70b1d4ad8a8535:0xda939227cb9376d8!8m2!3d-7.0802763!4d110.8882532!16s%2Fg%2F11s9gd61rb!19sChIJNYWKrdSxcC4R2HaTyyeSk9o?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Purwodadi/@-7.0802763,110.8882532,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70b1d4ad8a8535:0xda939227cb9376d8!8m2!3d-7.0802763!4d110.8882532!16s%2Fg%2F11s9gd61rb?authuser=0&hl=id&entry=ttu","110.8882532","-7.0802763","Telepon","0856-0051-4773"
"Ninja Xpress Purwodadi","Layanan Logistik",2.6,5,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Xpress+Purwodadi/data=!4m7!3m6!1s0x2e70b1d4ad8a8535:0xda939227cb9376d8!8m2!3d-7.0802763!4d110.8882532!16s%2Fg%2F11s9gd61rb!19sChIJNYWKrdSxcC4R2HaTyyeSk9o?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Purwodadi/@-7.0802763,110.8882532,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70b1d4ad8a8535:0xda939227cb9376d8!8m2!3d-7.0802763!4d110.8882532!16s%2Fg%2F11s9gd61rb?authuser=0&hl=id&entry=ttu","110.8882532","-7.0802763","Plus Codes","WV9Q+V8 Kuripan, Kabupaten Grobogan, Jawa Tengah"
"Ninja Xpress kradenan","Jasa Pengiriman",2.8,5,"Tutup ⋅ Buka Rab pukul 10.00","https://www.google.com/maps/place/Ninja+Xpress+kradenan/data=!4m7!3m6!1s0x2e77513da5757ae3:0x78b72e9e8b588297!8m2!3d-7.1254822!4d111.132524!16s%2Fg%2F11hhnp72sf!19sChIJ43p1pT1Rdy4Rl4JYi54ut3g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+kradenan/@-7.1254822,111.132524,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77513da5757ae3:0x78b72e9e8b588297!8m2!3d-7.1254822!4d111.132524!16s%2Fg%2F11hhnp72sf?authuser=0&hl=id&entry=ttu","111.132524","-7.1254822","Alamat","Jl. Honggokusuman No.5, Ploso Rejo, Kuwu, Kec. Kradenan, Kabupaten Grobogan, Jawa Tengah 58182"
"Ninja Xpress kradenan","Jasa Pengiriman",2.8,5,"Tutup ⋅ Buka Rab pukul 10.00","https://www.google.com/maps/place/Ninja+Xpress+kradenan/data=!4m7!3m6!1s0x2e77513da5757ae3:0x78b72e9e8b588297!8m2!3d-7.1254822!4d111.132524!16s%2Fg%2F11hhnp72sf!19sChIJ43p1pT1Rdy4Rl4JYi54ut3g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+kradenan/@-7.1254822,111.132524,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77513da5757ae3:0x78b72e9e8b588297!8m2!3d-7.1254822!4d111.132524!16s%2Fg%2F11hhnp72sf?authuser=0&hl=id&entry=ttu","111.132524","-7.1254822","Telepon","(0922) 36934694"
"Ninja Xpress kradenan","Jasa Pengiriman",2.8,5,"Tutup ⋅ Buka Rab pukul 10.00","https://www.google.com/maps/place/Ninja+Xpress+kradenan/data=!4m7!3m6!1s0x2e77513da5757ae3:0x78b72e9e8b588297!8m2!3d-7.1254822!4d111.132524!16s%2Fg%2F11hhnp72sf!19sChIJ43p1pT1Rdy4Rl4JYi54ut3g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+kradenan/@-7.1254822,111.132524,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77513da5757ae3:0x78b72e9e8b588297!8m2!3d-7.1254822!4d111.132524!16s%2Fg%2F11hhnp72sf?authuser=0&hl=id&entry=ttu","111.132524","-7.1254822","Plus Codes","V4FM+R2 Kuwu, Kabupaten Grobogan, Jawa Tengah"
"Ninja Xpress Mitra Kuripan","Jasa Pengiriman",2.8,6,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Xpress+Mitra+Kuripan/data=!4m7!3m6!1s0x2e70bb8208273917:0x35c79871f61f0418!8m2!3d-7.0808774!4d110.9009912!16s%2Fg%2F11jcbbysfj!19sChIJFzknCIK7cC4RGAQf9nGYxzU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Mitra+Kuripan/@-7.0808774,110.9009912,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70bb8208273917:0x35c79871f61f0418!8m2!3d-7.0808774!4d110.9009912!16s%2Fg%2F11jcbbysfj?authuser=0&hl=id&entry=ttu","110.9009912","-7.0808774","Alamat","Jl. A. Yani No.115, Kuripan Timur, Kuripan, Kec. Purwodadi, Kabupaten Grobogan, Jawa Tengah 58112"
"Ninja Xpress Mitra Kuripan","Jasa Pengiriman",2.8,6,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Xpress+Mitra+Kuripan/data=!4m7!3m6!1s0x2e70bb8208273917:0x35c79871f61f0418!8m2!3d-7.0808774!4d110.9009912!16s%2Fg%2F11jcbbysfj!19sChIJFzknCIK7cC4RGAQf9nGYxzU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Mitra+Kuripan/@-7.0808774,110.9009912,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70bb8208273917:0x35c79871f61f0418!8m2!3d-7.0808774!4d110.9009912!16s%2Fg%2F11jcbbysfj?authuser=0&hl=id&entry=ttu","110.9009912","-7.0808774","Telepon","0822-3693-4429"
"Ninja Xpress Mitra Kuripan","Jasa Pengiriman",2.8,6,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Xpress+Mitra+Kuripan/data=!4m7!3m6!1s0x2e70bb8208273917:0x35c79871f61f0418!8m2!3d-7.0808774!4d110.9009912!16s%2Fg%2F11jcbbysfj!19sChIJFzknCIK7cC4RGAQf9nGYxzU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Mitra+Kuripan/@-7.0808774,110.9009912,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70bb8208273917:0x35c79871f61f0418!8m2!3d-7.0808774!4d110.9009912!16s%2Fg%2F11jcbbysfj?authuser=0&hl=id&entry=ttu","110.9009912","-7.0808774","Plus Codes","WW92+J9 Kuripan, Kabupaten Grobogan, Jawa Tengah"
