"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"NINJA XPRESS - Mitra JPA @ Panggang","Perusahaan Ekspedisi",3.8,25,"Tutup ⋅ Buka Rab pukul 11.00","https://www.google.com/maps/place/NINJA+XPRESS+-+Mitra+JPA+@+Panggang/data=!4m7!3m6!1s0x2e711f363c7b0c8d:0xa62adbf4a601a15b!8m2!3d-6.588621!4d110.6679253!16s%2Fg%2F11hj82vddq!19sChIJjQx7PDYfcS4RW6EBpvTbKqY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+-+Mitra+JPA+@+Panggang/@-6.588621,110.6679253,17z/data=!3m1!4b1!4m6!3m5!1s0x2e711f363c7b0c8d:0xa62adbf4a601a15b!8m2!3d-6.588621!4d110.6679253!16s%2Fg%2F11hj82vddq?authuser=0&hl=id&entry=ttu","110.6679253","-6.588621","Alamat","Jl. Patimura No.41, Panggang I, Panggang, Kec. Jepara, Kabupaten Jepara, Jawa Tengah 59411"
"NINJA XPRESS - Mitra JPA @ Panggang","Perusahaan Ekspedisi",3.8,25,"Tutup ⋅ Buka Rab pukul 11.00","https://www.google.com/maps/place/NINJA+XPRESS+-+Mitra+JPA+@+Panggang/data=!4m7!3m6!1s0x2e711f363c7b0c8d:0xa62adbf4a601a15b!8m2!3d-6.588621!4d110.6679253!16s%2Fg%2F11hj82vddq!19sChIJjQx7PDYfcS4RW6EBpvTbKqY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+-+Mitra+JPA+@+Panggang/@-6.588621,110.6679253,17z/data=!3m1!4b1!4m6!3m5!1s0x2e711f363c7b0c8d:0xa62adbf4a601a15b!8m2!3d-6.588621!4d110.6679253!16s%2Fg%2F11hj82vddq?authuser=0&hl=id&entry=ttu","110.6679253","-6.588621","Telepon","0812-2950-0786"
"NINJA XPRESS - Mitra JPA @ Panggang","Perusahaan Ekspedisi",3.8,25,"Tutup ⋅ Buka Rab pukul 11.00","https://www.google.com/maps/place/NINJA+XPRESS+-+Mitra+JPA+@+Panggang/data=!4m7!3m6!1s0x2e711f363c7b0c8d:0xa62adbf4a601a15b!8m2!3d-6.588621!4d110.6679253!16s%2Fg%2F11hj82vddq!19sChIJjQx7PDYfcS4RW6EBpvTbKqY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+-+Mitra+JPA+@+Panggang/@-6.588621,110.6679253,17z/data=!3m1!4b1!4m6!3m5!1s0x2e711f363c7b0c8d:0xa62adbf4a601a15b!8m2!3d-6.588621!4d110.6679253!16s%2Fg%2F11hj82vddq?authuser=0&hl=id&entry=ttu","110.6679253","-6.588621","Plus Codes","CM69+H5 Panggang, Kabupaten Jepara, Jawa Tengah"
"NINJA XPRESS JEPARA","Registri perusahaan",3,91,"Buka 24 jam","https://www.google.com/maps/place/NINJA+XPRESS+JEPARA/data=!4m7!3m6!1s0x2e70ddb484e032c9:0x6186f2fcbe6f7205!8m2!3d-6.6102593!4d110.6847823!16s%2Fg%2F11h4ycsrkh!19sChIJyTLghLTdcC4RBXJvvvzyhmE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+JEPARA/@-6.6102593,110.6847823,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70ddb484e032c9:0x6186f2fcbe6f7205!8m2!3d-6.6102593!4d110.6847823!16s%2Fg%2F11h4ycsrkh?authuser=0&hl=id&entry=ttu","110.6847823","-6.6102593","Alamat","Jl. Raya Jepara - Kudus, Senenan, Kec. Tahunan, Kabupaten Jepara, Jawa Tengah 59426"
"NINJA XPRESS JEPARA","Registri perusahaan",3,91,"Buka 24 jam","https://www.google.com/maps/place/NINJA+XPRESS+JEPARA/data=!4m7!3m6!1s0x2e70ddb484e032c9:0x6186f2fcbe6f7205!8m2!3d-6.6102593!4d110.6847823!16s%2Fg%2F11h4ycsrkh!19sChIJyTLghLTdcC4RBXJvvvzyhmE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+JEPARA/@-6.6102593,110.6847823,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70ddb484e032c9:0x6186f2fcbe6f7205!8m2!3d-6.6102593!4d110.6847823!16s%2Fg%2F11h4ycsrkh?authuser=0&hl=id&entry=ttu","110.6847823","-6.6102593","Situs Web","ninjaxpress.co"
"NINJA XPRESS JEPARA","Registri perusahaan",3,91,"Buka 24 jam","https://www.google.com/maps/place/NINJA+XPRESS+JEPARA/data=!4m7!3m6!1s0x2e70ddb484e032c9:0x6186f2fcbe6f7205!8m2!3d-6.6102593!4d110.6847823!16s%2Fg%2F11h4ycsrkh!19sChIJyTLghLTdcC4RBXJvvvzyhmE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+JEPARA/@-6.6102593,110.6847823,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70ddb484e032c9:0x6186f2fcbe6f7205!8m2!3d-6.6102593!4d110.6847823!16s%2Fg%2F11h4ycsrkh?authuser=0&hl=id&entry=ttu","110.6847823","-6.6102593","Telepon","0838-4333-1666"
"NINJA XPRESS JEPARA","Registri perusahaan",3,91,"Buka 24 jam","https://www.google.com/maps/place/NINJA+XPRESS+JEPARA/data=!4m7!3m6!1s0x2e70ddb484e032c9:0x6186f2fcbe6f7205!8m2!3d-6.6102593!4d110.6847823!16s%2Fg%2F11h4ycsrkh!19sChIJyTLghLTdcC4RBXJvvvzyhmE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+JEPARA/@-6.6102593,110.6847823,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70ddb484e032c9:0x6186f2fcbe6f7205!8m2!3d-6.6102593!4d110.6847823!16s%2Fg%2F11h4ycsrkh?authuser=0&hl=id&entry=ttu","110.6847823","-6.6102593","Plus Codes","9MQM+VW Senenan, Kabupaten Jepara, Jawa Tengah"
"NINJA XPRESS - Mitra JPA @ Sowan Kidul","Kantor Perusahaan",3.6,14,"Tutup ⋅ Buka Rab pukul 08.30","https://www.google.com/maps/place/NINJA+XPRESS+-+Mitra+JPA+@+Sowan+Kidul/data=!4m7!3m6!1s0x2e70e1ed667a9dcb:0xf0c137f08ad90e2b!8m2!3d-6.6802215!4d110.6852588!16s%2Fg%2F11ns7mmtrj!19sChIJy516Zu3hcC4RKw7ZivA3wfA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+-+Mitra+JPA+@+Sowan+Kidul/@-6.6802215,110.6852588,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70e1ed667a9dcb:0xf0c137f08ad90e2b!8m2!3d-6.6802215!4d110.6852588!16s%2Fg%2F11ns7mmtrj?authuser=0&hl=id&entry=ttu","110.6852588","-6.6802215","Alamat","8M9P+W46, Rw. 2, Ngeling, Kec. Pecangaan, Kabupaten Jepara, Jawa Tengah 59462"
"NINJA XPRESS - Mitra JPA @ Sowan Kidul","Kantor Perusahaan",3.6,14,"Tutup ⋅ Buka Rab pukul 08.30","https://www.google.com/maps/place/NINJA+XPRESS+-+Mitra+JPA+@+Sowan+Kidul/data=!4m7!3m6!1s0x2e70e1ed667a9dcb:0xf0c137f08ad90e2b!8m2!3d-6.6802215!4d110.6852588!16s%2Fg%2F11ns7mmtrj!19sChIJy516Zu3hcC4RKw7ZivA3wfA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+-+Mitra+JPA+@+Sowan+Kidul/@-6.6802215,110.6852588,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70e1ed667a9dcb:0xf0c137f08ad90e2b!8m2!3d-6.6802215!4d110.6852588!16s%2Fg%2F11ns7mmtrj?authuser=0&hl=id&entry=ttu","110.6852588","-6.6802215","Telepon","0821-3681-4146"
"NINJA EXRESS - MAYONG JEPARA","Perusahaan Ekspedisi",4.3,6,"Tutup ⋅ Buka Rab pukul 14.00","https://www.google.com/maps/place/NINJA+EXRESS+-+MAYONG+JEPARA/data=!4m7!3m6!1s0x2e70dd5452f01f21:0x8153550fb9bbfa3c!8m2!3d-6.7560019!4d110.7542636!16s%2Fg%2F11jv6t0s7g!19sChIJIR_wUlTdcC4RPPq7uQ9VU4E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+EXRESS+-+MAYONG+JEPARA/@-6.7560019,110.7542636,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70dd5452f01f21:0x8153550fb9bbfa3c!8m2!3d-6.7560019!4d110.7542636!16s%2Fg%2F11jv6t0s7g?authuser=0&hl=id&entry=ttu","110.7542636","-6.7560019","Alamat","Karang Panggung, Mayong Lor, Kec. Mayong, Kabupaten Jepara, Jawa Tengah 59465"
