"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"NINJA XPRESS KARANGANYAR","Gudang",1.6,39,"unknown","https://www.google.com/maps/place/NINJA+XPRESS+KARANGANYAR/data=!4m7!3m6!1s0x2e7a19af849178fd:0x802440dd47516938!8m2!3d-7.5934024!4d110.9249546!16s%2Fg%2F11n5nwr1g2!19sChIJ_XiRhK8Zei4ROGlRR91AJIA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+KARANGANYAR/@-7.5934024,110.9249546,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a19af849178fd:0x802440dd47516938!8m2!3d-7.5934024!4d110.9249546!16s%2Fg%2F11n5nwr1g2?authuser=0&hl=id&entry=ttu","110.9249546","-7.5934024","Alamat","CW4F+JXP, Sawah, Jati, Kec. Jaten, Kabupaten Karanganyar, Jawa Tengah 57731"
"NINJA XPRESS KARANGANYAR","Gudang",1.6,39,"unknown","https://www.google.com/maps/place/NINJA+XPRESS+KARANGANYAR/data=!4m7!3m6!1s0x2e7a19af849178fd:0x802440dd47516938!8m2!3d-7.5934024!4d110.9249546!16s%2Fg%2F11n5nwr1g2!19sChIJ_XiRhK8Zei4ROGlRR91AJIA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+KARANGANYAR/@-7.5934024,110.9249546,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a19af849178fd:0x802440dd47516938!8m2!3d-7.5934024!4d110.9249546!16s%2Fg%2F11n5nwr1g2?authuser=0&hl=id&entry=ttu","110.9249546","-7.5934024","Telepon","0812-9248-4945"
"Mitra Ninja papahan","Kantor Perusahaan",2,4,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Mitra+Ninja+papahan/data=!4m7!3m6!1s0x2e7a196ee42f1865:0x8d6a1e8812d1f4f6!8m2!3d-7.5892!4d110.9271709!16s%2Fg%2F11mnklmfps!19sChIJZRgv5G4Zei4R9vTREogeao0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Mitra+Ninja+papahan/@-7.5892,110.9271709,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a196ee42f1865:0x8d6a1e8812d1f4f6!8m2!3d-7.5892!4d110.9271709!16s%2Fg%2F11mnklmfps?authuser=0&hl=id&entry=ttu","110.9271709","-7.5892","Alamat","Kios, Jl. Papahan No.4, Kodokan, Papahan, Kec. Tasikmadu, Kabupaten Karanganyar, Jawa Tengah 57722"
"Mitra Ninja papahan","Kantor Perusahaan",2,4,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Mitra+Ninja+papahan/data=!4m7!3m6!1s0x2e7a196ee42f1865:0x8d6a1e8812d1f4f6!8m2!3d-7.5892!4d110.9271709!16s%2Fg%2F11mnklmfps!19sChIJZRgv5G4Zei4R9vTREogeao0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Mitra+Ninja+papahan/@-7.5892,110.9271709,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a196ee42f1865:0x8d6a1e8812d1f4f6!8m2!3d-7.5892!4d110.9271709!16s%2Fg%2F11mnklmfps?authuser=0&hl=id&entry=ttu","110.9271709","-7.5892","Plus Codes","CW6G+8V Papahan, Kabupaten Karanganyar, Jawa Tengah"
"Ninja Xpress PALUR","Jasa Kurir",2.9,22,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Xpress+PALUR/data=!4m7!3m6!1s0x2e7a17d7df9dbf03:0xf75e75fc5037645c!8m2!3d-7.568149!4d110.873895!16s%2Fg%2F11h_0pj_hx!19sChIJA7-d39cXei4RXGQ3UPx1Xvc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+PALUR/@-7.568149,110.873895,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a17d7df9dbf03:0xf75e75fc5037645c!8m2!3d-7.568149!4d110.873895!16s%2Fg%2F11h_0pj_hx?authuser=0&hl=id&entry=ttu","110.873895","-7.568149","Alamat","Jl. Raya Palur No.36c, Turisari, Dagen, Kec. Jaten, Kabupaten Karanganyar, Jawa Tengah 57731"
"Ninja Xpress PALUR","Jasa Kurir",2.9,22,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Xpress+PALUR/data=!4m7!3m6!1s0x2e7a17d7df9dbf03:0xf75e75fc5037645c!8m2!3d-7.568149!4d110.873895!16s%2Fg%2F11h_0pj_hx!19sChIJA7-d39cXei4RXGQ3UPx1Xvc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+PALUR/@-7.568149,110.873895,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a17d7df9dbf03:0xf75e75fc5037645c!8m2!3d-7.568149!4d110.873895!16s%2Fg%2F11h_0pj_hx?authuser=0&hl=id&entry=ttu","110.873895","-7.568149","Situs Web","ninjaxpress.co"
"Ninja Xpress PALUR","Jasa Kurir",2.9,22,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Xpress+PALUR/data=!4m7!3m6!1s0x2e7a17d7df9dbf03:0xf75e75fc5037645c!8m2!3d-7.568149!4d110.873895!16s%2Fg%2F11h_0pj_hx!19sChIJA7-d39cXei4RXGQ3UPx1Xvc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+PALUR/@-7.568149,110.873895,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a17d7df9dbf03:0xf75e75fc5037645c!8m2!3d-7.568149!4d110.873895!16s%2Fg%2F11h_0pj_hx?authuser=0&hl=id&entry=ttu","110.873895","-7.568149","Telepon","(0271) 6881776"
"Ninja Xpress PALUR","Jasa Kurir",2.9,22,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Xpress+PALUR/data=!4m7!3m6!1s0x2e7a17d7df9dbf03:0xf75e75fc5037645c!8m2!3d-7.568149!4d110.873895!16s%2Fg%2F11h_0pj_hx!19sChIJA7-d39cXei4RXGQ3UPx1Xvc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+PALUR/@-7.568149,110.873895,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a17d7df9dbf03:0xf75e75fc5037645c!8m2!3d-7.568149!4d110.873895!16s%2Fg%2F11h_0pj_hx?authuser=0&hl=id&entry=ttu","110.873895","-7.568149","Plus Codes","CVJF+PH Dagen, Kabupaten Karanganyar, Jawa Tengah"
"Sekre Ninja Club Karanganyar","Bengkel Motor Elektrik",5,6,"unknown","https://www.google.com/maps/place/Sekre+Ninja+Club+Karanganyar/data=!4m7!3m6!1s0x2e7a186eff84b015:0x20d6fae8094db683!8m2!3d-7.5905208!4d110.9356125!16s%2Fg%2F11c74yh1yr!19sChIJFbCE_24Yei4Rg7ZNCej61iA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sekre+Ninja+Club+Karanganyar/@-7.5905208,110.9356125,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a186eff84b015:0x20d6fae8094db683!8m2!3d-7.5905208!4d110.9356125!16s%2Fg%2F11c74yh1yr?authuser=0&hl=id&entry=ttu","110.9356125","-7.5905208","Alamat","Jl. Raya Kaling, Pandes, Papahan, Kec. Tasikmadu, Kabupaten Karanganyar, Jawa Tengah 57722"
"Sekre Ninja Club Karanganyar","Bengkel Motor Elektrik",5,6,"unknown","https://www.google.com/maps/place/Sekre+Ninja+Club+Karanganyar/data=!4m7!3m6!1s0x2e7a186eff84b015:0x20d6fae8094db683!8m2!3d-7.5905208!4d110.9356125!16s%2Fg%2F11c74yh1yr!19sChIJFbCE_24Yei4Rg7ZNCej61iA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sekre+Ninja+Club+Karanganyar/@-7.5905208,110.9356125,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a186eff84b015:0x20d6fae8094db683!8m2!3d-7.5905208!4d110.9356125!16s%2Fg%2F11c74yh1yr?authuser=0&hl=id&entry=ttu","110.9356125","-7.5905208","Plus Codes","CW5P+Q6 Papahan, Kabupaten Karanganyar, Jawa Tengah"
"NinjaXpress Matesih","Jasa Kurir",3.2,5,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/NinjaXpress+Matesih/data=!4m7!3m6!1s0x2e7a21f11cf5dea7:0xff95e4ff61bc87e4!8m2!3d-7.6527497!4d111.0456013!16s%2Fg%2F11j9hm7vl_!19sChIJp971HPEhei4R5Ie8Yf_klf8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NinjaXpress+Matesih/@-7.6527497,111.0456013,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a21f11cf5dea7:0xff95e4ff61bc87e4!8m2!3d-7.6527497!4d111.0456013!16s%2Fg%2F11j9hm7vl_?authuser=0&hl=id&entry=ttu","111.0456013","-7.6527497","Alamat","Jl. Matesih-Jatiyoso, Alerejo, Matesih, Kec. Matesih, Kabupaten Karanganyar, Jawa Tengah 57781"
