"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"NINJA EXPRESS SELOKATON( SUKOREJO)","Jasa Kurir",2.3,3,"unknown","https://www.google.com/maps/place/NINJA+EXPRESS+SELOKATON%28+SUKOREJO%29/data=!4m7!3m6!1s0x2e706df83142b439:0xa0c7ae33725f7f97!8m2!3d-7.0869544!4d110.0224973!16s%2Fg%2F11s9db6v5v!19sChIJObRCMfhtcC4Rl39fcjOux6A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+EXPRESS+SELOKATON(+SUKOREJO)/@-7.0869544,110.0224973,17z/data=!3m1!4b1!4m6!3m5!1s0x2e706df83142b439:0xa0c7ae33725f7f97!8m2!3d-7.0869544!4d110.0224973!16s%2Fg%2F11s9db6v5v?authuser=0&hl=id&entry=ttu","110.0224973","-7.0869544","Alamat","Jl. Raya Sukorejo - Plantungan Jl. Samian No.1, Selokaton Utara, Selokaton, Kec. Sukorejo, Kabupaten Kendal, Jawa Tengah 51363"
"NINJA EXPRESS SELOKATON( SUKOREJO)","Jasa Kurir",2.3,3,"unknown","https://www.google.com/maps/place/NINJA+EXPRESS+SELOKATON%28+SUKOREJO%29/data=!4m7!3m6!1s0x2e706df83142b439:0xa0c7ae33725f7f97!8m2!3d-7.0869544!4d110.0224973!16s%2Fg%2F11s9db6v5v!19sChIJObRCMfhtcC4Rl39fcjOux6A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+EXPRESS+SELOKATON(+SUKOREJO)/@-7.0869544,110.0224973,17z/data=!3m1!4b1!4m6!3m5!1s0x2e706df83142b439:0xa0c7ae33725f7f97!8m2!3d-7.0869544!4d110.0224973!16s%2Fg%2F11s9db6v5v?authuser=0&hl=id&entry=ttu","110.0224973","-7.0869544","Plus Codes","W27C+6X Selokaton, Kabupaten Kendal, Jawa Tengah"
"Ninja Hitam Merch","Toko Pakaian",4.5,8,"","https://www.google.com/maps/place/Ninja+Hitam+Merch/data=!4m7!3m6!1s0x2e70426b8f875805:0xea66c67a302df904!8m2!3d-6.9645013!4d110.0738668!16s%2Fg%2F11fj60_36n!19sChIJBViHj2tCcC4RBPktMHrGZuo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Hitam+Merch/@-6.9645013,110.0738668,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70426b8f875805:0xea66c67a302df904!8m2!3d-6.9645013!4d110.0738668!16s%2Fg%2F11fj60_36n?authuser=0&hl=id&entry=ttu","110.0738668","-6.9645013","Alamat","Krajan, Penyangkringan, Kec. Weleri, Kabupaten Kendal, Jawa Tengah 51355"
"Ninja Hitam Merch","Toko Pakaian",4.5,8,"","https://www.google.com/maps/place/Ninja+Hitam+Merch/data=!4m7!3m6!1s0x2e70426b8f875805:0xea66c67a302df904!8m2!3d-6.9645013!4d110.0738668!16s%2Fg%2F11fj60_36n!19sChIJBViHj2tCcC4RBPktMHrGZuo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Hitam+Merch/@-6.9645013,110.0738668,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70426b8f875805:0xea66c67a302df904!8m2!3d-6.9645013!4d110.0738668!16s%2Fg%2F11fj60_36n?authuser=0&hl=id&entry=ttu","110.0738668","-6.9645013","Telepon","0856-1319-039"
"Ninja Hitam Merch","Toko Pakaian",4.5,8,"","https://www.google.com/maps/place/Ninja+Hitam+Merch/data=!4m7!3m6!1s0x2e70426b8f875805:0xea66c67a302df904!8m2!3d-6.9645013!4d110.0738668!16s%2Fg%2F11fj60_36n!19sChIJBViHj2tCcC4RBPktMHrGZuo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Hitam+Merch/@-6.9645013,110.0738668,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70426b8f875805:0xea66c67a302df904!8m2!3d-6.9645013!4d110.0738668!16s%2Fg%2F11fj60_36n?authuser=0&hl=id&entry=ttu","110.0738668","-6.9645013","Plus Codes","23PF+5G Penyangkringan, Kabupaten Kendal, Jawa Tengah"
"Ninja Express Kaliwungu",NA,2,8,"Tutup permanen","https://www.google.com/maps/place/Ninja+Express+Kaliwungu/data=!4m7!3m6!1s0x2e705f4494d04c35:0xd076c4b27bee51f2!8m2!3d-6.990222!4d110.424579!16s%2Fg%2F11n1166ngp!19sChIJNUzQlERfcC4R8lHue7LEdtA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Express+Kaliwungu/@-6.990222,110.424579,17z/data=!3m1!4b1!4m6!3m5!1s0x2e705f4494d04c35:0xd076c4b27bee51f2!8m2!3d-6.990222!4d110.424579!16s%2Fg%2F11n1166ngp?authuser=0&hl=id&entry=ttu","110.424579","-6.990222","Alamat","2C5F+WR8, Jl. Raya Nolokerto - Kaliwungu - Kendal, Kauman, Krajan Kulon, Kec. Kaliwungu Sel., Kabupaten Kendal, Jawa Tengah 51372"
"Ninja Express Kaliwungu",NA,2,8,"Tutup permanen","https://www.google.com/maps/place/Ninja+Express+Kaliwungu/data=!4m7!3m6!1s0x2e705f4494d04c35:0xd076c4b27bee51f2!8m2!3d-6.990222!4d110.424579!16s%2Fg%2F11n1166ngp!19sChIJNUzQlERfcC4R8lHue7LEdtA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Express+Kaliwungu/@-6.990222,110.424579,17z/data=!3m1!4b1!4m6!3m5!1s0x2e705f4494d04c35:0xd076c4b27bee51f2!8m2!3d-6.990222!4d110.424579!16s%2Fg%2F11n1166ngp?authuser=0&hl=id&entry=ttu","110.424579","-6.990222","Telepon","0822-3693-4669"
"Ninja Xpress Cepiring",NA,2.3,3,"Tutup permanen","https://www.google.com/maps/place/Ninja+Xpress+Cepiring/data=!4m7!3m6!1s0x2e705dbd9c0dafdf:0xb0d16c4c98de1837!8m2!3d-6.9271292!4d110.1576864!16s%2Fg%2F11rhrss1yd!19sChIJ368NnL1dcC4RNxjemExs0bA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Cepiring/@-6.9271292,110.1576864,17z/data=!3m1!4b1!4m6!3m5!1s0x2e705dbd9c0dafdf:0xb0d16c4c98de1837!8m2!3d-6.9271292!4d110.1576864!16s%2Fg%2F11rhrss1yd?authuser=0&hl=id&entry=ttu","110.1576864","-6.9271292","Alamat","35F5+53, Cepiring Tengah, Cepiring, Kec. Cepiring, Kabupaten Kendal, Jawa Tengah 51352"
"Ninja Xpress Cepiring",NA,2.3,3,"Tutup permanen","https://www.google.com/maps/place/Ninja+Xpress+Cepiring/data=!4m7!3m6!1s0x2e705dbd9c0dafdf:0xb0d16c4c98de1837!8m2!3d-6.9271292!4d110.1576864!16s%2Fg%2F11rhrss1yd!19sChIJ368NnL1dcC4RNxjemExs0bA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Cepiring/@-6.9271292,110.1576864,17z/data=!3m1!4b1!4m6!3m5!1s0x2e705dbd9c0dafdf:0xb0d16c4c98de1837!8m2!3d-6.9271292!4d110.1576864!16s%2Fg%2F11rhrss1yd?authuser=0&hl=id&entry=ttu","110.1576864","-6.9271292","Telepon","0822-3693-4716"
"Ninja Express",NA,4,5,"Tutup permanen","https://www.google.com/maps/place/Ninja+Express/data=!4m7!3m6!1s0x2e705fa80ed39adf:0x3c5e049e2647b198!8m2!3d-6.9694156!4d110.2473203!16s%2Fg%2F11lq0kdrg5!19sChIJ35rTDqhfcC4RmLFHJp4EXjw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Express/@-6.9694156,110.2473203,17z/data=!3m1!4b1!4m6!3m5!1s0x2e705fa80ed39adf:0x3c5e049e2647b198!8m2!3d-6.9694156!4d110.2473203!16s%2Fg%2F11lq0kdrg5?authuser=0&hl=id&entry=ttu","110.2473203","-6.9694156","Alamat","26JW+6WP, Jl. Raya Nolokerto - Kaliwungu - Kendal, Area Sawah, Magelung, Kec. Kaliwungu Sel., Kabupaten Kendal, Jawa Tengah 51372"
