"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Ninja Xpress Rumbia","Layanan Logistik",NA,NA,"unknown","https://www.google.com/maps/place/Ninja+Xpress+Rumbia/data=!4m7!3m6!1s0x2e3f61a368a1d863:0x1d5252dee6f09266!8m2!3d-4.8414671!4d105.4801024!16s%2Fg%2F11hhtlrpzb!19sChIJY9ihaKNhPy4RZpLw5t5SUh0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Rumbia/@-4.8414671,105.4801024,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3f61a368a1d863:0x1d5252dee6f09266!8m2!3d-4.8414671!4d105.4801024!16s%2Fg%2F11hhtlrpzb?authuser=0&hl=id&entry=ttu","105.4801024","-4.8414671","Alamat","5F5J+C29, Sido Binangun, Kec. Way Seputih, Kabupaten Lampung Tengah, Lampung 34156"
"Ninja Xpress Rumbia","Layanan Logistik",NA,NA,"unknown","https://www.google.com/maps/place/Ninja+Xpress+Rumbia/data=!4m7!3m6!1s0x2e3f61a368a1d863:0x1d5252dee6f09266!8m2!3d-4.8414671!4d105.4801024!16s%2Fg%2F11hhtlrpzb!19sChIJY9ihaKNhPy4RZpLw5t5SUh0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Rumbia/@-4.8414671,105.4801024,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3f61a368a1d863:0x1d5252dee6f09266!8m2!3d-4.8414671!4d105.4801024!16s%2Fg%2F11hhtlrpzb?authuser=0&hl=id&entry=ttu","105.4801024","-4.8414671","Telepon","0852-6992-7413"
"Ninja Xpress Kalirejo","Jasa Kurir",3.9,16,"unknown","https://www.google.com/maps/place/Ninja+Xpress+Kalirejo/data=!4m7!3m6!1s0x2e4735e0ca185cf9:0x737667772b6ff4ca!8m2!3d-5.2293326!4d104.9612327!16s%2Fg%2F11llyx1hxj!19sChIJ-VwYyuA1Ry4RyvRvK3dndnM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Kalirejo/@-5.2293326,104.9612327,17z/data=!3m1!4b1!4m6!3m5!1s0x2e4735e0ca185cf9:0x737667772b6ff4ca!8m2!3d-5.2293326!4d104.9612327!16s%2Fg%2F11llyx1hxj?authuser=0&hl=id&entry=ttu","104.9612327","-5.2293326","Alamat","Kali Rejo, Kec. Kalirejo, Kabupaten Lampung Tengah, Lampung 34174"
"Ninja Xpress Kalirejo","Jasa Kurir",3.9,16,"unknown","https://www.google.com/maps/place/Ninja+Xpress+Kalirejo/data=!4m7!3m6!1s0x2e4735e0ca185cf9:0x737667772b6ff4ca!8m2!3d-5.2293326!4d104.9612327!16s%2Fg%2F11llyx1hxj!19sChIJ-VwYyuA1Ry4RyvRvK3dndnM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Kalirejo/@-5.2293326,104.9612327,17z/data=!3m1!4b1!4m6!3m5!1s0x2e4735e0ca185cf9:0x737667772b6ff4ca!8m2!3d-5.2293326!4d104.9612327!16s%2Fg%2F11llyx1hxj?authuser=0&hl=id&entry=ttu","104.9612327","-5.2293326","Telepon","0857-6940-1957"
"Ninja Xpress Kalirejo","Jasa Kurir",3.9,16,"unknown","https://www.google.com/maps/place/Ninja+Xpress+Kalirejo/data=!4m7!3m6!1s0x2e4735e0ca185cf9:0x737667772b6ff4ca!8m2!3d-5.2293326!4d104.9612327!16s%2Fg%2F11llyx1hxj!19sChIJ-VwYyuA1Ry4RyvRvK3dndnM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Kalirejo/@-5.2293326,104.9612327,17z/data=!3m1!4b1!4m6!3m5!1s0x2e4735e0ca185cf9:0x737667772b6ff4ca!8m2!3d-5.2293326!4d104.9612327!16s%2Fg%2F11llyx1hxj?authuser=0&hl=id&entry=ttu","104.9612327","-5.2293326","Plus Codes","QXC6+7F Kali Rejo, Kabupaten Lampung Tengah, Lampung"
"NINJA VAN TKG-GNS","Gudang",1.5,8,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/NINJA+VAN+TKG-GNS/data=!4m7!3m6!1s0x2e40a9efe213142f:0xe47bbb32790d0887!8m2!3d-4.9430904!4d105.2051786!16s%2Fg%2F11r4wyk9v3!19sChIJLxQT4u-pQC4RhwgNeTK7e-Q?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+VAN+TKG-GNS/@-4.9430904,105.2051786,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40a9efe213142f:0xe47bbb32790d0887!8m2!3d-4.9430904!4d105.2051786!16s%2Fg%2F11r4wyk9v3?authuser=0&hl=id&entry=ttu","105.2051786","-4.9430904","Alamat","3644+Q37, Bandar Jaya Tim., Kec. Terbanggi Besar, Kabupaten Lampung Tengah, Lampung 34163"
"Mintra Ninja Express","Perusahaan Ekspedisi",3.2,6,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Mintra+Ninja+Express/data=!4m7!3m6!1s0x2e40a9d1d9180d59:0x1d315fe57b62f2de!8m2!3d-4.9266156!4d105.2122735!16s%2Fg%2F11hdyf30gv!19sChIJWQ0Y2dGpQC4R3vJie-VfMR0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Mintra+Ninja+Express/@-4.9266156,105.2122735,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40a9d1d9180d59:0x1d315fe57b62f2de!8m2!3d-4.9266156!4d105.2122735!16s%2Fg%2F11hdyf30gv?authuser=0&hl=id&entry=ttu","105.2122735","-4.9266156","Alamat","36F6+9W2, Yukum Jaya, Kec. Terbanggi Besar, Kabupaten Lampung Tengah, Lampung 34163"
"Mintra Ninja Express","Perusahaan Ekspedisi",3.2,6,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Mintra+Ninja+Express/data=!4m7!3m6!1s0x2e40a9d1d9180d59:0x1d315fe57b62f2de!8m2!3d-4.9266156!4d105.2122735!16s%2Fg%2F11hdyf30gv!19sChIJWQ0Y2dGpQC4R3vJie-VfMR0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Mintra+Ninja+Express/@-4.9266156,105.2122735,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40a9d1d9180d59:0x1d315fe57b62f2de!8m2!3d-4.9266156!4d105.2122735!16s%2Fg%2F11hdyf30gv?authuser=0&hl=id&entry=ttu","105.2122735","-4.9266156","Telepon","0812-7937-337"
"Ninja romzi","Kantor Perusahaan",NA,NA,"Tutup ⋅ Buka Rab pukul 07.00","https://www.google.com/maps/place/Ninja+romzi/data=!4m7!3m6!1s0x2e3f65467f5279b3:0xf93e77f5d3e59fab!8m2!3d-4.7596007!4d105.5307477!16s%2Fg%2F11svwk70vm!19sChIJs3lSf0ZlPy4Rq5_l0_V3Pvk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+romzi/@-4.7596007,105.5307477,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3f65467f5279b3:0xf93e77f5d3e59fab!8m2!3d-4.7596007!4d105.5307477!16s%2Fg%2F11svwk70vm?authuser=0&hl=id&entry=ttu","105.5307477","-4.7596007","Alamat","6GRJ+575, Rekso Binangun, Kec. Rumbia, Kabupaten Lampung Tengah, Lampung"
"Ninja romzi","Kantor Perusahaan",NA,NA,"Tutup ⋅ Buka Rab pukul 07.00","https://www.google.com/maps/place/Ninja+romzi/data=!4m7!3m6!1s0x2e3f65467f5279b3:0xf93e77f5d3e59fab!8m2!3d-4.7596007!4d105.5307477!16s%2Fg%2F11svwk70vm!19sChIJs3lSf0ZlPy4Rq5_l0_V3Pvk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+romzi/@-4.7596007,105.5307477,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3f65467f5279b3:0xf93e77f5d3e59fab!8m2!3d-4.7596007!4d105.5307477!16s%2Fg%2F11svwk70vm?authuser=0&hl=id&entry=ttu","105.5307477","-4.7596007","Telepon","0813-2905-1515"
