"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"NinjaXpress Maja","Kantor Perusahaan",4.3,6,"unknown","https://www.google.com/maps/place/NinjaXpress+Maja/data=!4m7!3m6!1s0x2e6f25d14b0a4fab:0xbcbbb2eb9c5704a8!8m2!3d-6.8669425!4d108.280566!16s%2Fg%2F11jg4kxzhw!19sChIJq08KS9Elby4RqARXnOuyu7w?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NinjaXpress+Maja/@-6.8669425,108.280566,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f25d14b0a4fab:0xbcbbb2eb9c5704a8!8m2!3d-6.8669425!4d108.280566!16s%2Fg%2F11jg4kxzhw?authuser=0&hl=id&entry=ttu","108.280566","-6.8669425","Alamat","47MJ+66G, Jl. Majalengka - Talaga Sindangkerta, Kertabasuki, Kec. Maja, Kabupaten Majalengka, Jawa Barat 45461"
"Ninja Xpress Rajagaluh (Kantor Khusus Pengiriman Dari Anda ke Alamat Tujuan)","Kantor Perusahaan",2.7,20,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Xpress+Rajagaluh+%28Kantor+Khusus+Pengiriman+Dari+Anda+ke+Alamat+Tujuan%29/data=!4m7!3m6!1s0x2e6f21a7e415b825:0xd7cdd7894ffa0448!8m2!3d-6.7833404!4d108.3459073!16s%2Fg%2F11kn2hlx2r!19sChIJJbgV5Kchby4RSAT6T4nXzdc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Rajagaluh+(Kantor+Khusus+Pengiriman+Dari+Anda+ke+Alamat+Tujuan)/@-6.7833404,108.3459073,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f21a7e415b825:0xd7cdd7894ffa0448!8m2!3d-6.7833404!4d108.3459073!16s%2Fg%2F11kn2hlx2r?authuser=0&hl=id&entry=ttu","108.3459073","-6.7833404","Alamat","Rajagaluh Lor, Kec. Rajagaluh, Kabupaten Majalengka, Jawa Barat 45472"
"Ninja Xpress Rajagaluh (Kantor Khusus Pengiriman Dari Anda ke Alamat Tujuan)","Kantor Perusahaan",2.7,20,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Xpress+Rajagaluh+%28Kantor+Khusus+Pengiriman+Dari+Anda+ke+Alamat+Tujuan%29/data=!4m7!3m6!1s0x2e6f21a7e415b825:0xd7cdd7894ffa0448!8m2!3d-6.7833404!4d108.3459073!16s%2Fg%2F11kn2hlx2r!19sChIJJbgV5Kchby4RSAT6T4nXzdc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Rajagaluh+(Kantor+Khusus+Pengiriman+Dari+Anda+ke+Alamat+Tujuan)/@-6.7833404,108.3459073,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f21a7e415b825:0xd7cdd7894ffa0448!8m2!3d-6.7833404!4d108.3459073!16s%2Fg%2F11kn2hlx2r?authuser=0&hl=id&entry=ttu","108.3459073","-6.7833404","Telepon","0895-2997-9212"
"Ninja Xpress Rajagaluh (Kantor Khusus Pengiriman Dari Anda ke Alamat Tujuan)","Kantor Perusahaan",2.7,20,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Xpress+Rajagaluh+%28Kantor+Khusus+Pengiriman+Dari+Anda+ke+Alamat+Tujuan%29/data=!4m7!3m6!1s0x2e6f21a7e415b825:0xd7cdd7894ffa0448!8m2!3d-6.7833404!4d108.3459073!16s%2Fg%2F11kn2hlx2r!19sChIJJbgV5Kchby4RSAT6T4nXzdc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Rajagaluh+(Kantor+Khusus+Pengiriman+Dari+Anda+ke+Alamat+Tujuan)/@-6.7833404,108.3459073,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f21a7e415b825:0xd7cdd7894ffa0448!8m2!3d-6.7833404!4d108.3459073!16s%2Fg%2F11kn2hlx2r?authuser=0&hl=id&entry=ttu","108.3459073","-6.7833404","Plus Codes","688W+M9 Rajagaluh Lor, Kabupaten Majalengka, Jawa Barat"
"Ninja Xpress Rajagaluh 2","Kantor Perusahaan",5,1,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/Ninja+Xpress+Rajagaluh+2/data=!4m7!3m6!1s0x2e6f277d7ba139c7:0x1e7800a2ace595a7!8m2!3d-6.7981933!4d108.3302648!16s%2Fg%2F11mvgpvjdp!19sChIJxzmhe30nby4Rp5XlrKIAeB4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Rajagaluh+2/@-6.7981933,108.3302648,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f277d7ba139c7:0x1e7800a2ace595a7!8m2!3d-6.7981933!4d108.3302648!16s%2Fg%2F11mvgpvjdp?authuser=0&hl=id&entry=ttu","108.3302648","-6.7981933","Alamat","682J+P4C, Tanjungsari, Kec. Sukahaji, Kabupaten Majalengka, Jawa Barat 45471"
"Ninja Xpress Rajagaluh 2","Kantor Perusahaan",5,1,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/Ninja+Xpress+Rajagaluh+2/data=!4m7!3m6!1s0x2e6f277d7ba139c7:0x1e7800a2ace595a7!8m2!3d-6.7981933!4d108.3302648!16s%2Fg%2F11mvgpvjdp!19sChIJxzmhe30nby4Rp5XlrKIAeB4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Rajagaluh+2/@-6.7981933,108.3302648,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f277d7ba139c7:0x1e7800a2ace595a7!8m2!3d-6.7981933!4d108.3302648!16s%2Fg%2F11mvgpvjdp?authuser=0&hl=id&entry=ttu","108.3302648","-6.7981933","Telepon","(0233) 8516623"
"Ninja Express Mst SJY By Bang yon's","Gudang",4.8,4,"Buka 24 jam","https://www.google.com/maps/place/Ninja+Express+Mst+SJY+By+Bang+yon%27s/data=!4m7!3m6!1s0x2e6edf2d476784a7:0xa684a02fe21b5d5e!8m2!3d-6.7044064!4d108.3336665!16s%2Fg%2F1pzywnqn8!19sChIJp4RnRy3fbi4RXl0b4i-ghKY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Express+Mst+SJY+By+Bang+yon's/@-6.7044064,108.3336665,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6edf2d476784a7:0xa684a02fe21b5d5e!8m2!3d-6.7044064!4d108.3336665!16s%2Fg%2F1pzywnqn8?authuser=0&hl=id&entry=ttu","108.3336665","-6.7044064","Alamat","78WM+6FM Sumber Jaya, Garawangi, Majalengka, Kabupaten Majalengka, Jawa Barat 45455"
"Sekretariat Majalengka Ninja Club","Kantor Perusahaan",NA,NA,"unknown","https://www.google.com/maps/place/Sekretariat+Majalengka+Ninja+Club/data=!4m7!3m6!1s0x2e6f296d2cdc5d65:0x2ae3baaf5c37c715!8m2!3d-6.8090273!4d108.1894555!16s%2Fg%2F11kdjlssrt!19sChIJZV3cLG0pby4RFcc3XK-64yo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sekretariat+Majalengka+Ninja+Club/@-6.8090273,108.1894555,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f296d2cdc5d65:0x2ae3baaf5c37c715!8m2!3d-6.8090273!4d108.1894555!16s%2Fg%2F11kdjlssrt?authuser=0&hl=id&entry=ttu","108.1894555","-6.8090273","Alamat","Jl. Kh. Abdul Halim No.49, Panyingkiran, Kec. Panyingkiran, Kabupaten Majalengka, Jawa Barat 45459"
"Sekretariat Majalengka Ninja Club","Kantor Perusahaan",NA,NA,"unknown","https://www.google.com/maps/place/Sekretariat+Majalengka+Ninja+Club/data=!4m7!3m6!1s0x2e6f296d2cdc5d65:0x2ae3baaf5c37c715!8m2!3d-6.8090273!4d108.1894555!16s%2Fg%2F11kdjlssrt!19sChIJZV3cLG0pby4RFcc3XK-64yo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sekretariat+Majalengka+Ninja+Club/@-6.8090273,108.1894555,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f296d2cdc5d65:0x2ae3baaf5c37c715!8m2!3d-6.8090273!4d108.1894555!16s%2Fg%2F11kdjlssrt?authuser=0&hl=id&entry=ttu","108.1894555","-6.8090273","Plus Codes","55RQ+9Q Panyingkiran, Kabupaten Majalengka, Jawa Barat"
"Ninja Expres MST MAJ by Bang yon's","Kantor Perusahaan",5,3,"unknown","https://www.google.com/maps/place/Ninja+Expres+MST+MAJ+by+Bang+yon%27s/data=!4m7!3m6!1s0x2e6f25047d2beb49:0x69b3ba799bac9c6c!8m2!3d-6.8669851!4d108.2805634!16s%2Fg%2F11nrrxn7nm!19sChIJSesrfQQlby4RbJysm3m6s2k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Expres+MST+MAJ+by+Bang+yon's/@-6.8669851,108.2805634,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f25047d2beb49:0x69b3ba799bac9c6c!8m2!3d-6.8669851!4d108.2805634!16s%2Fg%2F11nrrxn7nm?authuser=0&hl=id&entry=ttu","108.2805634","-6.8669851","Alamat","47MJ+664, Kertabasuki, Kec. Maja, Kabupaten Majalengka, Jawa Barat 45461"
