"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Ninja Van North Metro Warehouse","Gudang",4.5,2,"unknown","https://www.google.com/maps/place/Ninja+Van+North+Metro+Warehouse/data=!4m7!3m6!1s0x3397b131fc675ea5:0xe40212cf9fce9d11!8m2!3d14.7309442!4d121.0456858!16s%2Fg%2F11tc1y5nhj!19sChIJpV5n_DGxlzMREZ3On88SAuQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Van+North+Metro+Warehouse/@14.7309442,121.0456858,17z/data=!3m1!4b1!4m6!3m5!1s0x3397b131fc675ea5:0xe40212cf9fce9d11!8m2!3d14.7309442!4d121.0456858!16s%2Fg%2F11tc1y5nhj?authuser=0&hl=id&entry=ttu","121.0456858","14.7309442","Alamat","7c, Novaliches, Quezon City, 1118 Metro Manila, Filipina"
"Ninja Van North Metro Warehouse","Gudang",4.5,2,"unknown","https://www.google.com/maps/place/Ninja+Van+North+Metro+Warehouse/data=!4m7!3m6!1s0x3397b131fc675ea5:0xe40212cf9fce9d11!8m2!3d14.7309442!4d121.0456858!16s%2Fg%2F11tc1y5nhj!19sChIJpV5n_DGxlzMREZ3On88SAuQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Van+North+Metro+Warehouse/@14.7309442,121.0456858,17z/data=!3m1!4b1!4m6!3m5!1s0x3397b131fc675ea5:0xe40212cf9fce9d11!8m2!3d14.7309442!4d121.0456858!16s%2Fg%2F11tc1y5nhj?authuser=0&hl=id&entry=ttu","121.0456858","14.7309442","Plus Codes","P2JW+97 Kota Quezon, Metro Manila, Filipina"
"Ninja Van Pasig","Layanan Logistik",2.7,109,"Buka 24 jam","https://www.google.com/maps/place/Ninja+Van+Pasig/data=!4m7!3m6!1s0x3397c7e9cb0750d7:0x953d3756a4a15004!8m2!3d14.5745363!4d121.0939102!16s%2Fg%2F11fzbwl5wt!19sChIJ11AHy-nHlzMRBFChpFY3PZU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Van+Pasig/@14.5745363,121.0939102,17z/data=!3m1!4b1!4m6!3m5!1s0x3397c7e9cb0750d7:0x953d3756a4a15004!8m2!3d14.5745363!4d121.0939102!16s%2Fg%2F11fzbwl5wt?authuser=0&hl=id&entry=ttu","121.0939102","14.5745363","Alamat","H3FV+RH7, Pasig, Metro Manila, Filipina"
"Ninja Van Pasig","Layanan Logistik",2.7,109,"Buka 24 jam","https://www.google.com/maps/place/Ninja+Van+Pasig/data=!4m7!3m6!1s0x3397c7e9cb0750d7:0x953d3756a4a15004!8m2!3d14.5745363!4d121.0939102!16s%2Fg%2F11fzbwl5wt!19sChIJ11AHy-nHlzMRBFChpFY3PZU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Van+Pasig/@14.5745363,121.0939102,17z/data=!3m1!4b1!4m6!3m5!1s0x3397c7e9cb0750d7:0x953d3756a4a15004!8m2!3d14.5745363!4d121.0939102!16s%2Fg%2F11fzbwl5wt?authuser=0&hl=id&entry=ttu","121.0939102","14.5745363","Alamat","H3FV+RH7, Pasig, Kalakhang Maynila"
"Ninja Van Pasig","Layanan Logistik",2.7,109,"Buka 24 jam","https://www.google.com/maps/place/Ninja+Van+Pasig/data=!4m7!3m6!1s0x3397c7e9cb0750d7:0x953d3756a4a15004!8m2!3d14.5745363!4d121.0939102!16s%2Fg%2F11fzbwl5wt!19sChIJ11AHy-nHlzMRBFChpFY3PZU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Van+Pasig/@14.5745363,121.0939102,17z/data=!3m1!4b1!4m6!3m5!1s0x3397c7e9cb0750d7:0x953d3756a4a15004!8m2!3d14.5745363!4d121.0939102!16s%2Fg%2F11fzbwl5wt?authuser=0&hl=id&entry=ttu","121.0939102","14.5745363","Situs Web","ninjavan.co"
"Ninja Van Pasig","Layanan Logistik",2.7,109,"Buka 24 jam","https://www.google.com/maps/place/Ninja+Van+Pasig/data=!4m7!3m6!1s0x3397c7e9cb0750d7:0x953d3756a4a15004!8m2!3d14.5745363!4d121.0939102!16s%2Fg%2F11fzbwl5wt!19sChIJ11AHy-nHlzMRBFChpFY3PZU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Van+Pasig/@14.5745363,121.0939102,17z/data=!3m1!4b1!4m6!3m5!1s0x3397c7e9cb0750d7:0x953d3756a4a15004!8m2!3d14.5745363!4d121.0939102!16s%2Fg%2F11fzbwl5wt?authuser=0&hl=id&entry=ttu","121.0939102","14.5745363","Telepon","+63 2 7903 4690"
"Ninjavan station hub","Kantor Perusahaan",2.8,4,"unknown","https://www.google.com/maps/place/Ninjavan+station+hub/data=!4m7!3m6!1s0x3397b960107400d3:0xf1be2d39b60f135b!8m2!3d14.6216961!4d121.1036106!16s%2Fg%2F11h7crkq34!19sChIJ0wB0EGC5lzMRWxMPtjktvvE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninjavan+station+hub/@14.6216961,121.1036106,17z/data=!3m1!4b1!4m6!3m5!1s0x3397b960107400d3:0xf1be2d39b60f135b!8m2!3d14.6216961!4d121.1036106!16s%2Fg%2F11h7crkq34?authuser=0&hl=id&entry=ttu","121.1036106","14.6216961","Alamat","3, 1800 Martilyo, Marikina, 1800 Metro Manila, Filipina"
"Ninjavan station hub","Kantor Perusahaan",2.8,4,"unknown","https://www.google.com/maps/place/Ninjavan+station+hub/data=!4m7!3m6!1s0x3397b960107400d3:0xf1be2d39b60f135b!8m2!3d14.6216961!4d121.1036106!16s%2Fg%2F11h7crkq34!19sChIJ0wB0EGC5lzMRWxMPtjktvvE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninjavan+station+hub/@14.6216961,121.1036106,17z/data=!3m1!4b1!4m6!3m5!1s0x3397b960107400d3:0xf1be2d39b60f135b!8m2!3d14.6216961!4d121.1036106!16s%2Fg%2F11h7crkq34?authuser=0&hl=id&entry=ttu","121.1036106","14.6216961","Plus Codes","J4C3+MC Kota Marikina, Metro Manila, Filipina"
"Ninja Van Tayuman Tondo","Jasa Kurir",3,1,"Tutup sementara","https://www.google.com/maps/place/Ninja+Van+Tayuman+Tondo/data=!4m7!3m6!1s0x3397b595135632b3:0x5c48b227d7a5c481!8m2!3d14.6200698!4d120.9619903!16s%2Fg%2F11qk32zlxl!19sChIJszJWE5W1lzMRgcSl1yeySFw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Van+Tayuman+Tondo/@14.6200698,120.9619903,17z/data=!3m1!4b1!4m6!3m5!1s0x3397b595135632b3:0x5c48b227d7a5c481!8m2!3d14.6200698!4d120.9619903!16s%2Fg%2F11qk32zlxl?authuser=0&hl=id&entry=ttu","120.9619903","14.6200698","Alamat","Tayuman Extension, 27 C2 Capulong St, Tondo, Manila, 1012 Metro Manila, Filipina"
"Ninja Van Tayuman Tondo","Jasa Kurir",3,1,"Tutup sementara","https://www.google.com/maps/place/Ninja+Van+Tayuman+Tondo/data=!4m7!3m6!1s0x3397b595135632b3:0x5c48b227d7a5c481!8m2!3d14.6200698!4d120.9619903!16s%2Fg%2F11qk32zlxl!19sChIJszJWE5W1lzMRgcSl1yeySFw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Van+Tayuman+Tondo/@14.6200698,120.9619903,17z/data=!3m1!4b1!4m6!3m5!1s0x3397b595135632b3:0x5c48b227d7a5c481!8m2!3d14.6200698!4d120.9619903!16s%2Fg%2F11qk32zlxl?authuser=0&hl=id&entry=ttu","120.9619903","14.6200698","Telepon","+63 925 706 1924"
