"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"NINJA EXPRESS JENEPONTO","Layanan Logistik",3.6,5,"Buka 24 jam","https://www.google.com/maps/place/NINJA+EXPRESS+JENEPONTO/data=!4m7!3m6!1s0x2db937c123045633:0xaa1f05ca076f1ace!8m2!3d-5.6706479!4d119.7694778!16s%2Fg%2F11qs93jf0r!19sChIJM1YEI8E3uS0RzhpvB8oFH6o?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+EXPRESS+JENEPONTO/@-5.6706479,119.7694778,17z/data=!3m1!4b1!4m6!3m5!1s0x2db937c123045633:0xaa1f05ca076f1ace!8m2!3d-5.6706479!4d119.7694778!16s%2Fg%2F11qs93jf0r?authuser=0&hl=id&entry=ttu","119.7694778","-5.6706479","Alamat","Jl. Poros Jeneponto Bantaeng, Empoang Sel., Kec. Binamu, Kabupaten Jeneponto, Sulawesi Selatan 92311"
"NINJA EXPRESS JENEPONTO","Layanan Logistik",3.6,5,"Buka 24 jam","https://www.google.com/maps/place/NINJA+EXPRESS+JENEPONTO/data=!4m7!3m6!1s0x2db937c123045633:0xaa1f05ca076f1ace!8m2!3d-5.6706479!4d119.7694778!16s%2Fg%2F11qs93jf0r!19sChIJM1YEI8E3uS0RzhpvB8oFH6o?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+EXPRESS+JENEPONTO/@-5.6706479,119.7694778,17z/data=!3m1!4b1!4m6!3m5!1s0x2db937c123045633:0xaa1f05ca076f1ace!8m2!3d-5.6706479!4d119.7694778!16s%2Fg%2F11qs93jf0r?authuser=0&hl=id&entry=ttu","119.7694778","-5.6706479","Plus Codes","8QH9+PQ Empoang Sel., Kabupaten Jeneponto, Sulawesi Selatan"
"Ninja Xpress Gunungsitoli Basecamp Nias Barat","Kantor Perusahaan",2,8,"Tutup ⋅ Buka Min pukul 12.00","https://www.google.com/maps/place/Ninja+Xpress+Gunungsitoli+Basecamp+Nias+Barat/data=!4m7!3m6!1s0x30261345df99b3ef:0x5606361c5c5cc72e!8m2!3d0.9920982!4d97.50045!16s%2Fg%2F11s199smng!19sChIJ77OZ30UTJjARLsdcXBw2BlY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Gunungsitoli+Basecamp+Nias+Barat/@0.9920982,97.50045,17z/data=!3m1!4b1!4m6!3m5!1s0x30261345df99b3ef:0x5606361c5c5cc72e!8m2!3d0.9920982!4d97.50045!16s%2Fg%2F11s199smng?authuser=0&hl=id&entry=ttu","97.50045","0.9920982","Alamat","Jl. Raya Onolimbu - Lahomi, Onowaembo, Kec. Lahomi, Kabupaten Nias Barat, Sumatera Utara 22864"
"Ninja Xpress Gunungsitoli Basecamp Nias Barat","Kantor Perusahaan",2,8,"Tutup ⋅ Buka Min pukul 12.00","https://www.google.com/maps/place/Ninja+Xpress+Gunungsitoli+Basecamp+Nias+Barat/data=!4m7!3m6!1s0x30261345df99b3ef:0x5606361c5c5cc72e!8m2!3d0.9920982!4d97.50045!16s%2Fg%2F11s199smng!19sChIJ77OZ30UTJjARLsdcXBw2BlY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Gunungsitoli+Basecamp+Nias+Barat/@0.9920982,97.50045,17z/data=!3m1!4b1!4m6!3m5!1s0x30261345df99b3ef:0x5606361c5c5cc72e!8m2!3d0.9920982!4d97.50045!16s%2Fg%2F11s199smng?authuser=0&hl=id&entry=ttu","97.50045","0.9920982","Plus Codes","XGR2+R5 Onowaembo, Kabupaten Nias Barat, Sumatera Utara"
"Gudang nias (ninja expres)","Gudang",NA,NA,"unknown","https://www.google.com/maps/place/Gudang+nias+%28ninja+expres%29/data=!4m7!3m6!1s0x2e698ba4de8a1e1d:0xd46acf5762edb182!8m2!3d-6.1541703!4d106.9174672!16s%2Fg%2F11t4w_xsrz!19sChIJHR6K3qSLaS4RgrHtYlfPatQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gudang+nias+(ninja+expres)/@-6.1541703,106.9174672,17z/data=!3m1!4b1!4m6!3m5!1s0x2e698ba4de8a1e1d:0xd46acf5762edb182!8m2!3d-6.1541703!4d106.9174672!16s%2Fg%2F11t4w_xsrz?authuser=0&hl=id&entry=ttu","106.9174672","-6.1541703","Alamat","Apartemen Gading Nias, Pegangsaan Dua, Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14250"
"Gudang nias (ninja expres)","Gudang",NA,NA,"unknown","https://www.google.com/maps/place/Gudang+nias+%28ninja+expres%29/data=!4m7!3m6!1s0x2e698ba4de8a1e1d:0xd46acf5762edb182!8m2!3d-6.1541703!4d106.9174672!16s%2Fg%2F11t4w_xsrz!19sChIJHR6K3qSLaS4RgrHtYlfPatQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gudang+nias+(ninja+expres)/@-6.1541703,106.9174672,17z/data=!3m1!4b1!4m6!3m5!1s0x2e698ba4de8a1e1d:0xd46acf5762edb182!8m2!3d-6.1541703!4d106.9174672!16s%2Fg%2F11t4w_xsrz?authuser=0&hl=id&entry=ttu","106.9174672","-6.1541703","Plus Codes","RWW8+8X Pegangsaan Dua, Jkt Utara, Daerah Khusus Ibukota Jakarta"
"Ninja Xpress IDG","Kantor Perusahaan",5,1,"unknown","https://www.google.com/maps/place/Ninja+Xpress+IDG/data=!4m7!3m6!1s0x3026017e4f28c485:0x4b82960e3772db3b!8m2!3d1.1389134!4d97.7127449!16s%2Fg%2F11t9kbl1v0!19sChIJhcQoT34BJjARO9tyNw6Wgks?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+IDG/@1.1389134,97.7127449,17z/data=!3m1!4b1!4m6!3m5!1s0x3026017e4f28c485:0x4b82960e3772db3b!8m2!3d1.1389134!4d97.7127449!16s%2Fg%2F11t9kbl1v0?authuser=0&hl=id&entry=ttu","97.7127449","1.1389134","Alamat","4PQ7+H39, Jl. Raya Pelud Binaka, Soewe, Kec. Gido, Kabupaten Nias, Sumatera Utara"
"Ninja Xpress Idanogawo","Kantor Perusahaan",NA,NA,"unknown","https://www.google.com/maps/place/Ninja+Xpress+Idanogawo/data=!4m7!3m6!1s0x3026072aece3ad7d:0xd4b4629f406140d3!8m2!3d1.1628311!4d97.6967497!16s%2Fg%2F11t9kc82yj!19sChIJfa3j7CoHJjAR00BhQJ9itNQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Idanogawo/@1.1628311,97.6967497,17z/data=!3m1!4b1!4m6!3m5!1s0x3026072aece3ad7d:0xd4b4629f406140d3!8m2!3d1.1628311!4d97.6967497!16s%2Fg%2F11t9kc82yj?authuser=0&hl=id&entry=ttu","97.6967497","1.1628311","Alamat","5M7W+4MQ, Jl. Raya Pelud Binaka, Soewe, Kec. Gido, Kabupaten Nias, Sumatera Utara"
"Ninja Xpress New sunter","Bar",4.7,19,"","https://www.google.com/maps/place/Ninja+Xpress+New+sunter/data=!4m7!3m6!1s0x2e698baded79b713:0xb24ebfda8dc08551!8m2!3d-6.1540247!4d106.915952!16s%2Fg%2F11k64y8v1w!19sChIJE7d57a2LaS4RUYXAjdq_TrI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+New+sunter/@-6.1540247,106.915952,17z/data=!3m1!4b1!4m6!3m5!1s0x2e698baded79b713:0xb24ebfda8dc08551!8m2!3d-6.1540247!4d106.915952!16s%2Fg%2F11k64y8v1w?authuser=0&hl=id&entry=ttu","106.915952","-6.1540247","Alamat","13, RT.13/RW.3, Pegangsaan Dua, Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14250"
"Ninja Xpress New sunter","Bar",4.7,19,"","https://www.google.com/maps/place/Ninja+Xpress+New+sunter/data=!4m7!3m6!1s0x2e698baded79b713:0xb24ebfda8dc08551!8m2!3d-6.1540247!4d106.915952!16s%2Fg%2F11k64y8v1w!19sChIJE7d57a2LaS4RUYXAjdq_TrI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+New+sunter/@-6.1540247,106.915952,17z/data=!3m1!4b1!4m6!3m5!1s0x2e698baded79b713:0xb24ebfda8dc08551!8m2!3d-6.1540247!4d106.915952!16s%2Fg%2F11k64y8v1w?authuser=0&hl=id&entry=ttu","106.915952","-6.1540247","Plus Codes","RWW8+99 Pegangsaan Dua, Jkt Utara, Daerah Khusus Ibukota Jakarta"
