"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"NINJA INDRALAYA","Kantor Perusahaan",3.3,3,"unknown","https://www.google.com/maps/place/NINJA+INDRALAYA/data=!4m7!3m6!1s0x2e3bbd747ae4ebe1:0x3f5467bd358fd86e!8m2!3d-3.2003026!4d104.6571855!16s%2Fg%2F11f7q_fcrh!19sChIJ4evkenS9Oy4RbtiPNb1nVD8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+INDRALAYA/@-3.2003026,104.6571855,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3bbd747ae4ebe1:0x3f5467bd358fd86e!8m2!3d-3.2003026!4d104.6571855!16s%2Fg%2F11f7q_fcrh?authuser=0&hl=id&entry=ttu","104.6571855","-3.2003026","Alamat","QMX4+VVF, Timbangan, Kecamatan Indralaya Utara, Kabupaten Ogan Ilir, Sumatera Selatan 30862"
"Ninja Ekspres","Jasa Pengiriman",4.6,12,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Ekspres/data=!4m7!3m6!1s0x2e394f271ea392d5:0x2cf36793ff6fc7e9!8m2!3d-3.7818236!4d104.8973965!16s%2Fg%2F11fmbxb5x8!19sChIJ1ZKjHidPOS4R6cdv_5Nn8yw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Ekspres/@-3.7818236,104.8973965,17z/data=!3m1!4b1!4m6!3m5!1s0x2e394f271ea392d5:0x2cf36793ff6fc7e9!8m2!3d-3.7818236!4d104.8973965!16s%2Fg%2F11fmbxb5x8?authuser=0&hl=id&entry=ttu","104.8973965","-3.7818236","Alamat","6V9W+7XC, Lubuk Seberuk, Kec. Lempuing Jaya, Kabupaten Ogan Komering Ilir, Sumatera Selatan 30657"
"Ninja Ekspres","Jasa Pengiriman",4.6,12,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Ekspres/data=!4m7!3m6!1s0x2e394f271ea392d5:0x2cf36793ff6fc7e9!8m2!3d-3.7818236!4d104.8973965!16s%2Fg%2F11fmbxb5x8!19sChIJ1ZKjHidPOS4R6cdv_5Nn8yw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Ekspres/@-3.7818236,104.8973965,17z/data=!3m1!4b1!4m6!3m5!1s0x2e394f271ea392d5:0x2cf36793ff6fc7e9!8m2!3d-3.7818236!4d104.8973965!16s%2Fg%2F11fmbxb5x8?authuser=0&hl=id&entry=ttu","104.8973965","-3.7818236","Telepon","0823-7324-5805"
"Ninja Xpress Kayu Agung","Kantor Perusahaan",2.8,23,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress+Kayu+Agung/data=!4m7!3m6!1s0x2e3bedf07bad8231:0x47591719429682d1!8m2!3d-3.4057991!4d104.8292856!16s%2Fg%2F11f_1xpc8n!19sChIJMYKte_DtOy4R0YKWQhkXWUc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Kayu+Agung/@-3.4057991,104.8292856,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3bedf07bad8231:0x47591719429682d1!8m2!3d-3.4057991!4d104.8292856!16s%2Fg%2F11f_1xpc8n?authuser=0&hl=id&entry=ttu","104.8292856","-3.4057991","Alamat","HRVH+MPM, Jl. Letda Bustomi Rekap, Jua Jua, Kec. Kayu Agung, Kabupaten Ogan Komering Ilir, Sumatera Selatan 30867"
"Ninja Xpress Kayu Agung","Kantor Perusahaan",2.8,23,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress+Kayu+Agung/data=!4m7!3m6!1s0x2e3bedf07bad8231:0x47591719429682d1!8m2!3d-3.4057991!4d104.8292856!16s%2Fg%2F11f_1xpc8n!19sChIJMYKte_DtOy4R0YKWQhkXWUc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Kayu+Agung/@-3.4057991,104.8292856,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3bedf07bad8231:0x47591719429682d1!8m2!3d-3.4057991!4d104.8292856!16s%2Fg%2F11f_1xpc8n?authuser=0&hl=id&entry=ttu","104.8292856","-3.4057991","Telepon","0852-6956-4354"
"Ninja Xpress lempuing jaya","Gudang",4.5,10,"Buka ⋅ Tutup Rab pukul 05.00","https://www.google.com/maps/place/Ninja+Xpress+lempuing+jaya/data=!4m7!3m6!1s0x2e394f24233bfc55:0xc04e4ea23fd38b06!8m2!3d-3.7861!4d104.9021967!16s%2Fg%2F11nwwxnj3w!19sChIJVfw7IyRPOS4RBovTP6JOTsA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+lempuing+jaya/@-3.7861,104.9021967,17z/data=!3m1!4b1!4m6!3m5!1s0x2e394f24233bfc55:0xc04e4ea23fd38b06!8m2!3d-3.7861!4d104.9021967!16s%2Fg%2F11nwwxnj3w?authuser=0&hl=id&entry=ttu","104.9021967","-3.7861","Alamat","6W72+HV4, Jl. Lintas Sumatra, Lubuk Seberuk, Kec. Lempuing Jaya, Kabupaten Ogan Komering Ilir, Sumatera Selatan 30657"
"Ninja Xpress lempuing jaya","Gudang",4.5,10,"Buka ⋅ Tutup Rab pukul 05.00","https://www.google.com/maps/place/Ninja+Xpress+lempuing+jaya/data=!4m7!3m6!1s0x2e394f24233bfc55:0xc04e4ea23fd38b06!8m2!3d-3.7861!4d104.9021967!16s%2Fg%2F11nwwxnj3w!19sChIJVfw7IyRPOS4RBovTP6JOTsA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+lempuing+jaya/@-3.7861,104.9021967,17z/data=!3m1!4b1!4m6!3m5!1s0x2e394f24233bfc55:0xc04e4ea23fd38b06!8m2!3d-3.7861!4d104.9021967!16s%2Fg%2F11nwwxnj3w?authuser=0&hl=id&entry=ttu","104.9021967","-3.7861","Telepon","0821-7821-6332"
"NINJA XPRESS BARU","Jasa Pengiriman",NA,NA,"unknown","https://www.google.com/maps/place/NINJA+XPRESS+BARU/data=!4m7!3m6!1s0x2e3b9732ad8ff5a1:0x78d19e28ccbd809a!8m2!3d-3.2293963!4d104.6653516!16s%2Fg%2F11jzhbsxj1!19sChIJofWPrTKXOy4RmoC9zCie0Xg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+BARU/@-3.2293963,104.6653516,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3b9732ad8ff5a1:0x78d19e28ccbd809a!8m2!3d-3.2293963!4d104.6653516!16s%2Fg%2F11jzhbsxj1?authuser=0&hl=id&entry=ttu","104.6653516","-3.2293963","Alamat","komplek Persada Blok B2. NO 13, Indralaya Indah"
"NINJA XPRESS BARU","Jasa Pengiriman",NA,NA,"unknown","https://www.google.com/maps/place/NINJA+XPRESS+BARU/data=!4m7!3m6!1s0x2e3b9732ad8ff5a1:0x78d19e28ccbd809a!8m2!3d-3.2293963!4d104.6653516!16s%2Fg%2F11jzhbsxj1!19sChIJofWPrTKXOy4RmoC9zCie0Xg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+BARU/@-3.2293963,104.6653516,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3b9732ad8ff5a1:0x78d19e28ccbd809a!8m2!3d-3.2293963!4d104.6653516!16s%2Fg%2F11jzhbsxj1?authuser=0&hl=id&entry=ttu","104.6653516","-3.2293963","Plus Codes","QMC8+64 Indralaya Indah, Kabupaten Ogan Ilir, Sumatera Selatan"
"ninja 2","Jasa Pengiriman",NA,NA,"unknown","https://www.google.com/maps/place/ninja+2/data=!4m7!3m6!1s0x2e3b9760a2dbe515:0x935721b37d683af9!8m2!3d-3.2297357!4d104.6641917!16s%2Fg%2F11tjplb9_r!19sChIJFeXbomCXOy4R-TpofbMhV5M?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/ninja+2/@-3.2297357,104.6641917,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3b9760a2dbe515:0x935721b37d683af9!8m2!3d-3.2297357!4d104.6641917!16s%2Fg%2F11tjplb9_r?authuser=0&hl=id&entry=ttu","104.6641917","-3.2297357","Alamat","QMC7+4M4, Indralaya Indah, Kec. Indralaya, Kabupaten Ogan Ilir, Sumatera Selatan"
