"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Ninja Xpress - Palembang","Perusahaan Ekspedisi",1.8,566,"Buka 24 jam","https://www.google.com/maps/place/Ninja+Xpress+-+Palembang/data=!4m7!3m6!1s0x2e3b7614b9af5d01:0x608d5b2df50d44a2!8m2!3d-2.9272531!4d104.7144992!16s%2Fg%2F11g6pxbxty!19sChIJAV2vuRR2Oy4RokQN9S1bjWA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+-+Palembang/@-2.9272531,104.7144992,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3b7614b9af5d01:0x608d5b2df50d44a2!8m2!3d-2.9272531!4d104.7144992!16s%2Fg%2F11g6pxbxty?authuser=0&hl=id&entry=ttu","104.7144992","-2.9272531","Alamat","Jl. Pengadilan Tinggi Lorong Sukarame No No.KM 9, RT.25/RW.10, Kuto Batu, Ilir Timur II, Palembang City, South Sumatra 30111"
"Ninja Xpress - Palembang","Perusahaan Ekspedisi",1.8,566,"Buka 24 jam","https://www.google.com/maps/place/Ninja+Xpress+-+Palembang/data=!4m7!3m6!1s0x2e3b7614b9af5d01:0x608d5b2df50d44a2!8m2!3d-2.9272531!4d104.7144992!16s%2Fg%2F11g6pxbxty!19sChIJAV2vuRR2Oy4RokQN9S1bjWA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+-+Palembang/@-2.9272531,104.7144992,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3b7614b9af5d01:0x608d5b2df50d44a2!8m2!3d-2.9272531!4d104.7144992!16s%2Fg%2F11g6pxbxty?authuser=0&hl=id&entry=ttu","104.7144992","-2.9272531","Situs Web","ninjaxpress.co"
"Ninja Xpress - Palembang","Perusahaan Ekspedisi",1.8,566,"Buka 24 jam","https://www.google.com/maps/place/Ninja+Xpress+-+Palembang/data=!4m7!3m6!1s0x2e3b7614b9af5d01:0x608d5b2df50d44a2!8m2!3d-2.9272531!4d104.7144992!16s%2Fg%2F11g6pxbxty!19sChIJAV2vuRR2Oy4RokQN9S1bjWA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+-+Palembang/@-2.9272531,104.7144992,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3b7614b9af5d01:0x608d5b2df50d44a2!8m2!3d-2.9272531!4d104.7144992!16s%2Fg%2F11g6pxbxty?authuser=0&hl=id&entry=ttu","104.7144992","-2.9272531","Plus Codes","3PF7+3Q Kuto Batu, Kota Palembang, Sumatera Selatan"
"NINJA XPRESS PALEMBANG","Kantor Perusahaan",1.6,28,"unknown","https://www.google.com/maps/place/NINJA+XPRESS+PALEMBANG/data=!4m7!3m6!1s0x2e3b73d6694bd58b:0x157fa0e00ee1b550!8m2!3d-2.916995!4d104.692733!16s%2Fg%2F11j34flncj!19sChIJi9VLadZzOy4RULXhDuCgfxU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+PALEMBANG/@-2.916995,104.692733,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3b73d6694bd58b:0x157fa0e00ee1b550!8m2!3d-2.916995!4d104.692733!16s%2Fg%2F11j34flncj?authuser=0&hl=id&entry=ttu","104.692733","-2.916995","Alamat","Jl. Pajak Permai No.11a, Alang Alang Lebar, Kec. Alang-Alang Lebar, Kota Palembang, Sumatera Selatan 30154"
"NINJA XPRESS PALEMBANG","Kantor Perusahaan",1.6,28,"unknown","https://www.google.com/maps/place/NINJA+XPRESS+PALEMBANG/data=!4m7!3m6!1s0x2e3b73d6694bd58b:0x157fa0e00ee1b550!8m2!3d-2.916995!4d104.692733!16s%2Fg%2F11j34flncj!19sChIJi9VLadZzOy4RULXhDuCgfxU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+PALEMBANG/@-2.916995,104.692733,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3b73d6694bd58b:0x157fa0e00ee1b550!8m2!3d-2.916995!4d104.692733!16s%2Fg%2F11j34flncj?authuser=0&hl=id&entry=ttu","104.692733","-2.916995","Telepon","0813-6815-5488"
"NINJA XPRESS PALEMBANG","Kantor Perusahaan",1.6,28,"unknown","https://www.google.com/maps/place/NINJA+XPRESS+PALEMBANG/data=!4m7!3m6!1s0x2e3b73d6694bd58b:0x157fa0e00ee1b550!8m2!3d-2.916995!4d104.692733!16s%2Fg%2F11j34flncj!19sChIJi9VLadZzOy4RULXhDuCgfxU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+PALEMBANG/@-2.916995,104.692733,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3b73d6694bd58b:0x157fa0e00ee1b550!8m2!3d-2.916995!4d104.692733!16s%2Fg%2F11j34flncj?authuser=0&hl=id&entry=ttu","104.692733","-2.916995","Plus Codes","3MMV+63 Alang Alang Lebar, Kota Palembang, Sumatera Selatan"
"Ninja Xpress Palembang Ilir","Gudang",1.7,3,"Buka 24 jam","https://www.google.com/maps/place/Ninja+Xpress+Palembang+Ilir/data=!4m7!3m6!1s0x2e3b772f92822a07:0x6ca89a31fbc572ba!8m2!3d-2.9257676!4d104.7854153!16s%2Fg%2F11r_r1qc9m!19sChIJByqCki93Oy4RunLF-zGaqGw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Palembang+Ilir/@-2.9257676,104.7854153,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3b772f92822a07:0x6ca89a31fbc572ba!8m2!3d-2.9257676!4d104.7854153!16s%2Fg%2F11r_r1qc9m?authuser=0&hl=id&entry=ttu","104.7854153","-2.9257676","Alamat","Ruko, No, Jl. Siaran No.3, Sako Baru, Sako, Palembang City, South Sumatra 30961"
"Ninja Xpress Palembang Ilir","Gudang",1.7,3,"Buka 24 jam","https://www.google.com/maps/place/Ninja+Xpress+Palembang+Ilir/data=!4m7!3m6!1s0x2e3b772f92822a07:0x6ca89a31fbc572ba!8m2!3d-2.9257676!4d104.7854153!16s%2Fg%2F11r_r1qc9m!19sChIJByqCki93Oy4RunLF-zGaqGw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Palembang+Ilir/@-2.9257676,104.7854153,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3b772f92822a07:0x6ca89a31fbc572ba!8m2!3d-2.9257676!4d104.7854153!16s%2Fg%2F11r_r1qc9m?authuser=0&hl=id&entry=ttu","104.7854153","-2.9257676","Plus Codes","3QFP+M5 Sako Baru, Kota Palembang, Sumatera Selatan"
"Ninja Xpress PLM-ILI","Kantor Perusahaan",2.3,9,"unknown","https://www.google.com/maps/place/Ninja+Xpress+PLM-ILI/data=!4m7!3m6!1s0x2e3b75ee8af8a9cb:0x88088b4d9e5e6dca!8m2!3d-2.9485227!4d104.7489032!16s%2Fg%2F11mnkfx5fs!19sChIJy6n4iu51Oy4Rym1enk2LCIg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+PLM-ILI/@-2.9485227,104.7489032,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3b75ee8af8a9cb:0x88088b4d9e5e6dca!8m2!3d-2.9485227!4d104.7489032!16s%2Fg%2F11mnkfx5fs?authuser=0&hl=id&entry=ttu","104.7489032","-2.9485227","Alamat","3P2X+HHR, Talang Aman, Kec. Kemuning, Kota Palembang, Sumatera Selatan 30961"
"NINJA XPRESS","Kantor Perusahaan",2.9,15,"Buka 24 jam","https://www.google.com/maps/place/NINJA+XPRESS/data=!4m7!3m6!1s0x2e3b9f50b7a4bddd:0xf5b667133f133264!8m2!3d-3.0496814!4d104.7410526!16s%2Fg%2F11r06bmv15!19sChIJ3b2kt1CfOy4RZDITPxNntvU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS/@-3.0496814,104.7410526,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3b9f50b7a4bddd:0xf5b667133f133264!8m2!3d-3.0496814!4d104.7410526!16s%2Fg%2F11r06bmv15?authuser=0&hl=id&entry=ttu","104.7410526","-3.0496814","Alamat","XP2R+4CF, Karya Jaya, Kec. Kertapati, Kota Palembang, Sumatera Selatan 30259"
