"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Ninja Xpress Pasaman Barat","Kantor Perusahaan",2.6,46,"Segera tutup ⋅ 21.15 ⋅ Buka Rab pukul 08.15","https://www.google.com/maps/place/Ninja+Xpress+Pasaman+Barat/data=!4m7!3m6!1s0x302a7d9258a5b757:0x9dedba2363609c3a!8m2!3d0.1012033!4d99.8330594!16s%2Fg%2F11h62frz0m!19sChIJV7elWJJ9KjAROpxgYyO67Z0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Pasaman+Barat/@0.1012033,99.8330594,17z/data=!3m1!4b1!4m6!3m5!1s0x302a7d9258a5b757:0x9dedba2363609c3a!8m2!3d0.1012033!4d99.8330594!16s%2Fg%2F11h62frz0m?authuser=0&hl=id&entry=ttu","99.8330594","0.1012033","Alamat","Jalan Raya Simpang Ampek - Talu, Lingkuang Aua, Kec. Pasaman, Kabupaten Pasaman Barat, Sumatera Barat 26566"
"Ninja Xpress Pasaman Barat","Kantor Perusahaan",2.6,46,"Segera tutup ⋅ 21.15 ⋅ Buka Rab pukul 08.15","https://www.google.com/maps/place/Ninja+Xpress+Pasaman+Barat/data=!4m7!3m6!1s0x302a7d9258a5b757:0x9dedba2363609c3a!8m2!3d0.1012033!4d99.8330594!16s%2Fg%2F11h62frz0m!19sChIJV7elWJJ9KjAROpxgYyO67Z0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Pasaman+Barat/@0.1012033,99.8330594,17z/data=!3m1!4b1!4m6!3m5!1s0x302a7d9258a5b757:0x9dedba2363609c3a!8m2!3d0.1012033!4d99.8330594!16s%2Fg%2F11h62frz0m?authuser=0&hl=id&entry=ttu","99.8330594","0.1012033","Telepon","0812-7662-3754"
"Ninja Xpress Pasaman Barat","Kantor Perusahaan",2.6,46,"Segera tutup ⋅ 21.15 ⋅ Buka Rab pukul 08.15","https://www.google.com/maps/place/Ninja+Xpress+Pasaman+Barat/data=!4m7!3m6!1s0x302a7d9258a5b757:0x9dedba2363609c3a!8m2!3d0.1012033!4d99.8330594!16s%2Fg%2F11h62frz0m!19sChIJV7elWJJ9KjAROpxgYyO67Z0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Pasaman+Barat/@0.1012033,99.8330594,17z/data=!3m1!4b1!4m6!3m5!1s0x302a7d9258a5b757:0x9dedba2363609c3a!8m2!3d0.1012033!4d99.8330594!16s%2Fg%2F11h62frz0m?authuser=0&hl=id&entry=ttu","99.8330594","0.1012033","Plus Codes","4R2M+F6 Lingkuang Aua, Kabupaten Pasaman Barat, Sumatera Barat"
"Ninja Xpress Pasaman Timur (PDG-PST)","Kantor Perusahaan",5,1,"Buka 24 jam","https://www.google.com/maps/place/Ninja+Xpress+Pasaman+Timur+%28PDG-PST%29/data=!4m7!3m6!1s0x302a9b4752ee68c7:0x5a76116863d2387!8m2!3d0.1119679!4d100.1860136!16s%2Fg%2F11rkg24hyl!19sChIJx2juUkebKjARhyM9hhZhpwU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Pasaman+Timur+(PDG-PST)/@0.1119679,100.1860136,17z/data=!3m1!4b1!4m6!3m5!1s0x302a9b4752ee68c7:0x5a76116863d2387!8m2!3d0.1119679!4d100.1860136!16s%2Fg%2F11rkg24hyl?authuser=0&hl=id&entry=ttu","100.1860136","0.1119679","Alamat","Jl. By Pass, Tanjuang Baringin, Kec. Lubuk Sikaping, Kabupaten Pasaman, Sumatera Barat 26318"
"Ninja Xpress Pasaman Timur (PDG-PST)","Kantor Perusahaan",5,1,"Buka 24 jam","https://www.google.com/maps/place/Ninja+Xpress+Pasaman+Timur+%28PDG-PST%29/data=!4m7!3m6!1s0x302a9b4752ee68c7:0x5a76116863d2387!8m2!3d0.1119679!4d100.1860136!16s%2Fg%2F11rkg24hyl!19sChIJx2juUkebKjARhyM9hhZhpwU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Pasaman+Timur+(PDG-PST)/@0.1119679,100.1860136,17z/data=!3m1!4b1!4m6!3m5!1s0x302a9b4752ee68c7:0x5a76116863d2387!8m2!3d0.1119679!4d100.1860136!16s%2Fg%2F11rkg24hyl?authuser=0&hl=id&entry=ttu","100.1860136","0.1119679","Plus Codes","456P+QC Tanjuang Baringin, Kabupaten Pasaman, Sumatera Barat"
"Ninja Xpress Kinali [PDG-KNL]","Gudang",4.8,6,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress+Kinali+%5BPDG-KNL%5D/data=!4m7!3m6!1s0x2fd57f71b65ff457:0x783fbfb8426f2801!8m2!3d-0.05838!4d99.9249!16s%2Fg%2F11rwmj30hb!19sChIJV_RftnF_1S8RAShvQri_P3g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Kinali+%5BPDG-KNL%5D/@-0.05838,99.9249,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd57f71b65ff457:0x783fbfb8426f2801!8m2!3d-0.05838!4d99.9249!16s%2Fg%2F11rwmj30hb?authuser=0&hl=id&entry=ttu","99.9249","-0.05838","Alamat","WWRF+MW3, Kinali, Kec. Kinali, Kabupaten Pasaman Barat, Sumatera Barat 26567"
"Ninja Xpress Ujung Gading [PDG-UJG]","Gudang",5,1,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress+Ujung+Gading+%5BPDG-UJG%5D/data=!4m7!3m6!1s0x302a6ba3328f6291:0x97017d4acd87d30f!8m2!3d0.2625291!4d99.5634121!16s%2Fg%2F11p00syvj1!19sChIJkWKPMqNrKjARD9OHzUp9AZc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Ujung+Gading+%5BPDG-UJG%5D/@0.2625291,99.5634121,17z/data=!3m1!4b1!4m6!3m5!1s0x302a6ba3328f6291:0x97017d4acd87d30f!8m2!3d0.2625291!4d99.5634121!16s%2Fg%2F11p00syvj1?authuser=0&hl=id&entry=ttu","99.5634121","0.2625291","Alamat","Jl. Madura Jl. Sijanih Jorong Saroha No.120, Ujung Gading, Kec. Lembah Malintang, Kabupaten Pasaman Barat, Sumatera Barat 26572"
"Ninja Xpress Ujung Gading [PDG-UJG]","Gudang",5,1,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress+Ujung+Gading+%5BPDG-UJG%5D/data=!4m7!3m6!1s0x302a6ba3328f6291:0x97017d4acd87d30f!8m2!3d0.2625291!4d99.5634121!16s%2Fg%2F11p00syvj1!19sChIJkWKPMqNrKjARD9OHzUp9AZc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Ujung+Gading+%5BPDG-UJG%5D/@0.2625291,99.5634121,17z/data=!3m1!4b1!4m6!3m5!1s0x302a6ba3328f6291:0x97017d4acd87d30f!8m2!3d0.2625291!4d99.5634121!16s%2Fg%2F11p00syvj1?authuser=0&hl=id&entry=ttu","99.5634121","0.2625291","Plus Codes","7H77+29 Ujung Gading, Kabupaten Pasaman Barat, Sumatera Barat"
"Ninja Rental PS3","Toko Game",5,1,"Buka ⋅ Tutup pukul 23.00","https://www.google.com/maps/place/Ninja+Rental+PS3/data=!4m7!3m6!1s0x302afb16848539d1:0xf5d474d7ace95269!8m2!3d0.4714391!4d100.040533!16s%2Fg%2F11ff0v1mkd!19sChIJ0TmFhBb7KjARaVLprNd01PU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Rental+PS3/@0.4714391,100.040533,17z/data=!3m1!4b1!4m6!3m5!1s0x302afb16848539d1:0xf5d474d7ace95269!8m2!3d0.4714391!4d100.040533!16s%2Fg%2F11ff0v1mkd?authuser=0&hl=id&entry=ttu","100.040533","0.4714391","Alamat","Nagari, Jalan Raya Lintas Medan, Tj. Betung, Rao Sel., Kabupaten Pasaman, Sumatera Barat 26353"
"Ninja Rental PS3","Toko Game",5,1,"Buka ⋅ Tutup pukul 23.00","https://www.google.com/maps/place/Ninja+Rental+PS3/data=!4m7!3m6!1s0x302afb16848539d1:0xf5d474d7ace95269!8m2!3d0.4714391!4d100.040533!16s%2Fg%2F11ff0v1mkd!19sChIJ0TmFhBb7KjARaVLprNd01PU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Rental+PS3/@0.4714391,100.040533,17z/data=!3m1!4b1!4m6!3m5!1s0x302afb16848539d1:0xf5d474d7ace95269!8m2!3d0.4714391!4d100.040533!16s%2Fg%2F11ff0v1mkd?authuser=0&hl=id&entry=ttu","100.040533","0.4714391","Situs Web","ninja-rental-ps3.business.site"
"Ninja Rental PS3","Toko Game",5,1,"Buka ⋅ Tutup pukul 23.00","https://www.google.com/maps/place/Ninja+Rental+PS3/data=!4m7!3m6!1s0x302afb16848539d1:0xf5d474d7ace95269!8m2!3d0.4714391!4d100.040533!16s%2Fg%2F11ff0v1mkd!19sChIJ0TmFhBb7KjARaVLprNd01PU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Rental+PS3/@0.4714391,100.040533,17z/data=!3m1!4b1!4m6!3m5!1s0x302afb16848539d1:0xf5d474d7ace95269!8m2!3d0.4714391!4d100.040533!16s%2Fg%2F11ff0v1mkd?authuser=0&hl=id&entry=ttu","100.040533","0.4714391","Telepon","0822-8448-7149"
