"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"NINJA XPRESS painan","Kantor Perusahaan",3,7,"Tutup ⋅ Buka Rab pukul 15.00","https://www.google.com/maps/place/NINJA+XPRESS+painan/data=!4m7!3m6!1s0x2fd34d9e741dc23f:0x227035881479b84f!8m2!3d-1.352791!4d100.5809434!16s%2Fg%2F11fvl55gx_!19sChIJP8IddJ5N0y8RT7h5FIg1cCI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+painan/@-1.352791,100.5809434,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd34d9e741dc23f:0x227035881479b84f!8m2!3d-1.352791!4d100.5809434!16s%2Fg%2F11fvl55gx_?authuser=0&hl=id&entry=ttu","100.5809434","-1.352791","Alamat","JHWJ+V9P, Painan, Kec. Iv Jurai, Kabupaten Pesisir Selatan, Sumatera Barat"
"NINJA XPRESS painan","Kantor Perusahaan",3,7,"Tutup ⋅ Buka Rab pukul 15.00","https://www.google.com/maps/place/NINJA+XPRESS+painan/data=!4m7!3m6!1s0x2fd34d9e741dc23f:0x227035881479b84f!8m2!3d-1.352791!4d100.5809434!16s%2Fg%2F11fvl55gx_!19sChIJP8IddJ5N0y8RT7h5FIg1cCI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+painan/@-1.352791,100.5809434,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd34d9e741dc23f:0x227035881479b84f!8m2!3d-1.352791!4d100.5809434!16s%2Fg%2F11fvl55gx_?authuser=0&hl=id&entry=ttu","100.5809434","-1.352791","Telepon","0821-2418-9309"
"Ninja Xpress - Tapan","Perusahaan Ekspedisi",4.3,3,"Tutup ⋅ Buka Rab pukul 11.00","https://www.google.com/maps/place/Ninja+Xpress+-+Tapan/data=!4m7!3m6!1s0x2e2d6d0b3d79fc8b:0xb40d8d86afbac7bb!8m2!3d-2.1369714!4d101.098288!16s%2Fg%2F11fpp6z860!19sChIJi_x5PQttLS4Ru8e6r4aNDbQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+-+Tapan/@-2.1369714,101.098288,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2d6d0b3d79fc8b:0xb40d8d86afbac7bb!8m2!3d-2.1369714!4d101.098288!16s%2Fg%2F11fpp6z860?authuser=0&hl=id&entry=ttu","101.098288","-2.1369714","Alamat","V37X+687, Binjai Tapan, Kec. Basa Ampek Balai Tapan, Kabupaten Pesisir Selatan, Sumatera Barat 25673"
"Ninja Xpress Lengayang","Gudang",5,3,"unknown","https://www.google.com/maps/place/Ninja+Xpress+Lengayang/data=!4m7!3m6!1s0x2e2cd3b9f3bdf2cf:0x252092b3ffc94932!8m2!3d-1.6701545!4d100.6918593!16s%2Fg%2F11svb536d4!19sChIJz_K987nTLC4RMknJ_7OSICU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Lengayang/@-1.6701545,100.6918593,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2cd3b9f3bdf2cf:0x252092b3ffc94932!8m2!3d-1.6701545!4d100.6918593!16s%2Fg%2F11svb536d4?authuser=0&hl=id&entry=ttu","100.6918593","-1.6701545","Alamat","8MHR+WPQ, Kambang Bar., Kec. Lengayang, Kabupaten Pesisir Selatan, Sumatera Barat"
"NINJA XPRESS KRUI","Perusahaan Ekspedisi",4.6,7,"Tutup ⋅ Buka Rab pukul 07.00","https://www.google.com/maps/place/NINJA+XPRESS+KRUI/data=!4m7!3m6!1s0x2e4795556f6ca581:0x525084299ef9b9da!8m2!3d-5.1871372!4d103.9345301!16s%2Fg%2F11k0_wd_hm!19sChIJgaVsb1WVRy4R2rn5nimEUFI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+KRUI/@-5.1871372,103.9345301,17z/data=!3m1!4b1!4m6!3m5!1s0x2e4795556f6ca581:0x525084299ef9b9da!8m2!3d-5.1871372!4d103.9345301!16s%2Fg%2F11k0_wd_hm?authuser=0&hl=id&entry=ttu","103.9345301","-5.1871372","Alamat","Depan Kantor Rutan (LP, Jl. Cemp. No.028, Ps. Krui, Kec. Pesisir Tengah, Kabupaten Pesisir Barat, Lampung 34874"
"NINJA XPRESS KRUI","Perusahaan Ekspedisi",4.6,7,"Tutup ⋅ Buka Rab pukul 07.00","https://www.google.com/maps/place/NINJA+XPRESS+KRUI/data=!4m7!3m6!1s0x2e4795556f6ca581:0x525084299ef9b9da!8m2!3d-5.1871372!4d103.9345301!16s%2Fg%2F11k0_wd_hm!19sChIJgaVsb1WVRy4R2rn5nimEUFI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+KRUI/@-5.1871372,103.9345301,17z/data=!3m1!4b1!4m6!3m5!1s0x2e4795556f6ca581:0x525084299ef9b9da!8m2!3d-5.1871372!4d103.9345301!16s%2Fg%2F11k0_wd_hm?authuser=0&hl=id&entry=ttu","103.9345301","-5.1871372","Telepon","0821-3724-1188"
"NINJA XPRESS KRUI","Perusahaan Ekspedisi",4.6,7,"Tutup ⋅ Buka Rab pukul 07.00","https://www.google.com/maps/place/NINJA+XPRESS+KRUI/data=!4m7!3m6!1s0x2e4795556f6ca581:0x525084299ef9b9da!8m2!3d-5.1871372!4d103.9345301!16s%2Fg%2F11k0_wd_hm!19sChIJgaVsb1WVRy4R2rn5nimEUFI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+KRUI/@-5.1871372,103.9345301,17z/data=!3m1!4b1!4m6!3m5!1s0x2e4795556f6ca581:0x525084299ef9b9da!8m2!3d-5.1871372!4d103.9345301!16s%2Fg%2F11k0_wd_hm?authuser=0&hl=id&entry=ttu","103.9345301","-5.1871372","Plus Codes","RW7M+4R Ps. Krui, Kabupaten Lampung Barat, Lampung"
"NINJA XPRES - TAPAN","Perusahaan Ekspedisi",NA,NA,"unknown","https://www.google.com/maps/place/NINJA+XPRES+-+TAPAN/data=!4m7!3m6!1s0x2e2d6d81c8314e0d:0x639a04fe734f33c4!8m2!3d-2.1386018!4d101.1107853!16s%2Fg%2F11h8hzm3gp!19sChIJDU4xyIFtLS4RxDNPc_4EmmM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRES+-+TAPAN/@-2.1386018,101.1107853,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2d6d81c8314e0d:0x639a04fe734f33c4!8m2!3d-2.1386018!4d101.1107853!16s%2Fg%2F11h8hzm3gp?authuser=0&hl=id&entry=ttu","101.1107853","-2.1386018","Alamat","V466+H83, Binjai Tapan, Kec. Basa Ampek Balai Tapan, Kabupaten Pesisir Selatan, Sumatera Barat 25673"
"NINJA XPRESS PAINAN",NA,4.3,6,"Tutup permanen","https://www.google.com/maps/place/NINJA+XPRESS+PAINAN/data=!4m7!3m6!1s0x2fd34d2a53aac3b7:0xff87c423d8a3936f!8m2!3d-1.3476695!4d100.5814159!16s%2Fg%2F11flggk3g7!19sChIJt8OqUypN0y8Rb5Oj2CPEh_8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+PAINAN/@-1.3476695,100.5814159,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd34d2a53aac3b7:0xff87c423d8a3936f!8m2!3d-1.3476695!4d100.5814159!16s%2Fg%2F11flggk3g7?authuser=0&hl=id&entry=ttu","100.5814159","-1.3476695","Alamat","MH2J+WHM, Jl. Setia Budi, Painan, Kec. Iv Jurai, Kabupaten Pesisir Selatan, Sumatera Barat 25651"
"NINJA XPRESS PESSEL BAGIAN SELATAN",NA,5,1,"Tutup permanen","https://www.google.com/maps/place/NINJA+XPRESS+PESSEL+BAGIAN+SELATAN/data=!4m7!3m6!1s0x2e2d2502131cfb39:0xd613f8e9d6b6c4a1!8m2!3d-1.8961311!4d100.8505929!16s%2Fg%2F11h44zd_nt!19sChIJOfscEwIlLS4RocS21un4E9Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+XPRESS+PESSEL+BAGIAN+SELATAN/@-1.8961311,100.8505929,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2d2502131cfb39:0xd613f8e9d6b6c4a1!8m2!3d-1.8961311!4d100.8505929!16s%2Fg%2F11h44zd_nt?authuser=0&hl=id&entry=ttu","100.8505929","-1.8961311","Alamat","4V32+G6W, Unnamed Road, Punggasan, Kec. Linggo Sari Baganti, Kabupaten Pesisir Selatan, Sumatera Barat 25668"
