"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Ninja Xpress Ponorogo SUB-PNG","Jasa Kurir",2.9,19,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantor+Ninja+Xpress+Ponorogo+SUB-PNG/data=!4m7!3m6!1s0x2e79a1cc7dc7dc83:0x633a8a538be13a20!8m2!3d-7.8774491!4d111.4857181!16s%2Fg%2F11q3rdby6r!19sChIJg9zHfcyheS4RIDrhi1OKOmM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Ninja+Xpress+Ponorogo+SUB-PNG/@-7.8774491,111.4857181,17z/data=!3m1!4b1!4m6!3m5!1s0x2e79a1cc7dc7dc83:0x633a8a538be13a20!8m2!3d-7.8774491!4d111.4857181!16s%2Fg%2F11q3rdby6r?authuser=0&hl=id&entry=ttu","111.4857181","-7.8774491","Alamat","4FFP+27G, Jl. D.I Panjaitan, Talang, Purbosuman, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63417"
"Ninja Xpress Sumoroto","Jasa Pengiriman",3.5,13,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Xpress+Sumoroto/data=!4m7!3m6!1s0x2e799f175c7fa2fb:0xd03fce2370f9be72!8m2!3d-7.8675107!4d111.4095345!16s%2Fg%2F11qzq0w6cj!19sChIJ-6J_XBefeS4Rcr75cCPOP9A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Sumoroto/@-7.8675107,111.4095345,17z/data=!3m1!4b1!4m6!3m5!1s0x2e799f175c7fa2fb:0xd03fce2370f9be72!8m2!3d-7.8675107!4d111.4095345!16s%2Fg%2F11qzq0w6cj?authuser=0&hl=id&entry=ttu","111.4095345","-7.8675107","Alamat","Dukuh Krajan RT001/RW002 Plosojenar, Krajan, Somoroto, Kec. Kauman, Kabupaten Ponorogo, Jawa Timur 63451"
"Ninja Xpress Sumoroto","Jasa Pengiriman",3.5,13,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Xpress+Sumoroto/data=!4m7!3m6!1s0x2e799f175c7fa2fb:0xd03fce2370f9be72!8m2!3d-7.8675107!4d111.4095345!16s%2Fg%2F11qzq0w6cj!19sChIJ-6J_XBefeS4Rcr75cCPOP9A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Sumoroto/@-7.8675107,111.4095345,17z/data=!3m1!4b1!4m6!3m5!1s0x2e799f175c7fa2fb:0xd03fce2370f9be72!8m2!3d-7.8675107!4d111.4095345!16s%2Fg%2F11qzq0w6cj?authuser=0&hl=id&entry=ttu","111.4095345","-7.8675107","Situs Web","instagram.com"
"Ninja Xpress Sumoroto","Jasa Pengiriman",3.5,13,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Xpress+Sumoroto/data=!4m7!3m6!1s0x2e799f175c7fa2fb:0xd03fce2370f9be72!8m2!3d-7.8675107!4d111.4095345!16s%2Fg%2F11qzq0w6cj!19sChIJ-6J_XBefeS4Rcr75cCPOP9A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Sumoroto/@-7.8675107,111.4095345,17z/data=!3m1!4b1!4m6!3m5!1s0x2e799f175c7fa2fb:0xd03fce2370f9be72!8m2!3d-7.8675107!4d111.4095345!16s%2Fg%2F11qzq0w6cj?authuser=0&hl=id&entry=ttu","111.4095345","-7.8675107","Telepon","0857-8472-1122"
"Ninja Xpress Sumoroto","Jasa Pengiriman",3.5,13,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Xpress+Sumoroto/data=!4m7!3m6!1s0x2e799f175c7fa2fb:0xd03fce2370f9be72!8m2!3d-7.8675107!4d111.4095345!16s%2Fg%2F11qzq0w6cj!19sChIJ-6J_XBefeS4Rcr75cCPOP9A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Sumoroto/@-7.8675107,111.4095345,17z/data=!3m1!4b1!4m6!3m5!1s0x2e799f175c7fa2fb:0xd03fce2370f9be72!8m2!3d-7.8675107!4d111.4095345!16s%2Fg%2F11qzq0w6cj?authuser=0&hl=id&entry=ttu","111.4095345","-7.8675107","Plus Codes","4CJ5+XR Somoroto, Kabupaten Ponorogo, Jawa Timur"
"Bengkel Spesialis Ninja CITRA MOTOR","Bengkel Mesin",5,4,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Bengkel+Spesialis+Ninja+CITRA+MOTOR/data=!4m7!3m6!1s0x2e79a014b3cb4025:0x51b51f00c9a15ab8!8m2!3d-7.8855246!4d111.4988313!16s%2Fg%2F11fxvd5g39!19sChIJJUDLsxSgeS4RuFqhyQAftVE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Bengkel+Spesialis+Ninja+CITRA+MOTOR/@-7.8855246,111.4988313,17z/data=!3m1!4b1!4m6!3m5!1s0x2e79a014b3cb4025:0x51b51f00c9a15ab8!8m2!3d-7.8855246!4d111.4988313!16s%2Fg%2F11fxvd5g39?authuser=0&hl=id&entry=ttu","111.4988313","-7.8855246","Alamat","4F7X+QGW, Jl. Singolodro, Tumang Lor, Pijeran, Kec. Siman, Kabupaten Ponorogo, Jawa Timur 63471"
"Bengkel Spesialis Ninja CITRA MOTOR","Bengkel Mesin",5,4,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Bengkel+Spesialis+Ninja+CITRA+MOTOR/data=!4m7!3m6!1s0x2e79a014b3cb4025:0x51b51f00c9a15ab8!8m2!3d-7.8855246!4d111.4988313!16s%2Fg%2F11fxvd5g39!19sChIJJUDLsxSgeS4RuFqhyQAftVE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Bengkel+Spesialis+Ninja+CITRA+MOTOR/@-7.8855246,111.4988313,17z/data=!3m1!4b1!4m6!3m5!1s0x2e79a014b3cb4025:0x51b51f00c9a15ab8!8m2!3d-7.8855246!4d111.4988313!16s%2Fg%2F11fxvd5g39?authuser=0&hl=id&entry=ttu","111.4988313","-7.8855246","Telepon","0857-3661-8866"
"Wilis anggara ninja expres","Komplek perumahan",5,2,"unknown","https://www.google.com/maps/place/Wilis+anggara+ninja+expres/data=!4m7!3m6!1s0x2e79097a48932187:0x78f0be9746b92492!8m2!3d-7.9428039!4d111.6355549!16s%2Fg%2F11s0dbt0wm!19sChIJhyGTSHoJeS4RkiS5Rpe-8Hg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Wilis+anggara+ninja+expres/@-7.9428039,111.6355549,17z/data=!3m1!4b1!4m6!3m5!1s0x2e79097a48932187:0x78f0be9746b92492!8m2!3d-7.9428039!4d111.6355549!16s%2Fg%2F11s0dbt0wm?authuser=0&hl=id&entry=ttu","111.6355549","-7.9428039","Alamat","3J4P+V6F, Wates, Ngadirojo, Kec. Sooko, Kabupaten Ponorogo, Jawa Timur 63482"
"Ninja expres Ponorogo",NA,3.2,26,"Tutup permanen","https://www.google.com/maps/place/Ninja+expres+Ponorogo/data=!4m7!3m6!1s0x2e79a110c14e1745:0x6504242526024cec!8m2!3d-7.8799479!4d111.4785068!16s%2Fg%2F11mw5sdfgc!19sChIJRRdOwRCheS4R7EwCJiUkBGU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+expres+Ponorogo/@-7.8799479,111.4785068,17z/data=!3m1!4b1!4m6!3m5!1s0x2e79a110c14e1745:0x6504242526024cec!8m2!3d-7.8799479!4d111.4785068!16s%2Fg%2F11mw5sdfgc?authuser=0&hl=id&entry=ttu","111.4785068","-7.8799479","Alamat","Jl. Mayang No.3, Kidukali, Purbosuman, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63417"
"Ninja expres Ponorogo",NA,3.2,26,"Tutup permanen","https://www.google.com/maps/place/Ninja+expres+Ponorogo/data=!4m7!3m6!1s0x2e79a110c14e1745:0x6504242526024cec!8m2!3d-7.8799479!4d111.4785068!16s%2Fg%2F11mw5sdfgc!19sChIJRRdOwRCheS4R7EwCJiUkBGU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+expres+Ponorogo/@-7.8799479,111.4785068,17z/data=!3m1!4b1!4m6!3m5!1s0x2e79a110c14e1745:0x6504242526024cec!8m2!3d-7.8799479!4d111.4785068!16s%2Fg%2F11mw5sdfgc?authuser=0&hl=id&entry=ttu","111.4785068","-7.8799479","Plus Codes","4FCH+2C Purbosuman, Kabupaten Ponorogo, Jawa Timur"
