"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Ninja Xpress Sampang","Gudang",2.3,3,"Buka 24 jam","https://www.google.com/maps/place/Ninja+Xpress+Sampang/data=!4m7!3m6!1s0x2dd7870531b377c9:0xecb2699e2f56d5a!8m2!3d-7.1906476!4d113.2405579!16s%2Fg%2F11tj9nf7y_!19sChIJyXezMQWH1y0RWm314pkmyw4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Sampang/@-7.1906476,113.2405579,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7870531b377c9:0xecb2699e2f56d5a!8m2!3d-7.1906476!4d113.2405579!16s%2Fg%2F11tj9nf7y_?authuser=0&hl=id&entry=ttu","113.2405579","-7.1906476","Alamat","Jl. Merpati No.181, Rw. I, Gn. Sekar, Kec. Sampang, Kabupaten Sampang, Jawa Timur 69216"
"Ninja Xpress Sampang","Gudang",2.3,3,"Buka 24 jam","https://www.google.com/maps/place/Ninja+Xpress+Sampang/data=!4m7!3m6!1s0x2dd7870531b377c9:0xecb2699e2f56d5a!8m2!3d-7.1906476!4d113.2405579!16s%2Fg%2F11tj9nf7y_!19sChIJyXezMQWH1y0RWm314pkmyw4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Sampang/@-7.1906476,113.2405579,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7870531b377c9:0xecb2699e2f56d5a!8m2!3d-7.1906476!4d113.2405579!16s%2Fg%2F11tj9nf7y_?authuser=0&hl=id&entry=ttu","113.2405579","-7.1906476","Telepon","0856-0600-6060"
"Ninja Xpress Sampang","Gudang",2.3,3,"Buka 24 jam","https://www.google.com/maps/place/Ninja+Xpress+Sampang/data=!4m7!3m6!1s0x2dd7870531b377c9:0xecb2699e2f56d5a!8m2!3d-7.1906476!4d113.2405579!16s%2Fg%2F11tj9nf7y_!19sChIJyXezMQWH1y0RWm314pkmyw4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Sampang/@-7.1906476,113.2405579,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7870531b377c9:0xecb2699e2f56d5a!8m2!3d-7.1906476!4d113.2405579!16s%2Fg%2F11tj9nf7y_?authuser=0&hl=id&entry=ttu","113.2405579","-7.1906476","Plus Codes","R65R+P6 Gn. Sekar, Kabupaten Sampang, Jawa Timur"
"NINJA EXPRESS CILACAP SAMPANG","Jasa Kurir",4,8,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/NINJA+EXPRESS+CILACAP+SAMPANG/data=!4m7!3m6!1s0x2e6543e36ed23e75:0xec2041ff7090bd1e!8m2!3d-7.5624602!4d109.2000427!16s%2Fg%2F11ht5d_khy!19sChIJdT7SbuNDZS4RHr2QcP9BIOw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+EXPRESS+CILACAP+SAMPANG/@-7.5624602,109.2000427,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6543e36ed23e75:0xec2041ff7090bd1e!8m2!3d-7.5624602!4d109.2000427!16s%2Fg%2F11ht5d_khy?authuser=0&hl=id&entry=ttu","109.2000427","-7.5624602","Alamat","Jl. Tugu Barat No.mor 16, Tinggar Jambu, Sampang, Kec. Sampang, Kabupaten Cilacap, Jawa Tengah 53273"
"NINJA EXPRESS CILACAP SAMPANG","Jasa Kurir",4,8,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/NINJA+EXPRESS+CILACAP+SAMPANG/data=!4m7!3m6!1s0x2e6543e36ed23e75:0xec2041ff7090bd1e!8m2!3d-7.5624602!4d109.2000427!16s%2Fg%2F11ht5d_khy!19sChIJdT7SbuNDZS4RHr2QcP9BIOw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+EXPRESS+CILACAP+SAMPANG/@-7.5624602,109.2000427,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6543e36ed23e75:0xec2041ff7090bd1e!8m2!3d-7.5624602!4d109.2000427!16s%2Fg%2F11ht5d_khy?authuser=0&hl=id&entry=ttu","109.2000427","-7.5624602","Telepon","0813-2770-2338"
"NINJA EXPRESS CILACAP SAMPANG","Jasa Kurir",4,8,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/NINJA+EXPRESS+CILACAP+SAMPANG/data=!4m7!3m6!1s0x2e6543e36ed23e75:0xec2041ff7090bd1e!8m2!3d-7.5624602!4d109.2000427!16s%2Fg%2F11ht5d_khy!19sChIJdT7SbuNDZS4RHr2QcP9BIOw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NINJA+EXPRESS+CILACAP+SAMPANG/@-7.5624602,109.2000427,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6543e36ed23e75:0xec2041ff7090bd1e!8m2!3d-7.5624602!4d109.2000427!16s%2Fg%2F11ht5d_khy?authuser=0&hl=id&entry=ttu","109.2000427","-7.5624602","Plus Codes","C6Q2+22 Sampang, Kabupaten Cilacap, Jawa Tengah"
"Ninja Xpress","Jasa Pengiriman",5,1,"Buka ⋅ Tutup Rab pukul 04.15","https://www.google.com/maps/place/Ninja+Xpress/data=!4m7!3m6!1s0x2dd839cb8f1f315d:0x6dbada0797ca8dae!8m2!3d-6.9176255!4d113.1501017!16s%2Fg%2F11tfw72zyv!19sChIJXTEfj8s52C0Rro3Klwfaum0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress/@-6.9176255,113.1501017,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd839cb8f1f315d:0x6dbada0797ca8dae!8m2!3d-6.9176255!4d113.1501017!16s%2Fg%2F11tfw72zyv?authuser=0&hl=id&entry=ttu","113.1501017","-6.9176255","Alamat","35J2+W2X, Jl kh jauhari, Tabotoh, Kembang Jeruk, Kec. Banyuates, Kabupaten Sampang, Jawa Timur 69263"
"Ninja Xpress","Jasa Pengiriman",5,1,"Buka ⋅ Tutup Rab pukul 04.15","https://www.google.com/maps/place/Ninja+Xpress/data=!4m7!3m6!1s0x2dd839cb8f1f315d:0x6dbada0797ca8dae!8m2!3d-6.9176255!4d113.1501017!16s%2Fg%2F11tfw72zyv!19sChIJXTEfj8s52C0Rro3Klwfaum0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress/@-6.9176255,113.1501017,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd839cb8f1f315d:0x6dbada0797ca8dae!8m2!3d-6.9176255!4d113.1501017!16s%2Fg%2F11tfw72zyv?authuser=0&hl=id&entry=ttu","113.1501017","-6.9176255","Situs Web","ninjaxpress.co"
"Ninja Xpress","Jasa Pengiriman",5,1,"Buka ⋅ Tutup Rab pukul 04.15","https://www.google.com/maps/place/Ninja+Xpress/data=!4m7!3m6!1s0x2dd839cb8f1f315d:0x6dbada0797ca8dae!8m2!3d-6.9176255!4d113.1501017!16s%2Fg%2F11tfw72zyv!19sChIJXTEfj8s52C0Rro3Klwfaum0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress/@-6.9176255,113.1501017,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd839cb8f1f315d:0x6dbada0797ca8dae!8m2!3d-6.9176255!4d113.1501017!16s%2Fg%2F11tfw72zyv?authuser=0&hl=id&entry=ttu","113.1501017","-6.9176255","Telepon","0877-3383-5840"
"Kantor Ninja Xpress Banyuates","Jasa Pengiriman",2.6,5,"Buka 24 jam","https://www.google.com/maps/place/Kantor+Ninja+Xpress+Banyuates/data=!4m7!3m6!1s0x2dd83908a96b8b57:0xb96af1369373ea44!8m2!3d-6.9046044!4d113.1481987!16s%2Fg%2F11tg0s9rb1!19sChIJV4trqQg52C0RROpzkzbxark?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Ninja+Xpress+Banyuates/@-6.9046044,113.1481987,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd83908a96b8b57:0xb96af1369373ea44!8m2!3d-6.9046044!4d113.1481987!16s%2Fg%2F11tg0s9rb1?authuser=0&hl=id&entry=ttu","113.1481987","-6.9046044","Alamat","34WX+574, Tabotoh, Kembang Jeruk, Kec. Banyuates, Kabupaten Sampang, Jawa Timur"
