"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Ninja Xpress Siborongborong","Kantor Perusahaan",2.3,30,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress+Siborongborong/data=!4m7!3m6!1s0x302e13ccbd0e6a27:0xca24c3db603ed9b4!8m2!3d2.2203346!4d98.9810446!16s%2Fg%2F11f_z_l1rr!19sChIJJ2oOvcwTLjARtNk-YNvDJMo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Siborongborong/@2.2203346,98.9810446,17z/data=!3m1!4b1!4m6!3m5!1s0x302e13ccbd0e6a27:0xca24c3db603ed9b4!8m2!3d2.2203346!4d98.9810446!16s%2Fg%2F11f_z_l1rr?authuser=0&hl=id&entry=ttu","98.9810446","2.2203346","Alamat","Silait-Lait, Kec. Siborongborong, Kabupaten Tapanuli Utara, Sumatera Utara 22474"
"Ninja Xpress Siborongborong","Kantor Perusahaan",2.3,30,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress+Siborongborong/data=!4m7!3m6!1s0x302e13ccbd0e6a27:0xca24c3db603ed9b4!8m2!3d2.2203346!4d98.9810446!16s%2Fg%2F11f_z_l1rr!19sChIJJ2oOvcwTLjARtNk-YNvDJMo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Siborongborong/@2.2203346,98.9810446,17z/data=!3m1!4b1!4m6!3m5!1s0x302e13ccbd0e6a27:0xca24c3db603ed9b4!8m2!3d2.2203346!4d98.9810446!16s%2Fg%2F11f_z_l1rr?authuser=0&hl=id&entry=ttu","98.9810446","2.2203346","Situs Web","ninjavan.co"
"Ninja Xpress Siborongborong","Kantor Perusahaan",2.3,30,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress+Siborongborong/data=!4m7!3m6!1s0x302e13ccbd0e6a27:0xca24c3db603ed9b4!8m2!3d2.2203346!4d98.9810446!16s%2Fg%2F11f_z_l1rr!19sChIJJ2oOvcwTLjARtNk-YNvDJMo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Siborongborong/@2.2203346,98.9810446,17z/data=!3m1!4b1!4m6!3m5!1s0x302e13ccbd0e6a27:0xca24c3db603ed9b4!8m2!3d2.2203346!4d98.9810446!16s%2Fg%2F11f_z_l1rr?authuser=0&hl=id&entry=ttu","98.9810446","2.2203346","Telepon","0812-7538-8991"
"Ninja Xpress Siborongborong","Kantor Perusahaan",2.3,30,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress+Siborongborong/data=!4m7!3m6!1s0x302e13ccbd0e6a27:0xca24c3db603ed9b4!8m2!3d2.2203346!4d98.9810446!16s%2Fg%2F11f_z_l1rr!19sChIJJ2oOvcwTLjARtNk-YNvDJMo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Siborongborong/@2.2203346,98.9810446,17z/data=!3m1!4b1!4m6!3m5!1s0x302e13ccbd0e6a27:0xca24c3db603ed9b4!8m2!3d2.2203346!4d98.9810446!16s%2Fg%2F11f_z_l1rr?authuser=0&hl=id&entry=ttu","98.9810446","2.2203346","Plus Codes","6XCJ+4C Silait-Lait, Kabupaten Tapanuli Utara, Sumatera Utara"
"Ninja Xpress Cabang Sibolga","Layanan B2B",4.5,26,"Tutup ⋅ Buka Rab pukul 07.30","https://www.google.com/maps/place/Ninja+Xpress+Cabang+Sibolga/data=!4m7!3m6!1s0x302ef36f15f258d1:0x9fe09f94fd7c32a9!8m2!3d1.7113786!4d98.8195922!16s%2Fg%2F11f2scwhfn!19sChIJ0VjyFW_zLjARqTJ8_ZSf4J8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Cabang+Sibolga/@1.7113786,98.8195922,17z/data=!3m1!4b1!4m6!3m5!1s0x302ef36f15f258d1:0x9fe09f94fd7c32a9!8m2!3d1.7113786!4d98.8195922!16s%2Fg%2F11f2scwhfn?authuser=0&hl=id&entry=ttu","98.8195922","1.7113786","Alamat","Simpang BKKBN, Sibuluan Nauli, Kec. Pandan, Kabupaten Tapanuli Tengah, Sumatera Utara 22616"
"Ninja Xpress Cabang Sibolga","Layanan B2B",4.5,26,"Tutup ⋅ Buka Rab pukul 07.30","https://www.google.com/maps/place/Ninja+Xpress+Cabang+Sibolga/data=!4m7!3m6!1s0x302ef36f15f258d1:0x9fe09f94fd7c32a9!8m2!3d1.7113786!4d98.8195922!16s%2Fg%2F11f2scwhfn!19sChIJ0VjyFW_zLjARqTJ8_ZSf4J8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Cabang+Sibolga/@1.7113786,98.8195922,17z/data=!3m1!4b1!4m6!3m5!1s0x302ef36f15f258d1:0x9fe09f94fd7c32a9!8m2!3d1.7113786!4d98.8195922!16s%2Fg%2F11f2scwhfn?authuser=0&hl=id&entry=ttu","98.8195922","1.7113786","Situs Web","business.site"
"Ninja Xpress Cabang Sibolga","Layanan B2B",4.5,26,"Tutup ⋅ Buka Rab pukul 07.30","https://www.google.com/maps/place/Ninja+Xpress+Cabang+Sibolga/data=!4m7!3m6!1s0x302ef36f15f258d1:0x9fe09f94fd7c32a9!8m2!3d1.7113786!4d98.8195922!16s%2Fg%2F11f2scwhfn!19sChIJ0VjyFW_zLjARqTJ8_ZSf4J8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Cabang+Sibolga/@1.7113786,98.8195922,17z/data=!3m1!4b1!4m6!3m5!1s0x302ef36f15f258d1:0x9fe09f94fd7c32a9!8m2!3d1.7113786!4d98.8195922!16s%2Fg%2F11f2scwhfn?authuser=0&hl=id&entry=ttu","98.8195922","1.7113786","Telepon","0812-6973-9557"
"Ninja Xpress Cabang Sibolga","Layanan B2B",4.5,26,"Tutup ⋅ Buka Rab pukul 07.30","https://www.google.com/maps/place/Ninja+Xpress+Cabang+Sibolga/data=!4m7!3m6!1s0x302ef36f15f258d1:0x9fe09f94fd7c32a9!8m2!3d1.7113786!4d98.8195922!16s%2Fg%2F11f2scwhfn!19sChIJ0VjyFW_zLjARqTJ8_ZSf4J8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Cabang+Sibolga/@1.7113786,98.8195922,17z/data=!3m1!4b1!4m6!3m5!1s0x302ef36f15f258d1:0x9fe09f94fd7c32a9!8m2!3d1.7113786!4d98.8195922!16s%2Fg%2F11f2scwhfn?authuser=0&hl=id&entry=ttu","98.8195922","1.7113786","Plus Codes","PR69+HR Sibuluan Nauli, Kabupaten Tapanuli Tengah, Sumatera Utara"
"Ninja Express Muara Enim","Kantor Perusahaan",1.5,8,"unknown","https://www.google.com/maps/place/Ninja+Express+Muara+Enim/data=!4m7!3m6!1s0x2e39f79db43edbc9:0xa4e2174256874db5!8m2!3d-3.6563238!4d103.7796052!16s%2Fg%2F11my2mz45s!19sChIJyds-tJ33OS4RtU2HVkIX4qQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Express+Muara+Enim/@-3.6563238,103.7796052,17z/data=!3m1!4b1!4m6!3m5!1s0x2e39f79db43edbc9:0xa4e2174256874db5!8m2!3d-3.6563238!4d103.7796052!16s%2Fg%2F11my2mz45s?authuser=0&hl=id&entry=ttu","103.7796052","-3.6563238","Alamat","Ps. I Muara Enim, Kec. Muara Enim, Kabupaten Muara Enim, Sumatera Selatan 31311"
"Ninja Express Muara Enim","Kantor Perusahaan",1.5,8,"unknown","https://www.google.com/maps/place/Ninja+Express+Muara+Enim/data=!4m7!3m6!1s0x2e39f79db43edbc9:0xa4e2174256874db5!8m2!3d-3.6563238!4d103.7796052!16s%2Fg%2F11my2mz45s!19sChIJyds-tJ33OS4RtU2HVkIX4qQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Express+Muara+Enim/@-3.6563238,103.7796052,17z/data=!3m1!4b1!4m6!3m5!1s0x2e39f79db43edbc9:0xa4e2174256874db5!8m2!3d-3.6563238!4d103.7796052!16s%2Fg%2F11my2mz45s?authuser=0&hl=id&entry=ttu","103.7796052","-3.6563238","Plus Codes","8QVH+FR Ps. I Muara Enim, Kabupaten Muara Enim, Sumatera Selatan"
