"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"ninja xpress tasikmalaya","Kantor Perusahaan",2.9,307,"Buka 24 jam","https://www.google.com/maps/place/ninja+xpress+tasikmalaya/data=!4m7!3m6!1s0x2e6f579d96582bed:0xe35f8462b08c78d5!8m2!3d-7.3449196!4d108.2032014!16s%2Fg%2F11g8br0h45!19sChIJ7StYlp1Xby4R1XiMsGKEX-M?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/ninja+xpress+tasikmalaya/@-7.3449196,108.2032014,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f579d96582bed:0xe35f8462b08c78d5!8m2!3d-7.3449196!4d108.2032014!16s%2Fg%2F11g8br0h45?authuser=0&hl=id&entry=ttu","108.2032014","-7.3449196","Alamat","Jl. Mayor S.L. Tobing No.131, Sambongpari, Kec. Mangkubumi, Kab. Tasikmalaya, Jawa Barat 46181"
"ninja xpress tasikmalaya","Kantor Perusahaan",2.9,307,"Buka 24 jam","https://www.google.com/maps/place/ninja+xpress+tasikmalaya/data=!4m7!3m6!1s0x2e6f579d96582bed:0xe35f8462b08c78d5!8m2!3d-7.3449196!4d108.2032014!16s%2Fg%2F11g8br0h45!19sChIJ7StYlp1Xby4R1XiMsGKEX-M?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/ninja+xpress+tasikmalaya/@-7.3449196,108.2032014,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f579d96582bed:0xe35f8462b08c78d5!8m2!3d-7.3449196!4d108.2032014!16s%2Fg%2F11g8br0h45?authuser=0&hl=id&entry=ttu","108.2032014","-7.3449196","Situs Web","ninjaxpress.co"
"ninja xpress tasikmalaya","Kantor Perusahaan",2.9,307,"Buka 24 jam","https://www.google.com/maps/place/ninja+xpress+tasikmalaya/data=!4m7!3m6!1s0x2e6f579d96582bed:0xe35f8462b08c78d5!8m2!3d-7.3449196!4d108.2032014!16s%2Fg%2F11g8br0h45!19sChIJ7StYlp1Xby4R1XiMsGKEX-M?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/ninja+xpress+tasikmalaya/@-7.3449196,108.2032014,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f579d96582bed:0xe35f8462b08c78d5!8m2!3d-7.3449196!4d108.2032014!16s%2Fg%2F11g8br0h45?authuser=0&hl=id&entry=ttu","108.2032014","-7.3449196","Telepon","0823-1512-9999"
"ninja xpress tasikmalaya","Kantor Perusahaan",2.9,307,"Buka 24 jam","https://www.google.com/maps/place/ninja+xpress+tasikmalaya/data=!4m7!3m6!1s0x2e6f579d96582bed:0xe35f8462b08c78d5!8m2!3d-7.3449196!4d108.2032014!16s%2Fg%2F11g8br0h45!19sChIJ7StYlp1Xby4R1XiMsGKEX-M?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/ninja+xpress+tasikmalaya/@-7.3449196,108.2032014,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f579d96582bed:0xe35f8462b08c78d5!8m2!3d-7.3449196!4d108.2032014!16s%2Fg%2F11g8br0h45?authuser=0&hl=id&entry=ttu","108.2032014","-7.3449196","Plus Codes","M643+27 Sambongpari, Kab. Tasikmalaya, Jawa Barat"
"BABY NINJA TASIKMALAYA","Gedung Pertemuan",4.8,9,"unknown","https://www.google.com/maps/place/BABY+NINJA+TASIKMALAYA/data=!4m7!3m6!1s0x2e6f577a95f8ca57:0x9fd91843a1fc1eeb!8m2!3d-7.376292!4d108.196559!16s%2Fg%2F11pc1lx9m9!19sChIJV8r4lXpXby4R6x78oUMY2Z8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/BABY+NINJA+TASIKMALAYA/@-7.376292,108.196559,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f577a95f8ca57:0x9fd91843a1fc1eeb!8m2!3d-7.376292!4d108.196559!16s%2Fg%2F11pc1lx9m9?authuser=0&hl=id&entry=ttu","108.196559","-7.376292","Alamat","Dekat, Cilamajang, Kec. Kawalu, Kab. Tasikmalaya, Jawa Barat 46182"
"BABY NINJA TASIKMALAYA","Gedung Pertemuan",4.8,9,"unknown","https://www.google.com/maps/place/BABY+NINJA+TASIKMALAYA/data=!4m7!3m6!1s0x2e6f577a95f8ca57:0x9fd91843a1fc1eeb!8m2!3d-7.376292!4d108.196559!16s%2Fg%2F11pc1lx9m9!19sChIJV8r4lXpXby4R6x78oUMY2Z8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/BABY+NINJA+TASIKMALAYA/@-7.376292,108.196559,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f577a95f8ca57:0x9fd91843a1fc1eeb!8m2!3d-7.376292!4d108.196559!16s%2Fg%2F11pc1lx9m9?authuser=0&hl=id&entry=ttu","108.196559","-7.376292","Telepon","0813-2365-3095"
"BABY NINJA TASIKMALAYA","Gedung Pertemuan",4.8,9,"unknown","https://www.google.com/maps/place/BABY+NINJA+TASIKMALAYA/data=!4m7!3m6!1s0x2e6f577a95f8ca57:0x9fd91843a1fc1eeb!8m2!3d-7.376292!4d108.196559!16s%2Fg%2F11pc1lx9m9!19sChIJV8r4lXpXby4R6x78oUMY2Z8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/BABY+NINJA+TASIKMALAYA/@-7.376292,108.196559,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f577a95f8ca57:0x9fd91843a1fc1eeb!8m2!3d-7.376292!4d108.196559!16s%2Fg%2F11pc1lx9m9?authuser=0&hl=id&entry=ttu","108.196559","-7.376292","Plus Codes","J5FW+FJ Cilamajang, Kab. Tasikmalaya, Jawa Barat"
"Ninja Xpress Sukanagara Tasikmalaya","Kantor Perusahaan",5,5,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Xpress+Sukanagara+Tasikmalaya/data=!4m7!3m6!1s0x2e6f5963a261433d:0x700b3a894ef0ceab!8m2!3d-7.3319151!4d108.2454799!16s%2Fg%2F11qhxs6ls_!19sChIJPUNhomNZby4Rq87wTok6C3A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Sukanagara+Tasikmalaya/@-7.3319151,108.2454799,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f5963a261433d:0x700b3a894ef0ceab!8m2!3d-7.3319151!4d108.2454799!16s%2Fg%2F11qhxs6ls_?authuser=0&hl=id&entry=ttu","108.2454799","-7.3319151","Alamat","Jl. Purbaratu Saripin No.9/10, Kelurahan No.Samping, Sukanagara, Kec. Purbaratu, Kab. Tasikmalaya, Jawa Barat 46196"
"Ninja Xpress Sukanagara Tasikmalaya","Kantor Perusahaan",5,5,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Xpress+Sukanagara+Tasikmalaya/data=!4m7!3m6!1s0x2e6f5963a261433d:0x700b3a894ef0ceab!8m2!3d-7.3319151!4d108.2454799!16s%2Fg%2F11qhxs6ls_!19sChIJPUNhomNZby4Rq87wTok6C3A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Sukanagara+Tasikmalaya/@-7.3319151,108.2454799,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f5963a261433d:0x700b3a894ef0ceab!8m2!3d-7.3319151!4d108.2454799!16s%2Fg%2F11qhxs6ls_?authuser=0&hl=id&entry=ttu","108.2454799","-7.3319151","Situs Web","ninjaxpress.co"
"Ninja Xpress Sukanagara Tasikmalaya","Kantor Perusahaan",5,5,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Xpress+Sukanagara+Tasikmalaya/data=!4m7!3m6!1s0x2e6f5963a261433d:0x700b3a894ef0ceab!8m2!3d-7.3319151!4d108.2454799!16s%2Fg%2F11qhxs6ls_!19sChIJPUNhomNZby4Rq87wTok6C3A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Sukanagara+Tasikmalaya/@-7.3319151,108.2454799,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f5963a261433d:0x700b3a894ef0ceab!8m2!3d-7.3319151!4d108.2454799!16s%2Fg%2F11qhxs6ls_?authuser=0&hl=id&entry=ttu","108.2454799","-7.3319151","Telepon","0853-2017-1313"
