"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Ninja Xpress Temanggung","Kantor Perusahaan",4.5,19,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Xpress+Temanggung/data=!4m7!3m6!1s0x2e7a83662427bef3:0xa63bbb0f17baedc1!8m2!3d-7.3154311!4d110.1806891!16s%2Fg%2F11jn4w6_jv!19sChIJ874nJGaDei4Rwe26Fw-7O6Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Temanggung/@-7.3154311,110.1806891,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a83662427bef3:0xa63bbb0f17baedc1!8m2!3d-7.3154311!4d110.1806891!16s%2Fg%2F11jn4w6_jv?authuser=0&hl=id&entry=ttu","110.1806891","-7.3154311","Alamat","Jl. Kol Sugiyono No.46, Kemantren, Temanggung I, Kec. Temanggung, Kabupaten Temanggung, Jawa Tengah 56212"
"Ninja Xpress Temanggung","Kantor Perusahaan",4.5,19,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Xpress+Temanggung/data=!4m7!3m6!1s0x2e7a83662427bef3:0xa63bbb0f17baedc1!8m2!3d-7.3154311!4d110.1806891!16s%2Fg%2F11jn4w6_jv!19sChIJ874nJGaDei4Rwe26Fw-7O6Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Temanggung/@-7.3154311,110.1806891,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a83662427bef3:0xa63bbb0f17baedc1!8m2!3d-7.3154311!4d110.1806891!16s%2Fg%2F11jn4w6_jv?authuser=0&hl=id&entry=ttu","110.1806891","-7.3154311","Telepon","0823-2942-5700"
"Ninja Xpress Temanggung","Kantor Perusahaan",4.5,19,"Tutup ⋅ Buka Rab pukul 09.00","https://www.google.com/maps/place/Ninja+Xpress+Temanggung/data=!4m7!3m6!1s0x2e7a83662427bef3:0xa63bbb0f17baedc1!8m2!3d-7.3154311!4d110.1806891!16s%2Fg%2F11jn4w6_jv!19sChIJ874nJGaDei4Rwe26Fw-7O6Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Temanggung/@-7.3154311,110.1806891,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a83662427bef3:0xa63bbb0f17baedc1!8m2!3d-7.3154311!4d110.1806891!16s%2Fg%2F11jn4w6_jv?authuser=0&hl=id&entry=ttu","110.1806891","-7.3154311","Plus Codes","M5MJ+R7 Temanggung I, Kabupaten Temanggung, Jawa Tengah"
"Ninja temanggung","Kantor Perusahaan",5,3,"Buka 24 jam","https://www.google.com/maps/place/Ninja+temanggung/data=!4m7!3m6!1s0x2e7079cc0b4c55a1:0x6d4e0501ffe883db!8m2!3d-7.2726521!4d110.1438154!16s%2Fg%2F11fsbdkzgh!19sChIJoVVMC8x5cC4R24Po_wEFTm0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+temanggung/@-7.2726521,110.1438154,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7079cc0b4c55a1:0x6d4e0501ffe883db!8m2!3d-7.2726521!4d110.1438154!16s%2Fg%2F11fsbdkzgh?authuser=0&hl=id&entry=ttu","110.1438154","-7.2726521","Alamat","P4GV+WGP, Sanggrahan, Mojotengah, Kec. Kedu, Kabupaten Temanggung, Jawa Tengah 56252"
"Ninja temanggung","Kantor Perusahaan",5,3,"Buka 24 jam","https://www.google.com/maps/place/Ninja+temanggung/data=!4m7!3m6!1s0x2e7079cc0b4c55a1:0x6d4e0501ffe883db!8m2!3d-7.2726521!4d110.1438154!16s%2Fg%2F11fsbdkzgh!19sChIJoVVMC8x5cC4R24Po_wEFTm0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+temanggung/@-7.2726521,110.1438154,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7079cc0b4c55a1:0x6d4e0501ffe883db!8m2!3d-7.2726521!4d110.1438154!16s%2Fg%2F11fsbdkzgh?authuser=0&hl=id&entry=ttu","110.1438154","-7.2726521","Telepon","(0274) 3335556"
"MITRA NINJAEXPRESS KEBONSARI 2 ,JL.GATOT SUBROTO NO.56, TAWANGSARI, KEBONSARI, TEMANGGUNG. ID 56223","Kantor Perusahaan",5,1,"","https://www.google.com/maps/place/MITRA+NINJAEXPRESS+KEBONSARI+2+,JL.GATOT+SUBROTO+NO.56,+TAWANGSARI,+KEBONSARI,+TEMANGGUNG.+ID+56223/data=!4m7!3m6!1s0x2e7079dec7cd0103:0xd48f5a676c11c843!8m2!3d-7.3125211!4d110.1622836!16s%2Fg%2F11lkm65qlv!19sChIJAwHNx955cC4RQ8gRbGdaj9Q?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/MITRA+NINJAEXPRESS+KEBONSARI+2+,JL.GATOT+SUBROTO+NO.56,+TAWANGSARI,+KEBONSARI,+TEMANGGUNG.+ID+56223/@-7.3125211,110.1622836,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7079dec7cd0103:0xd48f5a676c11c843!8m2!3d-7.3125211!4d110.1622836!16s%2Fg%2F11lkm65qlv?authuser=0&hl=id&entry=ttu","110.1622836","-7.3125211","Alamat","Jl. Gatot Soebroto No.51, RT.01/RW.05, Tawangsari, Kebonsari, Kec. Temanggung, Kabupaten Temanggung, Jawa Tengah 56223"
"MITRA NINJAEXPRESS KEBONSARI 2 ,JL.GATOT SUBROTO NO.56, TAWANGSARI, KEBONSARI, TEMANGGUNG. ID 56223","Kantor Perusahaan",5,1,"","https://www.google.com/maps/place/MITRA+NINJAEXPRESS+KEBONSARI+2+,JL.GATOT+SUBROTO+NO.56,+TAWANGSARI,+KEBONSARI,+TEMANGGUNG.+ID+56223/data=!4m7!3m6!1s0x2e7079dec7cd0103:0xd48f5a676c11c843!8m2!3d-7.3125211!4d110.1622836!16s%2Fg%2F11lkm65qlv!19sChIJAwHNx955cC4RQ8gRbGdaj9Q?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/MITRA+NINJAEXPRESS+KEBONSARI+2+,JL.GATOT+SUBROTO+NO.56,+TAWANGSARI,+KEBONSARI,+TEMANGGUNG.+ID+56223/@-7.3125211,110.1622836,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7079dec7cd0103:0xd48f5a676c11c843!8m2!3d-7.3125211!4d110.1622836!16s%2Fg%2F11lkm65qlv?authuser=0&hl=id&entry=ttu","110.1622836","-7.3125211","Telepon","0821-3396-3788"
"MITRA NINJAEXPRESS KEBONSARI 2 ,JL.GATOT SUBROTO NO.56, TAWANGSARI, KEBONSARI, TEMANGGUNG. ID 56223","Kantor Perusahaan",5,1,"","https://www.google.com/maps/place/MITRA+NINJAEXPRESS+KEBONSARI+2+,JL.GATOT+SUBROTO+NO.56,+TAWANGSARI,+KEBONSARI,+TEMANGGUNG.+ID+56223/data=!4m7!3m6!1s0x2e7079dec7cd0103:0xd48f5a676c11c843!8m2!3d-7.3125211!4d110.1622836!16s%2Fg%2F11lkm65qlv!19sChIJAwHNx955cC4RQ8gRbGdaj9Q?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/MITRA+NINJAEXPRESS+KEBONSARI+2+,JL.GATOT+SUBROTO+NO.56,+TAWANGSARI,+KEBONSARI,+TEMANGGUNG.+ID+56223/@-7.3125211,110.1622836,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7079dec7cd0103:0xd48f5a676c11c843!8m2!3d-7.3125211!4d110.1622836!16s%2Fg%2F11lkm65qlv?authuser=0&hl=id&entry=ttu","110.1622836","-7.3125211","Plus Codes","M5P6+XW Kebonsari, Kabupaten Temanggung, Jawa Tengah"
"Ninja Xpress","Jasa Pengiriman",1,1,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress/data=!4m7!3m6!1s0x2e7a83f79c9dc193:0xfac807a356363a5c!8m2!3d-7.3261637!4d110.1959251!16s%2Fg%2F11tkb4cmxs!19sChIJk8GdnPeDei4RXDo2VqMHyPo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress/@-7.3261637,110.1959251,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a83f79c9dc193:0xfac807a356363a5c!8m2!3d-7.3261637!4d110.1959251!16s%2Fg%2F11tkb4cmxs?authuser=0&hl=id&entry=ttu","110.1959251","-7.3261637","Alamat","Jl. Jenderal Sudirman No.176, Cublikan, Kowangan, Kec. Temanggung, Kabupaten Temanggung, Jawa Tengah 56218"
"Ninja Xpress","Jasa Pengiriman",1,1,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress/data=!4m7!3m6!1s0x2e7a83f79c9dc193:0xfac807a356363a5c!8m2!3d-7.3261637!4d110.1959251!16s%2Fg%2F11tkb4cmxs!19sChIJk8GdnPeDei4RXDo2VqMHyPo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress/@-7.3261637,110.1959251,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a83f79c9dc193:0xfac807a356363a5c!8m2!3d-7.3261637!4d110.1959251!16s%2Fg%2F11tkb4cmxs?authuser=0&hl=id&entry=ttu","110.1959251","-7.3261637","Plus Codes","M5FW+G9 Kowangan, Kabupaten Temanggung, Jawa Tengah"
