"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Ninja Xpress Tuban","Layanan Pengiriman dan Pengeposan",2.9,23,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress+Tuban/data=!4m7!3m6!1s0x2e77bd663425d8d1:0x2891e88a002da1da!8m2!3d-6.896971!4d112.077864!16s%2Fg%2F11q2q0cxzd!19sChIJ0dglNGa9dy4R2qEtAIrokSg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Tuban/@-6.896971,112.077864,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77bd663425d8d1:0x2891e88a002da1da!8m2!3d-6.896971!4d112.077864!16s%2Fg%2F11q2q0cxzd?authuser=0&hl=id&entry=ttu","112.077864","-6.896971","Alamat","Jl. Panglima Sudirman No.25, Sukolilo, Kec. Tuban, Kabupaten Tuban, Jawa Timur 62318"
"Ninja Xpress Tuban","Layanan Pengiriman dan Pengeposan",2.9,23,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress+Tuban/data=!4m7!3m6!1s0x2e77bd663425d8d1:0x2891e88a002da1da!8m2!3d-6.896971!4d112.077864!16s%2Fg%2F11q2q0cxzd!19sChIJ0dglNGa9dy4R2qEtAIrokSg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Tuban/@-6.896971,112.077864,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77bd663425d8d1:0x2891e88a002da1da!8m2!3d-6.896971!4d112.077864!16s%2Fg%2F11q2q0cxzd?authuser=0&hl=id&entry=ttu","112.077864","-6.896971","Telepon","0813-3338-7272"
"Ninja Xpress Tuban","Layanan Pengiriman dan Pengeposan",2.9,23,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress+Tuban/data=!4m7!3m6!1s0x2e77bd663425d8d1:0x2891e88a002da1da!8m2!3d-6.896971!4d112.077864!16s%2Fg%2F11q2q0cxzd!19sChIJ0dglNGa9dy4R2qEtAIrokSg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Tuban/@-6.896971,112.077864,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77bd663425d8d1:0x2891e88a002da1da!8m2!3d-6.896971!4d112.077864!16s%2Fg%2F11q2q0cxzd?authuser=0&hl=id&entry=ttu","112.077864","-6.896971","Plus Codes","433H+64 Sukolilo, Kabupaten Tuban, Jawa Timur"
"Kantor Ninja Xpress Tuban","Perusahaan Ekspedisi",4.8,4,"Buka 24 jam","https://www.google.com/maps/place/Kantor+Ninja+Xpress+Tuban/data=!4m7!3m6!1s0x2e77976cb6b687f7:0x33e8185774ae948d!8m2!3d-6.9232048!4d112.0532862!16s%2Fg%2F11q3t5bhfy!19sChIJ94e2tmyXdy4RjZSudFcY6DM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Ninja+Xpress+Tuban/@-6.9232048,112.0532862,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77976cb6b687f7:0x33e8185774ae948d!8m2!3d-6.9232048!4d112.0532862!16s%2Fg%2F11q3t5bhfy?authuser=0&hl=id&entry=ttu","112.0532862","-6.9232048","Alamat","33G3+P87, Jl. Mojopahit, Krajan, Prunggahan Kulon, Kec. Semanding, Kabupaten Tuban, Jawa Timur 62381"
"Ninja Collection","Toko Pakaian",NA,NA,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Collection/data=!4m7!3m6!1s0x2e779768f3e7d70f:0x3493b4f3ad410ee6!8m2!3d-6.9000384!4d112.0993549!16s%2Fg%2F11gtftns7g!19sChIJD9fn82iXdy4R5g5BrfO0kzQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Collection/@-6.9000384,112.0993549,17z/data=!3m1!4b1!4m6!3m5!1s0x2e779768f3e7d70f:0x3493b4f3ad410ee6!8m2!3d-6.9000384!4d112.0993549!16s%2Fg%2F11gtftns7g?authuser=0&hl=id&entry=ttu","112.0993549","-6.9000384","Alamat","33XX+XPQ, Jalan Sumbergedhe, RT.12/RW.6, Pojuna, Tasikmadu, Kec. Palang, Kabupaten Tuban, Jawa Timur 62391"
"Ninja Collection","Toko Pakaian",NA,NA,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Collection/data=!4m7!3m6!1s0x2e779768f3e7d70f:0x3493b4f3ad410ee6!8m2!3d-6.9000384!4d112.0993549!16s%2Fg%2F11gtftns7g!19sChIJD9fn82iXdy4R5g5BrfO0kzQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Collection/@-6.9000384,112.0993549,17z/data=!3m1!4b1!4m6!3m5!1s0x2e779768f3e7d70f:0x3493b4f3ad410ee6!8m2!3d-6.9000384!4d112.0993549!16s%2Fg%2F11gtftns7g?authuser=0&hl=id&entry=ttu","112.0993549","-6.9000384","Telepon","0815-1593-0898"
"Bescame NTC (Ninja Tuban Club)","Kafe",4,2,"unknown","https://www.google.com/maps/place/Bescame+NTC+%28Ninja+Tuban+Club%29/data=!4m7!3m6!1s0x2e7793d83de1ab87:0xecbba2098485e603!8m2!3d-7.0309862!4d112.1432648!16s%2Fg%2F11gk53xhz0!19sChIJh6vhPdiTdy4RA-aFhAmiu-w?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Bescame+NTC+(Ninja+Tuban+Club)/@-7.0309862,112.1432648,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7793d83de1ab87:0xecbba2098485e603!8m2!3d-7.0309862!4d112.1432648!16s%2Fg%2F11gk53xhz0?authuser=0&hl=id&entry=ttu","112.1432648","-7.0309862","Alamat","X49V+J82, Jl. Raya Plumpang Compreng, Penidon II, Penidon, Kec. Plumpang, Kabupaten Tuban, Jawa Timur 62382"
"Bescame NTC (Ninja Tuban Club)","Kafe",4,2,"unknown","https://www.google.com/maps/place/Bescame+NTC+%28Ninja+Tuban+Club%29/data=!4m7!3m6!1s0x2e7793d83de1ab87:0xecbba2098485e603!8m2!3d-7.0309862!4d112.1432648!16s%2Fg%2F11gk53xhz0!19sChIJh6vhPdiTdy4RA-aFhAmiu-w?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Bescame+NTC+(Ninja+Tuban+Club)/@-7.0309862,112.1432648,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7793d83de1ab87:0xecbba2098485e603!8m2!3d-7.0309862!4d112.1432648!16s%2Fg%2F11gk53xhz0?authuser=0&hl=id&entry=ttu","112.1432648","-7.0309862","Telepon","0896-8777-178"
"KOPGAB DAN HALAL BIHALAL PLAT S NTC (NINJA TUBAN CLUB)","Pusat Hiburan",NA,NA,"Tutup ⋅ Buka Min pukul 00.00","https://www.google.com/maps/place/KOPGAB+DAN+HALAL+BIHALAL+PLAT+S+NTC+%28NINJA+TUBAN+CLUB%29/data=!4m7!3m6!1s0x2e77a3cde9ed6e77:0x783eb571803c4dd!8m2!3d-6.8854445!4d111.9780931!16s%2Fg%2F11q9kfw1sd!19sChIJd27t6c2jdy4R3cQDGFfrgwc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/KOPGAB+DAN+HALAL+BIHALAL+PLAT+S+NTC+(NINJA+TUBAN+CLUB)/@-6.8854445,111.9780931,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77a3cde9ed6e77:0x783eb571803c4dd!8m2!3d-6.8854445!4d111.9780931!16s%2Fg%2F11q9kfw1sd?authuser=0&hl=id&entry=ttu","111.9780931","-6.8854445","Alamat","Juwiri, Tuwiri Wetan, Kec. Merakurak, Kabupaten Tuban, Jawa Timur 62355"
"KOPGAB DAN HALAL BIHALAL PLAT S NTC (NINJA TUBAN CLUB)","Pusat Hiburan",NA,NA,"Tutup ⋅ Buka Min pukul 00.00","https://www.google.com/maps/place/KOPGAB+DAN+HALAL+BIHALAL+PLAT+S+NTC+%28NINJA+TUBAN+CLUB%29/data=!4m7!3m6!1s0x2e77a3cde9ed6e77:0x783eb571803c4dd!8m2!3d-6.8854445!4d111.9780931!16s%2Fg%2F11q9kfw1sd!19sChIJd27t6c2jdy4R3cQDGFfrgwc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/KOPGAB+DAN+HALAL+BIHALAL+PLAT+S+NTC+(NINJA+TUBAN+CLUB)/@-6.8854445,111.9780931,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77a3cde9ed6e77:0x783eb571803c4dd!8m2!3d-6.8854445!4d111.9780931!16s%2Fg%2F11q9kfw1sd?authuser=0&hl=id&entry=ttu","111.9780931","-6.8854445","Plus Codes","4X7H+R6 Tuwiri Wetan, Kabupaten Tuban, Jawa Timur"
