"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Ninja Xpress Kabupaten Wonogiri","Kantor Perusahaan",2.8,16,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress+Kabupaten+Wonogiri/data=!4m7!3m6!1s0x2e7a2faf1e53c145:0xbab103bdfc74c171!8m2!3d-7.8197815!4d110.9233687!16s%2Fg%2F11ftbj17nx!19sChIJRcFTHq8vei4RccF0_L0Dsbo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Kabupaten+Wonogiri/@-7.8197815,110.9233687,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a2faf1e53c145:0xbab103bdfc74c171!8m2!3d-7.8197815!4d110.9233687!16s%2Fg%2F11ftbj17nx?authuser=0&hl=id&entry=ttu","110.9233687","-7.8197815","Alamat","Jl. Ir Sutami No.2, Sukorejo, Giritirto, Kec. Wonogiri, Kabupaten Wonogiri, Jawa Tengah 57611"
"Ninja Xpress Kabupaten Wonogiri","Kantor Perusahaan",2.8,16,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress+Kabupaten+Wonogiri/data=!4m7!3m6!1s0x2e7a2faf1e53c145:0xbab103bdfc74c171!8m2!3d-7.8197815!4d110.9233687!16s%2Fg%2F11ftbj17nx!19sChIJRcFTHq8vei4RccF0_L0Dsbo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Kabupaten+Wonogiri/@-7.8197815,110.9233687,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a2faf1e53c145:0xbab103bdfc74c171!8m2!3d-7.8197815!4d110.9233687!16s%2Fg%2F11ftbj17nx?authuser=0&hl=id&entry=ttu","110.9233687","-7.8197815","Plus Codes","5WJF+38 Giritirto, Kabupaten Wonogiri, Jawa Tengah"
"Mitra Ninja Xpress","Perusahaan Ekspedisi",4,4,"Segera tutup ⋅ 21.00 ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Mitra+Ninja+Xpress/data=!4m7!3m6!1s0x2e7a2fc5455e187f:0x5e2b56d1e5250ad5!8m2!3d-7.8197637!4d110.9241409!16s%2Fg%2F11hfcrqgj0!19sChIJfxheRcUvei4R1Qol5dFWK14?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Mitra+Ninja+Xpress/@-7.8197637,110.9241409,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a2fc5455e187f:0x5e2b56d1e5250ad5!8m2!3d-7.8197637!4d110.9241409!16s%2Fg%2F11hfcrqgj0?authuser=0&hl=id&entry=ttu","110.9241409","-7.8197637","Alamat","Jl. Ir. Sutami II No.6, Kedungringin, Giritirto, Kec. Wonogiri, Kabupaten Wonogiri, Jawa Tengah 57611"
"Mitra Ninja Xpress","Perusahaan Ekspedisi",4,4,"Segera tutup ⋅ 21.00 ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Mitra+Ninja+Xpress/data=!4m7!3m6!1s0x2e7a2fc5455e187f:0x5e2b56d1e5250ad5!8m2!3d-7.8197637!4d110.9241409!16s%2Fg%2F11hfcrqgj0!19sChIJfxheRcUvei4R1Qol5dFWK14?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Mitra+Ninja+Xpress/@-7.8197637,110.9241409,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a2fc5455e187f:0x5e2b56d1e5250ad5!8m2!3d-7.8197637!4d110.9241409!16s%2Fg%2F11hfcrqgj0?authuser=0&hl=id&entry=ttu","110.9241409","-7.8197637","Situs Web","ninjaxpress.co"
"Mitra Ninja Xpress","Perusahaan Ekspedisi",4,4,"Segera tutup ⋅ 21.00 ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Mitra+Ninja+Xpress/data=!4m7!3m6!1s0x2e7a2fc5455e187f:0x5e2b56d1e5250ad5!8m2!3d-7.8197637!4d110.9241409!16s%2Fg%2F11hfcrqgj0!19sChIJfxheRcUvei4R1Qol5dFWK14?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Mitra+Ninja+Xpress/@-7.8197637,110.9241409,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a2fc5455e187f:0x5e2b56d1e5250ad5!8m2!3d-7.8197637!4d110.9241409!16s%2Fg%2F11hfcrqgj0?authuser=0&hl=id&entry=ttu","110.9241409","-7.8197637","Telepon","0857-9569-7495"
"Mitra Ninja Xpress","Perusahaan Ekspedisi",4,4,"Segera tutup ⋅ 21.00 ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Mitra+Ninja+Xpress/data=!4m7!3m6!1s0x2e7a2fc5455e187f:0x5e2b56d1e5250ad5!8m2!3d-7.8197637!4d110.9241409!16s%2Fg%2F11hfcrqgj0!19sChIJfxheRcUvei4R1Qol5dFWK14?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Mitra+Ninja+Xpress/@-7.8197637,110.9241409,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a2fc5455e187f:0x5e2b56d1e5250ad5!8m2!3d-7.8197637!4d110.9241409!16s%2Fg%2F11hfcrqgj0?authuser=0&hl=id&entry=ttu","110.9241409","-7.8197637","Plus Codes","5WJF+3M Giritirto, Kabupaten Wonogiri, Jawa Tengah"
"Ninja Xpress (Mitra Wonogiri @ Kuryo)","Layanan Logistik",NA,NA,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress+%28Mitra+Wonogiri+@+Kuryo%29/data=!4m7!3m6!1s0x2e79875de498c2d3:0xf73da11140493464!8m2!3d-7.7964943!4d111.1358915!16s%2Fg%2F11n6t1zvpf!19sChIJ08KY5F2HeS4RZDRJQBGhPfc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+(Mitra+Wonogiri+@+Kuryo)/@-7.7964943,111.1358915,17z/data=!3m1!4b1!4m6!3m5!1s0x2e79875de498c2d3:0xf73da11140493464!8m2!3d-7.7964943!4d111.1358915!16s%2Fg%2F11n6t1zvpf?authuser=0&hl=id&entry=ttu","111.1358915","-7.7964943","Alamat","Unnamed Road, Kuryo, Jatipurno, Kec. Jatipurno, Kabupaten Wonogiri, Jawa Tengah 57693"
"Ninja Xpress (Mitra Wonogiri @ Kuryo)","Layanan Logistik",NA,NA,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress+%28Mitra+Wonogiri+@+Kuryo%29/data=!4m7!3m6!1s0x2e79875de498c2d3:0xf73da11140493464!8m2!3d-7.7964943!4d111.1358915!16s%2Fg%2F11n6t1zvpf!19sChIJ08KY5F2HeS4RZDRJQBGhPfc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+(Mitra+Wonogiri+@+Kuryo)/@-7.7964943,111.1358915,17z/data=!3m1!4b1!4m6!3m5!1s0x2e79875de498c2d3:0xf73da11140493464!8m2!3d-7.7964943!4d111.1358915!16s%2Fg%2F11n6t1zvpf?authuser=0&hl=id&entry=ttu","111.1358915","-7.7964943","Telepon","0821-3350-8850"
"Ninja Xpress (Mitra Wonogiri @ Kuryo)","Layanan Logistik",NA,NA,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Ninja+Xpress+%28Mitra+Wonogiri+@+Kuryo%29/data=!4m7!3m6!1s0x2e79875de498c2d3:0xf73da11140493464!8m2!3d-7.7964943!4d111.1358915!16s%2Fg%2F11n6t1zvpf!19sChIJ08KY5F2HeS4RZDRJQBGhPfc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+(Mitra+Wonogiri+@+Kuryo)/@-7.7964943,111.1358915,17z/data=!3m1!4b1!4m6!3m5!1s0x2e79875de498c2d3:0xf73da11140493464!8m2!3d-7.7964943!4d111.1358915!16s%2Fg%2F11n6t1zvpf?authuser=0&hl=id&entry=ttu","111.1358915","-7.7964943","Plus Codes","643P+C9 Jatipurno, Kabupaten Wonogiri, Jawa Tengah"
"Ninja Xpress Wonogiri (SOC-WNG)","Gudang",5,3,"Buka 24 jam","https://www.google.com/maps/place/Ninja+Xpress+Wonogiri+%28SOC-WNG%29/data=!4m7!3m6!1s0x2e7a2f853d1f8129:0xa50ae24f1a81383d!8m2!3d-7.8077482!4d110.9235316!16s%2Fg%2F11kjpsjnvq!19sChIJKYEfPYUvei4RPTiBGk_iCqU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Wonogiri+(SOC-WNG)/@-7.8077482,110.9235316,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a2f853d1f8129:0xa50ae24f1a81383d!8m2!3d-7.8077482!4d110.9235316!16s%2Fg%2F11kjpsjnvq?authuser=0&hl=id&entry=ttu","110.9235316","-7.8077482","Alamat","Jl. Jenderal Ahmad Yani No.119, Salak, Giripurwo, Kec. Wonogiri, Kabupaten Wonogiri, Jawa Tengah 57612"
"Ninja Xpress Wonogiri (SOC-WNG)","Gudang",5,3,"Buka 24 jam","https://www.google.com/maps/place/Ninja+Xpress+Wonogiri+%28SOC-WNG%29/data=!4m7!3m6!1s0x2e7a2f853d1f8129:0xa50ae24f1a81383d!8m2!3d-7.8077482!4d110.9235316!16s%2Fg%2F11kjpsjnvq!19sChIJKYEfPYUvei4RPTiBGk_iCqU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Ninja+Xpress+Wonogiri+(SOC-WNG)/@-7.8077482,110.9235316,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a2f853d1f8129:0xa50ae24f1a81383d!8m2!3d-7.8077482!4d110.9235316!16s%2Fg%2F11kjpsjnvq?authuser=0&hl=id&entry=ttu","110.9235316","-7.8077482","Plus Codes","5WRF+WC Giripurwo, Kabupaten Wonogiri, Jawa Tengah"
"NinjaXpress Wonoboyo","Kantor Pos",5,4,"Tutup ⋅ Buka Rab pukul 10.00","https://www.google.com/maps/place/NinjaXpress+Wonoboyo/data=!4m7!3m6!1s0x2e7a2f30141d789f:0x569795f241e64fb7!8m2!3d-7.8127754!4d110.9368797!16s%2Fg%2F11qqk5sz1y!19sChIJn3gdFDAvei4Rt0_mQfKVl1Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NinjaXpress+Wonoboyo/@-7.8127754,110.9368797,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a2f30141d789f:0x569795f241e64fb7!8m2!3d-7.8127754!4d110.9368797!16s%2Fg%2F11qqk5sz1y?authuser=0&hl=id&entry=ttu","110.9368797","-7.8127754","Alamat","Jl. Diponegoro No.71, Pokoh, Wonoboyo, Kec. Wonogiri, Kabupaten Wonogiri, Jawa Tengah 57615"
"NinjaXpress Wonoboyo","Kantor Pos",5,4,"Tutup ⋅ Buka Rab pukul 10.00","https://www.google.com/maps/place/NinjaXpress+Wonoboyo/data=!4m7!3m6!1s0x2e7a2f30141d789f:0x569795f241e64fb7!8m2!3d-7.8127754!4d110.9368797!16s%2Fg%2F11qqk5sz1y!19sChIJn3gdFDAvei4Rt0_mQfKVl1Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NinjaXpress+Wonoboyo/@-7.8127754,110.9368797,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a2f30141d789f:0x569795f241e64fb7!8m2!3d-7.8127754!4d110.9368797!16s%2Fg%2F11qqk5sz1y?authuser=0&hl=id&entry=ttu","110.9368797","-7.8127754","Telepon","0878-2346-3511"
"NinjaXpress Wonoboyo","Kantor Pos",5,4,"Tutup ⋅ Buka Rab pukul 10.00","https://www.google.com/maps/place/NinjaXpress+Wonoboyo/data=!4m7!3m6!1s0x2e7a2f30141d789f:0x569795f241e64fb7!8m2!3d-7.8127754!4d110.9368797!16s%2Fg%2F11qqk5sz1y!19sChIJn3gdFDAvei4Rt0_mQfKVl1Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NinjaXpress+Wonoboyo/@-7.8127754,110.9368797,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a2f30141d789f:0x569795f241e64fb7!8m2!3d-7.8127754!4d110.9368797!16s%2Fg%2F11qqk5sz1y?authuser=0&hl=id&entry=ttu","110.9368797","-7.8127754","Plus Codes","5WPP+VQ Wonoboyo, Kabupaten Wonogiri, Jawa Tengah"
"Drop point ninja exspres","Kantor Perusahaan",NA,NA,"Tutup ⋅ Buka Rab pukul 07.30","https://www.google.com/maps/place/Drop+point+ninja+exspres/data=!4m7!3m6!1s0x2e7987d2ad164beb:0x28e9df42f1094c4e!8m2!3d-7.8339666!4d111.1744969!16s%2Fg%2F11k56fc5gd!19sChIJ60sWrdKHeS4RTkwJ8ULf6Sg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Drop+point+ninja+exspres/@-7.8339666,111.1744969,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7987d2ad164beb:0x28e9df42f1094c4e!8m2!3d-7.8339666!4d111.1744969!16s%2Fg%2F11k56fc5gd?authuser=0&hl=id&entry=ttu","111.1744969","-7.8339666","Alamat","Setren, Pelem, Kec. Slogohimo, Kabupaten Wonogiri, Jawa Tengah"
