"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Lambaro","Kantor Pos",3.7,14,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Lambaro/data=!4m7!3m6!1s0x3040384bcfc11435:0xf7cd34352e718b2!8m2!3d5.5153052!4d95.3562628!16s%2Fg%2F11b5wn9kqp!19sChIJNRTBz0s4QDARshjnUkPTfA8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Lambaro/@5.5153052,95.3562628,17z/data=!3m1!4b1!4m6!3m5!1s0x3040384bcfc11435:0xf7cd34352e718b2!8m2!3d5.5153052!4d95.3562628!16s%2Fg%2F11b5wn9kqp?authuser=0&hl=id&entry=ttu","95.3562628","5.5153052","Alamat","Lambaro, Kec. Ingin Jaya, Kabupaten Aceh Besar, Aceh 23116"
"Kantor Pos Lambaro","Kantor Pos",3.7,14,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Lambaro/data=!4m7!3m6!1s0x3040384bcfc11435:0xf7cd34352e718b2!8m2!3d5.5153052!4d95.3562628!16s%2Fg%2F11b5wn9kqp!19sChIJNRTBz0s4QDARshjnUkPTfA8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Lambaro/@5.5153052,95.3562628,17z/data=!3m1!4b1!4m6!3m5!1s0x3040384bcfc11435:0xf7cd34352e718b2!8m2!3d5.5153052!4d95.3562628!16s%2Fg%2F11b5wn9kqp?authuser=0&hl=id&entry=ttu","95.3562628","5.5153052","Situs Web","posindonesia.co.id"
"Kantor Pos Lambaro","Kantor Pos",3.7,14,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Lambaro/data=!4m7!3m6!1s0x3040384bcfc11435:0xf7cd34352e718b2!8m2!3d5.5153052!4d95.3562628!16s%2Fg%2F11b5wn9kqp!19sChIJNRTBz0s4QDARshjnUkPTfA8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Lambaro/@5.5153052,95.3562628,17z/data=!3m1!4b1!4m6!3m5!1s0x3040384bcfc11435:0xf7cd34352e718b2!8m2!3d5.5153052!4d95.3562628!16s%2Fg%2F11b5wn9kqp?authuser=0&hl=id&entry=ttu","95.3562628","5.5153052","Telepon","(0651) 33985"
"Kantor Pos Lambaro","Kantor Pos",3.7,14,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Lambaro/data=!4m7!3m6!1s0x3040384bcfc11435:0xf7cd34352e718b2!8m2!3d5.5153052!4d95.3562628!16s%2Fg%2F11b5wn9kqp!19sChIJNRTBz0s4QDARshjnUkPTfA8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Lambaro/@5.5153052,95.3562628,17z/data=!3m1!4b1!4m6!3m5!1s0x3040384bcfc11435:0xf7cd34352e718b2!8m2!3d5.5153052!4d95.3562628!16s%2Fg%2F11b5wn9kqp?authuser=0&hl=id&entry=ttu","95.3562628","5.5153052","Plus Codes","G984+4G Lambaro, Kabupaten Aceh Besar, Aceh"
"Kantor pos Indonesia","Pengiriman Makanan",3.3,3,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantor+pos+Indonesia/data=!4m7!3m6!1s0x30404ff032e7aa91:0x373f4c14aded544d!8m2!3d5.5898806!4d95.5129068!16s%2Fg%2F11h6113kw9!19sChIJkarnMvBPQDARTVTtrRRMPzc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+pos+Indonesia/@5.5898806,95.5129068,17z/data=!3m1!4b1!4m6!3m5!1s0x30404ff032e7aa91:0x373f4c14aded544d!8m2!3d5.5898806!4d95.5129068!16s%2Fg%2F11h6113kw9?authuser=0&hl=id&entry=ttu","95.5129068","5.5898806","Alamat","HGQ7+X53, Jl. Laksamana Malahayati, Meunasah Kulam, Kec. Mesjid Raya, Kabupaten Aceh Besar, Aceh 23371"
"Kantor pos Indonesia","Pengiriman Makanan",3.3,3,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantor+pos+Indonesia/data=!4m7!3m6!1s0x30404ff032e7aa91:0x373f4c14aded544d!8m2!3d5.5898806!4d95.5129068!16s%2Fg%2F11h6113kw9!19sChIJkarnMvBPQDARTVTtrRRMPzc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+pos+Indonesia/@5.5898806,95.5129068,17z/data=!3m1!4b1!4m6!3m5!1s0x30404ff032e7aa91:0x373f4c14aded544d!8m2!3d5.5898806!4d95.5129068!16s%2Fg%2F11h6113kw9?authuser=0&hl=id&entry=ttu","95.5129068","5.5898806","Situs Web","posindonesia.co.id"
"Kantor pos Indonesia","Pengiriman Makanan",3.3,3,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantor+pos+Indonesia/data=!4m7!3m6!1s0x30404ff032e7aa91:0x373f4c14aded544d!8m2!3d5.5898806!4d95.5129068!16s%2Fg%2F11h6113kw9!19sChIJkarnMvBPQDARTVTtrRRMPzc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+pos+Indonesia/@5.5898806,95.5129068,17z/data=!3m1!4b1!4m6!3m5!1s0x30404ff032e7aa91:0x373f4c14aded544d!8m2!3d5.5898806!4d95.5129068!16s%2Fg%2F11h6113kw9?authuser=0&hl=id&entry=ttu","95.5129068","5.5898806","Telepon","(0651) 33985"
"Kantor Pos Krueng Raya","Kantor Pos",2.4,8,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Krueng+Raya/data=!4m7!3m6!1s0x30403656dd4aec37:0x7a6f2204f86eb09!8m2!3d5.5931523!4d95.3672316!16s%2Fg%2F11b5wmfzcm!19sChIJN-xK3VY2QDARCeuGTyDypgc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Krueng+Raya/@5.5931523,95.3672316,17z/data=!3m1!4b1!4m6!3m5!1s0x30403656dd4aec37:0x7a6f2204f86eb09!8m2!3d5.5931523!4d95.3672316!16s%2Fg%2F11b5wmfzcm?authuser=0&hl=id&entry=ttu","95.3672316","5.5931523","Alamat","Cadek, Kec. Mesjid Raya, Kabupaten Aceh Besar, Aceh"
"Kantor Pos Krueng Raya","Kantor Pos",2.4,8,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Krueng+Raya/data=!4m7!3m6!1s0x30403656dd4aec37:0x7a6f2204f86eb09!8m2!3d5.5931523!4d95.3672316!16s%2Fg%2F11b5wmfzcm!19sChIJN-xK3VY2QDARCeuGTyDypgc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Krueng+Raya/@5.5931523,95.3672316,17z/data=!3m1!4b1!4m6!3m5!1s0x30403656dd4aec37:0x7a6f2204f86eb09!8m2!3d5.5931523!4d95.3672316!16s%2Fg%2F11b5wmfzcm?authuser=0&hl=id&entry=ttu","95.3672316","5.5931523","Situs Web","posindonesia.co.id"
"Kantor Pos Krueng Raya","Kantor Pos",2.4,8,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Krueng+Raya/data=!4m7!3m6!1s0x30403656dd4aec37:0x7a6f2204f86eb09!8m2!3d5.5931523!4d95.3672316!16s%2Fg%2F11b5wmfzcm!19sChIJN-xK3VY2QDARCeuGTyDypgc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Krueng+Raya/@5.5931523,95.3672316,17z/data=!3m1!4b1!4m6!3m5!1s0x30403656dd4aec37:0x7a6f2204f86eb09!8m2!3d5.5931523!4d95.3672316!16s%2Fg%2F11b5wmfzcm?authuser=0&hl=id&entry=ttu","95.3672316","5.5931523","Telepon","(0651) 33985"
