"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantorpos Pulau Seribu","Kantor Pos",4.6,11,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantorpos+Pulau+Seribu/data=!4m7!3m6!1s0x2e6a762c4555553d:0xe33e225a92872e4b!8m2!3d-5.7450921!4d106.6131179!16s%2Fg%2F1q6n2t0dj!19sChIJPVVVRSx2ai4RSy6HkloiPuM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Pulau+Seribu/@-5.7450921,106.6131179,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a762c4555553d:0xe33e225a92872e4b!8m2!3d-5.7450921!4d106.6131179!16s%2Fg%2F1q6n2t0dj?authuser=0&hl=id&entry=ttu","106.6131179","-5.7450921","Alamat","Pulau Pramuka, Pulau Panggang, Jakarta Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14530"
"Kantorpos Pulau Seribu","Kantor Pos",4.6,11,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantorpos+Pulau+Seribu/data=!4m7!3m6!1s0x2e6a762c4555553d:0xe33e225a92872e4b!8m2!3d-5.7450921!4d106.6131179!16s%2Fg%2F1q6n2t0dj!19sChIJPVVVRSx2ai4RSy6HkloiPuM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Pulau+Seribu/@-5.7450921,106.6131179,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a762c4555553d:0xe33e225a92872e4b!8m2!3d-5.7450921!4d106.6131179!16s%2Fg%2F1q6n2t0dj?authuser=0&hl=id&entry=ttu","106.6131179","-5.7450921","Situs Web","posindonesia.co.id"
"Kantorpos Pulau Seribu","Kantor Pos",4.6,11,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantorpos+Pulau+Seribu/data=!4m7!3m6!1s0x2e6a762c4555553d:0xe33e225a92872e4b!8m2!3d-5.7450921!4d106.6131179!16s%2Fg%2F1q6n2t0dj!19sChIJPVVVRSx2ai4RSy6HkloiPuM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Pulau+Seribu/@-5.7450921,106.6131179,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a762c4555553d:0xe33e225a92872e4b!8m2!3d-5.7450921!4d106.6131179!16s%2Fg%2F1q6n2t0dj?authuser=0&hl=id&entry=ttu","106.6131179","-5.7450921","Telepon","(021) 4355305"
"Kantorpos Pulau Seribu","Kantor Pos",4.6,11,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantorpos+Pulau+Seribu/data=!4m7!3m6!1s0x2e6a762c4555553d:0xe33e225a92872e4b!8m2!3d-5.7450921!4d106.6131179!16s%2Fg%2F1q6n2t0dj!19sChIJPVVVRSx2ai4RSy6HkloiPuM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Pulau+Seribu/@-5.7450921,106.6131179,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a762c4555553d:0xe33e225a92872e4b!8m2!3d-5.7450921!4d106.6131179!16s%2Fg%2F1q6n2t0dj?authuser=0&hl=id&entry=ttu","106.6131179","-5.7450921","Plus Codes","7J37+X6 Pulau Panggang, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta"
"Pos Angkatan Laut Pulau Karya","Kantor Pemerintah",5,1,"unknown","https://www.google.com/maps/place/Pos+Angkatan+Laut+Pulau+Karya/data=!4m7!3m6!1s0x2e6a769e1df07cc1:0xd49b1e4ca58beea2!8m2!3d-5.7355374!4d106.600716!16s%2Fg%2F11c44wxhyp!19sChIJwXzwHZ52ai4Rou6LpUwem9Q?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Angkatan+Laut+Pulau+Karya/@-5.7355374,106.600716,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a769e1df07cc1:0xd49b1e4ca58beea2!8m2!3d-5.7355374!4d106.600716!16s%2Fg%2F11c44wxhyp?authuser=0&hl=id&entry=ttu","106.600716","-5.7355374","Alamat","7J72+Q7P Pulau Karya, Pulau Panggang, Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14530"
"POS RW/PTSP","Kantor Pemda",NA,NA,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/POS+RW%2FPTSP/data=!4m7!3m6!1s0x2e402157e0162daf:0x4abe0313f4243723!8m2!3d-5.2048945!4d106.4604647!16s%2Fg%2F11q94l4gh9!19sChIJry0W4FchQC4RIzck9BMDvko?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/POS+RW%2FPTSP/@-5.2048945,106.4604647,17z/data=!3m1!4b1!4m6!3m5!1s0x2e402157e0162daf:0x4abe0313f4243723!8m2!3d-5.2048945!4d106.4604647!16s%2Fg%2F11q94l4gh9?authuser=0&hl=id&entry=ttu","106.4604647","-5.2048945","Alamat","QFW6+25W, Pulau Sabira, Pulau Harapan, Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14540"
"Pos Pemadam Pulau Pari","Kantor Pos",5,2,"unknown","https://www.google.com/maps/place/Pos+Pemadam+Pulau+Pari/data=!4m7!3m6!1s0x2e6a0bb569634e39:0xcce44fbba4322e5b!8m2!3d-5.8585581!4d106.619176!16s%2Fg%2F11qng3q7rq!19sChIJOU5jabULai4RWy4ypLtP5Mw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Pemadam+Pulau+Pari/@-5.8585581,106.619176,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a0bb569634e39:0xcce44fbba4322e5b!8m2!3d-5.8585581!4d106.619176!16s%2Fg%2F11qng3q7rq?authuser=0&hl=id&entry=ttu","106.619176","-5.8585581","Alamat","4JR9+HMF, Jl. Pendidikan, Pulau Pari, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14520"
"Pos Pemadam pulau karya","Stasiun pemadam kebakaran",5,2,"Buka 24 jam","https://www.google.com/maps/place/Pos+Pemadam+pulau+karya/data=!4m7!3m6!1s0x2e6a7420a6734151:0x3b929570c9670667!8m2!3d-5.7360527!4d106.6006003!16s%2Fg%2F11cnd604m5!19sChIJUUFzpiB0ai4RZwZnyXCVkjs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Pemadam+pulau+karya/@-5.7360527,106.6006003,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a7420a6734151:0x3b929570c9670667!8m2!3d-5.7360527!4d106.6006003!16s%2Fg%2F11cnd604m5?authuser=0&hl=id&entry=ttu","106.6006003","-5.7360527","Alamat","Pulau Karya No.Kelurahan, Pulau Panggang, Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14530"
"Pos Pemadam pulau karya","Stasiun pemadam kebakaran",5,2,"Buka 24 jam","https://www.google.com/maps/place/Pos+Pemadam+pulau+karya/data=!4m7!3m6!1s0x2e6a7420a6734151:0x3b929570c9670667!8m2!3d-5.7360527!4d106.6006003!16s%2Fg%2F11cnd604m5!19sChIJUUFzpiB0ai4RZwZnyXCVkjs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Pemadam+pulau+karya/@-5.7360527,106.6006003,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a7420a6734151:0x3b929570c9670667!8m2!3d-5.7360527!4d106.6006003!16s%2Fg%2F11cnd604m5?authuser=0&hl=id&entry=ttu","106.6006003","-5.7360527","Plus Codes","7J72+H6 Pulau Panggang, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta"
"POS PEMADAM KEBAKARAN","Kantor Pemerintah",NA,NA,"unknown","https://www.google.com/maps/place/POS+PEMADAM+KEBAKARAN/data=!4m7!3m6!1s0x2e6a05dffbd75c4d:0x49572637f4c26f2a!8m2!3d-5.9788133!4d106.7062803!16s%2Fg%2F11t2_wdn6h!19sChIJTVzX-98Fai4RKm_C9DcmV0k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/POS+PEMADAM+KEBAKARAN/@-5.9788133,106.7062803,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a05dffbd75c4d:0x49572637f4c26f2a!8m2!3d-5.9788133!4d106.7062803!16s%2Fg%2F11t2_wdn6h?authuser=0&hl=id&entry=ttu","106.7062803","-5.9788133","Alamat","2PC4+GH7, Pulau Untung Jawa, Kec. Kepulauan Seribu Sel., Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14510"
