"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Simpang Empat Asahan","Kantor Pos",3.7,12,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Simpang+Empat+Asahan/data=!4m7!3m6!1s0x303250245336e0e5:0x1894418735db9c7b!8m2!3d2.9200258!4d99.7171812!16s%2Fg%2F1q6b2903q!19sChIJ5eA2UyRQMjARe5zbNYdBlBg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Simpang+Empat+Asahan/@2.9200258,99.7171812,17z/data=!3m1!4b1!4m6!3m5!1s0x303250245336e0e5:0x1894418735db9c7b!8m2!3d2.9200258!4d99.7171812!16s%2Fg%2F1q6b2903q?authuser=0&hl=id&entry=ttu","99.7171812","2.9200258","Alamat","Sipaku Area, Kec. Simpang Empat, Kabupaten Asahan, Sumatera Utara 21271"
"Kantor Pos Simpang Empat Asahan","Kantor Pos",3.7,12,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Simpang+Empat+Asahan/data=!4m7!3m6!1s0x303250245336e0e5:0x1894418735db9c7b!8m2!3d2.9200258!4d99.7171812!16s%2Fg%2F1q6b2903q!19sChIJ5eA2UyRQMjARe5zbNYdBlBg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Simpang+Empat+Asahan/@2.9200258,99.7171812,17z/data=!3m1!4b1!4m6!3m5!1s0x303250245336e0e5:0x1894418735db9c7b!8m2!3d2.9200258!4d99.7171812!16s%2Fg%2F1q6b2903q?authuser=0&hl=id&entry=ttu","99.7171812","2.9200258","Situs Web","posindonesia.co.id"
"Kantor Pos Simpang Empat Asahan","Kantor Pos",3.7,12,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Simpang+Empat+Asahan/data=!4m7!3m6!1s0x303250245336e0e5:0x1894418735db9c7b!8m2!3d2.9200258!4d99.7171812!16s%2Fg%2F1q6b2903q!19sChIJ5eA2UyRQMjARe5zbNYdBlBg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Simpang+Empat+Asahan/@2.9200258,99.7171812,17z/data=!3m1!4b1!4m6!3m5!1s0x303250245336e0e5:0x1894418735db9c7b!8m2!3d2.9200258!4d99.7171812!16s%2Fg%2F1q6b2903q?authuser=0&hl=id&entry=ttu","99.7171812","2.9200258","Telepon","0852-7599-1666"
"Kantor Pos Simpang Empat Asahan","Kantor Pos",3.7,12,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Simpang+Empat+Asahan/data=!4m7!3m6!1s0x303250245336e0e5:0x1894418735db9c7b!8m2!3d2.9200258!4d99.7171812!16s%2Fg%2F1q6b2903q!19sChIJ5eA2UyRQMjARe5zbNYdBlBg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Simpang+Empat+Asahan/@2.9200258,99.7171812,17z/data=!3m1!4b1!4m6!3m5!1s0x303250245336e0e5:0x1894418735db9c7b!8m2!3d2.9200258!4d99.7171812!16s%2Fg%2F1q6b2903q?authuser=0&hl=id&entry=ttu","99.7171812","2.9200258","Plus Codes","WPC8+2V Sipaku Area, Kabupaten Asahan, Sumatera Utara"
"Kantor Pos Kisaran","Kantor Pos",4.4,54,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Kantor+Pos+Kisaran/data=!4m7!3m6!1s0x30324bf9cccac593:0x90ea9f8422ffabed!8m2!3d2.9840038!4d99.6313032!16s%2Fg%2F11b70fm3k7!19sChIJk8XKzPlLMjAR7av_IoSf6pA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Kisaran/@2.9840038,99.6313032,17z/data=!3m1!4b1!4m6!3m5!1s0x30324bf9cccac593:0x90ea9f8422ffabed!8m2!3d2.9840038!4d99.6313032!16s%2Fg%2F11b70fm3k7?authuser=0&hl=id&entry=ttu","99.6313032","2.9840038","Alamat","Kisarn Tim., Kec. Kota Kisaran Timur, Kabupaten Asahan, Sumatera Utara 21221"
"Kantor Pos Kisaran","Kantor Pos",4.4,54,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Kantor+Pos+Kisaran/data=!4m7!3m6!1s0x30324bf9cccac593:0x90ea9f8422ffabed!8m2!3d2.9840038!4d99.6313032!16s%2Fg%2F11b70fm3k7!19sChIJk8XKzPlLMjAR7av_IoSf6pA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Kisaran/@2.9840038,99.6313032,17z/data=!3m1!4b1!4m6!3m5!1s0x30324bf9cccac593:0x90ea9f8422ffabed!8m2!3d2.9840038!4d99.6313032!16s%2Fg%2F11b70fm3k7?authuser=0&hl=id&entry=ttu","99.6313032","2.9840038","Situs Web","posindonesia.co.id"
"Kantor Pos Kisaran","Kantor Pos",4.4,54,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Kantor+Pos+Kisaran/data=!4m7!3m6!1s0x30324bf9cccac593:0x90ea9f8422ffabed!8m2!3d2.9840038!4d99.6313032!16s%2Fg%2F11b70fm3k7!19sChIJk8XKzPlLMjAR7av_IoSf6pA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Kisaran/@2.9840038,99.6313032,17z/data=!3m1!4b1!4m6!3m5!1s0x30324bf9cccac593:0x90ea9f8422ffabed!8m2!3d2.9840038!4d99.6313032!16s%2Fg%2F11b70fm3k7?authuser=0&hl=id&entry=ttu","99.6313032","2.9840038","Telepon","(0623) 41895"
"Kantor Pos Kisaran","Kantor Pos",4.4,54,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Kantor+Pos+Kisaran/data=!4m7!3m6!1s0x30324bf9cccac593:0x90ea9f8422ffabed!8m2!3d2.9840038!4d99.6313032!16s%2Fg%2F11b70fm3k7!19sChIJk8XKzPlLMjAR7av_IoSf6pA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Kisaran/@2.9840038,99.6313032,17z/data=!3m1!4b1!4m6!3m5!1s0x30324bf9cccac593:0x90ea9f8422ffabed!8m2!3d2.9840038!4d99.6313032!16s%2Fg%2F11b70fm3k7?authuser=0&hl=id&entry=ttu","99.6313032","2.9840038","Plus Codes","XJMJ+JG Kisarn Tim., Kabupaten Asahan, Sumatera Utara"
"Kantorpos Bandarpulau 21274","Kantor Pos",4.5,4,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantorpos+Bandarpulau+21274/data=!4m7!3m6!1s0x3032149f0000000d:0xd9c1082495879105!8m2!3d2.6652174!4d99.5142027!16s%2Fg%2F11b5w87_qj!19sChIJDQAAAJ8UMjARBZGHlSQIwdk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Bandarpulau+21274/@2.6652174,99.5142027,17z/data=!3m1!4b1!4m6!3m5!1s0x3032149f0000000d:0xd9c1082495879105!8m2!3d2.6652174!4d99.5142027!16s%2Fg%2F11b5w87_qj?authuser=0&hl=id&entry=ttu","99.5142027","2.6652174","Alamat","Aek Songsongan, Kec. Aek Songsongan, Kabupaten Asahan, Sumatera Utara 21274"
"Kantorpos Bandarpulau 21274","Kantor Pos",4.5,4,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantorpos+Bandarpulau+21274/data=!4m7!3m6!1s0x3032149f0000000d:0xd9c1082495879105!8m2!3d2.6652174!4d99.5142027!16s%2Fg%2F11b5w87_qj!19sChIJDQAAAJ8UMjARBZGHlSQIwdk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Bandarpulau+21274/@2.6652174,99.5142027,17z/data=!3m1!4b1!4m6!3m5!1s0x3032149f0000000d:0xd9c1082495879105!8m2!3d2.6652174!4d99.5142027!16s%2Fg%2F11b5w87_qj?authuser=0&hl=id&entry=ttu","99.5142027","2.6652174","Situs Web","posindonesia.co.id"
