"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Pos Monyet","Pos Pertolongan Pertama",1,1,"unknown","https://www.google.com/maps/place/Pos+Monyet/data=!4m7!3m6!1s0x2d8393aeb59f3dd7:0x426f587deb1f46a3!8m2!3d-1.3076625!4d123.3106505!16s%2Fg%2F11f3dj1g12!19sChIJ1z2fta6Tgy0Ro0Yf631Yb0I?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Monyet/@-1.3076625,123.3106505,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8393aeb59f3dd7:0x426f587deb1f46a3!8m2!3d-1.3076625!4d123.3106505!16s%2Fg%2F11f3dj1g12?authuser=0&hl=id&entry=ttu","123.3106505","-1.3076625","Alamat","M8R6+W7J, Unnamed Road, Kautu, Tinangkung, Kabupaten Banggai Kepulauan, Sulawesi Tengah 94885"
"Pos Kesehatan Desa Ombuli","Pos layanan mandiri kesehatan",NA,NA,"unknown","https://www.google.com/maps/place/Pos+Kesehatan+Desa+Ombuli/data=!4m7!3m6!1s0x2d8409236681d747:0x33b2a225f0856c59!8m2!3d-1.1943219!4d123.007293!16s%2Fg%2F11jq25ffqv!19sChIJR9eBZiMJhC0RWWyF8CWisjM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Kesehatan+Desa+Ombuli/@-1.1943219,123.007293,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8409236681d747:0x33b2a225f0856c59!8m2!3d-1.1943219!4d123.007293!16s%2Fg%2F11jq25ffqv?authuser=0&hl=id&entry=ttu","123.007293","-1.1943219","Alamat","R244+7WF, Ombuli, Kec. Bulagi Utara, Kabupaten Banggai Kepulauan, Sulawesi Tengah"
"Gedung Pos Terpadu","Balai masyarakat",5,1,"unknown","https://www.google.com/maps/place/Gedung+Pos+Terpadu/data=!4m7!3m6!1s0x2d84a16f9e67d649:0x3727bbfcf0aad2f!8m2!3d-1.854986!4d123.0601995!16s%2Fg%2F11ts91n3wx!19sChIJSdZnnm-hhC0RL60Kz797cgM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gedung+Pos+Terpadu/@-1.854986,123.0601995,17z/data=!3m1!4b1!4m6!3m5!1s0x2d84a16f9e67d649:0x3727bbfcf0aad2f!8m2!3d-1.854986!4d123.0601995!16s%2Fg%2F11ts91n3wx?authuser=0&hl=id&entry=ttu","123.0601995","-1.854986","Alamat","43W6+43, Mbeleang, Bangkurung, Kabupaten Banggai Kepulauan, Sulawesi Tengah"
"Poskesdes Mandiri Desa Bolubung","Pos layanan mandiri kesehatan",NA,NA,"unknown","https://www.google.com/maps/place/Poskesdes+Mandiri+Desa+Bolubung/data=!4m7!3m6!1s0x2d83f32f07b821df:0xde8ab5c10128aa63!8m2!3d-1.2120602!4d123.2245455!16s%2Fg%2F11k7zpxbjh!19sChIJ3yG4By_zgy0RY6ooAcG1it4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Poskesdes+Mandiri+Desa+Bolubung/@-1.2120602,123.2245455,17z/data=!3m1!4b1!4m6!3m5!1s0x2d83f32f07b821df:0xde8ab5c10128aa63!8m2!3d-1.2120602!4d123.2245455!16s%2Fg%2F11k7zpxbjh?authuser=0&hl=id&entry=ttu","123.2245455","-1.2120602","Alamat","Q6QF+5RF, Bolubung, Kec. Bulagi Utara, Kabupaten Banggai Kepulauan, Sulawesi Tengah"
"Kantor Samsat (Kantor Bersama) Pos Salakan","Kantor Pemerintahan Wilayah",3.8,4,"Buka ⋅ Tutup pukul 13.30","https://www.google.com/maps/place/Kantor+Samsat+%28Kantor+Bersama%29+Pos+Salakan/data=!4m7!3m6!1s0x2d839341759f276f:0xe1fd4957ceceb071!8m2!3d-1.317802!4d123.2908766!16s%2Fg%2F11h5vcjtt1!19sChIJbyefdUGTgy0RcbDOzldJ_eE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Samsat+(Kantor+Bersama)+Pos+Salakan/@-1.317802,123.2908766,17z/data=!3m1!4b1!4m6!3m5!1s0x2d839341759f276f:0xe1fd4957ceceb071!8m2!3d-1.317802!4d123.2908766!16s%2Fg%2F11h5vcjtt1?authuser=0&hl=id&entry=ttu","123.2908766","-1.317802","Alamat","M7JR+V9C, Jalan Bhayangkara jalur II, Baka, Tinangkung, Kabupaten Banggai Kepulauan, Sulawesi Tengah 94885"
"POSKESDES LAMPA","Pos layanan mandiri kesehatan",NA,NA,"unknown","https://www.google.com/maps/place/POSKESDES+LAMPA/data=!4m7!3m6!1s0x2d830db70acab4a9:0x70973a3c9e81b6ed!8m2!3d-1.6089748!4d123.4953937!16s%2Fg%2F11lsfrqlkn!19sChIJqbTKCrcNgy0R7baBnjw6l3A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/POSKESDES+LAMPA/@-1.6089748,123.4953937,17z/data=!3m1!4b1!4m6!3m5!1s0x2d830db70acab4a9:0x70973a3c9e81b6ed!8m2!3d-1.6089748!4d123.4953937!16s%2Fg%2F11lsfrqlkn?authuser=0&hl=id&entry=ttu","123.4953937","-1.6089748","Alamat","9FRW+C56, Lampa, Kec. Banggai, Kabupaten Banggai Kepulauan, Sulawesi Tengah 94891"
"Poskesdes Liputalas","Pos layanan mandiri kesehatan",NA,NA,"Buka ⋅ Tutup pukul 02.00","https://www.google.com/maps/place/Poskesdes+Liputalas/data=!4m7!3m6!1s0x2d8369f13441c2f5:0x2c67ba929f5f074d!8m2!3d-1.7805727!4d123.309328!16s%2Fg%2F11tfv_6mq4!19sChIJ9cJBNPFpgy0RTQdfn5K6Zyw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Poskesdes+Liputalas/@-1.7805727,123.309328,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8369f13441c2f5:0x2c67ba929f5f074d!8m2!3d-1.7805727!4d123.309328!16s%2Fg%2F11tfv_6mq4?authuser=0&hl=id&entry=ttu","123.309328","-1.7805727","Alamat","6895+QPG, Liputalas, Labobo, Kabupaten Banggai Kepulauan, Sulawesi Tengah"
"Poskesdes Liputalas","Pos layanan mandiri kesehatan",NA,NA,"Buka ⋅ Tutup pukul 02.00","https://www.google.com/maps/place/Poskesdes+Liputalas/data=!4m7!3m6!1s0x2d8369f13441c2f5:0x2c67ba929f5f074d!8m2!3d-1.7805727!4d123.309328!16s%2Fg%2F11tfv_6mq4!19sChIJ9cJBNPFpgy0RTQdfn5K6Zyw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Poskesdes+Liputalas/@-1.7805727,123.309328,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8369f13441c2f5:0x2c67ba929f5f074d!8m2!3d-1.7805727!4d123.309328!16s%2Fg%2F11tfv_6mq4?authuser=0&hl=id&entry=ttu","123.309328","-1.7805727","Telepon","0822-5904-9426"
"POS Kesehatan Desa Peling seasa","Balai masyarakat",NA,NA,"unknown","https://www.google.com/maps/place/POS+Kesehatan+Desa+Peling+seasa/data=!4m7!3m6!1s0x2d838b342a94b6b9:0x246c5e85e335de36!8m2!3d-1.2850435!4d123.1247459!16s%2Fg%2F11t_w4168c!19sChIJubaUKjSLgy0RNt4144VebCQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/POS+Kesehatan+Desa+Peling+seasa/@-1.2850435,123.1247459,17z/data=!3m1!4b1!4m6!3m5!1s0x2d838b342a94b6b9:0x246c5e85e335de36!8m2!3d-1.2850435!4d123.1247459!16s%2Fg%2F11t_w4168c?authuser=0&hl=id&entry=ttu","123.1247459","-1.2850435","Alamat","P47F+XVQ, Peling Seasa, Bulagi, Kabupaten Banggai Kepulauan, Sulawesi Tengah"
"Poskesdes Desa Timbong","Pos layanan mandiri kesehatan",NA,NA,"unknown","https://www.google.com/maps/place/Poskesdes+Desa+Timbong/data=!4m7!3m6!1s0x2d830d9fa7dc1035:0xf6677a59caa477d!8m2!3d-1.6302107!4d123.5070733!16s%2Fg%2F11nn0zy9pl!19sChIJNRDcp58Ngy0RfUeqnKV3Zg8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Poskesdes+Desa+Timbong/@-1.6302107,123.5070733,17z/data=!3m1!4b1!4m6!3m5!1s0x2d830d9fa7dc1035:0xf6677a59caa477d!8m2!3d-1.6302107!4d123.5070733!16s%2Fg%2F11nn0zy9pl?authuser=0&hl=id&entry=ttu","123.5070733","-1.6302107","Alamat","9G94+WR8, Timbong, Kec. Banggai Tengah, Kabupaten Banggai Kepulauan, Sulawesi Tengah 94891"
