"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Regional X Makassar","Kantor Pos",3.8,111,"Tutup ⋅ Buka pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Regional+X+Makassar/data=!4m7!3m6!1s0x2dbee298ffffffdb:0x436520a5830a5833!8m2!3d-5.1642745!4d119.4348065!16s%2Fg%2F12hr4x404!19sChIJ2____5jivi0RM1gKg6UgZUM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Regional+X+Makassar/@-5.1642745,119.4348065,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee298ffffffdb:0x436520a5830a5833!8m2!3d-5.1642745!4d119.4348065!16s%2Fg%2F12hr4x404?authuser=0&hl=id&entry=ttu","119.4348065","-5.1642745","Alamat","Jl. A. P. Pettarani, Banta-Bantaeng, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90222"
"Kantor Pos Regional X Makassar","Kantor Pos",3.8,111,"Tutup ⋅ Buka pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Regional+X+Makassar/data=!4m7!3m6!1s0x2dbee298ffffffdb:0x436520a5830a5833!8m2!3d-5.1642745!4d119.4348065!16s%2Fg%2F12hr4x404!19sChIJ2____5jivi0RM1gKg6UgZUM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Regional+X+Makassar/@-5.1642745,119.4348065,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee298ffffffdb:0x436520a5830a5833!8m2!3d-5.1642745!4d119.4348065!16s%2Fg%2F12hr4x404?authuser=0&hl=id&entry=ttu","119.4348065","-5.1642745","Situs Web","posindonesia.co.id"
"Kantor Pos Regional X Makassar","Kantor Pos",3.8,111,"Tutup ⋅ Buka pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Regional+X+Makassar/data=!4m7!3m6!1s0x2dbee298ffffffdb:0x436520a5830a5833!8m2!3d-5.1642745!4d119.4348065!16s%2Fg%2F12hr4x404!19sChIJ2____5jivi0RM1gKg6UgZUM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Regional+X+Makassar/@-5.1642745,119.4348065,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee298ffffffdb:0x436520a5830a5833!8m2!3d-5.1642745!4d119.4348065!16s%2Fg%2F12hr4x404?authuser=0&hl=id&entry=ttu","119.4348065","-5.1642745","Telepon","(0411) 852075"
"Kantor Pos Regional X Makassar","Kantor Pos",3.8,111,"Tutup ⋅ Buka pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Regional+X+Makassar/data=!4m7!3m6!1s0x2dbee298ffffffdb:0x436520a5830a5833!8m2!3d-5.1642745!4d119.4348065!16s%2Fg%2F12hr4x404!19sChIJ2____5jivi0RM1gKg6UgZUM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Regional+X+Makassar/@-5.1642745,119.4348065,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee298ffffffdb:0x436520a5830a5833!8m2!3d-5.1642745!4d119.4348065!16s%2Fg%2F12hr4x404?authuser=0&hl=id&entry=ttu","119.4348065","-5.1642745","Plus Codes","RCPM+7W Banta-Bantaeng, Kota Makassar, Sulawesi Selatan"
"Kantor Pos Banjarmasin","Kantor Pos",3,133,"Tutup ⋅ Buka pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Banjarmasin/data=!4m7!3m6!1s0x2de423da35a4bc89:0xd071c793b467644c!8m2!3d-3.3248825!4d114.5912895!16s%2Fg%2F1ptx6t8sn!19sChIJibykNdoj5C0RTGRntJPHcdA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Banjarmasin/@-3.3248825,114.5912895,17z/data=!3m1!4b1!4m6!3m5!1s0x2de423da35a4bc89:0xd071c793b467644c!8m2!3d-3.3248825!4d114.5912895!16s%2Fg%2F1ptx6t8sn?authuser=0&hl=id&entry=ttu","114.5912895","-3.3248825","Alamat","Jl. Lambung Mangkurat No.19, Kertak Baru Ilir, Kec. Banjarmasin Tengah, Kota Banjarmasin, Kalimantan Selatan 70231"
"Kantor Pos Banjarmasin","Kantor Pos",3,133,"Tutup ⋅ Buka pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Banjarmasin/data=!4m7!3m6!1s0x2de423da35a4bc89:0xd071c793b467644c!8m2!3d-3.3248825!4d114.5912895!16s%2Fg%2F1ptx6t8sn!19sChIJibykNdoj5C0RTGRntJPHcdA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Banjarmasin/@-3.3248825,114.5912895,17z/data=!3m1!4b1!4m6!3m5!1s0x2de423da35a4bc89:0xd071c793b467644c!8m2!3d-3.3248825!4d114.5912895!16s%2Fg%2F1ptx6t8sn?authuser=0&hl=id&entry=ttu","114.5912895","-3.3248825","Situs Web","posindonesia.co.id"
"Kantor Pos Banjarmasin","Kantor Pos",3,133,"Tutup ⋅ Buka pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Banjarmasin/data=!4m7!3m6!1s0x2de423da35a4bc89:0xd071c793b467644c!8m2!3d-3.3248825!4d114.5912895!16s%2Fg%2F1ptx6t8sn!19sChIJibykNdoj5C0RTGRntJPHcdA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Banjarmasin/@-3.3248825,114.5912895,17z/data=!3m1!4b1!4m6!3m5!1s0x2de423da35a4bc89:0xd071c793b467644c!8m2!3d-3.3248825!4d114.5912895!16s%2Fg%2F1ptx6t8sn?authuser=0&hl=id&entry=ttu","114.5912895","-3.3248825","Plus Codes","MHGR+2G Kertak Baru Ilir, Kota Banjarmasin, Kalimantan Selatan"
"Kantor Pos Gatot Subroto Banjarmasin","Kantor Pos",3.5,18,"Tutup ⋅ Buka pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Gatot+Subroto+Banjarmasin/data=!4m7!3m6!1s0x2de423ff3cf78a5f:0x9eb4b5881bc50d9e!8m2!3d-3.32011!4d114.6180031!16s%2Fg%2F11b5yhmfzk!19sChIJX4r3PP8j5C0Rng3FG4i1tJ4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Gatot+Subroto+Banjarmasin/@-3.32011,114.6180031,17z/data=!3m1!4b1!4m6!3m5!1s0x2de423ff3cf78a5f:0x9eb4b5881bc50d9e!8m2!3d-3.32011!4d114.6180031!16s%2Fg%2F11b5yhmfzk?authuser=0&hl=id&entry=ttu","114.6180031","-3.32011","Alamat","Jl. Gatot Subroto No.34, Pengambangan, Kec. Banjarmasin Tim., Kota Banjarmasin, Kalimantan Selatan 70239"
"Kantor Pos Gatot Subroto Banjarmasin","Kantor Pos",3.5,18,"Tutup ⋅ Buka pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Gatot+Subroto+Banjarmasin/data=!4m7!3m6!1s0x2de423ff3cf78a5f:0x9eb4b5881bc50d9e!8m2!3d-3.32011!4d114.6180031!16s%2Fg%2F11b5yhmfzk!19sChIJX4r3PP8j5C0Rng3FG4i1tJ4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Gatot+Subroto+Banjarmasin/@-3.32011,114.6180031,17z/data=!3m1!4b1!4m6!3m5!1s0x2de423ff3cf78a5f:0x9eb4b5881bc50d9e!8m2!3d-3.32011!4d114.6180031!16s%2Fg%2F11b5yhmfzk?authuser=0&hl=id&entry=ttu","114.6180031","-3.32011","Situs Web","posindonesia.co.id"
"Kantor Pos Gatot Subroto Banjarmasin","Kantor Pos",3.5,18,"Tutup ⋅ Buka pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Gatot+Subroto+Banjarmasin/data=!4m7!3m6!1s0x2de423ff3cf78a5f:0x9eb4b5881bc50d9e!8m2!3d-3.32011!4d114.6180031!16s%2Fg%2F11b5yhmfzk!19sChIJX4r3PP8j5C0Rng3FG4i1tJ4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Gatot+Subroto+Banjarmasin/@-3.32011,114.6180031,17z/data=!3m1!4b1!4m6!3m5!1s0x2de423ff3cf78a5f:0x9eb4b5881bc50d9e!8m2!3d-3.32011!4d114.6180031!16s%2Fg%2F11b5yhmfzk?authuser=0&hl=id&entry=ttu","114.6180031","-3.32011","Telepon","(0511) 3363745"
