"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"PosAja! Drop Point","Kantor Pos",NA,NA,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/PosAja!+Drop+Point/data=!4m7!3m6!1s0x2dbee3c9c8449e19:0x8c54ab72aff2b55f!8m2!3d-5.1613115!4d119.4264599!16s%2Fg%2F11t8h0fs26!19sChIJGZ5EyMnjvi0RX7Xyr3KrVIw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PosAja!+Drop+Point/@-5.1613115,119.4264599,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee3c9c8449e19:0x8c54ab72aff2b55f!8m2!3d-5.1613115!4d119.4264599!16s%2Fg%2F11t8h0fs26?authuser=0&hl=id&entry=ttu","119.4264599","-5.1613115","Alamat","Jl. Banta Bantaeng No.65, Banta-Bantaeng, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222"
"PosAja! Drop Point","Kantor Pos",NA,NA,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/PosAja!+Drop+Point/data=!4m7!3m6!1s0x2dbee3c9c8449e19:0x8c54ab72aff2b55f!8m2!3d-5.1613115!4d119.4264599!16s%2Fg%2F11t8h0fs26!19sChIJGZ5EyMnjvi0RX7Xyr3KrVIw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PosAja!+Drop+Point/@-5.1613115,119.4264599,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee3c9c8449e19:0x8c54ab72aff2b55f!8m2!3d-5.1613115!4d119.4264599!16s%2Fg%2F11t8h0fs26?authuser=0&hl=id&entry=ttu","119.4264599","-5.1613115","Telepon","0852-4025-7779"
"PosAja! Drop Point","Kantor Pos",NA,NA,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/PosAja!+Drop+Point/data=!4m7!3m6!1s0x2dbee3c9c8449e19:0x8c54ab72aff2b55f!8m2!3d-5.1613115!4d119.4264599!16s%2Fg%2F11t8h0fs26!19sChIJGZ5EyMnjvi0RX7Xyr3KrVIw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PosAja!+Drop+Point/@-5.1613115,119.4264599,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee3c9c8449e19:0x8c54ab72aff2b55f!8m2!3d-5.1613115!4d119.4264599!16s%2Fg%2F11t8h0fs26?authuser=0&hl=id&entry=ttu","119.4264599","-5.1613115","Plus Codes","RCQG+FH Banta-Bantaeng, Kota Makassar, Sulawesi Selatan"
"Agenpos Landak","Kantor Pos",NA,NA,"unknown","https://www.google.com/maps/place/Agenpos+Landak/data=!4m7!3m6!1s0x2dbee3d75d88923b:0xc761f6780597a22a!8m2!3d-5.1643522!4d119.4247543!16s%2Fg%2F11q86dsdpc!19sChIJO5KIXdfjvi0RKqKXBXj2Ycc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Agenpos+Landak/@-5.1643522,119.4247543,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee3d75d88923b:0xc761f6780597a22a!8m2!3d-5.1643522!4d119.4247543!16s%2Fg%2F11q86dsdpc?authuser=0&hl=id&entry=ttu","119.4247543","-5.1643522","Alamat","Jl. Andi Djemma No.68, Banta-Bantaeng, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222"
"Agenpos Landak","Kantor Pos",NA,NA,"unknown","https://www.google.com/maps/place/Agenpos+Landak/data=!4m7!3m6!1s0x2dbee3d75d88923b:0xc761f6780597a22a!8m2!3d-5.1643522!4d119.4247543!16s%2Fg%2F11q86dsdpc!19sChIJO5KIXdfjvi0RKqKXBXj2Ycc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Agenpos+Landak/@-5.1643522,119.4247543,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee3d75d88923b:0xc761f6780597a22a!8m2!3d-5.1643522!4d119.4247543!16s%2Fg%2F11q86dsdpc?authuser=0&hl=id&entry=ttu","119.4247543","-5.1643522","Plus Codes","RCPF+7W Banta-Bantaeng, Kota Makassar, Sulawesi Selatan"
"Pos Security","Pos Perbatasan Negara",NA,NA,"Tutup ⋅ Buka Min pukul 00.00","https://www.google.com/maps/place/Pos+Security/data=!4m7!3m6!1s0x2dbee296f5fc5dcb:0x7cb2edfa88821958!8m2!3d-5.1625024!4d119.4335468!16s%2Fg%2F11fx6xqsx9!19sChIJy1389Zbivi0RWBmCiPrtsnw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Security/@-5.1625024,119.4335468,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee296f5fc5dcb:0x7cb2edfa88821958!8m2!3d-5.1625024!4d119.4335468!16s%2Fg%2F11fx6xqsx9?authuser=0&hl=id&entry=ttu","119.4335468","-5.1625024","Alamat","RCPM+XCV, Jl. RSI. Faisal Raya II, Banta-Bantaeng, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222"
"Pos Security","Pos Perbatasan Negara",NA,NA,"Tutup ⋅ Buka Min pukul 00.00","https://www.google.com/maps/place/Pos+Security/data=!4m7!3m6!1s0x2dbee296f5fc5dcb:0x7cb2edfa88821958!8m2!3d-5.1625024!4d119.4335468!16s%2Fg%2F11fx6xqsx9!19sChIJy1389Zbivi0RWBmCiPrtsnw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Security/@-5.1625024,119.4335468,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee296f5fc5dcb:0x7cb2edfa88821958!8m2!3d-5.1625024!4d119.4335468!16s%2Fg%2F11fx6xqsx9?authuser=0&hl=id&entry=ttu","119.4335468","-5.1625024","Telepon","0853-4884-4601"
"Pos Kamling Faisal","",NA,NA,"unknown","https://www.google.com/maps/place/Pos+Kamling+Faisal/data=!4m7!3m6!1s0x2dbee296b49bb123:0x5efdc98534d33986!8m2!3d-5.1646528!4d119.4342239!16s%2Fg%2F11f3hbk37_!19sChIJI7GbtJbivi0RhjnTNIXJ_V4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Kamling+Faisal/@-5.1646528,119.4342239,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee296b49bb123:0x5efdc98534d33986!8m2!3d-5.1646528!4d119.4342239!16s%2Fg%2F11f3hbk37_?authuser=0&hl=id&entry=ttu","119.4342239","-5.1646528","Alamat","Jl. A. P. Pettarani No.72, Banta-Bantaeng, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222"
"Pos Kamling Faisal","",NA,NA,"unknown","https://www.google.com/maps/place/Pos+Kamling+Faisal/data=!4m7!3m6!1s0x2dbee296b49bb123:0x5efdc98534d33986!8m2!3d-5.1646528!4d119.4342239!16s%2Fg%2F11f3hbk37_!19sChIJI7GbtJbivi0RhjnTNIXJ_V4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Kamling+Faisal/@-5.1646528,119.4342239,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee296b49bb123:0x5efdc98534d33986!8m2!3d-5.1646528!4d119.4342239!16s%2Fg%2F11f3hbk37_?authuser=0&hl=id&entry=ttu","119.4342239","-5.1646528","Plus Codes","RCPM+4M Banta-Bantaeng, Kota Makassar, Sulawesi Selatan"
"Pos Indonesia. PT Persero","Jasa Kurir",4.4,39,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Pos+Indonesia.+PT+Persero/data=!4m7!3m6!1s0x2dbeb2c7f12a5815:0x4b1e1ea04ba8594d!8m2!3d-5.5478583!4d119.9507329!16s%2Fg%2F1pzvcxrld!19sChIJFVgq8ceyvi0RTVmoS6AeHks?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Indonesia.+PT+Persero/@-5.5478583,119.9507329,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbeb2c7f12a5815:0x4b1e1ea04ba8594d!8m2!3d-5.5478583!4d119.9507329!16s%2Fg%2F1pzvcxrld?authuser=0&hl=id&entry=ttu","119.9507329","-5.5478583","Alamat","Jl. Merpati No.4, Pallantikang, Kec. Bantaeng, Kabupaten Bantaeng, Sulawesi Selatan 92411"
