"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantorpos Batang Hari","Kantor Pos",4.1,7,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantorpos+Batang+Hari/data=!4m7!3m6!1s0x2e40be5aaaaaaae7:0x18320865f838cd4b!8m2!3d-5.1407404!4d105.3753387!16s%2Fg%2F1pzs3j6t6!19sChIJ56qqqlq-QC4RS804-GUIMhg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Batang+Hari/@-5.1407404,105.3753387,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40be5aaaaaaae7:0x18320865f838cd4b!8m2!3d-5.1407404!4d105.3753387!16s%2Fg%2F1pzs3j6t6?authuser=0&hl=id&entry=ttu","105.3753387","-5.1407404","Alamat","Jl. Kapten Harun No.42, Banar Joyo, Kec. Batanghari, Kabupaten Lampung Timur, Lampung 34181"
"Kantorpos Batang Hari","Kantor Pos",4.1,7,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantorpos+Batang+Hari/data=!4m7!3m6!1s0x2e40be5aaaaaaae7:0x18320865f838cd4b!8m2!3d-5.1407404!4d105.3753387!16s%2Fg%2F1pzs3j6t6!19sChIJ56qqqlq-QC4RS804-GUIMhg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Batang+Hari/@-5.1407404,105.3753387,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40be5aaaaaaae7:0x18320865f838cd4b!8m2!3d-5.1407404!4d105.3753387!16s%2Fg%2F1pzs3j6t6?authuser=0&hl=id&entry=ttu","105.3753387","-5.1407404","Situs Web","posindonesia.co.id"
"Kantorpos Batang Hari","Kantor Pos",4.1,7,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantorpos+Batang+Hari/data=!4m7!3m6!1s0x2e40be5aaaaaaae7:0x18320865f838cd4b!8m2!3d-5.1407404!4d105.3753387!16s%2Fg%2F1pzs3j6t6!19sChIJ56qqqlq-QC4RS804-GUIMhg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Batang+Hari/@-5.1407404,105.3753387,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40be5aaaaaaae7:0x18320865f838cd4b!8m2!3d-5.1407404!4d105.3753387!16s%2Fg%2F1pzs3j6t6?authuser=0&hl=id&entry=ttu","105.3753387","-5.1407404","Plus Codes","V95G+P4 Banar Joyo, Kabupaten Lampung Timur, Lampung"
"Pos Indonesia (Persero). PT Batanghari","Kantor Pos",3.2,27,"Tutup ⋅ Buka Kam pukul 09.00","https://www.google.com/maps/place/Pos+Indonesia+%28Persero%29.+PT+Batanghari/data=!4m7!3m6!1s0x2e3b73902ba28809:0x8fb9a28c39ddde5!8m2!3d-2.9092886!4d104.7219137!16s%2Fg%2F11b6d41c5b!19sChIJCYiiK5BzOy4R5d2dwyia-wg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Indonesia+(Persero).+PT+Batanghari/@-2.9092886,104.7219137,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3b73902ba28809:0x8fb9a28c39ddde5!8m2!3d-2.9092886!4d104.7219137!16s%2Fg%2F11b6d41c5b?authuser=0&hl=id&entry=ttu","104.7219137","-2.9092886","Alamat","3PRC+7QM, Kebun Bunga, Kec. Sukarami, Kota Palembang, Sumatera Selatan 30961"
"Pos Indonesia (Persero). PT Batanghari","Kantor Pos",3.2,27,"Tutup ⋅ Buka Kam pukul 09.00","https://www.google.com/maps/place/Pos+Indonesia+%28Persero%29.+PT+Batanghari/data=!4m7!3m6!1s0x2e3b73902ba28809:0x8fb9a28c39ddde5!8m2!3d-2.9092886!4d104.7219137!16s%2Fg%2F11b6d41c5b!19sChIJCYiiK5BzOy4R5d2dwyia-wg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Indonesia+(Persero).+PT+Batanghari/@-2.9092886,104.7219137,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3b73902ba28809:0x8fb9a28c39ddde5!8m2!3d-2.9092886!4d104.7219137!16s%2Fg%2F11b6d41c5b?authuser=0&hl=id&entry=ttu","104.7219137","-2.9092886","Situs Web","posindonesia.co.id"
"Kantor Pos Muara Bulian","Kantor Pos",3.6,14,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Muara+Bulian/data=!4m7!3m6!1s0x2e2f769f718a4bb7:0x4ecd30e54c11fb5c!8m2!3d-1.7126032!4d103.2611503!16s%2Fg%2F11b5whzfyp!19sChIJt0uKcZ92Ly4RXPsRTOUwzU4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Muara+Bulian/@-1.7126032,103.2611503,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2f769f718a4bb7:0x4ecd30e54c11fb5c!8m2!3d-1.7126032!4d103.2611503!16s%2Fg%2F11b5whzfyp?authuser=0&hl=id&entry=ttu","103.2611503","-1.7126032","Alamat","Jl. Jenderal Sudirman, Rengas Condong, Kec. Muara Bulian, Kabupaten Batang Hari, Jambi 36613"
"Kantor Pos Muara Bulian","Kantor Pos",3.6,14,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Muara+Bulian/data=!4m7!3m6!1s0x2e2f769f718a4bb7:0x4ecd30e54c11fb5c!8m2!3d-1.7126032!4d103.2611503!16s%2Fg%2F11b5whzfyp!19sChIJt0uKcZ92Ly4RXPsRTOUwzU4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Muara+Bulian/@-1.7126032,103.2611503,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2f769f718a4bb7:0x4ecd30e54c11fb5c!8m2!3d-1.7126032!4d103.2611503!16s%2Fg%2F11b5whzfyp?authuser=0&hl=id&entry=ttu","103.2611503","-1.7126032","Situs Web","posindonesia.co.id"
"Kantor Pos Muara Bulian","Kantor Pos",3.6,14,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Muara+Bulian/data=!4m7!3m6!1s0x2e2f769f718a4bb7:0x4ecd30e54c11fb5c!8m2!3d-1.7126032!4d103.2611503!16s%2Fg%2F11b5whzfyp!19sChIJt0uKcZ92Ly4RXPsRTOUwzU4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Muara+Bulian/@-1.7126032,103.2611503,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2f769f718a4bb7:0x4ecd30e54c11fb5c!8m2!3d-1.7126032!4d103.2611503!16s%2Fg%2F11b5whzfyp?authuser=0&hl=id&entry=ttu","103.2611503","-1.7126032","Telepon","(0741) 22139"
"Kantor Pos Muara Bulian","Kantor Pos",3.6,14,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Muara+Bulian/data=!4m7!3m6!1s0x2e2f769f718a4bb7:0x4ecd30e54c11fb5c!8m2!3d-1.7126032!4d103.2611503!16s%2Fg%2F11b5whzfyp!19sChIJt0uKcZ92Ly4RXPsRTOUwzU4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Muara+Bulian/@-1.7126032,103.2611503,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2f769f718a4bb7:0x4ecd30e54c11fb5c!8m2!3d-1.7126032!4d103.2611503!16s%2Fg%2F11b5whzfyp?authuser=0&hl=id&entry=ttu","103.2611503","-1.7126032","Plus Codes","77P6+XF Rengas Condong, Kabupaten Batang Hari, Jambi"
"Pos Batang Hari","Pos Penjaga Pantai",NA,NA,"unknown","https://www.google.com/maps/place/Pos+Batang+Hari/data=!4m7!3m6!1s0x2e2f6d6bbbfc98b9:0x44033d650da9fbb9!8m2!3d-1.595454!4d103.1820612!16s%2Fg%2F11pv3khy29!19sChIJuZj8u2ttLy4RufupDWU9A0Q?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Batang+Hari/@-1.595454,103.1820612,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2f6d6bbbfc98b9:0x44033d650da9fbb9!8m2!3d-1.595454!4d103.1820612!16s%2Fg%2F11pv3khy29?authuser=0&hl=id&entry=ttu","103.1820612","-1.595454","Alamat","C53J+RR, Bulian Jaya, Kec. Maro Sebo Ilir, Kabupaten Batang Hari, Jambi 36611"
