"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantorpos Bekasi Jati Asih","Kantor Pos",3.2,56,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantorpos+Bekasi+Jati+Asih/data=!4m7!3m6!1s0x2e698d8698c28551:0x1f4c7ca160f522f5!8m2!3d-6.2897523!4d106.9671299!16s%2Fg%2F1pp2txmm7!19sChIJUYXCmIaNaS4R9SL1YKF8TB8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Bekasi+Jati+Asih/@-6.2897523,106.9671299,17z/data=!3m1!4b1!4m6!3m5!1s0x2e698d8698c28551:0x1f4c7ca160f522f5!8m2!3d-6.2897523!4d106.9671299!16s%2Fg%2F1pp2txmm7?authuser=0&hl=id&entry=ttu","106.9671299","-6.2897523","Alamat","Jl. Raya Jatiasih No.2, RT.003/RW.004, Jatirasa, Kec. Jatiasih, Kota Bks, Jawa Barat 17424"
"Kantorpos Bekasi Jati Asih","Kantor Pos",3.2,56,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantorpos+Bekasi+Jati+Asih/data=!4m7!3m6!1s0x2e698d8698c28551:0x1f4c7ca160f522f5!8m2!3d-6.2897523!4d106.9671299!16s%2Fg%2F1pp2txmm7!19sChIJUYXCmIaNaS4R9SL1YKF8TB8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Bekasi+Jati+Asih/@-6.2897523,106.9671299,17z/data=!3m1!4b1!4m6!3m5!1s0x2e698d8698c28551:0x1f4c7ca160f522f5!8m2!3d-6.2897523!4d106.9671299!16s%2Fg%2F1pp2txmm7?authuser=0&hl=id&entry=ttu","106.9671299","-6.2897523","Situs Web","posindonesia.co.id"
"Kantorpos Bekasi Jati Asih","Kantor Pos",3.2,56,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantorpos+Bekasi+Jati+Asih/data=!4m7!3m6!1s0x2e698d8698c28551:0x1f4c7ca160f522f5!8m2!3d-6.2897523!4d106.9671299!16s%2Fg%2F1pp2txmm7!19sChIJUYXCmIaNaS4R9SL1YKF8TB8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Bekasi+Jati+Asih/@-6.2897523,106.9671299,17z/data=!3m1!4b1!4m6!3m5!1s0x2e698d8698c28551:0x1f4c7ca160f522f5!8m2!3d-6.2897523!4d106.9671299!16s%2Fg%2F1pp2txmm7?authuser=0&hl=id&entry=ttu","106.9671299","-6.2897523","Plus Codes","PX68+3V Jatirasa, Kota Bks, Jawa Barat"
"Kantor Pos Bekasi","Kantor Pos",3.7,298,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Kantor+Pos+Bekasi/data=!4m7!3m6!1s0x2e698e80e1f3e0bd:0x1af0557d84f849dc!8m2!3d-6.2497435!4d107.0109351!16s%2Fg%2F1tdqwvh3!19sChIJveDz4YCOaS4R3En4hH1V8Bo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Bekasi/@-6.2497435,107.0109351,17z/data=!3m1!4b1!4m6!3m5!1s0x2e698e80e1f3e0bd:0x1af0557d84f849dc!8m2!3d-6.2497435!4d107.0109351!16s%2Fg%2F1tdqwvh3?authuser=0&hl=id&entry=ttu","107.0109351","-6.2497435","Alamat","Jl. Lap. Serbaguna No.7, RT.002/RW.009, Margahayu, Kec. Bekasi Tim., Kota Bks, Jawa Barat 17113"
"Kantor Pos Bekasi","Kantor Pos",3.7,298,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Kantor+Pos+Bekasi/data=!4m7!3m6!1s0x2e698e80e1f3e0bd:0x1af0557d84f849dc!8m2!3d-6.2497435!4d107.0109351!16s%2Fg%2F1tdqwvh3!19sChIJveDz4YCOaS4R3En4hH1V8Bo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Bekasi/@-6.2497435,107.0109351,17z/data=!3m1!4b1!4m6!3m5!1s0x2e698e80e1f3e0bd:0x1af0557d84f849dc!8m2!3d-6.2497435!4d107.0109351!16s%2Fg%2F1tdqwvh3?authuser=0&hl=id&entry=ttu","107.0109351","-6.2497435","Situs Web","posindonesia.co.id"
"Kantor Pos Bekasi","Kantor Pos",3.7,298,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Kantor+Pos+Bekasi/data=!4m7!3m6!1s0x2e698e80e1f3e0bd:0x1af0557d84f849dc!8m2!3d-6.2497435!4d107.0109351!16s%2Fg%2F1tdqwvh3!19sChIJveDz4YCOaS4R3En4hH1V8Bo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Bekasi/@-6.2497435,107.0109351,17z/data=!3m1!4b1!4m6!3m5!1s0x2e698e80e1f3e0bd:0x1af0557d84f849dc!8m2!3d-6.2497435!4d107.0109351!16s%2Fg%2F1tdqwvh3?authuser=0&hl=id&entry=ttu","107.0109351","-6.2497435","Telepon","(021) 8824181"
"Kantor Pos Bekasi","Kantor Pos",3.7,298,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Kantor+Pos+Bekasi/data=!4m7!3m6!1s0x2e698e80e1f3e0bd:0x1af0557d84f849dc!8m2!3d-6.2497435!4d107.0109351!16s%2Fg%2F1tdqwvh3!19sChIJveDz4YCOaS4R3En4hH1V8Bo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Bekasi/@-6.2497435,107.0109351,17z/data=!3m1!4b1!4m6!3m5!1s0x2e698e80e1f3e0bd:0x1af0557d84f849dc!8m2!3d-6.2497435!4d107.0109351!16s%2Fg%2F1tdqwvh3?authuser=0&hl=id&entry=ttu","107.0109351","-6.2497435","Plus Codes","Q226+49 Margahayu, Kota Bks, Jawa Barat"
"Kantor Pos Bekasi Bintara 17134A","Kantor Pos",4.3,15,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Bekasi+Bintara+17134A/data=!4m7!3m6!1s0x2e698c429432fc1f:0xb5fe9dcb87619473!8m2!3d-6.2338416!4d106.9729165!16s%2Fg%2F1q2w1k8d3!19sChIJH_wylEKMaS4Rc5Rhh8ud_rU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Bekasi+Bintara+17134A/@-6.2338416,106.9729165,17z/data=!3m1!4b1!4m6!3m5!1s0x2e698c429432fc1f:0xb5fe9dcb87619473!8m2!3d-6.2338416!4d106.9729165!16s%2Fg%2F1q2w1k8d3?authuser=0&hl=id&entry=ttu","106.9729165","-6.2338416","Alamat","Jl. Bintara No.12, RT.001/RW.012, Kranji, Kec. Bekasi Bar., Kota Bks, Jawa Barat 17135"
"Kantor Pos Bekasi Bintara 17134A","Kantor Pos",4.3,15,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Bekasi+Bintara+17134A/data=!4m7!3m6!1s0x2e698c429432fc1f:0xb5fe9dcb87619473!8m2!3d-6.2338416!4d106.9729165!16s%2Fg%2F1q2w1k8d3!19sChIJH_wylEKMaS4Rc5Rhh8ud_rU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Bekasi+Bintara+17134A/@-6.2338416,106.9729165,17z/data=!3m1!4b1!4m6!3m5!1s0x2e698c429432fc1f:0xb5fe9dcb87619473!8m2!3d-6.2338416!4d106.9729165!16s%2Fg%2F1q2w1k8d3?authuser=0&hl=id&entry=ttu","106.9729165","-6.2338416","Situs Web","posindonesia.co.id"
"Kantor Pos Bekasi Bintara 17134A","Kantor Pos",4.3,15,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Bekasi+Bintara+17134A/data=!4m7!3m6!1s0x2e698c429432fc1f:0xb5fe9dcb87619473!8m2!3d-6.2338416!4d106.9729165!16s%2Fg%2F1q2w1k8d3!19sChIJH_wylEKMaS4Rc5Rhh8ud_rU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Bekasi+Bintara+17134A/@-6.2338416,106.9729165,17z/data=!3m1!4b1!4m6!3m5!1s0x2e698c429432fc1f:0xb5fe9dcb87619473!8m2!3d-6.2338416!4d106.9729165!16s%2Fg%2F1q2w1k8d3?authuser=0&hl=id&entry=ttu","106.9729165","-6.2338416","Telepon","(021) 88342662"
