"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantorpos Janarata","Kantor Pos",3.6,8,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantorpos+Janarata/data=!4m7!3m6!1s0x3038926c4a1a6e55:0x32d56773f752daab!8m2!3d4.7542619!4d96.9089766!16s%2Fg%2F11b5wkpvn4!19sChIJVW4aSmySODARq9pS93Nn1TI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Janarata/@4.7542619,96.9089766,17z/data=!3m1!4b1!4m6!3m5!1s0x3038926c4a1a6e55:0x32d56773f752daab!8m2!3d4.7542619!4d96.9089766!16s%2Fg%2F11b5wkpvn4?authuser=0&hl=id&entry=ttu","96.9089766","4.7542619","Alamat","Jl. Takengon - Pondok, Pondok Baru, Bandar, Mutiara, Bener Meuriah, Kabupaten Bener Meriah, Aceh 24582"
"Kantorpos Janarata","Kantor Pos",3.6,8,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantorpos+Janarata/data=!4m7!3m6!1s0x3038926c4a1a6e55:0x32d56773f752daab!8m2!3d4.7542619!4d96.9089766!16s%2Fg%2F11b5wkpvn4!19sChIJVW4aSmySODARq9pS93Nn1TI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Janarata/@4.7542619,96.9089766,17z/data=!3m1!4b1!4m6!3m5!1s0x3038926c4a1a6e55:0x32d56773f752daab!8m2!3d4.7542619!4d96.9089766!16s%2Fg%2F11b5wkpvn4?authuser=0&hl=id&entry=ttu","96.9089766","4.7542619","Situs Web","posindonesia.co.id"
"Kantorpos Janarata","Kantor Pos",3.6,8,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantorpos+Janarata/data=!4m7!3m6!1s0x3038926c4a1a6e55:0x32d56773f752daab!8m2!3d4.7542619!4d96.9089766!16s%2Fg%2F11b5wkpvn4!19sChIJVW4aSmySODARq9pS93Nn1TI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Janarata/@4.7542619,96.9089766,17z/data=!3m1!4b1!4m6!3m5!1s0x3038926c4a1a6e55:0x32d56773f752daab!8m2!3d4.7542619!4d96.9089766!16s%2Fg%2F11b5wkpvn4?authuser=0&hl=id&entry=ttu","96.9089766","4.7542619","Telepon","(0643) 23382"
"Kantorpos Janarata","Kantor Pos",3.6,8,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantorpos+Janarata/data=!4m7!3m6!1s0x3038926c4a1a6e55:0x32d56773f752daab!8m2!3d4.7542619!4d96.9089766!16s%2Fg%2F11b5wkpvn4!19sChIJVW4aSmySODARq9pS93Nn1TI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Janarata/@4.7542619,96.9089766,17z/data=!3m1!4b1!4m6!3m5!1s0x3038926c4a1a6e55:0x32d56773f752daab!8m2!3d4.7542619!4d96.9089766!16s%2Fg%2F11b5wkpvn4?authuser=0&hl=id&entry=ttu","96.9089766","4.7542619","Plus Codes","QW35+PH Mutiara, Kabupaten Bener Meriah, Aceh"
"Pos KB Kecamatan Permata","Asosiasi atau Organisasi",NA,NA,"unknown","https://www.google.com/maps/place/Pos+KB+Kecamatan+Permata/data=!4m7!3m6!1s0x30388f347d24ca47:0x29fa982180da1d6b!8m2!3d4.8144914!4d96.9270727!16s%2Fg%2F11t5pktmqf!19sChIJR8okfTSPODARax3agCGY-ik?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+KB+Kecamatan+Permata/@4.8144914,96.9270727,17z/data=!3m1!4b1!4m6!3m5!1s0x30388f347d24ca47:0x29fa982180da1d6b!8m2!3d4.8144914!4d96.9270727!16s%2Fg%2F11t5pktmqf?authuser=0&hl=id&entry=ttu","96.9270727","4.8144914","Alamat","RW6Q+VFX, Weh Tenang Uken, Kec. Permata, Kabupaten Bener Meriah, Aceh"
"PosAja! Drop Point","Kantor Pos",NA,NA,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/PosAja!+Drop+Point/data=!4m7!3m6!1s0x303893c80b1b7157:0x28273502cd142f9b!8m2!3d4.7590293!4d96.9168884!16s%2Fg%2F11t9_sc8ry!19sChIJV3EbC8iTODARmy8UzQI1Jyg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PosAja!+Drop+Point/@4.7590293,96.9168884,17z/data=!3m1!4b1!4m6!3m5!1s0x303893c80b1b7157:0x28273502cd142f9b!8m2!3d4.7590293!4d96.9168884!16s%2Fg%2F11t9_sc8ry?authuser=0&hl=id&entry=ttu","96.9168884","4.7590293","Alamat","QW58+JQ6, Pd. Baru, Kec. Bandar, Kabupaten Bener Meriah, Aceh"
"PosAja! Drop Point","Kantor Pos",NA,NA,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/PosAja!+Drop+Point/data=!4m7!3m6!1s0x303893c80b1b7157:0x28273502cd142f9b!8m2!3d4.7590293!4d96.9168884!16s%2Fg%2F11t9_sc8ry!19sChIJV3EbC8iTODARmy8UzQI1Jyg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PosAja!+Drop+Point/@4.7590293,96.9168884,17z/data=!3m1!4b1!4m6!3m5!1s0x303893c80b1b7157:0x28273502cd142f9b!8m2!3d4.7590293!4d96.9168884!16s%2Fg%2F11t9_sc8ry?authuser=0&hl=id&entry=ttu","96.9168884","4.7590293","Telepon","0811-6838-123"
"Kantor Pos Simpang Tiga","Kantor Pos",3.6,8,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Simpang+Tiga/data=!4m7!3m6!1s0x3038937241f28517:0xa793df6ccca625b8!8m2!3d4.7249951!4d96.8698654!16s%2Fg%2F1q6b28_kp!19sChIJF4XyQXKTODARuCWmzGzfk6c?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Simpang+Tiga/@4.7249951,96.8698654,17z/data=!3m1!4b1!4m6!3m5!1s0x3038937241f28517:0xa793df6ccca625b8!8m2!3d4.7249951!4d96.8698654!16s%2Fg%2F1q6b28_kp?authuser=0&hl=id&entry=ttu","96.8698654","4.7249951","Alamat","Darussalam, Kec. Bukit, Aceh Besar, Aceh 24582"
"Kantor Pos Simpang Tiga","Kantor Pos",3.6,8,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Simpang+Tiga/data=!4m7!3m6!1s0x3038937241f28517:0xa793df6ccca625b8!8m2!3d4.7249951!4d96.8698654!16s%2Fg%2F1q6b28_kp!19sChIJF4XyQXKTODARuCWmzGzfk6c?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Simpang+Tiga/@4.7249951,96.8698654,17z/data=!3m1!4b1!4m6!3m5!1s0x3038937241f28517:0xa793df6ccca625b8!8m2!3d4.7249951!4d96.8698654!16s%2Fg%2F1q6b28_kp?authuser=0&hl=id&entry=ttu","96.8698654","4.7249951","Situs Web","posindonesia.co.id"
"Kantor Pos Simpang Tiga","Kantor Pos",3.6,8,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Simpang+Tiga/data=!4m7!3m6!1s0x3038937241f28517:0xa793df6ccca625b8!8m2!3d4.7249951!4d96.8698654!16s%2Fg%2F1q6b28_kp!19sChIJF4XyQXKTODARuCWmzGzfk6c?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Simpang+Tiga/@4.7249951,96.8698654,17z/data=!3m1!4b1!4m6!3m5!1s0x3038937241f28517:0xa793df6ccca625b8!8m2!3d4.7249951!4d96.8698654!16s%2Fg%2F1q6b28_kp?authuser=0&hl=id&entry=ttu","96.8698654","4.7249951","Plus Codes","PVF9+XW Paya Gajah, Kabupaten Bener Meriah, Aceh"
