"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"PT. BIMA FINANCE POS DAYA","Bank",5,3,"Segera tutup ⋅ 16.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/PT.+BIMA+FINANCE+POS+DAYA/data=!4m7!3m6!1s0x2dbee2b9271da763:0xf3bc37b5d09da858!8m2!3d-5.1084354!4d119.5194295!16s%2Fg%2F11f_kmlbkr!19sChIJY6cdJ7nivi0RWKid0LU3vPM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PT.+BIMA+FINANCE+POS+DAYA/@-5.1084354,119.5194295,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee2b9271da763:0xf3bc37b5d09da858!8m2!3d-5.1084354!4d119.5194295!16s%2Fg%2F11f_kmlbkr?authuser=0&hl=id&entry=ttu","119.5194295","-5.1084354","Alamat","Jl. Pajjaiang, Sudiang Raya, Kec. Biringkanaya, Kota Makassar, Sulawesi Selatan 90241"
"PT. BIMA FINANCE POS DAYA","Bank",5,3,"Segera tutup ⋅ 16.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/PT.+BIMA+FINANCE+POS+DAYA/data=!4m7!3m6!1s0x2dbee2b9271da763:0xf3bc37b5d09da858!8m2!3d-5.1084354!4d119.5194295!16s%2Fg%2F11f_kmlbkr!19sChIJY6cdJ7nivi0RWKid0LU3vPM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PT.+BIMA+FINANCE+POS+DAYA/@-5.1084354,119.5194295,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee2b9271da763:0xf3bc37b5d09da858!8m2!3d-5.1084354!4d119.5194295!16s%2Fg%2F11f_kmlbkr?authuser=0&hl=id&entry=ttu","119.5194295","-5.1084354","Situs Web","business.site"
"PT. BIMA FINANCE POS DAYA","Bank",5,3,"Segera tutup ⋅ 16.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/PT.+BIMA+FINANCE+POS+DAYA/data=!4m7!3m6!1s0x2dbee2b9271da763:0xf3bc37b5d09da858!8m2!3d-5.1084354!4d119.5194295!16s%2Fg%2F11f_kmlbkr!19sChIJY6cdJ7nivi0RWKid0LU3vPM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PT.+BIMA+FINANCE+POS+DAYA/@-5.1084354,119.5194295,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee2b9271da763:0xf3bc37b5d09da858!8m2!3d-5.1084354!4d119.5194295!16s%2Fg%2F11f_kmlbkr?authuser=0&hl=id&entry=ttu","119.5194295","-5.1084354","Telepon","0852-9932-4669"
"PT. BIMA FINANCE POS DAYA","Bank",5,3,"Segera tutup ⋅ 16.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/PT.+BIMA+FINANCE+POS+DAYA/data=!4m7!3m6!1s0x2dbee2b9271da763:0xf3bc37b5d09da858!8m2!3d-5.1084354!4d119.5194295!16s%2Fg%2F11f_kmlbkr!19sChIJY6cdJ7nivi0RWKid0LU3vPM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PT.+BIMA+FINANCE+POS+DAYA/@-5.1084354,119.5194295,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee2b9271da763:0xf3bc37b5d09da858!8m2!3d-5.1084354!4d119.5194295!16s%2Fg%2F11f_kmlbkr?authuser=0&hl=id&entry=ttu","119.5194295","-5.1084354","Plus Codes","VGR9+JQ Sudiang Raya, Kota Makassar, Sulawesi Selatan"
"Kantor Pos Bimatolomundu","Kantor Pos",3.6,10,"unknown","https://www.google.com/maps/place/Kantor+Pos+Bimatolomundu/data=!4m7!3m6!1s0x2dd23a5936824b19:0xd62b300d946fdd2d!8m2!3d-8.455258!4d118.73791!16s%2Fg%2F1pzslj_h8!19sChIJGUuCNlk60i0RLd1vlA0wK9Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Bimatolomundu/@-8.455258,118.73791,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23a5936824b19:0xd62b300d946fdd2d!8m2!3d-8.455258!4d118.73791!16s%2Fg%2F1pzslj_h8?authuser=0&hl=id&entry=ttu","118.73791","-8.455258","Alamat","Jl. Gajah Mada, Monggonao, Bima, Kab. Bima, Nusa Tenggara Bar. 82113"
"Kantor Pos Bimatolomundu","Kantor Pos",3.6,10,"unknown","https://www.google.com/maps/place/Kantor+Pos+Bimatolomundu/data=!4m7!3m6!1s0x2dd23a5936824b19:0xd62b300d946fdd2d!8m2!3d-8.455258!4d118.73791!16s%2Fg%2F1pzslj_h8!19sChIJGUuCNlk60i0RLd1vlA0wK9Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Bimatolomundu/@-8.455258,118.73791,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23a5936824b19:0xd62b300d946fdd2d!8m2!3d-8.455258!4d118.73791!16s%2Fg%2F1pzslj_h8?authuser=0&hl=id&entry=ttu","118.73791","-8.455258","Situs Web","posindonesia.co.id"
"Kantor Pos Bimatolomundu","Kantor Pos",3.6,10,"unknown","https://www.google.com/maps/place/Kantor+Pos+Bimatolomundu/data=!4m7!3m6!1s0x2dd23a5936824b19:0xd62b300d946fdd2d!8m2!3d-8.455258!4d118.73791!16s%2Fg%2F1pzslj_h8!19sChIJGUuCNlk60i0RLd1vlA0wK9Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Bimatolomundu/@-8.455258,118.73791,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23a5936824b19:0xd62b300d946fdd2d!8m2!3d-8.455258!4d118.73791!16s%2Fg%2F1pzslj_h8?authuser=0&hl=id&entry=ttu","118.73791","-8.455258","Telepon","(0374) 42083"
"Kantor Pos Bimatolomundu","Kantor Pos",3.6,10,"unknown","https://www.google.com/maps/place/Kantor+Pos+Bimatolomundu/data=!4m7!3m6!1s0x2dd23a5936824b19:0xd62b300d946fdd2d!8m2!3d-8.455258!4d118.73791!16s%2Fg%2F1pzslj_h8!19sChIJGUuCNlk60i0RLd1vlA0wK9Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Bimatolomundu/@-8.455258,118.73791,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23a5936824b19:0xd62b300d946fdd2d!8m2!3d-8.455258!4d118.73791!16s%2Fg%2F1pzslj_h8?authuser=0&hl=id&entry=ttu","118.73791","-8.455258","Plus Codes","GPVQ+V5 Monggonao, Kab. Bima, Nusa Tenggara Bar."
"Kantor Pos Bima","Kantor Pos",4.1,7,"Buka ⋅ Tutup pukul 19.00","https://www.google.com/maps/place/Kantor+Pos+Bima/data=!4m7!3m6!1s0x2db58b9a55555551:0xc1930752c2211c8a!8m2!3d-8.4529653!4d118.7313607!16s%2Fg%2F1q6j8w72v!19sChIJUVVVVZqLtS0RihwhwlIHk8E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Bima/@-8.4529653,118.7313607,17z/data=!3m1!4b1!4m6!3m5!1s0x2db58b9a55555551:0xc1930752c2211c8a!8m2!3d-8.4529653!4d118.7313607!16s%2Fg%2F1q6j8w72v?authuser=0&hl=id&entry=ttu","118.7313607","-8.4529653","Alamat","Jl. Datuk Dibanta, Pane, Kec. Rasanae Bar., Kab. Bima, Nusa Tenggara Bar. 84118"
"Kantor Pos Bima","Kantor Pos",4.1,7,"Buka ⋅ Tutup pukul 19.00","https://www.google.com/maps/place/Kantor+Pos+Bima/data=!4m7!3m6!1s0x2db58b9a55555551:0xc1930752c2211c8a!8m2!3d-8.4529653!4d118.7313607!16s%2Fg%2F1q6j8w72v!19sChIJUVVVVZqLtS0RihwhwlIHk8E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Bima/@-8.4529653,118.7313607,17z/data=!3m1!4b1!4m6!3m5!1s0x2db58b9a55555551:0xc1930752c2211c8a!8m2!3d-8.4529653!4d118.7313607!16s%2Fg%2F1q6j8w72v?authuser=0&hl=id&entry=ttu","118.7313607","-8.4529653","Situs Web","posindonesia.co.id"
