"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Bitung 95521","Kantor Pos",2.8,34,"unknown","https://www.google.com/maps/place/Kantor+Pos+Bitung+95521/data=!4m7!3m6!1s0x3287019a11b6d7cb:0xa06ff96dd92ad6c8!8m2!3d1.4442202!4d125.1861138!16s%2Fg%2F1pzr5h24s!19sChIJy9e2EZoBhzIRyNYq2W35b6A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Bitung+95521/@1.4442202,125.1861138,17z/data=!3m1!4b1!4m6!3m5!1s0x3287019a11b6d7cb:0xa06ff96dd92ad6c8!8m2!3d1.4442202!4d125.1861138!16s%2Fg%2F1pzr5h24s?authuser=0&hl=id&entry=ttu","125.1861138","1.4442202","Alamat","Jl. Sam Ratulangi, Bitung Tengah, Kec. Maesa, Kota Bitung, Sulawesi Utara"
"Kantor Pos Bitung 95521","Kantor Pos",2.8,34,"unknown","https://www.google.com/maps/place/Kantor+Pos+Bitung+95521/data=!4m7!3m6!1s0x3287019a11b6d7cb:0xa06ff96dd92ad6c8!8m2!3d1.4442202!4d125.1861138!16s%2Fg%2F1pzr5h24s!19sChIJy9e2EZoBhzIRyNYq2W35b6A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Bitung+95521/@1.4442202,125.1861138,17z/data=!3m1!4b1!4m6!3m5!1s0x3287019a11b6d7cb:0xa06ff96dd92ad6c8!8m2!3d1.4442202!4d125.1861138!16s%2Fg%2F1pzr5h24s?authuser=0&hl=id&entry=ttu","125.1861138","1.4442202","Situs Web","posindonesia.co.id"
"Kantor Pos Bitung 95521","Kantor Pos",2.8,34,"unknown","https://www.google.com/maps/place/Kantor+Pos+Bitung+95521/data=!4m7!3m6!1s0x3287019a11b6d7cb:0xa06ff96dd92ad6c8!8m2!3d1.4442202!4d125.1861138!16s%2Fg%2F1pzr5h24s!19sChIJy9e2EZoBhzIRyNYq2W35b6A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Bitung+95521/@1.4442202,125.1861138,17z/data=!3m1!4b1!4m6!3m5!1s0x3287019a11b6d7cb:0xa06ff96dd92ad6c8!8m2!3d1.4442202!4d125.1861138!16s%2Fg%2F1pzr5h24s?authuser=0&hl=id&entry=ttu","125.1861138","1.4442202","Telepon","(0438) 21553"
"Kantor Pos Bitung 95521","Kantor Pos",2.8,34,"unknown","https://www.google.com/maps/place/Kantor+Pos+Bitung+95521/data=!4m7!3m6!1s0x3287019a11b6d7cb:0xa06ff96dd92ad6c8!8m2!3d1.4442202!4d125.1861138!16s%2Fg%2F1pzr5h24s!19sChIJy9e2EZoBhzIRyNYq2W35b6A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Bitung+95521/@1.4442202,125.1861138,17z/data=!3m1!4b1!4m6!3m5!1s0x3287019a11b6d7cb:0xa06ff96dd92ad6c8!8m2!3d1.4442202!4d125.1861138!16s%2Fg%2F1pzr5h24s?authuser=0&hl=id&entry=ttu","125.1861138","1.4442202","Plus Codes","C5VP+MC Bitung Tengah, Kota Bitung, Sulawesi Utara"
"Kantor pos Anugerah Bitung","Kantor Perusahaan",4,1,"Buka 24 jam","https://www.google.com/maps/place/Kantor+pos+Anugerah+Bitung/data=!4m7!3m6!1s0x328701f14f5482d5:0x9ae77195dc5edd95!8m2!3d1.4535611!4d125.1911835!16s%2Fg%2F11rww_s2g8!19sChIJ1YJUT_EBhzIRld1e3JVx55o?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+pos+Anugerah+Bitung/@1.4535611,125.1911835,17z/data=!3m1!4b1!4m6!3m5!1s0x328701f14f5482d5:0x9ae77195dc5edd95!8m2!3d1.4535611!4d125.1911835!16s%2Fg%2F11rww_s2g8?authuser=0&hl=id&entry=ttu","125.1911835","1.4535611","Alamat","F53R+CFF, Pateten Tiga, Kec. Maesa, Kota Bitung, Sulawesi Utara"
"Agen POS Anugerah Pardo Bitung","Kantor Pos",NA,NA,"Tutup ⋅ Buka pukul 08.10","https://www.google.com/maps/place/Agen+POS+Anugerah+Pardo+Bitung/data=!4m7!3m6!1s0x32870704137cb961:0x51f1cd6f9d205436!8m2!3d1.4403744!4d125.1216524!16s%2Fg%2F11swgfjwqt!19sChIJYbl8EwQHhzIRNlQgnW_N8VE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Agen+POS+Anugerah+Pardo+Bitung/@1.4403744,125.1216524,17z/data=!3m1!4b1!4m6!3m5!1s0x32870704137cb961:0x51f1cd6f9d205436!8m2!3d1.4403744!4d125.1216524!16s%2Fg%2F11swgfjwqt?authuser=0&hl=id&entry=ttu","125.1216524","1.4403744","Alamat","C4RC+4MR, Bitung Tengah Perum Baru Pardo, Girian Indah, Kec. Girian, Kota Bitung, Sulawesi Utara"
"Agen POS Anugerah Pardo Bitung","Kantor Pos",NA,NA,"Tutup ⋅ Buka pukul 08.10","https://www.google.com/maps/place/Agen+POS+Anugerah+Pardo+Bitung/data=!4m7!3m6!1s0x32870704137cb961:0x51f1cd6f9d205436!8m2!3d1.4403744!4d125.1216524!16s%2Fg%2F11swgfjwqt!19sChIJYbl8EwQHhzIRNlQgnW_N8VE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Agen+POS+Anugerah+Pardo+Bitung/@1.4403744,125.1216524,17z/data=!3m1!4b1!4m6!3m5!1s0x32870704137cb961:0x51f1cd6f9d205436!8m2!3d1.4403744!4d125.1216524!16s%2Fg%2F11swgfjwqt?authuser=0&hl=id&entry=ttu","125.1216524","1.4403744","Telepon","0813-4001-4265"
"Pos Kamling Kelurahan Bitung Timur","",3,1,"Tutup ⋅ Buka pukul 19.00","https://www.google.com/maps/place/Pos+Kamling+Kelurahan+Bitung+Timur/data=!4m7!3m6!1s0x328701ecc7400849:0x1cb2b1b7a39bbf36!8m2!3d1.444289!4d125.1938579!16s%2Fg%2F11gf4nt8wg!19sChIJSQhAx-wBhzIRNr-bo7exshw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Kamling+Kelurahan+Bitung+Timur/@1.444289,125.1938579,17z/data=!3m1!4b1!4m6!3m5!1s0x328701ecc7400849:0x1cb2b1b7a39bbf36!8m2!3d1.444289!4d125.1938579!16s%2Fg%2F11gf4nt8wg?authuser=0&hl=id&entry=ttu","125.1938579","1.444289","Alamat","Jl. Sam Ratulangi No.116, Pateten Dua, Aertembaga, Kota Bitung, Sulawesi Utara"
"Pos Kamling Kelurahan Bitung Timur","",3,1,"Tutup ⋅ Buka pukul 19.00","https://www.google.com/maps/place/Pos+Kamling+Kelurahan+Bitung+Timur/data=!4m7!3m6!1s0x328701ecc7400849:0x1cb2b1b7a39bbf36!8m2!3d1.444289!4d125.1938579!16s%2Fg%2F11gf4nt8wg!19sChIJSQhAx-wBhzIRNr-bo7exshw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Kamling+Kelurahan+Bitung+Timur/@1.444289,125.1938579,17z/data=!3m1!4b1!4m6!3m5!1s0x328701ecc7400849:0x1cb2b1b7a39bbf36!8m2!3d1.444289!4d125.1938579!16s%2Fg%2F11gf4nt8wg?authuser=0&hl=id&entry=ttu","125.1938579","1.444289","Plus Codes","C5VV+PG Pateten Dua, Kota Bitung, Sulawesi Utara"
"Percetakan Pos Bitung","Toko Percetakan",NA,NA,"unknown","https://www.google.com/maps/place/Percetakan+Pos+Bitung/data=!4m7!3m6!1s0x2e69fe7443a0e8c9:0x4c9e75fc9cd264cf!8m2!3d-6.2219361!4d106.5615688!16s%2Fg%2F11bc7pf8br!19sChIJyeigQ3T-aS4Rz2TSnPx1nkw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Percetakan+Pos+Bitung/@-6.2219361,106.5615688,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69fe7443a0e8c9:0x4c9e75fc9cd264cf!8m2!3d-6.2219361!4d106.5615688!16s%2Fg%2F11bc7pf8br?authuser=0&hl=id&entry=ttu","106.5615688","-6.2219361","Alamat","JL Raya Serang, Km. 10, Pos Bitung Curug, Kadu, Tangerang, Kabupaten Tangerang, Banten 15810"
