"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Bogor","Kantor Pos",4.2,253,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/Kantor+Pos+Bogor/data=!4m7!3m6!1s0x2e69c5c777d7a1df:0xbcb945a5d985f11a!8m2!3d-6.6000616!4d106.7950661!16s%2Fg%2F12637hj9f!19sChIJ36HXd8fFaS4RGvGF2aVFubw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Bogor/@-6.6000616,106.7950661,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69c5c777d7a1df:0xbcb945a5d985f11a!8m2!3d-6.6000616!4d106.7950661!16s%2Fg%2F12637hj9f?authuser=0&hl=id&entry=ttu","106.7950661","-6.6000616","Alamat","Jl. Ir. H. Juanda No.5, RT.04/RW.02, Paledang, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16122"
"Kantor Pos Bogor","Kantor Pos",4.2,253,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/Kantor+Pos+Bogor/data=!4m7!3m6!1s0x2e69c5c777d7a1df:0xbcb945a5d985f11a!8m2!3d-6.6000616!4d106.7950661!16s%2Fg%2F12637hj9f!19sChIJ36HXd8fFaS4RGvGF2aVFubw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Bogor/@-6.6000616,106.7950661,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69c5c777d7a1df:0xbcb945a5d985f11a!8m2!3d-6.6000616!4d106.7950661!16s%2Fg%2F12637hj9f?authuser=0&hl=id&entry=ttu","106.7950661","-6.6000616","Situs Web","posindonesia.co.id"
"Kantor Pos Bogor","Kantor Pos",4.2,253,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/Kantor+Pos+Bogor/data=!4m7!3m6!1s0x2e69c5c777d7a1df:0xbcb945a5d985f11a!8m2!3d-6.6000616!4d106.7950661!16s%2Fg%2F12637hj9f!19sChIJ36HXd8fFaS4RGvGF2aVFubw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Bogor/@-6.6000616,106.7950661,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69c5c777d7a1df:0xbcb945a5d985f11a!8m2!3d-6.6000616!4d106.7950661!16s%2Fg%2F12637hj9f?authuser=0&hl=id&entry=ttu","106.7950661","-6.6000616","Telepon","(0251) 8321460"
"Kantor Pos Bogor","Kantor Pos",4.2,253,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/Kantor+Pos+Bogor/data=!4m7!3m6!1s0x2e69c5c777d7a1df:0xbcb945a5d985f11a!8m2!3d-6.6000616!4d106.7950661!16s%2Fg%2F12637hj9f!19sChIJ36HXd8fFaS4RGvGF2aVFubw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Bogor/@-6.6000616,106.7950661,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69c5c777d7a1df:0xbcb945a5d985f11a!8m2!3d-6.6000616!4d106.7950661!16s%2Fg%2F12637hj9f?authuser=0&hl=id&entry=ttu","106.7950661","-6.6000616","Plus Codes","9QXW+X2 Paledang, Kota Bogor, Jawa Barat"
"Kantor Pos Indonesia","Kantor Pos",3.1,7,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Indonesia/data=!4m7!3m6!1s0x2e69c5cdf73234f5:0x6020ca1af6eeb7fe!8m2!3d-6.5911952!4d106.8055384!16s%2Fg%2F11dymvrj1c!19sChIJ9TQy983FaS4R_rfu9hrKIGA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Indonesia/@-6.5911952,106.8055384,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69c5cdf73234f5:0x6020ca1af6eeb7fe!8m2!3d-6.5911952!4d106.8055384!16s%2Fg%2F11dymvrj1c?authuser=0&hl=id&entry=ttu","106.8055384","-6.5911952","Alamat","Jl. Kumbang No.9-15, RT.01/RW.04, Babakan, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16128"
"Kantor Pos Indonesia","Kantor Pos",3.1,7,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Indonesia/data=!4m7!3m6!1s0x2e69c5cdf73234f5:0x6020ca1af6eeb7fe!8m2!3d-6.5911952!4d106.8055384!16s%2Fg%2F11dymvrj1c!19sChIJ9TQy983FaS4R_rfu9hrKIGA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Indonesia/@-6.5911952,106.8055384,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69c5cdf73234f5:0x6020ca1af6eeb7fe!8m2!3d-6.5911952!4d106.8055384!16s%2Fg%2F11dymvrj1c?authuser=0&hl=id&entry=ttu","106.8055384","-6.5911952","Situs Web","posindonesia.co.id"
"Kantor Pos Indonesia","Kantor Pos",3.1,7,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Indonesia/data=!4m7!3m6!1s0x2e69c5cdf73234f5:0x6020ca1af6eeb7fe!8m2!3d-6.5911952!4d106.8055384!16s%2Fg%2F11dymvrj1c!19sChIJ9TQy983FaS4R_rfu9hrKIGA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Indonesia/@-6.5911952,106.8055384,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69c5cdf73234f5:0x6020ca1af6eeb7fe!8m2!3d-6.5911952!4d106.8055384!16s%2Fg%2F11dymvrj1c?authuser=0&hl=id&entry=ttu","106.8055384","-6.5911952","Plus Codes","CR54+G6 Babakan, Kota Bogor, Jawa Barat"
"Kantor Pos Bogor Timur","Jasa Kurir",4.2,30,"unknown","https://www.google.com/maps/place/Kantor+Pos+Bogor+Timur/data=!4m7!3m6!1s0x2e69c5dd974d866f:0xa0973bf4d7a8f577!8m2!3d-6.6064006!4d106.8097191!16s%2Fg%2F11cjk3tshh!19sChIJb4ZNl93FaS4Rd_Wo1_Q7l6A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Bogor+Timur/@-6.6064006,106.8097191,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69c5dd974d866f:0xa0973bf4d7a8f577!8m2!3d-6.6064006!4d106.8097191!16s%2Fg%2F11cjk3tshh?authuser=0&hl=id&entry=ttu","106.8097191","-6.6064006","Alamat","Jl. Kantor. Pos No.1, RT.04/RW.11, Baranangsiang, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16143"
"Kantor Pos Bogor Timur","Jasa Kurir",4.2,30,"unknown","https://www.google.com/maps/place/Kantor+Pos+Bogor+Timur/data=!4m7!3m6!1s0x2e69c5dd974d866f:0xa0973bf4d7a8f577!8m2!3d-6.6064006!4d106.8097191!16s%2Fg%2F11cjk3tshh!19sChIJb4ZNl93FaS4Rd_Wo1_Q7l6A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Bogor+Timur/@-6.6064006,106.8097191,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69c5dd974d866f:0xa0973bf4d7a8f577!8m2!3d-6.6064006!4d106.8097191!16s%2Fg%2F11cjk3tshh?authuser=0&hl=id&entry=ttu","106.8097191","-6.6064006","Situs Web","posindonesia.co.id"
"Kantor Pos Bogor Timur","Jasa Kurir",4.2,30,"unknown","https://www.google.com/maps/place/Kantor+Pos+Bogor+Timur/data=!4m7!3m6!1s0x2e69c5dd974d866f:0xa0973bf4d7a8f577!8m2!3d-6.6064006!4d106.8097191!16s%2Fg%2F11cjk3tshh!19sChIJb4ZNl93FaS4Rd_Wo1_Q7l6A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Bogor+Timur/@-6.6064006,106.8097191,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69c5dd974d866f:0xa0973bf4d7a8f577!8m2!3d-6.6064006!4d106.8097191!16s%2Fg%2F11cjk3tshh?authuser=0&hl=id&entry=ttu","106.8097191","-6.6064006","Telepon","0878-7399-3431"
