"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Muara Bungo","Kantor Pos",3.6,49,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Kantor+Pos+Muara+Bungo/data=!4m7!3m6!1s0x2e2ea1d514dd2817:0xf034e1c0ab037632!8m2!3d-1.4822764!4d102.1186917!16s%2Fg%2F11b5wjltc7!19sChIJFyjdFNWhLi4RMnYDq8DhNPA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Muara+Bungo/@-1.4822764,102.1186917,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2ea1d514dd2817:0xf034e1c0ab037632!8m2!3d-1.4822764!4d102.1186917!16s%2Fg%2F11b5wjltc7?authuser=0&hl=id&entry=ttu","102.1186917","-1.4822764","Alamat","Jl. H Saleh Somad No.1, Bungo Timur, Kec. Ps. Muara Bungo, Kabupaten Bungo, Jambi 37200"
"Kantor Pos Muara Bungo","Kantor Pos",3.6,49,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Kantor+Pos+Muara+Bungo/data=!4m7!3m6!1s0x2e2ea1d514dd2817:0xf034e1c0ab037632!8m2!3d-1.4822764!4d102.1186917!16s%2Fg%2F11b5wjltc7!19sChIJFyjdFNWhLi4RMnYDq8DhNPA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Muara+Bungo/@-1.4822764,102.1186917,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2ea1d514dd2817:0xf034e1c0ab037632!8m2!3d-1.4822764!4d102.1186917!16s%2Fg%2F11b5wjltc7?authuser=0&hl=id&entry=ttu","102.1186917","-1.4822764","Situs Web","posindonesia.co.id"
"Kantor Pos Muara Bungo","Kantor Pos",3.6,49,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Kantor+Pos+Muara+Bungo/data=!4m7!3m6!1s0x2e2ea1d514dd2817:0xf034e1c0ab037632!8m2!3d-1.4822764!4d102.1186917!16s%2Fg%2F11b5wjltc7!19sChIJFyjdFNWhLi4RMnYDq8DhNPA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Muara+Bungo/@-1.4822764,102.1186917,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2ea1d514dd2817:0xf034e1c0ab037632!8m2!3d-1.4822764!4d102.1186917!16s%2Fg%2F11b5wjltc7?authuser=0&hl=id&entry=ttu","102.1186917","-1.4822764","Telepon","(0747) 21057"
"Kantor Pos Muara Bungo","Kantor Pos",3.6,49,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Kantor+Pos+Muara+Bungo/data=!4m7!3m6!1s0x2e2ea1d514dd2817:0xf034e1c0ab037632!8m2!3d-1.4822764!4d102.1186917!16s%2Fg%2F11b5wjltc7!19sChIJFyjdFNWhLi4RMnYDq8DhNPA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Muara+Bungo/@-1.4822764,102.1186917,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2ea1d514dd2817:0xf034e1c0ab037632!8m2!3d-1.4822764!4d102.1186917!16s%2Fg%2F11b5wjltc7?authuser=0&hl=id&entry=ttu","102.1186917","-1.4822764","Plus Codes","G499+3F Bungo Timur, Kabupaten Bungo, Jambi"
"Graha Pena Bungo Pos","Kantor Perusahaan",4.3,16,"unknown","https://www.google.com/maps/place/Graha+Pena+Bungo+Pos/data=!4m7!3m6!1s0x2e2e9fb32fbe391d:0x99e245f1357474bd!8m2!3d-1.5243751!4d102.1027222!16s%2Fg%2F11c1qsdp5x!19sChIJHTm-L7OfLi4RvXR0NfFF4pk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Graha+Pena+Bungo+Pos/@-1.5243751,102.1027222,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2e9fb32fbe391d:0x99e245f1357474bd!8m2!3d-1.5243751!4d102.1027222!16s%2Fg%2F11c1qsdp5x?authuser=0&hl=id&entry=ttu","102.1027222","-1.5243751","Alamat","F4G3+63X, Sungai Mengkuang, Kec. Rimbo Tengah, Kabupaten Bungo, Jambi 37211"
"Kantor Pos Kuamang Kuning","Kantor Pos",4.4,15,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Kuamang+Kuning/data=!4m7!3m6!1s0x2e2e919555555515:0xcb8dfb74ad76799e!8m2!3d-1.6166215!4d102.3519821!16s%2Fg%2F11b5wlgfrn!19sChIJFVVVVZWRLi4Rnnl2rXT7jcs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Kuamang+Kuning/@-1.6166215,102.3519821,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2e919555555515:0xcb8dfb74ad76799e!8m2!3d-1.6166215!4d102.3519821!16s%2Fg%2F11b5wlgfrn?authuser=0&hl=id&entry=ttu","102.3519821","-1.6166215","Alamat","Jl. Batang Hari No.1, Purwosari, Kec. Pelepat Ilir, Kabupaten Bungo, Jambi 37252"
"Kantor Pos Kuamang Kuning","Kantor Pos",4.4,15,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Kuamang+Kuning/data=!4m7!3m6!1s0x2e2e919555555515:0xcb8dfb74ad76799e!8m2!3d-1.6166215!4d102.3519821!16s%2Fg%2F11b5wlgfrn!19sChIJFVVVVZWRLi4Rnnl2rXT7jcs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Kuamang+Kuning/@-1.6166215,102.3519821,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2e919555555515:0xcb8dfb74ad76799e!8m2!3d-1.6166215!4d102.3519821!16s%2Fg%2F11b5wlgfrn?authuser=0&hl=id&entry=ttu","102.3519821","-1.6166215","Situs Web","posindonesia.co.id"
"Kantor Pos Kuamang Kuning","Kantor Pos",4.4,15,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Kuamang+Kuning/data=!4m7!3m6!1s0x2e2e919555555515:0xcb8dfb74ad76799e!8m2!3d-1.6166215!4d102.3519821!16s%2Fg%2F11b5wlgfrn!19sChIJFVVVVZWRLi4Rnnl2rXT7jcs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Kuamang+Kuning/@-1.6166215,102.3519821,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2e919555555515:0xcb8dfb74ad76799e!8m2!3d-1.6166215!4d102.3519821!16s%2Fg%2F11b5wlgfrn?authuser=0&hl=id&entry=ttu","102.3519821","-1.6166215","Telepon","(0747) 21057"
"Kantor Pos Kuamang Kuning","Kantor Pos",4.4,15,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Kuamang+Kuning/data=!4m7!3m6!1s0x2e2e919555555515:0xcb8dfb74ad76799e!8m2!3d-1.6166215!4d102.3519821!16s%2Fg%2F11b5wlgfrn!19sChIJFVVVVZWRLi4Rnnl2rXT7jcs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Kuamang+Kuning/@-1.6166215,102.3519821,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2e919555555515:0xcb8dfb74ad76799e!8m2!3d-1.6166215!4d102.3519821!16s%2Fg%2F11b5wlgfrn?authuser=0&hl=id&entry=ttu","102.3519821","-1.6166215","Plus Codes","99M2+9Q Purwosari, Kabupaten Bungo, Jambi"
"Pos Indonesia. PT","Jasa Kurir",3.9,7,"unknown","https://www.google.com/maps/place/Pos+Indonesia.+PT/data=!4m7!3m6!1s0x2e2ea025c50c6af3:0xfe9e9c95353a45be!8m2!3d-1.481616!4d102.104073!16s%2Fg%2F1pzpsj_ds!19sChIJ82oMxSWgLi4RvkU6NZWcnv4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Indonesia.+PT/@-1.481616,102.104073,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2ea025c50c6af3:0xfe9e9c95353a45be!8m2!3d-1.481616!4d102.104073!16s%2Fg%2F1pzpsj_ds?authuser=0&hl=id&entry=ttu","102.104073","-1.481616","Alamat","JL. Kantor Pos, No. 1, Tebo Tengah Muara Bungo, 37271, Sungai Pinang, Kec. Bungo Dani, Kabupaten Bungo, Jambi 37211"
