"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Leok","Kantor Pos",4.7,11,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Leok/data=!4m7!3m6!1s0x32774e1555555553:0x7ebbb54640d1b459!8m2!3d1.1914328!4d121.4183782!16s%2Fg%2F11b5wl3r34!19sChIJU1VVVRVOdzIRWbTRQEa1u34?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Leok/@1.1914328,121.4183782,17z/data=!3m1!4b1!4m6!3m5!1s0x32774e1555555553:0x7ebbb54640d1b459!8m2!3d1.1914328!4d121.4183782!16s%2Fg%2F11b5wl3r34?authuser=0&hl=id&entry=ttu","121.4183782","1.1914328","Alamat","Leok I, Kec. Biau, Kabupaten Buol, Sulawesi Tengah 94563"
"Kantor Pos Leok","Kantor Pos",4.7,11,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Leok/data=!4m7!3m6!1s0x32774e1555555553:0x7ebbb54640d1b459!8m2!3d1.1914328!4d121.4183782!16s%2Fg%2F11b5wl3r34!19sChIJU1VVVRVOdzIRWbTRQEa1u34?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Leok/@1.1914328,121.4183782,17z/data=!3m1!4b1!4m6!3m5!1s0x32774e1555555553:0x7ebbb54640d1b459!8m2!3d1.1914328!4d121.4183782!16s%2Fg%2F11b5wl3r34?authuser=0&hl=id&entry=ttu","121.4183782","1.1914328","Situs Web","posindonesia.co.id"
"Kantor Pos Leok","Kantor Pos",4.7,11,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Leok/data=!4m7!3m6!1s0x32774e1555555553:0x7ebbb54640d1b459!8m2!3d1.1914328!4d121.4183782!16s%2Fg%2F11b5wl3r34!19sChIJU1VVVRVOdzIRWbTRQEa1u34?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Leok/@1.1914328,121.4183782,17z/data=!3m1!4b1!4m6!3m5!1s0x32774e1555555553:0x7ebbb54640d1b459!8m2!3d1.1914328!4d121.4183782!16s%2Fg%2F11b5wl3r34?authuser=0&hl=id&entry=ttu","121.4183782","1.1914328","Telepon","(0451) 421102"
"Kantor Pos Leok","Kantor Pos",4.7,11,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Leok/data=!4m7!3m6!1s0x32774e1555555553:0x7ebbb54640d1b459!8m2!3d1.1914328!4d121.4183782!16s%2Fg%2F11b5wl3r34!19sChIJU1VVVRVOdzIRWbTRQEa1u34?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Leok/@1.1914328,121.4183782,17z/data=!3m1!4b1!4m6!3m5!1s0x32774e1555555553:0x7ebbb54640d1b459!8m2!3d1.1914328!4d121.4183782!16s%2Fg%2F11b5wl3r34?authuser=0&hl=id&entry=ttu","121.4183782","1.1914328","Plus Codes","5CR9+H9 Leok I, Kabupaten Buol, Sulawesi Tengah"
"Kantor Pos","Kantor Pos",3,2,"unknown","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x3270ab4aa419da9f:0x9aef1964bd853117!8m2!3d1.0382076!4d121.6120086!16s%2Fg%2F11gxmtvhhc!19sChIJn9oZpEqrcDIRFzGFvWQZ75o?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@1.0382076,121.6120086,17z/data=!3m1!4b1!4m6!3m5!1s0x3270ab4aa419da9f:0x9aef1964bd853117!8m2!3d1.0382076!4d121.6120086!16s%2Fg%2F11gxmtvhhc?authuser=0&hl=id&entry=ttu","121.6120086","1.0382076","Alamat","2JQ6+7RJ, Domag Mekar, Kec. Bunobogu, Kabupaten Buol, Sulawesi Tengah 94567"
"Kantor Pos","Kantor Pos",3,2,"unknown","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x3270ab4aa419da9f:0x9aef1964bd853117!8m2!3d1.0382076!4d121.6120086!16s%2Fg%2F11gxmtvhhc!19sChIJn9oZpEqrcDIRFzGFvWQZ75o?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@1.0382076,121.6120086,17z/data=!3m1!4b1!4m6!3m5!1s0x3270ab4aa419da9f:0x9aef1964bd853117!8m2!3d1.0382076!4d121.6120086!16s%2Fg%2F11gxmtvhhc?authuser=0&hl=id&entry=ttu","121.6120086","1.0382076","Situs Web","posindonesia.co.id"
"Pos Babinsa","",NA,NA,"unknown","https://www.google.com/maps/place/Pos+Babinsa/data=!4m7!3m6!1s0x3270bae64824a4f9:0x696ffb8dbe0712c3!8m2!3d1.1917266!4d121.4193029!16s%2Fg%2F11f122jwqg!19sChIJ-aQkSOa6cDIRwxIHvo37b2k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Babinsa/@1.1917266,121.4193029,17z/data=!3m1!4b1!4m6!3m5!1s0x3270bae64824a4f9:0x696ffb8dbe0712c3!8m2!3d1.1917266!4d121.4193029!16s%2Fg%2F11f122jwqg?authuser=0&hl=id&entry=ttu","121.4193029","1.1917266","Alamat","5CR9+MPV, Leok I, Kec. Biau, Kabupaten Buol, Sulawesi Tengah 94563"
"Pos Terpadu","",NA,NA,"unknown","https://www.google.com/maps/place/Pos+Terpadu/data=!4m7!3m6!1s0x3270c1797a325149:0x6932525a8482fa58!8m2!3d1.2643891!4d121.1792171!16s%2Fg%2F11jws3twm4!19sChIJSVEyennBcDIRWPqChFpSMmk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Terpadu/@1.2643891,121.1792171,17z/data=!3m1!4b1!4m6!3m5!1s0x3270c1797a325149:0x6932525a8482fa58!8m2!3d1.2643891!4d121.1792171!16s%2Fg%2F11jws3twm4?authuser=0&hl=id&entry=ttu","121.1792171","1.2643891","Alamat","757H+QM4, Jl. Buol - Tolitoli, Lakuan Buol, Kec. Lakea, Kabupaten Buol, Sulawesi Tengah 94562"
"Pos","Kantor Pos",NA,NA,"unknown","https://www.google.com/maps/place/Pos/data=!4m7!3m6!1s0x3270bb8ea66f3627:0x47ac019bc976fe95!8m2!3d1.1717148!4d121.4250441!16s%2Fg%2F11t30xr5gp!19sChIJJzZvpo67cDIRlf52yZsBrEc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos/@1.1717148,121.4250441,17z/data=!3m1!4b1!4m6!3m5!1s0x3270bb8ea66f3627:0x47ac019bc976fe95!8m2!3d1.1717148!4d121.4250441!16s%2Fg%2F11t30xr5gp?authuser=0&hl=id&entry=ttu","121.4250441","1.1717148","Alamat","5CCG+M2M, Leok II, Kec. Biau, Kabupaten Buol, Sulawesi Tengah 94563"
"Kantor POS Paleleh","Kantor Pos",4.5,8,"unknown","https://www.google.com/maps/place/Kantor+POS+Paleleh/data=!4m7!3m6!1s0x327a1fb3c51de769:0xfa4c27b4078b8fc3!8m2!3d1.0503308!4d121.9521753!16s%2Fg%2F11fylsvn19!19sChIJaecdxbMfejIRw4-LB7QnTPo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+POS+Paleleh/@1.0503308,121.9521753,17z/data=!3m1!4b1!4m6!3m5!1s0x327a1fb3c51de769:0xfa4c27b4078b8fc3!8m2!3d1.0503308!4d121.9521753!16s%2Fg%2F11fylsvn19?authuser=0&hl=id&entry=ttu","121.9521753","1.0503308","Alamat","3X22+4VM, Paleleh, Kabupaten Buol, Sulawesi Tengah 94568"
"Pos Kesehatan Desa","Pusat Kesehatan Masyarakat",NA,NA,"unknown","https://www.google.com/maps/place/Pos+Kesehatan+Desa/data=!4m7!3m6!1s0x3270af31d5ae2d7b:0x291b5f35fbc14cab!8m2!3d1.1350448!4d121.4525447!16s%2Fg%2F11h1yc8pg2!19sChIJey2u1TGvcDIRq0zB-zVfGyk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Kesehatan+Desa/@1.1350448,121.4525447,17z/data=!3m1!4b1!4m6!3m5!1s0x3270af31d5ae2d7b:0x291b5f35fbc14cab!8m2!3d1.1350448!4d121.4525447!16s%2Fg%2F11h1yc8pg2?authuser=0&hl=id&entry=ttu","121.4525447","1.1350448","Alamat","4FP3+227, Bugis, Kec. Biau, Kabupaten Buol, Sulawesi Tengah 94565"
"Pos Polisi Lakea","Kantor Pemerintah",NA,NA,"unknown","https://www.google.com/maps/place/Pos+Polisi+Lakea/data=!4m7!3m6!1s0x3270c74e97d9943f:0xfa0fb6f6843292e6!8m2!3d1.2292712!4d121.2468979!16s%2Fg%2F11dxm5fsc_!19sChIJP5TZl07HcDIR5pIyhPa2D_o?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Polisi+Lakea/@1.2292712,121.2468979,17z/data=!3m1!4b1!4m6!3m5!1s0x3270c74e97d9943f:0xfa0fb6f6843292e6!8m2!3d1.2292712!4d121.2468979!16s%2Fg%2F11dxm5fsc_?authuser=0&hl=id&entry=ttu","121.2468979","1.2292712","Alamat","66HW+PQ2, Lakea II, Kec. Lakea, Kabupaten Buol, Sulawesi Tengah 94563"
"Pos Polairud unit Buol Direktoral Airud Polda Sulteng","Kantor Pemerintah",NA,NA,"unknown","https://www.google.com/maps/place/Pos+Polairud+unit+Buol+Direktoral+Airud+Polda+Sulteng/data=!4m7!3m6!1s0x3270bd9cd6b060af:0x3125ece73515d785!8m2!3d1.2365653!4d121.4136243!16s%2Fg%2F11s3xsvmdc!19sChIJr2Cw1py9cDIRhdcVNefsJTE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Polairud+unit+Buol+Direktoral+Airud+Polda+Sulteng/@1.2365653,121.4136243,17z/data=!3m1!4b1!4m6!3m5!1s0x3270bd9cd6b060af:0x3125ece73515d785!8m2!3d1.2365653!4d121.4136243!16s%2Fg%2F11s3xsvmdc?authuser=0&hl=id&entry=ttu","121.4136243","1.2365653","Alamat","6CP7+JF8, Kumaligon, Kec. Biau, Kabupaten Buol, Sulawesi Tengah 94563"
