"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantorpos Lombe","Kantor Pos",3.6,16,"Buka ⋅ Tutup pukul 16.30","https://www.google.com/maps/place/Kantorpos+Lombe/data=!4m7!3m6!1s0x2da3902c4000001b:0x5a012a749436442!8m2!3d-5.2562912!4d122.577975!16s%2Fg%2F11b5wlxdyd!19sChIJGwAAQCyQoy0RQmRDSacSoAU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Lombe/@-5.2562912,122.577975,17z/data=!3m1!4b1!4m6!3m5!1s0x2da3902c4000001b:0x5a012a749436442!8m2!3d-5.2562912!4d122.577975!16s%2Fg%2F11b5wlxdyd?authuser=0&hl=id&entry=ttu","122.577975","-5.2562912","Alamat","Jl. Ahmad Yani No.1, Bombonawulu, Kec. Gu, Kabupaten Buton, Sulawesi Tenggara 93761"
"Kantorpos Lombe","Kantor Pos",3.6,16,"Buka ⋅ Tutup pukul 16.30","https://www.google.com/maps/place/Kantorpos+Lombe/data=!4m7!3m6!1s0x2da3902c4000001b:0x5a012a749436442!8m2!3d-5.2562912!4d122.577975!16s%2Fg%2F11b5wlxdyd!19sChIJGwAAQCyQoy0RQmRDSacSoAU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Lombe/@-5.2562912,122.577975,17z/data=!3m1!4b1!4m6!3m5!1s0x2da3902c4000001b:0x5a012a749436442!8m2!3d-5.2562912!4d122.577975!16s%2Fg%2F11b5wlxdyd?authuser=0&hl=id&entry=ttu","122.577975","-5.2562912","Situs Web","posindonesia.co.id"
"Kantorpos Lombe","Kantor Pos",3.6,16,"Buka ⋅ Tutup pukul 16.30","https://www.google.com/maps/place/Kantorpos+Lombe/data=!4m7!3m6!1s0x2da3902c4000001b:0x5a012a749436442!8m2!3d-5.2562912!4d122.577975!16s%2Fg%2F11b5wlxdyd!19sChIJGwAAQCyQoy0RQmRDSacSoAU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Lombe/@-5.2562912,122.577975,17z/data=!3m1!4b1!4m6!3m5!1s0x2da3902c4000001b:0x5a012a749436442!8m2!3d-5.2562912!4d122.577975!16s%2Fg%2F11b5wlxdyd?authuser=0&hl=id&entry=ttu","122.577975","-5.2562912","Telepon","(0402) 21985"
"Kantorpos Lombe","Kantor Pos",3.6,16,"Buka ⋅ Tutup pukul 16.30","https://www.google.com/maps/place/Kantorpos+Lombe/data=!4m7!3m6!1s0x2da3902c4000001b:0x5a012a749436442!8m2!3d-5.2562912!4d122.577975!16s%2Fg%2F11b5wlxdyd!19sChIJGwAAQCyQoy0RQmRDSacSoAU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Lombe/@-5.2562912,122.577975,17z/data=!3m1!4b1!4m6!3m5!1s0x2da3902c4000001b:0x5a012a749436442!8m2!3d-5.2562912!4d122.577975!16s%2Fg%2F11b5wlxdyd?authuser=0&hl=id&entry=ttu","122.577975","-5.2562912","Plus Codes","PHVH+F5 Bombonawulu, Kabupaten Buton, Sulawesi Tenggara"
"Kantor Pos Cabang Batauga","Kantor Pos",5,2,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Cabang+Batauga/data=!4m7!3m6!1s0x2da46ec28a1ddc49:0x3e39532efda94cb5!8m2!3d-5.6042682!4d122.596631!16s%2Fg%2F11g6xsgqbr!19sChIJSdwdisJupC0RtUyp_S5TOT4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Cabang+Batauga/@-5.6042682,122.596631,17z/data=!3m1!4b1!4m6!3m5!1s0x2da46ec28a1ddc49:0x3e39532efda94cb5!8m2!3d-5.6042682!4d122.596631!16s%2Fg%2F11g6xsgqbr?authuser=0&hl=id&entry=ttu","122.596631","-5.6042682","Alamat","9HWW+7MR, Lakambau, Batauga, Kabupaten Buton, Sulawesi Tenggara 93752"
"Kantor Pos Cabang Batauga","Kantor Pos",5,2,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Cabang+Batauga/data=!4m7!3m6!1s0x2da46ec28a1ddc49:0x3e39532efda94cb5!8m2!3d-5.6042682!4d122.596631!16s%2Fg%2F11g6xsgqbr!19sChIJSdwdisJupC0RtUyp_S5TOT4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Cabang+Batauga/@-5.6042682,122.596631,17z/data=!3m1!4b1!4m6!3m5!1s0x2da46ec28a1ddc49:0x3e39532efda94cb5!8m2!3d-5.6042682!4d122.596631!16s%2Fg%2F11g6xsgqbr?authuser=0&hl=id&entry=ttu","122.596631","-5.6042682","Situs Web","posindonesia.co.id"
"Kantor POS Lakudo","Kantor Pos",4.1,8,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+POS+Lakudo/data=!4m7!3m6!1s0x2da3858c73790ce9:0x2e292d0ef86c441!8m2!3d-5.3151903!4d122.5307328!16s%2Fg%2F11ddxtyq_n!19sChIJ6Qx5c4yFoy0RQcSG79CS4gI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+POS+Lakudo/@-5.3151903,122.5307328,17z/data=!3m1!4b1!4m6!3m5!1s0x2da3858c73790ce9:0x2e292d0ef86c441!8m2!3d-5.3151903!4d122.5307328!16s%2Fg%2F11ddxtyq_n?authuser=0&hl=id&entry=ttu","122.5307328","-5.3151903","Alamat","MGMJ+W7H, Wongko Lakudo, Kec. Lakudo, Kabupaten Buton, Sulawesi Tenggara 93763"
"Kantor POS Lakudo","Kantor Pos",4.1,8,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+POS+Lakudo/data=!4m7!3m6!1s0x2da3858c73790ce9:0x2e292d0ef86c441!8m2!3d-5.3151903!4d122.5307328!16s%2Fg%2F11ddxtyq_n!19sChIJ6Qx5c4yFoy0RQcSG79CS4gI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+POS+Lakudo/@-5.3151903,122.5307328,17z/data=!3m1!4b1!4m6!3m5!1s0x2da3858c73790ce9:0x2e292d0ef86c441!8m2!3d-5.3151903!4d122.5307328!16s%2Fg%2F11ddxtyq_n?authuser=0&hl=id&entry=ttu","122.5307328","-5.3151903","Situs Web","posindonesia.co.id"
"Kantor Pos Mawasangka","Kantor Pos",3.4,5,"unknown","https://www.google.com/maps/place/Kantor+Pos+Mawasangka/data=!4m7!3m6!1s0x2da379df58fec695:0x667ffd1a749740ed!8m2!3d-5.2788868!4d122.2928413!16s%2Fg%2F11cn0p1y2g!19sChIJlcb-WN95oy0R7UCXdBr9f2Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Mawasangka/@-5.2788868,122.2928413,17z/data=!3m1!4b1!4m6!3m5!1s0x2da379df58fec695:0x667ffd1a749740ed!8m2!3d-5.2788868!4d122.2928413!16s%2Fg%2F11cn0p1y2g?authuser=0&hl=id&entry=ttu","122.2928413","-5.2788868","Alamat","P7CV+C4W, Mawasangka, Kec. Mawasangka, Kabupaten Buton, Sulawesi Tenggara 93762"
"Kantor Pos Mawasangka","Kantor Pos",3.4,5,"unknown","https://www.google.com/maps/place/Kantor+Pos+Mawasangka/data=!4m7!3m6!1s0x2da379df58fec695:0x667ffd1a749740ed!8m2!3d-5.2788868!4d122.2928413!16s%2Fg%2F11cn0p1y2g!19sChIJlcb-WN95oy0R7UCXdBr9f2Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Mawasangka/@-5.2788868,122.2928413,17z/data=!3m1!4b1!4m6!3m5!1s0x2da379df58fec695:0x667ffd1a749740ed!8m2!3d-5.2788868!4d122.2928413!16s%2Fg%2F11cn0p1y2g?authuser=0&hl=id&entry=ttu","122.2928413","-5.2788868","Situs Web","posindonesia.co.id"
