"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Dompu","Kantor Pos",3.6,20,"Buka ⋅ Tutup pukul 02.00","https://www.google.com/maps/place/Kantor+Pos+Dompu/data=!4m7!3m6!1s0x2dca6fc6526ede85:0x144723b1e0aa6816!8m2!3d-8.5382091!4d118.465547!16s%2Fg%2F1pzpvpmt4!19sChIJhd5uUsZvyi0RFmiq4LEjRxQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Dompu/@-8.5382091,118.465547,17z/data=!3m1!4b1!4m6!3m5!1s0x2dca6fc6526ede85:0x144723b1e0aa6816!8m2!3d-8.5382091!4d118.465547!16s%2Fg%2F1pzpvpmt4?authuser=0&hl=id&entry=ttu","118.465547","-8.5382091","Alamat","Jl. Bhayangkara No. 8, Kel. Bada, Kec. Dompu, Bada, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84200"
"Kantor Pos Dompu","Kantor Pos",3.6,20,"Buka ⋅ Tutup pukul 02.00","https://www.google.com/maps/place/Kantor+Pos+Dompu/data=!4m7!3m6!1s0x2dca6fc6526ede85:0x144723b1e0aa6816!8m2!3d-8.5382091!4d118.465547!16s%2Fg%2F1pzpvpmt4!19sChIJhd5uUsZvyi0RFmiq4LEjRxQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Dompu/@-8.5382091,118.465547,17z/data=!3m1!4b1!4m6!3m5!1s0x2dca6fc6526ede85:0x144723b1e0aa6816!8m2!3d-8.5382091!4d118.465547!16s%2Fg%2F1pzpvpmt4?authuser=0&hl=id&entry=ttu","118.465547","-8.5382091","Situs Web","posindonesia.co.id"
"Kantor Pos Dompu","Kantor Pos",3.6,20,"Buka ⋅ Tutup pukul 02.00","https://www.google.com/maps/place/Kantor+Pos+Dompu/data=!4m7!3m6!1s0x2dca6fc6526ede85:0x144723b1e0aa6816!8m2!3d-8.5382091!4d118.465547!16s%2Fg%2F1pzpvpmt4!19sChIJhd5uUsZvyi0RFmiq4LEjRxQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Dompu/@-8.5382091,118.465547,17z/data=!3m1!4b1!4m6!3m5!1s0x2dca6fc6526ede85:0x144723b1e0aa6816!8m2!3d-8.5382091!4d118.465547!16s%2Fg%2F1pzpvpmt4?authuser=0&hl=id&entry=ttu","118.465547","-8.5382091","Telepon","(0373) 21050"
"Kantor Pos Dompu","Kantor Pos",3.6,20,"Buka ⋅ Tutup pukul 02.00","https://www.google.com/maps/place/Kantor+Pos+Dompu/data=!4m7!3m6!1s0x2dca6fc6526ede85:0x144723b1e0aa6816!8m2!3d-8.5382091!4d118.465547!16s%2Fg%2F1pzpvpmt4!19sChIJhd5uUsZvyi0RFmiq4LEjRxQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Dompu/@-8.5382091,118.465547,17z/data=!3m1!4b1!4m6!3m5!1s0x2dca6fc6526ede85:0x144723b1e0aa6816!8m2!3d-8.5382091!4d118.465547!16s%2Fg%2F1pzpvpmt4?authuser=0&hl=id&entry=ttu","118.465547","-8.5382091","Plus Codes","FF68+P6 Bada, Kabupaten Dompu, Nusa Tenggara Bar."
"Kantorpos LE Kp2Kp Dompu","Kantor Pos",2.5,4,"Buka 24 jam","https://www.google.com/maps/place/Kantorpos+LE+Kp2Kp+Dompu/data=!4m7!3m6!1s0x2dca6fc93e114351:0xa897663884e6f8fb!8m2!3d-8.533206!4d118.4674761!16s%2Fg%2F11b5wchm9p!19sChIJUUMRPslvyi0R-_jmhDhml6g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+LE+Kp2Kp+Dompu/@-8.533206,118.4674761,17z/data=!3m1!4b1!4m6!3m5!1s0x2dca6fc93e114351:0xa897663884e6f8fb!8m2!3d-8.533206!4d118.4674761!16s%2Fg%2F11b5wchm9p?authuser=0&hl=id&entry=ttu","118.4674761","-8.533206","Alamat","Jl. Beringin No.1, Dorotangga, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84212"
"Kantorpos LE Kp2Kp Dompu","Kantor Pos",2.5,4,"Buka 24 jam","https://www.google.com/maps/place/Kantorpos+LE+Kp2Kp+Dompu/data=!4m7!3m6!1s0x2dca6fc93e114351:0xa897663884e6f8fb!8m2!3d-8.533206!4d118.4674761!16s%2Fg%2F11b5wchm9p!19sChIJUUMRPslvyi0R-_jmhDhml6g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+LE+Kp2Kp+Dompu/@-8.533206,118.4674761,17z/data=!3m1!4b1!4m6!3m5!1s0x2dca6fc93e114351:0xa897663884e6f8fb!8m2!3d-8.533206!4d118.4674761!16s%2Fg%2F11b5wchm9p?authuser=0&hl=id&entry=ttu","118.4674761","-8.533206","Situs Web","posindonesia.co.id"
"Kantorpos LE Kp2Kp Dompu","Kantor Pos",2.5,4,"Buka 24 jam","https://www.google.com/maps/place/Kantorpos+LE+Kp2Kp+Dompu/data=!4m7!3m6!1s0x2dca6fc93e114351:0xa897663884e6f8fb!8m2!3d-8.533206!4d118.4674761!16s%2Fg%2F11b5wchm9p!19sChIJUUMRPslvyi0R-_jmhDhml6g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+LE+Kp2Kp+Dompu/@-8.533206,118.4674761,17z/data=!3m1!4b1!4m6!3m5!1s0x2dca6fc93e114351:0xa897663884e6f8fb!8m2!3d-8.533206!4d118.4674761!16s%2Fg%2F11b5wchm9p?authuser=0&hl=id&entry=ttu","118.4674761","-8.533206","Telepon","(0387) 61407"
"Kantorpos LE Kp2Kp Dompu","Kantor Pos",2.5,4,"Buka 24 jam","https://www.google.com/maps/place/Kantorpos+LE+Kp2Kp+Dompu/data=!4m7!3m6!1s0x2dca6fc93e114351:0xa897663884e6f8fb!8m2!3d-8.533206!4d118.4674761!16s%2Fg%2F11b5wchm9p!19sChIJUUMRPslvyi0R-_jmhDhml6g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+LE+Kp2Kp+Dompu/@-8.533206,118.4674761,17z/data=!3m1!4b1!4m6!3m5!1s0x2dca6fc93e114351:0xa897663884e6f8fb!8m2!3d-8.533206!4d118.4674761!16s%2Fg%2F11b5wchm9p?authuser=0&hl=id&entry=ttu","118.4674761","-8.533206","Plus Codes","FF88+PX Dorotangga, Kabupaten Dompu, Nusa Tenggara Bar."
"Kantor Pos Huu","Kantor Pos",NA,NA,"unknown","https://www.google.com/maps/place/Kantor+Pos+Huu/data=!4m7!3m6!1s0x2dca890500c57913:0x2b18c20e8ac1cd6d!8m2!3d-8.7382617!4d118.4343005!16s%2Fg%2F11fn0fhsd8!19sChIJE3nFAAWJyi0Rbc3Big7CGCs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Huu/@-8.7382617,118.4343005,17z/data=!3m1!4b1!4m6!3m5!1s0x2dca890500c57913:0x2b18c20e8ac1cd6d!8m2!3d-8.7382617!4d118.4343005!16s%2Fg%2F11fn0fhsd8?authuser=0&hl=id&entry=ttu","118.4343005","-8.7382617","Alamat","Nanga Na,e, Jl. Lintas Sumbawa-Bima, Persiapan Jala, Kec. Hu'u, Kabupaten Dompu, Nusa Tenggara Bar. 84271"
"Kantor Pos Huu","Kantor Pos",NA,NA,"unknown","https://www.google.com/maps/place/Kantor+Pos+Huu/data=!4m7!3m6!1s0x2dca890500c57913:0x2b18c20e8ac1cd6d!8m2!3d-8.7382617!4d118.4343005!16s%2Fg%2F11fn0fhsd8!19sChIJE3nFAAWJyi0Rbc3Big7CGCs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Huu/@-8.7382617,118.4343005,17z/data=!3m1!4b1!4m6!3m5!1s0x2dca890500c57913:0x2b18c20e8ac1cd6d!8m2!3d-8.7382617!4d118.4343005!16s%2Fg%2F11fn0fhsd8?authuser=0&hl=id&entry=ttu","118.4343005","-8.7382617","Situs Web","posindonesia.co.id"
