"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Blangkejeren","Kantor Pos",3.2,13,"unknown","https://www.google.com/maps/place/Kantor+Pos+Blangkejeren/data=!4m7!3m6!1s0x30399687d2ac9c8d:0xc8a0963835d4975f!8m2!3d3.9966278!4d97.3381968!16s%2Fg%2F1pzwkx2xp!19sChIJjZys0oeWOTARX5fUNTiWoMg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Blangkejeren/@3.9966278,97.3381968,17z/data=!3m1!4b1!4m6!3m5!1s0x30399687d2ac9c8d:0xc8a0963835d4975f!8m2!3d3.9966278!4d97.3381968!16s%2Fg%2F1pzwkx2xp?authuser=0&hl=id&entry=ttu","97.3381968","3.9966278","Alamat","JL. Brigjend Ridwan Karim No.84, Kuta Lintang, Kec. Blangkejeren, Kabupaten Gayo Lues, Aceh 24653"
"Kantor Pos Blangkejeren","Kantor Pos",3.2,13,"unknown","https://www.google.com/maps/place/Kantor+Pos+Blangkejeren/data=!4m7!3m6!1s0x30399687d2ac9c8d:0xc8a0963835d4975f!8m2!3d3.9966278!4d97.3381968!16s%2Fg%2F1pzwkx2xp!19sChIJjZys0oeWOTARX5fUNTiWoMg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Blangkejeren/@3.9966278,97.3381968,17z/data=!3m1!4b1!4m6!3m5!1s0x30399687d2ac9c8d:0xc8a0963835d4975f!8m2!3d3.9966278!4d97.3381968!16s%2Fg%2F1pzwkx2xp?authuser=0&hl=id&entry=ttu","97.3381968","3.9966278","Situs Web","posindonesia.co.id"
"Kantor Pos Blangkejeren","Kantor Pos",3.2,13,"unknown","https://www.google.com/maps/place/Kantor+Pos+Blangkejeren/data=!4m7!3m6!1s0x30399687d2ac9c8d:0xc8a0963835d4975f!8m2!3d3.9966278!4d97.3381968!16s%2Fg%2F1pzwkx2xp!19sChIJjZys0oeWOTARX5fUNTiWoMg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Blangkejeren/@3.9966278,97.3381968,17z/data=!3m1!4b1!4m6!3m5!1s0x30399687d2ac9c8d:0xc8a0963835d4975f!8m2!3d3.9966278!4d97.3381968!16s%2Fg%2F1pzwkx2xp?authuser=0&hl=id&entry=ttu","97.3381968","3.9966278","Telepon","(0642) 21171"
"Kantor Pos Blangkejeren","Kantor Pos",3.2,13,"unknown","https://www.google.com/maps/place/Kantor+Pos+Blangkejeren/data=!4m7!3m6!1s0x30399687d2ac9c8d:0xc8a0963835d4975f!8m2!3d3.9966278!4d97.3381968!16s%2Fg%2F1pzwkx2xp!19sChIJjZys0oeWOTARX5fUNTiWoMg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Blangkejeren/@3.9966278,97.3381968,17z/data=!3m1!4b1!4m6!3m5!1s0x30399687d2ac9c8d:0xc8a0963835d4975f!8m2!3d3.9966278!4d97.3381968!16s%2Fg%2F1pzwkx2xp?authuser=0&hl=id&entry=ttu","97.3381968","3.9966278","Plus Codes","X8WQ+M7 Kuta Lintang, Kabupaten Gayo Lues, Aceh"
"Pos Aja! Drop Point","Kantor Pos",NA,NA,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Pos+Aja!+Drop+Point/data=!4m7!3m6!1s0x303997729d410233:0x9f7aab4a7e1ac99d!8m2!3d3.9966324!4d97.338208!16s%2Fg%2F11t881ncrp!19sChIJMwJBnXKXOTARnckafkqrep8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Aja!+Drop+Point/@3.9966324,97.338208,17z/data=!3m1!4b1!4m6!3m5!1s0x303997729d410233:0x9f7aab4a7e1ac99d!8m2!3d3.9966324!4d97.338208!16s%2Fg%2F11t881ncrp?authuser=0&hl=id&entry=ttu","97.338208","3.9966324","Alamat","Jln. Brigjen Ridwan Karim No.84, Kuta Lintang, Kec. Blangkejeren, Kabupaten Gayo Lues, Aceh"
"Pos Aja! Drop Point","Kantor Pos",NA,NA,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Pos+Aja!+Drop+Point/data=!4m7!3m6!1s0x303997729d410233:0x9f7aab4a7e1ac99d!8m2!3d3.9966324!4d97.338208!16s%2Fg%2F11t881ncrp!19sChIJMwJBnXKXOTARnckafkqrep8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Aja!+Drop+Point/@3.9966324,97.338208,17z/data=!3m1!4b1!4m6!3m5!1s0x303997729d410233:0x9f7aab4a7e1ac99d!8m2!3d3.9966324!4d97.338208!16s%2Fg%2F11t881ncrp?authuser=0&hl=id&entry=ttu","97.338208","3.9966324","Plus Codes","X8WQ+M7 Kuta Lintang, Kabupaten Gayo Lues, Aceh"
"Pos Perbatasan Dinas Perhubungan Gayo Lues","Kantor Pemerintah",NA,NA,"unknown","https://www.google.com/maps/place/Pos+Perbatasan+Dinas+Perhubungan+Gayo+Lues/data=!4m7!3m6!1s0x30396dfb0940472d:0x78aa63b3fc800b4d!8m2!3d4.020267!4d96.8863638!16s%2Fg%2F11j7vq8h0j!19sChIJLUdACfttOTARTQuA_LNjqng?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Perbatasan+Dinas+Perhubungan+Gayo+Lues/@4.020267,96.8863638,17z/data=!3m1!4b1!4m6!3m5!1s0x30396dfb0940472d:0x78aa63b3fc800b4d!8m2!3d4.020267!4d96.8863638!16s%2Fg%2F11j7vq8h0j?authuser=0&hl=id&entry=ttu","96.8863638","4.020267","Alamat","2VCP+4G5, Unnamed Road, Persada Tongra, Kec. Terangun, Kabupaten Gayo Lues, Aceh 24656"
"Pos Lantas Gayo Lues","Polisi Lalu Lintas",NA,NA,"Buka 24 jam","https://www.google.com/maps/place/Pos+Lantas+Gayo+Lues/data=!4m7!3m6!1s0x30399760b9e17f59:0x8de9bdecad5064f4!8m2!3d3.9966938!4d97.3415534!16s%2Fg%2F11f5t36chx!19sChIJWX_huWCXOTAR9GRQrey96Y0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Lantas+Gayo+Lues/@3.9966938,97.3415534,17z/data=!3m1!4b1!4m6!3m5!1s0x30399760b9e17f59:0x8de9bdecad5064f4!8m2!3d3.9966938!4d97.3415534!16s%2Fg%2F11f5t36chx?authuser=0&hl=id&entry=ttu","97.3415534","3.9966938","Alamat","Jalan Soekarno-Hatta No.001, Kuta Lintang, Kec. Blangkejeren, Kabupaten Gayo Lues, Aceh 24653"
"Pos Lantas Gayo Lues","Polisi Lalu Lintas",NA,NA,"Buka 24 jam","https://www.google.com/maps/place/Pos+Lantas+Gayo+Lues/data=!4m7!3m6!1s0x30399760b9e17f59:0x8de9bdecad5064f4!8m2!3d3.9966938!4d97.3415534!16s%2Fg%2F11f5t36chx!19sChIJWX_huWCXOTAR9GRQrey96Y0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Lantas+Gayo+Lues/@3.9966938,97.3415534,17z/data=!3m1!4b1!4m6!3m5!1s0x30399760b9e17f59:0x8de9bdecad5064f4!8m2!3d3.9966938!4d97.3415534!16s%2Fg%2F11f5t36chx?authuser=0&hl=id&entry=ttu","97.3415534","3.9966938","Telepon","0812-6299-0575"
"Pos Lantas Gayo Lues","Polisi Lalu Lintas",NA,NA,"Buka 24 jam","https://www.google.com/maps/place/Pos+Lantas+Gayo+Lues/data=!4m7!3m6!1s0x30399760b9e17f59:0x8de9bdecad5064f4!8m2!3d3.9966938!4d97.3415534!16s%2Fg%2F11f5t36chx!19sChIJWX_huWCXOTAR9GRQrey96Y0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Lantas+Gayo+Lues/@3.9966938,97.3415534,17z/data=!3m1!4b1!4m6!3m5!1s0x30399760b9e17f59:0x8de9bdecad5064f4!8m2!3d3.9966938!4d97.3415534!16s%2Fg%2F11f5t36chx?authuser=0&hl=id&entry=ttu","97.3415534","3.9966938","Plus Codes","X8WR+MJ Kuta Lintang, Kabupaten Gayo Lues, Aceh"
"Pos Perbatasan ( Dinas Perhubungan)","Kantor Pemerintah",NA,NA,"unknown","https://www.google.com/maps/place/Pos+Perbatasan+%28+Dinas+Perhubungan%29/data=!4m7!3m6!1s0x3039a974b22d7885:0x3fb91dd05967d778!8m2!3d4.2783209!4d97.162295!16s%2Fg%2F11j22ryzsq!19sChIJhXgtsnSpOTAReNdnWdAduT8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Perbatasan+(+Dinas+Perhubungan)/@4.2783209,97.162295,17z/data=!3m1!4b1!4m6!3m5!1s0x3039a974b22d7885:0x3fb91dd05967d778!8m2!3d4.2783209!4d97.162295!16s%2Fg%2F11j22ryzsq?authuser=0&hl=id&entry=ttu","97.162295","4.2783209","Alamat","75H6+8WF, Kenyaran, Kec. Pantan Cuaca, Kabupaten Gayo Lues, Aceh 24563"
"POS LANTAS KOTA","Kantor Perusahaan",5,3,"Buka 24 jam","https://www.google.com/maps/place/POS+LANTAS+KOTA/data=!4m7!3m6!1s0x3039978751b32c8f:0x195917a8afa4378c!8m2!3d3.9949015!4d97.341541!16s%2Fg%2F11h5vlwvbb!19sChIJjyyzUYeXOTARjDekr6gXWRk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/POS+LANTAS+KOTA/@3.9949015,97.341541,17z/data=!3m1!4b1!4m6!3m5!1s0x3039978751b32c8f:0x195917a8afa4378c!8m2!3d3.9949015!4d97.341541!16s%2Fg%2F11h5vlwvbb?authuser=0&hl=id&entry=ttu","97.341541","3.9949015","Alamat","X8VR+XJ7, Kota Blangkejeren, Kec. Blangkejeren, Kabupaten Gayo Lues, Aceh 24653"
"POS LANTAS KOTA","Kantor Perusahaan",5,3,"Buka 24 jam","https://www.google.com/maps/place/POS+LANTAS+KOTA/data=!4m7!3m6!1s0x3039978751b32c8f:0x195917a8afa4378c!8m2!3d3.9949015!4d97.341541!16s%2Fg%2F11h5vlwvbb!19sChIJjyyzUYeXOTARjDekr6gXWRk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/POS+LANTAS+KOTA/@3.9949015,97.341541,17z/data=!3m1!4b1!4m6!3m5!1s0x3039978751b32c8f:0x195917a8afa4378c!8m2!3d3.9949015!4d97.341541!16s%2Fg%2F11h5vlwvbb?authuser=0&hl=id&entry=ttu","97.341541","3.9949015","Telepon","(0645) 21110"
"Pos kamling desa Sangir","Asosiasi atau Organisasi",NA,NA,"unknown","https://www.google.com/maps/place/Pos+kamling+desa+Sangir/data=!4m7!3m6!1s0x303995361d394b55:0xd2dbd37373c8767c!8m2!3d3.9932603!4d97.3984005!16s%2Fg%2F11rz2kn3l8!19sChIJVUs5HTaVOTARfHbIc3PT29I?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+kamling+desa+Sangir/@3.9932603,97.3984005,17z/data=!3m1!4b1!4m6!3m5!1s0x303995361d394b55:0xd2dbd37373c8767c!8m2!3d3.9932603!4d97.3984005!16s%2Fg%2F11rz2kn3l8?authuser=0&hl=id&entry=ttu","97.3984005","3.9932603","Alamat","X9VX+892, Sangir, Kec. Dabun Gelang, Kabupaten Gayo Lues, Aceh 24655"
