"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Sungguminasa","Kantor Pos",2.5,88,"Segera tutup ⋅ 15.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Sungguminasa/data=!4m7!3m6!1s0x2dbee2254ec63347:0x33ebedba2e3756e4!8m2!3d-5.2068159!4d119.4542458!16s%2Fg%2F1hm31v4th!19sChIJRzPGTiXivi0R5FY3Lrrt6zM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Sungguminasa/@-5.2068159,119.4542458,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee2254ec63347:0x33ebedba2e3756e4!8m2!3d-5.2068159!4d119.4542458!16s%2Fg%2F1hm31v4th?authuser=0&hl=id&entry=ttu","119.4542458","-5.2068159","Alamat","Jl. Andi Mallombasang No.91, RT.001/RW.1, Sungguminasa, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92114"
"Kantor Pos Sungguminasa","Kantor Pos",2.5,88,"Segera tutup ⋅ 15.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Sungguminasa/data=!4m7!3m6!1s0x2dbee2254ec63347:0x33ebedba2e3756e4!8m2!3d-5.2068159!4d119.4542458!16s%2Fg%2F1hm31v4th!19sChIJRzPGTiXivi0R5FY3Lrrt6zM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Sungguminasa/@-5.2068159,119.4542458,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee2254ec63347:0x33ebedba2e3756e4!8m2!3d-5.2068159!4d119.4542458!16s%2Fg%2F1hm31v4th?authuser=0&hl=id&entry=ttu","119.4542458","-5.2068159","Situs Web","posindonesia.co.id"
"Kantor Pos Sungguminasa","Kantor Pos",2.5,88,"Segera tutup ⋅ 15.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Sungguminasa/data=!4m7!3m6!1s0x2dbee2254ec63347:0x33ebedba2e3756e4!8m2!3d-5.2068159!4d119.4542458!16s%2Fg%2F1hm31v4th!19sChIJRzPGTiXivi0R5FY3Lrrt6zM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Sungguminasa/@-5.2068159,119.4542458,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee2254ec63347:0x33ebedba2e3756e4!8m2!3d-5.2068159!4d119.4542458!16s%2Fg%2F1hm31v4th?authuser=0&hl=id&entry=ttu","119.4542458","-5.2068159","Telepon","(0411) 861023"
"Kantor Pos Sungguminasa","Kantor Pos",2.5,88,"Segera tutup ⋅ 15.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Sungguminasa/data=!4m7!3m6!1s0x2dbee2254ec63347:0x33ebedba2e3756e4!8m2!3d-5.2068159!4d119.4542458!16s%2Fg%2F1hm31v4th!19sChIJRzPGTiXivi0R5FY3Lrrt6zM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Sungguminasa/@-5.2068159,119.4542458,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee2254ec63347:0x33ebedba2e3756e4!8m2!3d-5.2068159!4d119.4542458!16s%2Fg%2F1hm31v4th?authuser=0&hl=id&entry=ttu","119.4542458","-5.2068159","Plus Codes","QFV3+7M Sungguminasa, Kabupaten Gowa, Sulawesi Selatan"
"KANTOR POS GOWA DUNGGUMINASACABANG","Kantor Perusahaan",2.3,3,"unknown","https://www.google.com/maps/place/KANTOR+POS+GOWA+DUNGGUMINASACABANG/data=!4m7!3m6!1s0x2dbee3a0f832e0ef:0x44eb8698d7dacbce!8m2!3d-5.209394!4d119.4565931!16s%2Fg%2F11h4rwgyjb!19sChIJ7-Ay-KDjvi0Rzsva15iG60Q?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/KANTOR+POS+GOWA+DUNGGUMINASACABANG/@-5.209394,119.4565931,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee3a0f832e0ef:0x44eb8698d7dacbce!8m2!3d-5.209394!4d119.4565931!16s%2Fg%2F11h4rwgyjb?authuser=0&hl=id&entry=ttu","119.4565931","-5.209394","Alamat","QFR4+6JW, Unnamed Road, Bonto Bontoa, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92113"
"Pos Polantas Res Gowa","Polisi Lalu Lintas",3.3,3,"unknown","https://www.google.com/maps/place/Pos+Polantas+Res+Gowa/data=!4m7!3m6!1s0x2dbee22f3b4cecf3:0x282d99da7ba5bdcc!8m2!3d-5.20877!4d119.4545901!16s%2Fg%2F11c1n5lmsb!19sChIJ8-xMOy_ivi0RzL2le9qZLSg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Polantas+Res+Gowa/@-5.20877,119.4545901,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee22f3b4cecf3:0x282d99da7ba5bdcc!8m2!3d-5.20877!4d119.4545901!16s%2Fg%2F11c1n5lmsb?authuser=0&hl=id&entry=ttu","119.4545901","-5.20877","Alamat","Jl. K. H. Wahid Hasyim No.211 A, Sungguminasa, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92113"
"Pos Polantas Res Gowa","Polisi Lalu Lintas",3.3,3,"unknown","https://www.google.com/maps/place/Pos+Polantas+Res+Gowa/data=!4m7!3m6!1s0x2dbee22f3b4cecf3:0x282d99da7ba5bdcc!8m2!3d-5.20877!4d119.4545901!16s%2Fg%2F11c1n5lmsb!19sChIJ8-xMOy_ivi0RzL2le9qZLSg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Polantas+Res+Gowa/@-5.20877,119.4545901,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee22f3b4cecf3:0x282d99da7ba5bdcc!8m2!3d-5.20877!4d119.4545901!16s%2Fg%2F11c1n5lmsb?authuser=0&hl=id&entry=ttu","119.4545901","-5.20877","Plus Codes","QFR3+FR Sungguminasa, Kabupaten Gowa, Sulawesi Selatan"
"Kantor Pos (Agen Pos Tita Pratama)","Layanan Surat",NA,NA,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Kantor+Pos+%28Agen+Pos+Tita+Pratama%29/data=!4m7!3m6!1s0x2dbee3d462340ba1:0xe1d1b54b1fe85872!8m2!3d-5.2100362!4d119.4674772!16s%2Fg%2F11f3q8xw0t!19sChIJoQs0YtTjvi0RcljoH0u10eE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+(Agen+Pos+Tita+Pratama)/@-5.2100362,119.4674772,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee3d462340ba1:0xe1d1b54b1fe85872!8m2!3d-5.2100362!4d119.4674772!16s%2Fg%2F11f3q8xw0t?authuser=0&hl=id&entry=ttu","119.4674772","-5.2100362","Alamat","Gowa Lestari, Jl. Yusuf Bauty No.8, Batangkaluku, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92117"
"Kantor Pos (Agen Pos Tita Pratama)","Layanan Surat",NA,NA,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Kantor+Pos+%28Agen+Pos+Tita+Pratama%29/data=!4m7!3m6!1s0x2dbee3d462340ba1:0xe1d1b54b1fe85872!8m2!3d-5.2100362!4d119.4674772!16s%2Fg%2F11f3q8xw0t!19sChIJoQs0YtTjvi0RcljoH0u10eE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+(Agen+Pos+Tita+Pratama)/@-5.2100362,119.4674772,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee3d462340ba1:0xe1d1b54b1fe85872!8m2!3d-5.2100362!4d119.4674772!16s%2Fg%2F11f3q8xw0t?authuser=0&hl=id&entry=ttu","119.4674772","-5.2100362","Situs Web","posindonesia.co.id"
"Kantor Pos (Agen Pos Tita Pratama)","Layanan Surat",NA,NA,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Kantor+Pos+%28Agen+Pos+Tita+Pratama%29/data=!4m7!3m6!1s0x2dbee3d462340ba1:0xe1d1b54b1fe85872!8m2!3d-5.2100362!4d119.4674772!16s%2Fg%2F11f3q8xw0t!19sChIJoQs0YtTjvi0RcljoH0u10eE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+(Agen+Pos+Tita+Pratama)/@-5.2100362,119.4674772,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee3d462340ba1:0xe1d1b54b1fe85872!8m2!3d-5.2100362!4d119.4674772!16s%2Fg%2F11f3q8xw0t?authuser=0&hl=id&entry=ttu","119.4674772","-5.2100362","Telepon","0822-1188-1120"
