"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Tumbang Jutuh Kecamatan Rungan","Kantor Pos",3.7,9,"unknown","https://www.google.com/maps/place/Kantor+Pos+Tumbang+Jutuh+Kecamatan+Rungan/data=!4m7!3m6!1s0x2dfc385555555535:0x8e12c514d8b23cb9!8m2!3d-1.2901271!4d113.5739967!16s%2Fg%2F11b5wl2p8c!19sChIJNVVVVVU4_C0RuTyy2BTFEo4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Tumbang+Jutuh+Kecamatan+Rungan/@-1.2901271,113.5739967,17z/data=!3m1!4b1!4m6!3m5!1s0x2dfc385555555535:0x8e12c514d8b23cb9!8m2!3d-1.2901271!4d113.5739967!16s%2Fg%2F11b5wl2p8c?authuser=0&hl=id&entry=ttu","113.5739967","-1.2901271","Alamat","Jakatan Raya, Kec. Rungan, Kabupaten Gunung MAS, Kalimantan Tengah 74562"
"Kantor Pos Tumbang Jutuh Kecamatan Rungan","Kantor Pos",3.7,9,"unknown","https://www.google.com/maps/place/Kantor+Pos+Tumbang+Jutuh+Kecamatan+Rungan/data=!4m7!3m6!1s0x2dfc385555555535:0x8e12c514d8b23cb9!8m2!3d-1.2901271!4d113.5739967!16s%2Fg%2F11b5wl2p8c!19sChIJNVVVVVU4_C0RuTyy2BTFEo4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Tumbang+Jutuh+Kecamatan+Rungan/@-1.2901271,113.5739967,17z/data=!3m1!4b1!4m6!3m5!1s0x2dfc385555555535:0x8e12c514d8b23cb9!8m2!3d-1.2901271!4d113.5739967!16s%2Fg%2F11b5wl2p8c?authuser=0&hl=id&entry=ttu","113.5739967","-1.2901271","Situs Web","posindonesia.co.id"
"Kantor Pos Tumbang Jutuh Kecamatan Rungan","Kantor Pos",3.7,9,"unknown","https://www.google.com/maps/place/Kantor+Pos+Tumbang+Jutuh+Kecamatan+Rungan/data=!4m7!3m6!1s0x2dfc385555555535:0x8e12c514d8b23cb9!8m2!3d-1.2901271!4d113.5739967!16s%2Fg%2F11b5wl2p8c!19sChIJNVVVVVU4_C0RuTyy2BTFEo4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Tumbang+Jutuh+Kecamatan+Rungan/@-1.2901271,113.5739967,17z/data=!3m1!4b1!4m6!3m5!1s0x2dfc385555555535:0x8e12c514d8b23cb9!8m2!3d-1.2901271!4d113.5739967!16s%2Fg%2F11b5wl2p8c?authuser=0&hl=id&entry=ttu","113.5739967","-1.2901271","Telepon","(0513) 21102"
"Kantor Pos Tumbang Jutuh Kecamatan Rungan","Kantor Pos",3.7,9,"unknown","https://www.google.com/maps/place/Kantor+Pos+Tumbang+Jutuh+Kecamatan+Rungan/data=!4m7!3m6!1s0x2dfc385555555535:0x8e12c514d8b23cb9!8m2!3d-1.2901271!4d113.5739967!16s%2Fg%2F11b5wl2p8c!19sChIJNVVVVVU4_C0RuTyy2BTFEo4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Tumbang+Jutuh+Kecamatan+Rungan/@-1.2901271,113.5739967,17z/data=!3m1!4b1!4m6!3m5!1s0x2dfc385555555535:0x8e12c514d8b23cb9!8m2!3d-1.2901271!4d113.5739967!16s%2Fg%2F11b5wl2p8c?authuser=0&hl=id&entry=ttu","113.5739967","-1.2901271","Plus Codes","PH5F+WH Jakatan Raya, Kabupaten Gunung MAS, Kalimantan Tengah"
"Kantor Pos Kuala Kurun","Kantor Pos",4.2,29,"Buka ⋅ Tutup pukul 15.00","https://www.google.com/maps/place/Kantor+Pos+Kuala+Kurun/data=!4m7!3m6!1s0x2dfea74e5597aa41:0xc0630d0eda2c740!8m2!3d-1.0979296!4d113.8675333!16s%2Fg%2F11xflc5nq!19sChIJQaqXVU6n_i0RQMei7dAwBgw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Kuala+Kurun/@-1.0979296,113.8675333,17z/data=!3m1!4b1!4m6!3m5!1s0x2dfea74e5597aa41:0xc0630d0eda2c740!8m2!3d-1.0979296!4d113.8675333!16s%2Fg%2F11xflc5nq?authuser=0&hl=id&entry=ttu","113.8675333","-1.0979296","Alamat","Jl. Sangkurun No.8, Kuala Kurun, Kec. Kurun, Kabupaten Gunung MAS, Kalimantan Tengah 74500"
"Kantor Pos Kuala Kurun","Kantor Pos",4.2,29,"Buka ⋅ Tutup pukul 15.00","https://www.google.com/maps/place/Kantor+Pos+Kuala+Kurun/data=!4m7!3m6!1s0x2dfea74e5597aa41:0xc0630d0eda2c740!8m2!3d-1.0979296!4d113.8675333!16s%2Fg%2F11xflc5nq!19sChIJQaqXVU6n_i0RQMei7dAwBgw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Kuala+Kurun/@-1.0979296,113.8675333,17z/data=!3m1!4b1!4m6!3m5!1s0x2dfea74e5597aa41:0xc0630d0eda2c740!8m2!3d-1.0979296!4d113.8675333!16s%2Fg%2F11xflc5nq?authuser=0&hl=id&entry=ttu","113.8675333","-1.0979296","Situs Web","posindonesia.co.id"
"Kantor Pos Kuala Kurun","Kantor Pos",4.2,29,"Buka ⋅ Tutup pukul 15.00","https://www.google.com/maps/place/Kantor+Pos+Kuala+Kurun/data=!4m7!3m6!1s0x2dfea74e5597aa41:0xc0630d0eda2c740!8m2!3d-1.0979296!4d113.8675333!16s%2Fg%2F11xflc5nq!19sChIJQaqXVU6n_i0RQMei7dAwBgw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Kuala+Kurun/@-1.0979296,113.8675333,17z/data=!3m1!4b1!4m6!3m5!1s0x2dfea74e5597aa41:0xc0630d0eda2c740!8m2!3d-1.0979296!4d113.8675333!16s%2Fg%2F11xflc5nq?authuser=0&hl=id&entry=ttu","113.8675333","-1.0979296","Telepon","(0537) 31030"
"Kantor Pos Kuala Kurun","Kantor Pos",4.2,29,"Buka ⋅ Tutup pukul 15.00","https://www.google.com/maps/place/Kantor+Pos+Kuala+Kurun/data=!4m7!3m6!1s0x2dfea74e5597aa41:0xc0630d0eda2c740!8m2!3d-1.0979296!4d113.8675333!16s%2Fg%2F11xflc5nq!19sChIJQaqXVU6n_i0RQMei7dAwBgw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Kuala+Kurun/@-1.0979296,113.8675333,17z/data=!3m1!4b1!4m6!3m5!1s0x2dfea74e5597aa41:0xc0630d0eda2c740!8m2!3d-1.0979296!4d113.8675333!16s%2Fg%2F11xflc5nq?authuser=0&hl=id&entry=ttu","113.8675333","-1.0979296","Plus Codes","WV29+R2 Kuala Kurun, Kabupaten Gunung MAS, Kalimantan Tengah"
"Kantorpos Sepang Simin","Kantor Pos",3,1,"unknown","https://www.google.com/maps/place/Kantorpos+Sepang+Simin/data=!4m7!3m6!1s0x2dfc1daaaaaaaaf3:0xde2637a37905bdda!8m2!3d-1.143342!4d113.906062!16s%2Fg%2F11b5wllbjp!19sChIJ86qqqqod_C0R2r0FeaM3Jt4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Sepang+Simin/@-1.143342,113.906062,17z/data=!3m1!4b1!4m6!3m5!1s0x2dfc1daaaaaaaaf3:0xde2637a37905bdda!8m2!3d-1.143342!4d113.906062!16s%2Fg%2F11b5wllbjp?authuser=0&hl=id&entry=ttu","113.906062","-1.143342","Alamat","Petak Bahandang, Kec. Kurun, Kabupaten Gunung MAS, Kalimantan Tengah 74571"
"Kantorpos Sepang Simin","Kantor Pos",3,1,"unknown","https://www.google.com/maps/place/Kantorpos+Sepang+Simin/data=!4m7!3m6!1s0x2dfc1daaaaaaaaf3:0xde2637a37905bdda!8m2!3d-1.143342!4d113.906062!16s%2Fg%2F11b5wllbjp!19sChIJ86qqqqod_C0R2r0FeaM3Jt4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Sepang+Simin/@-1.143342,113.906062,17z/data=!3m1!4b1!4m6!3m5!1s0x2dfc1daaaaaaaaf3:0xde2637a37905bdda!8m2!3d-1.143342!4d113.906062!16s%2Fg%2F11b5wllbjp?authuser=0&hl=id&entry=ttu","113.906062","-1.143342","Situs Web","posindonesia.co.id"
