"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Wonosari Yogya","Kantor Pos",3.7,75,"Segera tutup ⋅ 22.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Wonosari+Yogya/data=!4m7!3m6!1s0x2e7bb3465702aee3:0xaea1fe5e0e2de9d3!8m2!3d-7.9656715!4d110.6001571!16s%2Fg%2F1q6b9rbyf!19sChIJ464CV0azey4R0-ktDl7-oa4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Wonosari+Yogya/@-7.9656715,110.6001571,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bb3465702aee3:0xaea1fe5e0e2de9d3!8m2!3d-7.9656715!4d110.6001571!16s%2Fg%2F1q6b9rbyf?authuser=0&hl=id&entry=ttu","110.6001571","-7.9656715","Alamat","Jalan Brigjen Katamso No. 12, Kepek, Wonosari, Trimulyo I, Kepek, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55813"
"Kantor Pos Wonosari Yogya","Kantor Pos",3.7,75,"Segera tutup ⋅ 22.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Wonosari+Yogya/data=!4m7!3m6!1s0x2e7bb3465702aee3:0xaea1fe5e0e2de9d3!8m2!3d-7.9656715!4d110.6001571!16s%2Fg%2F1q6b9rbyf!19sChIJ464CV0azey4R0-ktDl7-oa4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Wonosari+Yogya/@-7.9656715,110.6001571,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bb3465702aee3:0xaea1fe5e0e2de9d3!8m2!3d-7.9656715!4d110.6001571!16s%2Fg%2F1q6b9rbyf?authuser=0&hl=id&entry=ttu","110.6001571","-7.9656715","Situs Web","posindonesia.co.id"
"Kantor Pos Wonosari Yogya","Kantor Pos",3.7,75,"Segera tutup ⋅ 22.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Wonosari+Yogya/data=!4m7!3m6!1s0x2e7bb3465702aee3:0xaea1fe5e0e2de9d3!8m2!3d-7.9656715!4d110.6001571!16s%2Fg%2F1q6b9rbyf!19sChIJ464CV0azey4R0-ktDl7-oa4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Wonosari+Yogya/@-7.9656715,110.6001571,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bb3465702aee3:0xaea1fe5e0e2de9d3!8m2!3d-7.9656715!4d110.6001571!16s%2Fg%2F1q6b9rbyf?authuser=0&hl=id&entry=ttu","110.6001571","-7.9656715","Telepon","(0274) 391129"
"Kantor Pos Wonosari Yogya","Kantor Pos",3.7,75,"Segera tutup ⋅ 22.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Wonosari+Yogya/data=!4m7!3m6!1s0x2e7bb3465702aee3:0xaea1fe5e0e2de9d3!8m2!3d-7.9656715!4d110.6001571!16s%2Fg%2F1q6b9rbyf!19sChIJ464CV0azey4R0-ktDl7-oa4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Wonosari+Yogya/@-7.9656715,110.6001571,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bb3465702aee3:0xaea1fe5e0e2de9d3!8m2!3d-7.9656715!4d110.6001571!16s%2Fg%2F1q6b9rbyf?authuser=0&hl=id&entry=ttu","110.6001571","-7.9656715","Plus Codes","2JM2+P3 Kepek, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta"
"Kantor Pos","Kantor Pos",5,2,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x2e7a4ccd061e4383:0x3b6df65f7a5536b4!8m2!3d-7.9474609!4d110.5833789!16s%2Fg%2F11g6xrnd73!19sChIJg0MeBs1Mei4RtDZVel_2bTs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@-7.9474609,110.5833789,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a4ccd061e4383:0x3b6df65f7a5536b4!8m2!3d-7.9474609!4d110.5833789!16s%2Fg%2F11g6xrnd73?authuser=0&hl=id&entry=ttu","110.5833789","-7.9474609","Alamat","3H3M+296, Jalan Wonosari-Yogya, Wonosari, Siyono Wetan, Logandeng, Kec. Playen, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55861"
"Kantor Pos","Kantor Pos",5,2,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x2e7a4ccd061e4383:0x3b6df65f7a5536b4!8m2!3d-7.9474609!4d110.5833789!16s%2Fg%2F11g6xrnd73!19sChIJg0MeBs1Mei4RtDZVel_2bTs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@-7.9474609,110.5833789,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a4ccd061e4383:0x3b6df65f7a5536b4!8m2!3d-7.9474609!4d110.5833789!16s%2Fg%2F11g6xrnd73?authuser=0&hl=id&entry=ttu","110.5833789","-7.9474609","Situs Web","posindonesia.co.id"
"Kantor Pos","Kantor Pos",5,2,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x2e7a4ccd061e4383:0x3b6df65f7a5536b4!8m2!3d-7.9474609!4d110.5833789!16s%2Fg%2F11g6xrnd73!19sChIJg0MeBs1Mei4RtDZVel_2bTs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@-7.9474609,110.5833789,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a4ccd061e4383:0x3b6df65f7a5536b4!8m2!3d-7.9474609!4d110.5833789!16s%2Fg%2F11g6xrnd73?authuser=0&hl=id&entry=ttu","110.5833789","-7.9474609","Telepon","(0274) 392724"
"Kantor Pos Karunia","Kantor Pos",5,4,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Karunia/data=!4m7!3m6!1s0x2e7bb3469362eca9:0xaf81ad80e55cf892!8m2!3d-7.9624525!4d110.597088!16s%2Fg%2F11c48645hh!19sChIJqexik0azey4Rkvhc5YCtga8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Karunia/@-7.9624525,110.597088,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bb3469362eca9:0xaf81ad80e55cf892!8m2!3d-7.9624525!4d110.597088!16s%2Fg%2F11c48645hh?authuser=0&hl=id&entry=ttu","110.597088","-7.9624525","Alamat","Jl. KH Agus Salim No.33, Kepek I, Kepek, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55813"
"Kantor Pos Karunia","Kantor Pos",5,4,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Karunia/data=!4m7!3m6!1s0x2e7bb3469362eca9:0xaf81ad80e55cf892!8m2!3d-7.9624525!4d110.597088!16s%2Fg%2F11c48645hh!19sChIJqexik0azey4Rkvhc5YCtga8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Karunia/@-7.9624525,110.597088,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bb3469362eca9:0xaf81ad80e55cf892!8m2!3d-7.9624525!4d110.597088!16s%2Fg%2F11c48645hh?authuser=0&hl=id&entry=ttu","110.597088","-7.9624525","Situs Web","facebook.com"
"Kantor Pos Karunia","Kantor Pos",5,4,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Karunia/data=!4m7!3m6!1s0x2e7bb3469362eca9:0xaf81ad80e55cf892!8m2!3d-7.9624525!4d110.597088!16s%2Fg%2F11c48645hh!19sChIJqexik0azey4Rkvhc5YCtga8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Karunia/@-7.9624525,110.597088,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bb3469362eca9:0xaf81ad80e55cf892!8m2!3d-7.9624525!4d110.597088!16s%2Fg%2F11c48645hh?authuser=0&hl=id&entry=ttu","110.597088","-7.9624525","Telepon","0878-3823-7227"
