"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Ilung","Kantor Pos",5,2,"unknown","https://www.google.com/maps/place/Kantor+Pos+Ilung/data=!4m7!3m6!1s0x2de569cf6aaaaaa3:0x276e66d0b67f4e68!8m2!3d-2.5264666!4d115.410728!16s%2Fg%2F11b5wmwddr!19sChIJo6qqas9p5S0RaE5_ttBmbic?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Ilung/@-2.5264666,115.410728,17z/data=!3m1!4b1!4m6!3m5!1s0x2de569cf6aaaaaa3:0x276e66d0b67f4e68!8m2!3d-2.5264666!4d115.410728!16s%2Fg%2F11b5wmwddr?authuser=0&hl=id&entry=ttu","115.410728","-2.5264666","Alamat","Ilung Ps. Lama, Kec. Batang Alai Utara, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71391"
"Kantor Pos Ilung","Kantor Pos",5,2,"unknown","https://www.google.com/maps/place/Kantor+Pos+Ilung/data=!4m7!3m6!1s0x2de569cf6aaaaaa3:0x276e66d0b67f4e68!8m2!3d-2.5264666!4d115.410728!16s%2Fg%2F11b5wmwddr!19sChIJo6qqas9p5S0RaE5_ttBmbic?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Ilung/@-2.5264666,115.410728,17z/data=!3m1!4b1!4m6!3m5!1s0x2de569cf6aaaaaa3:0x276e66d0b67f4e68!8m2!3d-2.5264666!4d115.410728!16s%2Fg%2F11b5wmwddr?authuser=0&hl=id&entry=ttu","115.410728","-2.5264666","Situs Web","posindonesia.co.id"
"Kantor Pos Ilung","Kantor Pos",5,2,"unknown","https://www.google.com/maps/place/Kantor+Pos+Ilung/data=!4m7!3m6!1s0x2de569cf6aaaaaa3:0x276e66d0b67f4e68!8m2!3d-2.5264666!4d115.410728!16s%2Fg%2F11b5wmwddr!19sChIJo6qqas9p5S0RaE5_ttBmbic?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Ilung/@-2.5264666,115.410728,17z/data=!3m1!4b1!4m6!3m5!1s0x2de569cf6aaaaaa3:0x276e66d0b67f4e68!8m2!3d-2.5264666!4d115.410728!16s%2Fg%2F11b5wmwddr?authuser=0&hl=id&entry=ttu","115.410728","-2.5264666","Telepon","(0517) 41003"
"Kantor Pos Ilung","Kantor Pos",5,2,"unknown","https://www.google.com/maps/place/Kantor+Pos+Ilung/data=!4m7!3m6!1s0x2de569cf6aaaaaa3:0x276e66d0b67f4e68!8m2!3d-2.5264666!4d115.410728!16s%2Fg%2F11b5wmwddr!19sChIJo6qqas9p5S0RaE5_ttBmbic?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Ilung/@-2.5264666,115.410728,17z/data=!3m1!4b1!4m6!3m5!1s0x2de569cf6aaaaaa3:0x276e66d0b67f4e68!8m2!3d-2.5264666!4d115.410728!16s%2Fg%2F11b5wmwddr?authuser=0&hl=id&entry=ttu","115.410728","-2.5264666","Plus Codes","FCF6+C7 Ilung Ps. Lama, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan"
"POS RONDA Desa pahalatan tengah","Bangunan Bersejarah",5,1,"unknown","https://www.google.com/maps/place/POS+RONDA+Desa+pahalatan+tengah/data=!4m7!3m6!1s0x2de513d8d47a9673:0xa672b0b100c25fed!8m2!3d-2.6361898!4d115.2173815!16s%2Fg%2F11kp_01znb!19sChIJc5Z61NgT5S0R7V_CALGwcqY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/POS+RONDA+Desa+pahalatan+tengah/@-2.6361898,115.2173815,17z/data=!3m1!4b1!4m6!3m5!1s0x2de513d8d47a9673:0xa672b0b100c25fed!8m2!3d-2.6361898!4d115.2173815!16s%2Fg%2F11kp_01znb?authuser=0&hl=id&entry=ttu","115.2173815","-2.6361898","Alamat","9678+GXC, Pahalatan, Kec. Labuan Amas Utara, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71362"
"pos 1","Kantor Pemerintah",NA,NA,"unknown","https://www.google.com/maps/place/pos+1/data=!4m7!3m6!1s0x2de569ad25b74c67:0x2faef385f1b8e2bd!8m2!3d-2.5486421!4d115.4500862!16s%2Fg%2F11rxzfkbt0!19sChIJZ0y3Ja1p5S0RveK48YXzri8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/pos+1/@-2.5486421,115.4500862,17z/data=!3m1!4b1!4m6!3m5!1s0x2de569ad25b74c67:0x2faef385f1b8e2bd!8m2!3d-2.5486421!4d115.4500862!16s%2Fg%2F11rxzfkbt0?authuser=0&hl=id&entry=ttu","115.4500862","-2.5486421","Alamat","FF22+G2W, Birayang, Kec. Batang Alai Sel., Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71381"
"Kantorpos Haruyan","Kantor Pos",4.2,9,"Tutup ⋅ Buka pukul 08.00","https://www.google.com/maps/place/Kantorpos+Haruyan/data=!4m7!3m6!1s0x2de572525555556f:0x9aa94d62bb748d12!8m2!3d-2.6898259!4d115.3420924!16s%2Fg%2F11b5wmfnys!19sChIJb1VVVVJy5S0REo10u2JNqZo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Haruyan/@-2.6898259,115.3420924,17z/data=!3m1!4b1!4m6!3m5!1s0x2de572525555556f:0x9aa94d62bb748d12!8m2!3d-2.6898259!4d115.3420924!16s%2Fg%2F11b5wmfnys?authuser=0&hl=id&entry=ttu","115.3420924","-2.6898259","Alamat","Haruyan, Kec. Haruyan, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71363"
"Kantorpos Haruyan","Kantor Pos",4.2,9,"Tutup ⋅ Buka pukul 08.00","https://www.google.com/maps/place/Kantorpos+Haruyan/data=!4m7!3m6!1s0x2de572525555556f:0x9aa94d62bb748d12!8m2!3d-2.6898259!4d115.3420924!16s%2Fg%2F11b5wmfnys!19sChIJb1VVVVJy5S0REo10u2JNqZo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Haruyan/@-2.6898259,115.3420924,17z/data=!3m1!4b1!4m6!3m5!1s0x2de572525555556f:0x9aa94d62bb748d12!8m2!3d-2.6898259!4d115.3420924!16s%2Fg%2F11b5wmfnys?authuser=0&hl=id&entry=ttu","115.3420924","-2.6898259","Situs Web","posindonesia.co.id"
"Kantorpos Haruyan","Kantor Pos",4.2,9,"Tutup ⋅ Buka pukul 08.00","https://www.google.com/maps/place/Kantorpos+Haruyan/data=!4m7!3m6!1s0x2de572525555556f:0x9aa94d62bb748d12!8m2!3d-2.6898259!4d115.3420924!16s%2Fg%2F11b5wmfnys!19sChIJb1VVVVJy5S0REo10u2JNqZo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Haruyan/@-2.6898259,115.3420924,17z/data=!3m1!4b1!4m6!3m5!1s0x2de572525555556f:0x9aa94d62bb748d12!8m2!3d-2.6898259!4d115.3420924!16s%2Fg%2F11b5wmfnys?authuser=0&hl=id&entry=ttu","115.3420924","-2.6898259","Telepon","(0517) 41003"
"Kantorpos Haruyan","Kantor Pos",4.2,9,"Tutup ⋅ Buka pukul 08.00","https://www.google.com/maps/place/Kantorpos+Haruyan/data=!4m7!3m6!1s0x2de572525555556f:0x9aa94d62bb748d12!8m2!3d-2.6898259!4d115.3420924!16s%2Fg%2F11b5wmfnys!19sChIJb1VVVVJy5S0REo10u2JNqZo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Haruyan/@-2.6898259,115.3420924,17z/data=!3m1!4b1!4m6!3m5!1s0x2de572525555556f:0x9aa94d62bb748d12!8m2!3d-2.6898259!4d115.3420924!16s%2Fg%2F11b5wmfnys?authuser=0&hl=id&entry=ttu","115.3420924","-2.6898259","Plus Codes","886R+3R Haruyan, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan"
"Pos 3","Kantor Pemerintahan Regional",NA,NA,"unknown","https://www.google.com/maps/place/Pos+3/data=!4m7!3m6!1s0x2de56f6a4db90187:0xb61f9a2e84110447!8m2!3d-2.5947396!4d115.3833378!16s%2Fg%2F11h5vhw4r_!19sChIJhwG5TWpv5S0RRwQRhC6aH7Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+3/@-2.5947396,115.3833378,17z/data=!3m1!4b1!4m6!3m5!1s0x2de56f6a4db90187:0xb61f9a2e84110447!8m2!3d-2.5947396!4d115.3833378!16s%2Fg%2F11h5vhw4r_?authuser=0&hl=id&entry=ttu","115.3833378","-2.5947396","Alamat","C94M+484, Barabai Darat, Kec. Barabai, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71352"
"Pos 3","Kantor Pemerintahan Regional",NA,NA,"unknown","https://www.google.com/maps/place/Pos+3/data=!4m7!3m6!1s0x2de56f6a4db90187:0xb61f9a2e84110447!8m2!3d-2.5947396!4d115.3833378!16s%2Fg%2F11h5vhw4r_!19sChIJhwG5TWpv5S0RRwQRhC6aH7Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+3/@-2.5947396,115.3833378,17z/data=!3m1!4b1!4m6!3m5!1s0x2de56f6a4db90187:0xb61f9a2e84110447!8m2!3d-2.5947396!4d115.3833378!16s%2Fg%2F11h5vhw4r_?authuser=0&hl=id&entry=ttu","115.3833378","-2.5947396","Telepon","0852-4800-4433"
"Pos kamling supanggal","Pos Pertolongan Pertama",NA,NA,"unknown","https://www.google.com/maps/place/Pos+kamling+supanggal/data=!4m7!3m6!1s0x2de56f87cac908f9:0x871eabde11f3517d!8m2!3d-2.6253125!4d115.3866376!16s%2Fg%2F11hyd31x3v!19sChIJ-QjJyodv5S0RfVHzEd6rHoc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+kamling+supanggal/@-2.6253125,115.3866376,17z/data=!3m1!4b1!4m6!3m5!1s0x2de56f87cac908f9:0x871eabde11f3517d!8m2!3d-2.6253125!4d115.3866376!16s%2Fg%2F11hyd31x3v?authuser=0&hl=id&entry=ttu","115.3866376","-2.6253125","Alamat","99FP+VMC, Jl. Awang Besar, Awang Besar, Kec. Barabai, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71361"
