"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Indramayu","Kantor Pos",4,72,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/Kantor+Pos+Indramayu/data=!4m7!3m6!1s0x2e6ebbfa30000001:0x3fb89e33b330ed1f!8m2!3d-6.3243146!4d108.3213447!16s%2Fg%2F1hc37v961!19sChIJAQAAMPq7bi4RH-0wszOeuD8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Indramayu/@-6.3243146,108.3213447,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6ebbfa30000001:0x3fb89e33b330ed1f!8m2!3d-6.3243146!4d108.3213447!16s%2Fg%2F1hc37v961?authuser=0&hl=id&entry=ttu","108.3213447","-6.3243146","Alamat","Jl. Siliwangi No.12, Paoman, Kec. Indramayu, Kabupaten Indramayu, Jawa Barat 45211"
"Kantor Pos Indramayu","Kantor Pos",4,72,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/Kantor+Pos+Indramayu/data=!4m7!3m6!1s0x2e6ebbfa30000001:0x3fb89e33b330ed1f!8m2!3d-6.3243146!4d108.3213447!16s%2Fg%2F1hc37v961!19sChIJAQAAMPq7bi4RH-0wszOeuD8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Indramayu/@-6.3243146,108.3213447,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6ebbfa30000001:0x3fb89e33b330ed1f!8m2!3d-6.3243146!4d108.3213447!16s%2Fg%2F1hc37v961?authuser=0&hl=id&entry=ttu","108.3213447","-6.3243146","Situs Web","posindonesia.co.id"
"Kantor Pos Indramayu","Kantor Pos",4,72,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/Kantor+Pos+Indramayu/data=!4m7!3m6!1s0x2e6ebbfa30000001:0x3fb89e33b330ed1f!8m2!3d-6.3243146!4d108.3213447!16s%2Fg%2F1hc37v961!19sChIJAQAAMPq7bi4RH-0wszOeuD8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Indramayu/@-6.3243146,108.3213447,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6ebbfa30000001:0x3fb89e33b330ed1f!8m2!3d-6.3243146!4d108.3213447!16s%2Fg%2F1hc37v961?authuser=0&hl=id&entry=ttu","108.3213447","-6.3243146","Plus Codes","M8GC+7G Paoman, Kabupaten Indramayu, Jawa Barat"
"Kantor Pos Indramayu Karang Malang","Kantor Pos",4.7,3,"unknown","https://www.google.com/maps/place/Kantor+Pos+Indramayu+Karang+Malang/data=!4m7!3m6!1s0x2e6eb951bb621209:0x302d6231d4a669d5!8m2!3d-6.3370752!4d108.3249158!16s%2Fg%2F11b5wtgswx!19sChIJCRJiu1G5bi4R1Wmm1DFiLTA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Indramayu+Karang+Malang/@-6.3370752,108.3249158,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6eb951bb621209:0x302d6231d4a669d5!8m2!3d-6.3370752!4d108.3249158!16s%2Fg%2F11b5wtgswx?authuser=0&hl=id&entry=ttu","108.3249158","-6.3370752","Alamat","Jl. Let Jend. Suprapto No.1123, Karangmalang, Kec. Indramayu, Kabupaten Indramayu, Jawa Barat 45213"
"Kantor Pos Indramayu Karang Malang","Kantor Pos",4.7,3,"unknown","https://www.google.com/maps/place/Kantor+Pos+Indramayu+Karang+Malang/data=!4m7!3m6!1s0x2e6eb951bb621209:0x302d6231d4a669d5!8m2!3d-6.3370752!4d108.3249158!16s%2Fg%2F11b5wtgswx!19sChIJCRJiu1G5bi4R1Wmm1DFiLTA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Indramayu+Karang+Malang/@-6.3370752,108.3249158,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6eb951bb621209:0x302d6231d4a669d5!8m2!3d-6.3370752!4d108.3249158!16s%2Fg%2F11b5wtgswx?authuser=0&hl=id&entry=ttu","108.3249158","-6.3370752","Situs Web","posindonesia.co.id"
"Kantor Pos Indramayu Karang Malang","Kantor Pos",4.7,3,"unknown","https://www.google.com/maps/place/Kantor+Pos+Indramayu+Karang+Malang/data=!4m7!3m6!1s0x2e6eb951bb621209:0x302d6231d4a669d5!8m2!3d-6.3370752!4d108.3249158!16s%2Fg%2F11b5wtgswx!19sChIJCRJiu1G5bi4R1Wmm1DFiLTA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Indramayu+Karang+Malang/@-6.3370752,108.3249158,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6eb951bb621209:0x302d6231d4a669d5!8m2!3d-6.3370752!4d108.3249158!16s%2Fg%2F11b5wtgswx?authuser=0&hl=id&entry=ttu","108.3249158","-6.3370752","Telepon","(0234) 271200"
"Kantor Pos Indramayu Karang Malang","Kantor Pos",4.7,3,"unknown","https://www.google.com/maps/place/Kantor+Pos+Indramayu+Karang+Malang/data=!4m7!3m6!1s0x2e6eb951bb621209:0x302d6231d4a669d5!8m2!3d-6.3370752!4d108.3249158!16s%2Fg%2F11b5wtgswx!19sChIJCRJiu1G5bi4R1Wmm1DFiLTA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Indramayu+Karang+Malang/@-6.3370752,108.3249158,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6eb951bb621209:0x302d6231d4a669d5!8m2!3d-6.3370752!4d108.3249158!16s%2Fg%2F11b5wtgswx?authuser=0&hl=id&entry=ttu","108.3249158","-6.3370752","Plus Codes","M87F+5X Karangmalang, Kabupaten Indramayu, Jawa Barat"
"KANTOR POS PEKANDANGAN","Kantor Pos",5,2,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/KANTOR+POS+PEKANDANGAN/data=!4m7!3m6!1s0x2e6eb931a5aa0f81:0x5ab5911109e13fa2!8m2!3d-6.357134!4d108.3246723!16s%2Fg%2F11gc9g9_nh!19sChIJgQ-qpTG5bi4Roj_hCRGRtVo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/KANTOR+POS+PEKANDANGAN/@-6.357134,108.3246723,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6eb931a5aa0f81:0x5ab5911109e13fa2!8m2!3d-6.357134!4d108.3246723!16s%2Fg%2F11gc9g9_nh?authuser=0&hl=id&entry=ttu","108.3246723","-6.357134","Alamat","J8VF+4VV, Jalan Raya Jatibarang, Pekandangan, Indramayu, Indramayu Regency, West Java 45216"
"Kantor pos cabang IMKM","Kantor Pos",5,1,"Segera tutup ⋅ 16.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+pos+cabang+IMKM/data=!4m7!3m6!1s0x2e6eb9d11f8f05db:0x1ad618849878e59f!8m2!3d-6.3778135!4d108.3120867!16s%2Fg%2F11txvr5tx9!19sChIJ2wWPH9G5bi4Rn-V4mIQY1ho?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+pos+cabang+IMKM/@-6.3778135,108.3120867,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6eb9d11f8f05db:0x1ad618849878e59f!8m2!3d-6.3778135!4d108.3120867!16s%2Fg%2F11txvr5tx9?authuser=0&hl=id&entry=ttu","108.3120867","-6.3778135","Alamat","J8C6+VRG, Plumbon, Kec. Indramayu, Kabupaten Indramayu, Jawa Barat"
"Kantor POS DAYUNG/SINDANG","Kantor Pos",NA,NA,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+POS+DAYUNG%2FSINDANG/data=!4m7!3m6!1s0x2e6eb93e24487311:0xc78e4019a6c71089!8m2!3d-6.3408046!4d108.3221696!16s%2Fg%2F11k4pjcrq4!19sChIJEXNIJD65bi4RiRDHphlAjsc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+POS+DAYUNG%2FSINDANG/@-6.3408046,108.3221696,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6eb93e24487311:0xc78e4019a6c71089!8m2!3d-6.3408046!4d108.3221696!16s%2Fg%2F11k4pjcrq4?authuser=0&hl=id&entry=ttu","108.3221696","-6.3408046","Alamat","M85C+MVM, Jl. Cimanuk Barat, Bojongsari, Kec. Indramayu, Kabupaten Indramayu, Jawa Barat 45214"
