"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantorpos Jeneponto","Kantor Pos",3.8,18,"unknown","https://www.google.com/maps/place/Kantorpos+Jeneponto/data=!4m7!3m6!1s0x2db936e555555541:0xe3d07f11d19a2724!8m2!3d-5.6758826!4d119.7506946!16s%2Fg%2F1pzsg468v!19sChIJQVVVVeU2uS0RJCea0RF_0OM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Jeneponto/@-5.6758826,119.7506946,17z/data=!3m1!4b1!4m6!3m5!1s0x2db936e555555541:0xe3d07f11d19a2724!8m2!3d-5.6758826!4d119.7506946!16s%2Fg%2F1pzsg468v?authuser=0&hl=id&entry=ttu","119.7506946","-5.6758826","Alamat","Jalan Lanto Dg Pasewang, Balang Toa, Binamu, Empoang, Kec. Binamu, Kabupaten Jeneponto, Sulawesi Selatan 92316"
"Kantorpos Jeneponto","Kantor Pos",3.8,18,"unknown","https://www.google.com/maps/place/Kantorpos+Jeneponto/data=!4m7!3m6!1s0x2db936e555555541:0xe3d07f11d19a2724!8m2!3d-5.6758826!4d119.7506946!16s%2Fg%2F1pzsg468v!19sChIJQVVVVeU2uS0RJCea0RF_0OM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Jeneponto/@-5.6758826,119.7506946,17z/data=!3m1!4b1!4m6!3m5!1s0x2db936e555555541:0xe3d07f11d19a2724!8m2!3d-5.6758826!4d119.7506946!16s%2Fg%2F1pzsg468v?authuser=0&hl=id&entry=ttu","119.7506946","-5.6758826","Situs Web","posindonesia.co.id"
"Kantorpos Jeneponto","Kantor Pos",3.8,18,"unknown","https://www.google.com/maps/place/Kantorpos+Jeneponto/data=!4m7!3m6!1s0x2db936e555555541:0xe3d07f11d19a2724!8m2!3d-5.6758826!4d119.7506946!16s%2Fg%2F1pzsg468v!19sChIJQVVVVeU2uS0RJCea0RF_0OM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Jeneponto/@-5.6758826,119.7506946,17z/data=!3m1!4b1!4m6!3m5!1s0x2db936e555555541:0xe3d07f11d19a2724!8m2!3d-5.6758826!4d119.7506946!16s%2Fg%2F1pzsg468v?authuser=0&hl=id&entry=ttu","119.7506946","-5.6758826","Telepon","(0419) 21013"
"Kantorpos Jeneponto","Kantor Pos",3.8,18,"unknown","https://www.google.com/maps/place/Kantorpos+Jeneponto/data=!4m7!3m6!1s0x2db936e555555541:0xe3d07f11d19a2724!8m2!3d-5.6758826!4d119.7506946!16s%2Fg%2F1pzsg468v!19sChIJQVVVVeU2uS0RJCea0RF_0OM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Jeneponto/@-5.6758826,119.7506946,17z/data=!3m1!4b1!4m6!3m5!1s0x2db936e555555541:0xe3d07f11d19a2724!8m2!3d-5.6758826!4d119.7506946!16s%2Fg%2F1pzsg468v?authuser=0&hl=id&entry=ttu","119.7506946","-5.6758826","Plus Codes","8QF2+J7 Empoang, Kabupaten Jeneponto, Sulawesi Selatan"
"Kantor Pos","Kantor Pos",3.5,11,"Segera tutup ⋅ 15.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x2dbed2a55555550d:0x7892a819cf07c704!8m2!3d-5.5856185!4d119.5729092!16s%2Fg%2F11b5wd8tgc!19sChIJDVVVVaXSvi0RBMcHzxmokng?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@-5.5856185,119.5729092,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbed2a55555550d:0x7892a819cf07c704!8m2!3d-5.5856185!4d119.5729092!16s%2Fg%2F11b5wd8tgc?authuser=0&hl=id&entry=ttu","119.5729092","-5.5856185","Alamat","Pallengu, Bangkala, Kabupaten Jeneponto, Sulawesi Selatan 92352"
"Kantor Pos","Kantor Pos",3.5,11,"Segera tutup ⋅ 15.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x2dbed2a55555550d:0x7892a819cf07c704!8m2!3d-5.5856185!4d119.5729092!16s%2Fg%2F11b5wd8tgc!19sChIJDVVVVaXSvi0RBMcHzxmokng?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@-5.5856185,119.5729092,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbed2a55555550d:0x7892a819cf07c704!8m2!3d-5.5856185!4d119.5729092!16s%2Fg%2F11b5wd8tgc?authuser=0&hl=id&entry=ttu","119.5729092","-5.5856185","Situs Web","posindonesia.co.id"
"Kantor Pos","Kantor Pos",3.5,11,"Segera tutup ⋅ 15.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x2dbed2a55555550d:0x7892a819cf07c704!8m2!3d-5.5856185!4d119.5729092!16s%2Fg%2F11b5wd8tgc!19sChIJDVVVVaXSvi0RBMcHzxmokng?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@-5.5856185,119.5729092,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbed2a55555550d:0x7892a819cf07c704!8m2!3d-5.5856185!4d119.5729092!16s%2Fg%2F11b5wd8tgc?authuser=0&hl=id&entry=ttu","119.5729092","-5.5856185","Telepon","(0428) 21007"
"Kantor Pos","Kantor Pos",3.5,11,"Segera tutup ⋅ 15.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x2dbed2a55555550d:0x7892a819cf07c704!8m2!3d-5.5856185!4d119.5729092!16s%2Fg%2F11b5wd8tgc!19sChIJDVVVVaXSvi0RBMcHzxmokng?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@-5.5856185,119.5729092,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbed2a55555550d:0x7892a819cf07c704!8m2!3d-5.5856185!4d119.5729092!16s%2Fg%2F11b5wd8tgc?authuser=0&hl=id&entry=ttu","119.5729092","-5.5856185","Plus Codes","CH7F+Q5 Pallengu, Kabupaten Jeneponto, Sulawesi Selatan"
"Kantor Pos Tolo","Organisasi Pelayanan Sosial",4.4,9,"Segera tutup ⋅ 15.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Tolo/data=!4m7!3m6!1s0x2db94aadad431e8f:0xdc019a03a9f26361!8m2!3d-5.5689956!4d119.7978076!16s%2Fg%2F11gbxgc918!19sChIJjx5Dra1KuS0RYWPyqQOaAdw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Tolo/@-5.5689956,119.7978076,17z/data=!3m1!4b1!4m6!3m5!1s0x2db94aadad431e8f:0xdc019a03a9f26361!8m2!3d-5.5689956!4d119.7978076!16s%2Fg%2F11gbxgc918?authuser=0&hl=id&entry=ttu","119.7978076","-5.5689956","Alamat","CQJX+C43, Tolo, Kec. Kelara, Kabupaten Jeneponto, Sulawesi Selatan 92371"
"Kantor Pos Tolo","Organisasi Pelayanan Sosial",4.4,9,"Segera tutup ⋅ 15.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Tolo/data=!4m7!3m6!1s0x2db94aadad431e8f:0xdc019a03a9f26361!8m2!3d-5.5689956!4d119.7978076!16s%2Fg%2F11gbxgc918!19sChIJjx5Dra1KuS0RYWPyqQOaAdw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Tolo/@-5.5689956,119.7978076,17z/data=!3m1!4b1!4m6!3m5!1s0x2db94aadad431e8f:0xdc019a03a9f26361!8m2!3d-5.5689956!4d119.7978076!16s%2Fg%2F11gbxgc918?authuser=0&hl=id&entry=ttu","119.7978076","-5.5689956","Situs Web","facebook.com"
"Kantor Pos Tolo","Organisasi Pelayanan Sosial",4.4,9,"Segera tutup ⋅ 15.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Tolo/data=!4m7!3m6!1s0x2db94aadad431e8f:0xdc019a03a9f26361!8m2!3d-5.5689956!4d119.7978076!16s%2Fg%2F11gbxgc918!19sChIJjx5Dra1KuS0RYWPyqQOaAdw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Tolo/@-5.5689956,119.7978076,17z/data=!3m1!4b1!4m6!3m5!1s0x2db94aadad431e8f:0xdc019a03a9f26361!8m2!3d-5.5689956!4d119.7978076!16s%2Fg%2F11gbxgc918?authuser=0&hl=id&entry=ttu","119.7978076","-5.5689956","Telepon","0853-9820-2200"
